model,scenario,region,sector,product_long,flow_category,flow_long,unit,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,uruguay,Agriculture,Optimal Intensity,Emissions,CO2,Mha,0.0,0.0092013513513513,0.0184027027027027,0.027604054054054,0.0368054054054054,0.0460067567567567,0.0552081081081081,0.0644094594594594,0.0736108108108108,0.0828121621621621,0.0920135135135135,0.1012148648648648,0.1104162162162162,0.1196175675675675,0.1288189189189189,0.1380202702702702,0.1472216216216216,0.1564229729729729,0.1656243243243243,0.1748256756756756,0.184027027027027,0.1932283783783784,0.2024297297297297,0.211631081081081,0.2208324324324324,0.2300337837837837,0.2392351351351351,0.2484364864864864,0.2576378378378378,0.2668391891891892,0.2760405405405405,0.2852418918918918,0.2944432432432432,0.3036445945945946,0.3128459459459459,0.3220472972972972,0.3312486486486486,0.34045,0.3496513513513513,0.3588527027027027,0.368054054054054,0.3772554054054053,0.3864567567567568,0.3956581081081081,0.4048594594594594,0.4140608108108108,0.4232621621621621,0.4324635135135135,0.4416648648648648,0.4508662162162161,0.4600675675675675,0.4692689189189188,0.4784702702702702,0.4876716216216216,0.4968729729729729,0.5060743243243243,0.5152756756756757,0.524477027027027,0.5336783783783784,0.5428797297297296,0.552081081081081,0.5612824324324324,0.5704837837837837,0.5796851351351351,0.5888864864864864,0.5980878378378378,0.6072891891891892,0.6164905405405405,0.6256918918918919,0.6348932432432433,0.6440945945945945,0.6532959459459459,0.6624972972972972,0.6716986486486486,0.6809,0.6901013513504024,0.6993027027017283,0.7085040540530542,0.71770540540438,0.7269067567557059,0.7361081081070318,0.7453094594583576,0.7545108108096834,0.7637121621610093,0.7729135135123352,0.782114864863661,0.7913162162149868,0.8005175675663128,0.8097189189176386,0.8189202702689644,0.8281216216202903,0.8373229729716162,0.846524324322942,0.8557256756742678,0.8649270270255938,0.8741283783769196,0.8833297297282454,0.8925310810795712,0.9017324324308972,0.910933783782223,0.9201351351335488,0.9293364864848748,0.9385378378362006,0.9477391891875264,0.9569405405388522,0.9661418918901782,0.975343243241504,0.9845445945928298,0.9937459459441556,1.0029472972954816,1.0121486486468074
PD22,baseline,uruguay,Forests & Wetlands,Peat Restoration,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,uruguay,Agriculture,Agroforestry,Emissions,CO2,Mha,0.0,0.0019905405405405,0.003981081081081,0.0059716216216216,0.0079621621621621,0.0099527027027027,0.0119432432432432,0.0139337837837837,0.0159243243243243,0.0179148648648648,0.0199054054054054,0.0218959459459459,0.0238864864864864,0.025877027027027,0.0278675675675675,0.0298581081081081,0.0318486486486486,0.0338391891891891,0.0358297297297297,0.0378202702702702,0.0398108108108108,0.0418013513513513,0.0437918918918918,0.0457824324324324,0.0477729729729729,0.0497635135135135,0.051754054054054,0.0537445945945945,0.0557351351351351,0.0577256756756756,0.0597162162162162,0.0617067567567567,0.0636972972972973,0.0656878378378378,0.0676783783783783,0.0696689189189189,0.0716594594594594,0.07365,0.0756405405405405,0.077631081081081,0.0796216216216216,0.0816121621621621,0.0836027027027027,0.0855932432432432,0.0875837837837837,0.0895743243243243,0.0915648648648648,0.0935554054054054,0.0955459459459459,0.0975364864864864,0.099527027027027,0.1015175675675675,0.1035081081081081,0.1054986486486486,0.1074891891891891,0.1094797297297297,0.1114702702702702,0.1134608108108108,0.1154513513513513,0.1174418918918918,0.1194324324324324,0.1214229729729729,0.1234135135135135,0.125404054054054,0.1273945945945946,0.1293851351351351,0.1313756756756756,0.1333662162162162,0.1353567567567567,0.1373472972972973,0.1393378378378378,0.1413283783783784,0.1433189189189189,0.1453094594594594,0.1473,0.1473000000020943,0.1492905405426632,0.151281081083232,0.1532716216238009,0.1552621621643697,0.1572527027049385,0.1592432432455074,0.1612337837860762,0.1632243243266451,0.1652148648672139,0.1672054054077827,0.1691959459483516,0.1711864864889204,0.1731770270294893,0.1751675675700581,0.177158108110627,0.1791486486511958,0.1811391891917647,0.1831297297323335,0.1851202702729023,0.1871108108134712,0.18910135135404,0.1910918918946089,0.1930824324351777,0.1950729729757465,0.1970635135163154,0.1990540540568842,0.2010445945974531,0.2030351351380219,0.2050256756785907,0.2070162162191596,0.2090067567597285,0.2109972973002973,0.2129878378408661,0.214978378381435,0.2169689189220038
PD22,pathway,uruguay,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,uruguay,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.660063011960266e-05,7.661104239867993e-05,7.662375286307905e-05,7.663926876537337e-05,7.665820931826644e-05,7.66813304062772e-05,7.670955475174937e-05,7.674400873905261e-05,7.678606736655724e-05,7.683740912032503e-05,7.690008295941172e-05,7.697659008601995e-05,7.706998376376616e-05,7.718399116757272e-05,7.732316212791e-05,7.749305070537386e-05,7.770043684171733e-05,7.795359693273511e-05,7.826263412063327e-05,7.86398814865909e-05,7.910039423320242e-05,7.966255049741673e-05,8.034878476909264e-05,8.118648318123049e-05,8.220907639628773e-05,8.345737369621671e-05,8.498119150617666e-05,8.68413413266853e-05,8.911205638410913e-05,9.188395380561096e-05
PD22,pathway,uruguay,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,uruguay,Agriculture,Biochar,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017279096093466,0.0034558192186932,0.0034558192186932,0.0034558192186932,0.0034558192186932,0.0034558192186932,0.0034558192186932,0.0043463572481257,0.0052368952775582,0.0061274333069907,0.0070179713364232,0.0079085093658557,0.0092429872487665,0.0105774651316773,0.011911943014588,0.0132464208974988,0.0145808987804096,0.0210565723317456,0.0275322458830816,0.0340079194344176,0.0404835929857536,0.0469592665370896,0.0533857611226211,0.0598122557081526,0.0696126045693699,0.0794129534305873,0.0892133022918046,0.0958856917063585,0.1096469410566935,0.1234081904070285,0.1371694397573634,0.1393625557999957,0.141555671842628,0.1671420256733377,0.1927283795040475,0.1979121083320874,0.2030958371601273,0.2082795659881672,0.2240301266579807,0.2397806873277942,0.2397806916001013,0.2397806925414031,0.2397806936900986,0.2397806950918819,0.239780696802515,0.2397806988900458,0.2397807014375145,0.2397807045462577,0.239780708339939,0.2397807129694683,0.2397807186190049,0.2397807255132832,0.2397807339265527,0.2397807441934871,0.2397807567224976,0.2397807720119792,0.2397807906701362,0.2397808134391765,0.2397808412248357,0.2397808751324069
PD22,pathway,uruguay,Forests & Wetlands,Coastal Restoration,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,uruguay,Agriculture,Cropland Soil Health,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,uruguay,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,m3,0.0,1642.9977333333334,3285.9954666666667,4928.9932,6571.9909333333335,8214.988666666666,9857.9864,11500.984133333332,13143.981866666669,14786.9796,16429.977333333332,18072.975066666662,19715.9728,21358.970533333333,23001.968266666667,24644.966,26287.96373333333,27930.961466666668,29573.9592,31216.95693333333,32859.954666666665,34502.9524,36145.95013333333,37788.94786666667,39431.9456,41074.94333333333,42717.941066666666,44360.9388,46003.93653333333,47646.93426666667,49289.932,50932.92973333334,52575.92746666667,54218.9252,55861.922933333335,57504.920666666665,59147.9184,60790.91613333333,62433.91386666667,64076.9116,65719.90933333333,67362.90706666667,69005.9048,70648.90253333334,72291.90026666666,73934.898,75577.89573333334,77220.89346666668,78863.8912,80506.88893333334,82149.88666666666,83792.8844,85435.88213333333,87078.87986666668,88721.8776,90364.87533333332,92007.87306666668,93650.8708,95293.86853333334,96936.86626666666,98579.864,100222.86173333334,101865.85946666668,103508.8572,105151.85493333334,106794.85266666667,108437.8504,150616.9792538001,160652.0568585905,176522.00990327037,204720.12389682172,209136.01211883928,206422.9085582681,216685.024117918,225539.50435743897,228604.5167480424,229569.4280561953,251331.0160294795,251331.02240704148,251331.02381059615,251331.02552304088,251331.02761235533,242953.3291560972,234575.6310535008,226197.9333595833,217820.23613644895,209442.5394537432,201064.8433889644,192687.1480275472,184309.45346260184,175931.7597941551,167554.06712768466,159176.37557167356,150798.68523382462,142420.99621546257,134043.30860351035,125665.62245924235,117287.9378027855,108910.25459203975,100532.57269431424,92154.89184849236,83777.21161493119,75399.53130952976,67021.84991742327,58644.16598052998,50266.47745162176,41888.78150562975,33511.07429643068,25133.35064425605,16755.60363496727,8377.824107545177
