model,scenario,region,variable,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,historical,world,Concentration|CO2,PPM,353.98583333333335,355.3866666666667,356.17,356.83916666666664,358.7075,360.7241666666667,362.50666666666666,363.64166666666665,366.5183333333334,368.21,369.38166666666666,370.9308333333333,373.0158333333333,375.5675,377.3041666666666,379.5591666666666,381.76666666666665,383.5566666666667,385.4166666666667,387.33833333333337,389.9091666666666,391.6891666666666,393.94416666666666,396.645,398.6991666666667,400.8616666666667,404.2066666666667,406.51,408.5225,411.4191666666666,413.9433333333333,416.1075,417.5675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,historical,world,Concentration|CH4,PPM,1714.5166666666669,1725.0666666666666,1735.5,1736.5666666666666,1742.125,1748.8333333333333,1751.4916666666668,1754.6333333333332,1765.6666666666667,1772.4416666666666,1773.35,1771.275,1772.7416666666668,1777.325,1777.0083333333332,1774.1666666666667,1775.0083333333332,1781.4583333333333,1787.0916666666665,1793.5666666666666,1798.9416666666666,1803.175,1808.1,1813.4583333333333,1822.7416666666668,1834.35,1843.225,1849.725,1857.425,1866.675,1879.2833333333333,1895.7916666666667,1908.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,historical,world,Concentration|N2O,PPM,308.78,309.57,310.0,310.25,310.98,311.78,312.81,313.53,314.2,315.15,316.14,316.3666666666667,316.93333333333334,317.625,318.2583333333333,318.93333333333334,319.8333333333333,320.46666666666664,321.51666666666665,322.26666666666665,323.19166666666666,324.225,325.06666666666666,325.95,327.09166666666664,328.175,328.9583333333333,329.75,330.925,331.875,333.03333333333336,334.325,335.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,historical,world,Radiative forcing,W/m2,1.48920629327043,0.602592938596808,0.050660377916966,0.835134354779409,1.42788735055137,1.6601415266069,1.76736443409432,1.83892962795489,1.91567034664513,1.98547811716526,2.03778055501043,2.06484958906763,2.08934573079374,2.11539108706765,2.14295993888862,2.12386094123076,2.04967892808329,2.02521453148087,2.069290273384,2.11402636902778,2.15948900943732,2.20815733587996,2.2551476276713,2.30032333815626,2.34367678388143,2.38582734893548,2.42657923078704,2.4660573062258,2.50438590907997,2.54167717760516,2.57803030811743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,historical,world,Temperature change,F,0.603,0.618,0.633,0.647,0.659,0.671,0.683,0.695,0.708,0.722,0.735,0.749,0.763,0.777,0.792,0.808,0.825,0.841,0.859,0.876,0.892,0.909,0.927,0.946,0.966,0.987,1.009,1.033,1.056,1.079,1.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,pathway,world,Concentration|CO2,PPM,281.1127181198353,283.44140715734386,285.4791772327104,287.39046275458963,289.2223898959374,290.9957644654308,292.7186960195974,294.50963441256664,296.1520596086415,297.77502073168495,299.40244658464184,300.9239245093251,302.5095415159466,304.11030891921337,305.825211229928,307.539185883387,309.31592177155505,311.06063047603664,312.7865899554797,314.4670648967578,316.23745680343256,317.9656563231395,319.69101832486024,321.45105211196153,323.23012169071205,325.02112702131126,326.71862405135994,328.4385390397549,330.212623616257,331.9744172222545,333.4672211104286,334.9822313108394,336.4661202083479,337.9105541276735,339.3086230783149,340.65347288947385,341.93818125389424,343.15578764144914,344.29939397057313,345.3622712201119,346.3380528575261,347.22351644984184,348.0131828429159,348.70278895073926,349.2893540047446,349.77126713963986,350.1483109953772,350.4214846206131,350.59271648021127,350.66469056580485,350.6407736648304,350.52493847484163,350.32161980456095,350.03563614482084,349.6719756622033,349.2356795073243,348.73174261242474,348.16501067782485,347.54013181604057,346.8606463706548,346.1310376941758
PD22,pathway,world,Concentration|CH4,PPM,722.0,758.2285266154493,792.3311898004731,823.4202161387974,851.4323958037318,877.0765815259666,901.136639131112,925.223627761944,947.143037578391,964.2483341610921,978.0083636231665,989.4754431019556,1000.4072267577678,1012.401274396538,1026.6978224920967,1042.0638161817508,1057.524641108565,1072.3632677938988,1085.3287587270709,1097.500159550168,1109.4299272194232,1121.6610138627377,1134.0837771970387,1145.677860695543,1156.760389728179,1167.7131371695202,1176.4929963985976,1183.3832952668604,1190.4059948631234,1198.1204046320559,1205.967078611446,1213.9182362141803,1222.3249442876809,1230.8876877872358,1239.4833296622637,1247.9820355193474,1256.249573180252,1264.1479901000669,1271.53585968291,1278.2702586666426,1284.2073919980196,1289.1314197272313,1292.8351113514425,1295.1927225302827,1296.082832370042,1295.3907930829228,1293.0110150406492,1288.849074315624,1282.8235578514955,1274.8676286168643,1264.9306279865657,1252.9817635243485,1239.011067958006,1223.02781446186,1205.0636245186533,1185.1761740315105,1163.4504713776635,1139.999111522814,1114.9613736733847,1088.5048577838786,1060.8716571590408
PD22,pathway,world,Concentration|N2O,PPM,273.0,270.7555749657218,268.5297351504351,266.3222774991794,264.1330129168562,261.96182970195764,259.8085542179573,257.6730003858454,255.55504206594446,253.4545175400167,251.3712481769789,249.3051245600748,247.25606005992478,245.2239176454619,243.20858102856988,241.2098927638905,239.22767396176886,237.26183304573374,235.31219324509982,233.3785794007028,231.46093118080864,229.55914184288733,227.6730471409075,225.80247568649438,223.94731098053006,222.10745587468216,220.2827731732097,218.4731548907274,216.67844823113532,214.8985175651658,213.13326602366948,211.3825525823736,209.646244304622,207.92421852972288,206.21635638831722,204.52253990510334,202.84265199573863,201.1765764640468,199.52419800426094,197.88540221246402,196.26007560413913,194.64810299735979,193.04937020495603,191.46376670642798,189.89118301496174,188.33151070111842,186.7846424071006,185.25047185050227,183.7288938177775,182.21980414831071,180.7230997112095,179.23867837834285,177.7664389962686,176.30628135967157,174.8581061873261,173.42181510397413,171.9973106282938,170.584496158117,169.1832759611463,167.79355517544158,166.41523986394674
PD22,pathway,world,Concentration|CF4,PPM,34.497,34.49631075883279,34.49562160827855,34.49493273147515,34.49424390863114,34.493554884359654,34.49286585966677,34.492176882002916,34.4914879193814,34.49079898119761,34.490110069773635,34.48942112647645,34.48873219259639,34.48804328299332,34.48735437817012,34.486665461798665,34.48597635983605,34.48528717240773,34.48459799468159,34.483908713599696,34.483219387827,34.48253008071963,34.48184077822529,34.48115147665568,34.48046220693223,34.47977297967056,34.479083779986595,34.47839461118419,34.47770546779074,34.477016339340516,34.47632722467272,34.47563812315733,34.47494903226249,34.47425994965061,34.47357087442481,34.472881805639275,34.47219274230534,34.471503683400584,34.470814627881374,34.470125574698685,34.46943652281707,34.46874747123597,34.46805841901219,34.46736936528194,34.46668030928075,34.465991250359394,34.465302187994496,34.46461312179273,34.463924051488526,34.46323497693584,34.46254589809501,34.46185681501645,34.46116772782275,34.46047863669082,34.45978954183543,34.459100443494904,34.458411341919636,34.45772223736334,34.457033130077036,34.456344020305345,34.45565490828474
PD22,pathway,world,Concentration|C2F6,PPM,0.0,1.0203510601841255e-07,1.8835130112031857e-07,2.701150862494664e-07,3.5738797155345365e-07,4.4962167476209286e-07,5.478040292162797e-07,6.529639722904548e-07,7.614778489981959e-07,8.720693429513582e-07,9.801268443972628e-07,1.0747581531545069e-06,1.1676491026754447e-06,1.2649059783712942e-06,1.3674984996770074e-06,1.475039566157382e-06,1.580894631654309e-06,1.6841932818608288e-06,1.7693054410046878e-06,1.8314590705888388e-06,1.8889714373775451e-06,1.948744658326115e-06,2.0042485408732365e-06,2.0544090220687152e-06,2.1030432869295536e-06,2.1512109099225158e-06,2.198834536910532e-06,2.245834748812555e-06,2.2904981550436757e-06,2.334916540329595e-06,2.3793304839990707e-06,2.4236040758630953e-06,2.4675173708059567e-06,2.510933781689669e-06,2.5537445391045507e-06,2.595833838717757e-06,2.6370796389535725e-06,2.6773549071145557e-06,2.7165293590856537e-06,2.7544717011809603e-06,2.7910523310528517e-06,2.8261463916806826e-06,2.8596370065205173e-06,2.8914184671070854e-06,2.92139911071139e-06,2.9495036271012094e-06,2.975674575889222e-06,2.9998729759691545e-06,3.0220779330702264e-06,3.04228538079791e-06,3.060506103830185e-06,3.0767632731164907e-06,3.091089744653381e-06,3.1035253579019033e-06,3.1141144266871953e-06,3.1229035574107037e-06,3.129939869084566e-06,3.1352696364550137e-06,3.1389373366142764e-06,3.140985052543006e-06,3.141452172816626e-06
