model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,ethiopia,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,ethiopia,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,4085.9986,5587.2009,6264.0013,5958.0006,7736.3983,7505.9987,9349.1998,10601.9992,11415.5991,11981.68375,12177.7474,12574.162800362225,12970.57820072445,13366.993601086675,13763.409001448897,14159.824401811124,14478.834423317849,14797.84444482459,15116.854466331315,15435.864487838056,15754.874509344785,16154.483066024512,16554.09162270424,16953.70017938392,17353.308736063715,17752.91729274351,18150.901978408794,18548.88666407408,18946.871349739366,19344.856035404653,19742.840721069937,20133.79092398487,20524.741126899637,20915.691329814403,21306.641532729336,21697.591735644102,22312.513478399276,22927.435221154446,23542.35696390962,24157.278706664794,24772.20044941997,25020.62330880005,25523.559281635025,26026.495254470163,26529.43122730496,27032.367200140103,27535.303172975066,28038.23914581004,28541.175118645013,29044.11109148015,29547.047064315124,30049.983037149927,30552.919009985064,31055.854982820038,31558.790955655004,32061.726928489974,32564.66290132511,33067.598874159914,33570.53484699505,34073.47081983002,34576.406792665155,35079.342765499954,35582.27873833492,36085.21471117006,36588.15068400486,37091.08665684,37594.02262967497,38096.95860251011,38599.89457534491,39102.83054818005,39605.76652101502,40108.70249384999,40611.63846668496,41114.5744395201,41617.51041235507,42120.446385189876,42623.38235802502,43126.31833085999,43629.25430369496,44132.190276529924,44635.126249365065,45138.06222220004,45640.998195035005,46143.93416786997,46646.870140705105,47149.80611353991,47652.742086375045,48155.67805921001,48658.614032045145,49161.55000487994,49664.48597771491
PD22,baseline,ethiopia,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,28.801,25.2003,28.801,17.9991,35.9981,136.7995,179.9989,75.601,147.6014,152.7973,157.4572,162.58281616920343,167.70843233840688,172.83404850761028,177.95966467681367,183.08528084601713,187.21005229253183,191.33482373904675,195.45959518556145,199.58436663207638,203.70913807859114,208.8760414773947,214.04294487619828,219.2098482750012,224.37675167380567,229.54365507261014,234.68956196239634,239.83546885218254,244.98137574196872,250.12728263175495,255.27318952154113,260.3281411696938,265.3830928178444,270.43804446599495,275.4929961141477,280.54794776229824,288.49883166988775,296.4497155774772,304.4005994850667,312.35148339265623,320.30236730024575,323.5144529651185,330.01737074298853,336.52028852086073,343.02320629872855,349.5261240766008,356.02904185447073,362.53195963234083,369.03487741021087,375.537795188083,382.0407129659531,388.543630743821,395.0465485216932,401.5494662995633,408.05238407743326,414.55530185530324,421.05821963317544,427.56113741104326,434.06405518891546,440.5669729667855,447.0698907446577,453.5728085225255,460.07572630039544,466.5786440782677,473.0815618561355,479.5844796340078,486.08739741187776,492.59031518975,499.09323296761784,505.5961507454901,512.0990685233602,518.6019863012301,525.1049040791002,531.6078218569724,538.1107396348424,544.6136574127103,551.1165751905825,557.6194929684525,564.1224107463225,570.6253285241925,577.1282463020647,583.6311640799347,590.1340818578047,596.6369996356747,603.1399174135469,609.6428351914147,616.145752969287,622.648670747157,629.1515885250292,635.654506302897,642.157424080767
PD22,baseline,ethiopia,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ethiopia,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ethiopia,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,64.8,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0325524407216908,1.065104881443382,1.0976573221650727,1.1302097628867636,1.1627622036084546,1.1889583473638035,1.2151544911191536,1.2413506348745025,1.2675467786298527,1.2937429223852017,1.3265575755023888,1.359372228619576,1.392186881736759,1.425001534853952,1.4578161879711449,1.4904974936833397,1.5231787993955346,1.5558601051077292,1.5885414108199243,1.621222716532119,1.65332637167239,1.6854300268126476,1.717533681952905,1.7496373370931761,1.7817409922334335,1.8322365167797199,1.882732041326006,1.9332275658722924,1.9837230904185785,2.034218614964865,2.0546183532103868,2.0959179430536587,2.1372175328969445,2.1785171227402023,2.219816712583488,2.261116302426759,2.302415892270031,2.343715482113303,2.3850150719565884,2.4263146617998603,2.4676142516431185,2.508913841486404,2.550213431329676,2.5915130211729474,2.632812611016219,2.6741122008595046,2.715411790702763,2.7567113805460486,2.7980109703893206,2.8393105602326063,2.8806101500758645,2.921909739919136,2.963209329762422,3.0045089196056796,3.0458085094489653,3.087108099292237,3.1284076891355226,3.1697072789787804,3.211006868822066,3.2523064586653385,3.2936060485086096,3.3349056383518816,3.3762052281951678,3.4175048180384398,3.458804407881698,3.5001039977249837,3.5414035875682557,3.582703177411527,3.6240027672547988,3.6653023570980845,3.7066019469413565,3.747901536784628,3.7892011266278995,3.830500716471185,3.871800306314443,3.9130998961577284,3.9543994860010003,3.9956990758442856,4.036998665687543,4.078298255530815
PD22,baseline,ethiopia,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,647.9994,288.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0325524407216908,1.065104881443382,1.0976573221650727,1.1302097628867636,1.1627622036084546,1.1889583473638035,1.2151544911191536,1.2413506348745025,1.2675467786298527,1.2937429223852017,1.3265575755023888,1.359372228619576,1.392186881736759,1.425001534853952,1.4578161879711449,1.4904974936833397,1.5231787993955346,1.5558601051077292,1.5885414108199243,1.621222716532119,1.65332637167239,1.6854300268126476,1.717533681952905,1.7496373370931761,1.7817409922334335,1.8322365167797199,1.882732041326006,1.9332275658722924,1.9837230904185785,2.034218614964865,2.0546183532103868,2.0959179430536587,2.1372175328969445,2.1785171227402023,2.219816712583488,2.261116302426759,2.302415892270031,2.343715482113303,2.3850150719565884,2.4263146617998603,2.4676142516431185,2.508913841486404,2.550213431329676,2.5915130211729474,2.632812611016219,2.6741122008595046,2.715411790702763,2.7567113805460486,2.7980109703893206,2.8393105602326063,2.8806101500758645,2.921909739919136,2.963209329762422,3.0045089196056796,3.0458085094489653,3.087108099292237,3.1284076891355226,3.1697072789787804,3.211006868822066,3.2523064586653385,3.2936060485086096,3.3349056383518816,3.3762052281951678,3.4175048180384398,3.458804407881698,3.5001039977249837,3.5414035875682557,3.582703177411527,3.6240027672547988,3.6653023570980845,3.7066019469413565,3.747901536784628,3.7892011266278995,3.830500716471185,3.871800306314443,3.9130998961577284,3.9543994860010003,3.9956990758442856,4.036998665687543,4.078298255530815
PD22,baseline,ethiopia,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,17751.600000000002,22543.2,26596.8,30016.8,32446.8,34826.4,42310.8,45651.6,49158.0,52141.674600000006,53461.4076,55201.70690179715,56942.00620359431,58682.30550539146,60422.6048071886,62162.904108985764,63563.386827838665,64963.86954669164,66364.35226554454,67764.83498439752,69165.31770325043,70919.63524880099,72673.95279435154,74428.27033990188,76182.58788545274,77936.9054310036,79684.09403658345,81431.2826421633,83178.47124774315,84925.65985332301,86672.84845890287,88389.15505180674,90105.46164470988,91821.76823761301,93538.07483051688,95254.38142342003,97953.94324316485,100653.50506290965,103353.06688265447,106052.62870239928,108752.1905221441,109842.78924342124,112050.72344974523,114258.65765606995,116466.59186239318,118674.52606871791,120882.46027504186,123090.39448136585,125298.32868768983,127506.26289401454,129714.19710033853,131922.1313066618,134130.0655129865,136337.9997193105,138545.93392563445,140753.8681319584,142961.80233828313,145169.73654460636,147377.67075093108,149585.60495725507,151793.5391635798,154001.47336990302,156209.40757622698,158417.3417825517,160625.27598887493,162833.21019519967,165041.14440152363,167249.07860784835,169457.01281417158,171664.9470204963,173872.8812268203,176080.81543314425,178288.74963946824,180496.68384579298,182704.61805211694,184912.55225844018,187120.4864647649,189328.42067108888,191536.35487741284,193744.2890837368,195952.22329006152,198160.1574963855,200368.09170270947,202576.02590903343,204783.96011535815,206991.89432168138,209199.8285280061,211407.76273433008,213615.6969406548,215823.631146978,218031.565353302
PD22,baseline,ethiopia,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,17751.6008,22543.2008,26596.8019,30016.8021,32446.7998,34826.4011,42310.8002,45651.5986,49158.0017,52141.6745,53461.4083,55201.70762458386,56942.00694916773,58682.30627375159,60422.60559833544,62162.904922919304,63563.3876601095,64963.870397299776,66364.35313448997,67764.83587168023,69165.31860887044,70919.63617739125,72673.95374591206,74428.27131443266,76182.58888295377,77936.90645147489,79684.09507993166,81431.28370838844,83178.4723368452,84925.66096530197,86672.84959375873,88389.15620913517,90105.46282451086,91821.76943988656,93538.07605526298,95254.38267063868,97953.94452573036,100653.50638082203,103353.06823591371,106052.63009100538,108752.19194609707,109842.79068165403,112050.72491688773,114258.65915212216,116466.5933873551,118674.52762258954,120882.46185782319,123090.3960930569,125298.3303282906,127506.26456352501,129714.19879875872,131922.13303399167,134130.0672692261,136338.0015044598,138545.93573969346,140753.86997492713,142961.80421016156,145169.7384453945,147377.67268062892,149585.60691586262,151793.54115109704,154001.47538632998,156209.40962156365,158417.3438567981,160625.27809203105,162833.2123272655,165041.14656249917,167249.0807977336,169457.01503296653,171664.949268201,173872.88350343468,176080.81773866835,178288.75197390205,180496.6862091365,182704.6204443702,184912.55467960314,187120.48891483757,189328.42315007126,191536.35738530496,193744.29162053863,195952.22585577305,198160.16009100675,200368.09432624042,202576.0285614741,204783.9627967085,206991.89703194148,209199.8312671759,211407.7655024096,213615.69973764403,215823.63397287694,218031.56820811064
PD22,baseline,ethiopia,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
