model,scenario,region,variable,gas,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,world,Concentration,CO2,PPM,353.98583333333335,355.3866666666667,356.17,356.83916666666664,358.7075,360.7241666666667,362.50666666666666,363.64166666666665,366.5183333333334,368.21,369.38166666666666,370.9308333333333,373.0158333333333,375.5675,377.3041666666666,379.5591666666666,381.76666666666665,383.5566666666667,385.4166666666667,387.33833333333337,389.9091666666666,391.6891666666666,393.94416666666666,396.645,398.6991666666667,400.8616666666667,404.2066666666667,406.51,408.5225,411.4191666666666,413.9433333333333,416.1075,417.5675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,world,Concentration,CH4,PPM,1714.5166666666669,1725.0666666666666,1735.5,1736.5666666666666,1742.125,1748.8333333333333,1751.4916666666668,1754.6333333333332,1765.6666666666667,1772.4416666666666,1773.35,1771.275,1772.7416666666668,1777.325,1777.0083333333332,1774.1666666666667,1775.0083333333332,1781.4583333333333,1787.0916666666665,1793.5666666666666,1798.9416666666666,1803.175,1808.1,1813.4583333333333,1822.7416666666668,1834.35,1843.225,1849.725,1857.425,1866.675,1879.2833333333333,1895.7916666666667,1908.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,world,Concentration,N2O,PPM,308.78,309.57,310.0,310.25,310.98,311.78,312.81,313.53,314.2,315.15,316.14,316.3666666666667,316.93333333333334,317.625,318.2583333333333,318.93333333333334,319.8333333333333,320.46666666666664,321.51666666666665,322.26666666666665,323.19166666666666,324.225,325.06666666666666,325.95,327.09166666666664,328.175,328.9583333333333,329.75,330.925,331.875,333.03333333333336,334.325,335.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,pathway,world,Concentration,CO2,PPM,353.98583333333335,355.3866666666667,356.17,356.83916666666664,358.7075,360.7241666666667,362.50666666666666,363.64166666666665,366.5183333333334,368.21,369.38166666666666,370.9308333333333,373.0158333333333,375.5675,377.3041666666666,379.5591666666666,381.76666666666665,383.5566666666667,385.4166666666667,387.33833333333337,389.9091666666666,391.6891666666666,393.94416666666666,396.645,398.6991666666667,400.8616666666667,404.2066666666667,406.51,408.5225,411.4191666666666,413.9433333333333,416.1075,417.5675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,pathway,world,Concentration,CH4,PPM,1714.5166666666669,1725.0666666666666,1735.5,1736.5666666666666,1742.125,1748.8333333333333,1751.4916666666668,1754.6333333333332,1765.6666666666667,1772.4416666666666,1773.35,1771.275,1772.7416666666668,1777.325,1777.0083333333332,1774.1666666666667,1775.0083333333332,1781.4583333333333,1787.0916666666665,1793.5666666666666,1798.9416666666666,1803.175,1808.1,1813.4583333333333,1822.7416666666668,1834.35,1843.225,1849.725,1857.425,1866.675,1879.2833333333333,1895.7916666666667,1908.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,pathway,world,Concentration,N2O,PPM,308.78,309.57,310.0,310.25,310.98,311.78,312.81,313.53,314.2,315.15,316.14,316.3666666666667,316.93333333333334,317.625,318.2583333333333,318.93333333333334,319.8333333333333,320.46666666666664,321.51666666666665,322.26666666666665,323.19166666666666,324.225,325.06666666666666,325.95,327.09166666666664,328.175,328.9583333333333,329.75,330.925,331.875,333.03333333333336,334.325,335.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,pathway,world,CO2,CO2e,PPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.26793407608284,294.8447368171537,298.26871290518346,301.52820376531133,304.64966867341724,307.64810460025365,310.53089833444614,313.2988811524819,315.9487428236938,318.4652197066348,320.82657706840615,323.00367999257134,324.9615944914684,326.6660500429874,328.08685402546496,329.19452399833585,329.9697345283944,330.4214697777897,330.62029219941934,330.62949730094596,330.50417987116214,330.25919846814804,329.9550341084556,329.6331451230676,329.29436556271366,328.9436892594733,328.5822113917784,328.21210563330345,327.83499203081556,327.453117200083,327.06851602196247,326.6835499406203,326.2995150917042,325.9176106859541,325.5387625378911,325.1638560138656,324.7935985498275,324.42852884184407,324.0692618129475,323.7163155857261,323.3701917107937,323.03137833149015,322.7003251363659,322.3774441847248,322.0631052956795,321.75761710366817,321.4612420520778,321.17874385112106,320.90421689566546,320.6383900750405,320.38164722986886,320.13420775108636,319.89618914922374,319.6676474168253,319.4486016326612,319.2390580688469,319.03897648123734,318.8482997337061,318.6669514346069,318.4948407742819,318.3318999054699,318.17805336969906,318.0331711049732,317.89711937268663,317.76973436198796,317.6509777470065,317.5407344250507,317.4387615891594,317.34481669429965,317.25864074651497,317.1799601268011,317.1085547391319,317.0441386247392,316.9864395704448,316.9351761592418,316.89008217779195,316.85083895471774,316.8172768684021
PD22,pathway,world,CO2,CO2e,PPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.2615398779186,294.829437348224,298.2400865010713,301.481813002942,304.58127559140155,307.5537878378939,310.4071300974774,313.1425690744669,315.7572516151692,318.23642332423475,320.55892535422333,322.6962822607852,324.61431840683537,326.2795971900857,327.6627957434972,328.7353291116216,329.47873063460855,329.90262415001484,330.07764923264074,330.06684496570847,329.9249718674564,329.66673304430304,329.35222210348286,329.022347260353,328.67764723261223,328.32293620911526,327.959119609685,327.5881649510976,327.2114788080146,326.83109781385315,326.4488591222867,326.06694181602,325.6864830376858,325.30854552392634,324.9339370109466,324.5634402994828,324.19767428635396,323.8371024435562,323.4822750583152,323.13365510725146,322.7916976718847,322.4568519039466,322.1295352374642,321.8101335501006,321.4989958832763,321.1964150033702,320.90264181317,320.62240145919094,320.34980211183506,320.0855944639468,319.83016203436716,319.5837232270824,319.34639790091603,319.1182474651695,318.89929852111584,318.6895661207931,318.48901978424874,318.2976128467115,318.115279829037,317.9419411186606,317.7775399851497,317.6220119492844,317.4752381756586,317.3370962563822,317.20743371232686,317.08622253907436,316.9733575172529,316.86860653936253,316.77173808718965,316.6825039852224,316.6006411888481,316.5259394905927,316.4581226382475,316.39692799206364,316.3420834240993,316.2933316210943,316.25036278702544,316.21301509682274
PD22,pathway,world,CO2,CO2e,PPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.263190301337,294.8320502428942,298.2429678287448,301.48382486625917,304.5809757566172,307.54955112672974,310.3972461347713,313.12531569325307,315.7309482542409,318.1994789443093,320.50988341143426,322.6338677912968,324.5374908128578,326.18760006268496,327.5551995978773,328.6120766367774,329.34016248781063,329.7494389680284,329.91072322889875,329.88712232835695,329.73343426942154,329.46446548073266,329.1402851660541,328.8016788699995,328.4491592482261,328.0875446985703,327.7177190750636,327.341602645253,326.96053660552474,326.57648180934996,326.191195905066,325.8067780823122,325.4242913164608,325.0447306774193,324.66884168671015,324.2973498222971,323.930821652481,323.5696736718131,323.2144135573203,322.8654659600585,322.52325186505607,322.1881901909251,321.8606718467657,321.5410597141708,321.2296831399612,320.9268183302709,320.63270250293226,320.352031037492,320.0789155556123,319.814113808009,319.55800333415755,319.31079703979515,319.0726119044235,318.8435087125069,318.6235150289017,318.41264791912295,318.21087978799176,318.01816753690844,317.83444975069165,317.65965126264075,317.49371992743795,317.3365959405693,317.1881654299242,317.0483111160676,316.91688573190856,316.7938659676483,316.67915112932485,316.57251414358035,316.47372869949845,316.38255169206747,316.29872499189054,316.22204289727625,316.15223354654086,316.089038578203,316.0321899419013,315.9814341431431,315.9364651478154,315.8971242501499
PD22,baseline,world,CO2,CO2e,PPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.111622818783,296.04575306087946,299.8789268782302,303.5990584514917,307.24034372841487,310.8254917278424,314.3714634443274,317.8914001437382,321.41133231759454,324.9368936821896,328.47355517942805,332.0261156127449,335.5986105842351,339.1988162754549,342.82878118718895,346.4904186868331,350.18603480029054,353.91721684208187,357.68840673081394,361.50012904723246,365.35408275027885,369.2512205185292,373.1920014369208,377.17282979489715,381.19469046000665,385.2582137920713,389.36381903578433,393.51182302704126,397.70580438619675,401.94090779501744,406.2175098994374,410.535782768204,414.8957700571658,419.297427589343,423.74064548652694,428.2252505051935,432.751018726355,437.3176804728612,441.92492536123063,446.57239740741454,451.2597066489252,455.98646152897516,460.75221997482845,465.55647738952104,470.39869730298324,475.27832884014157,480.1947847913825,485.14747103465027,490.1357501094976,495.158944295489,500.21635204934864,505.3072310696059,510.4308072614645,515.5862808303245,520.7728269421922,525.9895886782915,531.2356828986701,536.5102007208959,541.8122083093759,547.140746700983,552.4948460718531,557.8735101304712,563.2757122509059,568.7003994700074,574.1464981917668,579.6129117197028,585.0985233075414,590.6021961223998,596.1227746346468,601.6590842738299,607.2102265082926,612.7750309349016,618.3522585274155,623.9406583353797,629.5389648282102,635.1458984990384,640.7601724431913,646.3804822284741
PD22,baseline,world,CO2,CO2e,PPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.10444190250615,296.028387660072,299.8460774564991,303.54521706664934,307.1600114301139,310.7132853145612,314.22217402139665,317.70000146735833,321.17289378013186,324.64657033734665,328.1265764881027,331.6177489972046,335.1241324838928,338.6534636135734,342.20774534956644,345.78884732804966,349.3990187728866,353.0397834990184,356.7154943426354,360.42659294931093,364.1747007522325,367.9606920992377,371.78495394114304,375.64385750971576,379.53835187814195,383.4690132273894,387.4362080528847,391.4402054956495,395.48451158857904,399.5642464550331,403.6797867324929,407.83128600326285,412.01876726557055,416.2421689328158,420.5013681281025,424.79618371028556,429.12638865994325,433.4917148618719,437.8918579768714,442.3264728564741,446.79518448561237,451.2976203430272,455.8333614595999,460.4019305091831,465.00282296857694,469.6355236961428,474.2994853495402,478.99415750886055,483.7189496503975,488.4732353435944,493.25636766468733,498.0676628853704,502.9064088725571,507.77187201965035,512.6632964057261,517.5798975387219,522.5208681474244,527.4853779760398,532.4725751713689,537.481585381556,542.5115260941006,547.561490407617,552.6305444076156,557.717729976836,562.8220705634004,567.9425685443697,573.0782085889629,578.2279571765168,583.390763689622,588.5655607855922,593.751556382012,598.9476864371699,604.1528211897075,609.3658193874535,614.5855276282823,619.8107792747286,625.0404022590201,630.2732071183823
PD22,baseline,world,CO2,CO2e,PPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.10629716890355,296.03136258823605,299.8494114066436,303.54761557763135,307.1597834664565,310.7084626781068,314.21060531132395,317.6794172542527,321.1409346558837,324.6008142482881,328.0645542080225,331.5369457008255,335.02198651697546,338.527357594562,342.0550089839855,345.60676137591923,349.1848133946303,352.790638795757,356.4285340541972,360.09889027322436,363.8032824620176,367.54254052388876,371.31701134284276,375.1230431737964,378.96156078952407,382.8331100770448,386.7380303415962,390.67656794742084,394.6521969741847,398.66003014392726,402.7004466226881,406.7735936962889,410.8794883567066,415.0180656284176,419.18920267577437,423.3927213956995,427.628400562092,431.8959804980609,436.1951679122834,440.52563096546754,444.8870103383456,449.27895102511144,453.70105386325787,458.1528633286872,462.6338989105948,467.1436715649228,471.68166185779853,476.2473489106658,480.84017355269634,485.459542648928,490.10484419855754,494.77543113217996,499.47062985244133,504.18974655422073,508.93206691117086,513.6968495335989,518.4833314390927,523.2907285586299,528.118236125331,532.9650285271794,537.8302728397936,542.7131131769537,547.612667411003,552.5280308474164,557.4582804897043,562.4024743656571,567.3596530400757,572.3288401150414,577.309042637929,582.299251856256,587.2987337611147,592.3064824324401,597.3214275824646,602.3424882101688,607.3685716794635,612.3985729893855,617.4313819152565,622.4658714523425
