Gas,Source,Time Horizon (years),Value,,,,,,,,,,,,
HCFC-141b,SAR,100,600,,,,,,,,,,,,
HCFC-141b,AR4,100,725,,,,,,,,,,,,
HCFC-141b,AR5,100,782,,,,,,,,,,,,
HCFC-142b,SAR,100,1800,,,,,,,,,,,,
HCFC-142b,AR4,100,2310,,,,,,,,,,,,
HCFC-142b,AR5,100,1980,,,,,,,,,,,,
HCFC-225ca,SAR,100,,,,,,,,,,,,,
HCFC-225ca,AR4,100,122,,,,,,,,,,,,
HCFC-225ca,AR5,100,127,,,,,,,,,,,,
HCFC-225cb,SAR,100,,,,,,,,,,,,,
HCFC-225cb,AR4,100,595,,,,,,,,,,,,
HCFC-225cb,AR5,100,525,,,,,,,,,,,,
HFC-23,SAR,100,11700,,,,,,,,,,,,
HFC-23,AR4,100,14800,,,,,,,,,,,,
HFC-23,AR5,100,12400,,,,,,,,,,,,
HFC-32,SAR,100,650,,,,,,,,,,,,
HFC-32,AR4,100,675,,,,,,,,,,,,
HFC-32,AR5,100,677,,,,,,,,,,,,
HFC-41,SAR,100,150,,,,,,,,,,,,
HFC-41,AR4,100,,,,,,,,,,,,,
HFC-41,AR5,100,116,,,,,,,,,,,,
HFC-125,SAR,100,2800,,,,,,,,,,,,
HFC-125,AR4,100,3500,,,,,,,,,,,,
HFC-125,AR5,100,3170,,,,,,,,,,,,
HFC-134,SAR,100,1000,,,,,,,,,,,,
HFC-134,AR4,100,,,,,,,,,,,,,
HFC-134,AR5,100,1120,,,,,,,,,,,,
HFC-134a,SAR,100,1300,,,,,,,,,,,,
HFC-134a,AR4,100,1430,,,,,,,,,,,,
HFC-134a,AR5,100,1300,,,,,,,,,,,,
HFC143,SAR,100,300,,,,,,,,,,,,
HFC143,AR4,100,,,,,,,,,,,,,
HFC143,AR5,100,328,,,,,,,,,,,,
HFC-143a,SAR,100,3800,,,,,,,,,,,,
HFC-143a,AR4,100,4470,,,,,,,,,,,,
HFC-143a,AR5,100,4800,,,,,,,,,,,,
HFC-152,SAR,100,,,,,,,,,,,,,
HFC-152,AR4,100,,,,,,,,,,,,,
HFC-152,AR5,100,16,,,,,,,,,,,,
HFC-152a,SAR,100,140,,,,,,,,,,,,
HFC-152a,AR4,100,124,,,,,,,,,,,,
HFC-152a,AR5,100,138,,,,,,,,,,,,
HFC-161,SAR,100,,,,,,,,,,,,,
HFC-161,AR4,100,,,,,,,,,,,,,
HFC-161,AR5,100,4,,,,,,,,,,,,
HFC-227ea,SAR,100,2900,,,,,,,,,,,,
HFC-227ea,AR4,100,3220,,,,,,,,,,,,
HFC-227ea,AR5,100,3350,,,,,,,,,,,,
HFC-236cb,SAR,100,,,,,,,,,,,,,
HFC-236cb,AR4,100,,,,,,,,,,,,,
HFC-236cb,AR5,100,1210,,,,,,,,,,,,
HFC-236ea,SAR,100,,,,,,,,,,,,,
HFC-236ea,AR4,100,,,,,,,,,,,,,
HFC-236ea,AR5,100,"1,330",,,,,,,,,,,,
HFC-236fa,SAR,100,6300,,,,,,,,,,,,
HFC-236fa,AR4,100,9810,,,,,,,,,,,,
HFC-236fa,AR5,100,8060,,,,,,,,,,,,
HFC-245ca,SAR,100,560,,,,,,,,,,,,
HFC-245ca,AR4,100,,,,,,,,,,,,,
HFC-245ca,AR5,100,716,,,,,,,,,,,,
HFC-245fa,SAR,100,,,,,,,,,,,,,
HFC-245fa,AR4,100,1030,,,,,,,,,,,,
HFC-245fa,AR5,100,858,,,,,,,,,,,,
HFC-365mfc,SAR,100,,,,,,,,,,,,,
HFC-365mfc,AR4,100,794,,,,,,,,,,,,
HFC-365mfc,AR5,100,804,,,,,,,,,,,,
HFC-43-10mee,SAR,100,1300,,,,,,,,,,,,
HFC-43-10mee,AR4,100,1640,,,,,,,,,,,,
HFC-43-10mee,AR5,100,1650,,,,,,,,,,,,
SF6,SAR,100,23900,,,,,,,,,,,,
SF6,AR4,100,22800,,,,,,,,,,,,
SF6,AR5,100,23500,,,,,,,,,,,,
NF3,SAR,100,,,,,,,,,,,,,
NF3,AR4,100,17200,,,,,,,,,,,,
NF3,AR5,100,16100,,,,,,,,,,,,
PFC-14,SAR,100,6500,,,,,,,,,,,,
PFC-14,AR4,100,7390,,,,,,,,,,,,
PFC-14,AR5,100,6630,,,,,,,,,,,,
PFC-116,SAR,100,9200,,,,,,,,,,,,
PFC-116,AR4,100,12200,,,,,,,,,,,,
PFC-116,AR5,100,11100,,,,,,,,,,,,
PFC-218,SAR,100,7000,,,,,,,,,,,,
PFC-218,AR4,100,8830,,,,,,,,,,,,
PFC-218,AR5,100,8900,,,,,,,,,,,,
PFC-318,SAR,100,8700,,,,,,,,,,,,
PFC-318,AR4,100,10300,,,,,,,,,,,,
PFC-318,AR5,100,9540,,,,,,,,,,,,
PFC-31-10,SAR,100,7000,,,,,,,,,,,,
PFC-31-10,AR4,100,8860,,,,,,,,,,,,
PFC-31-10,AR5,100,9200,,,,,,,,,,,,
PFC-41-12,SAR,100,7500,,,,,,,,,,,,
PFC-41-12,AR4,100,9160,,,,,,,,,,,,
PFC-41-12,AR5,100,8550,,,,,,,,,,,,
PFC-51-14,SAR,100,7400,,,,,,,,,,,,
PFC-51-14,AR4,100,9300,,,,,,,,,,,,
PFC-51-14,AR5,100,7910,,,,,,,,,,,,
PFC-91-18,SAR,100,,,,,,,,,,,,,
PFC-91-18,AR4,100,7500,,,,,,,,,,,,
PFC-91-18,AR5,100,7190,,,,,,,,,,,,
Trifluoromethyl sulfur pentafluoride,SAR,100,,,,,,,,,,,,,
Trifluoromethyl sulfur pentafluoride,AR4,100,17700,,,,,,,,,,,,
Trifluoromethyl sulfur pentafluoride,AR5,100,17400,,,,,,,,,,,,
Perfluorocyclopropane,SAR,100,,,,,,,,,,,,,
Perfluorocyclopropane,AR4,100,,,,,,,,,,,,,
Perfluorocyclopropane,AR5,100,9200,,,,,,,,,,,,
HFE-125,SAR,100,,,,,,,,,,,,,
HFE-125,AR4,100,14900,,,,,,,,,,,,
HFE-125,AR5,100,12400,,,,,,,,,,,,
HFE-134,SAR,100,,,,,,,,,,,,,
HFE-134,AR4,100,6320,,,,,,,,,,,,
HFE-134,AR5,100,5560,,,,,,,,,,,,
HFE-143a,SAR,100,,,,,,,,,,,,,
HFE-143a,AR4,100,756,,,,,,,,,,,,
HFE-143a,AR5,100,523,,,,,,,,,,,,
HCFE-235da2,SAR,100,,,,,,,,,,,,,
HCFE-235da2,AR4,100,350,,,,,,,,,,,,
HCFE-235da2,AR5,100,491,,,,,,,,,,,,
HFE-245cb2,SAR,100,,,,,,,,,,,,,
HFE-245cb2,AR4,100,708,,,,,,,,,,,,
HFE-245cb2,AR5,100,654,,,,,,,,,,,,
HFE-245fa2,SAR,100,,,,,,,,,,,,,
HFE-245fa2,AR4,100,659,,,,,,,,,,,,
HFE-245fa2,AR5,100,812,,,,,,,,,,,,
HFE-347mcc3,SAR,100,,,,,,,,,,,,,
HFE-347mcc3,AR4,100,575,,,,,,,,,,,,
HFE-347mcc3,AR5,100,530,,,,,,,,,,,,
HFE-347pcf2,SAR,100,,,,,,,,,,,,,
HFE-347pcf2,AR4,100,580,,,,,,,,,,,,
HFE-347pcf2,AR5,100,889,,,,,,,,,,,,
