Scenario,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
DAU21+eCDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V5,0,0.023496792586765,0.054960615593229,0.094833010466343,0.142152692006559,0.194120592579556,0.246862232554086,0.295725932285972,0.336887605532123,0.366163699492365,0.382265847491297,0.385726035040191,0.382480401159948,0.378061215337343,0.372169716511352,0.36474712136236,0.356064769607745,0.345642634953835,0.334357438878688,0.322645738376871,0.310486390850019,0.297982073983823,0.285063117990709,0.271863110582661,0.258268147797273,0.244453622283168,0.230347071233022,0.216146076622787,0.201889884435757,0.187547798016773,0.173165157298849,0.158761221253508,0.144435722482981,0.130230516555064,0.116077433725889,0.101954734791251,0.087961704743131,0.074066248243069,0.060281910375384,0.046656766356135,0.033360803710563,0.020248810862957,0.007275902268129,-0.005197600355249,-0.0173087282723,-0.028945320413594,-0.040525956979882,-0.051775264221527,-0.062940435591257,-0.073585859810473,-0.083947217047557,-0.094214839132791,-0.104176781924882,-0.113792326603861,-0.123462760749375,-0.13316518359197,-0.142723984271345,-0.152073273719907,-0.161471114030319,-0.171009043773504,-0.180626810294591,-0.190366051472662,-0.200193520364183,-0.210026520268863,-0.219785357386333,-0.229523572617401,-0.239217480845798,-0.248899228540386,-0.258553479038074,-0.268131072300925,-0.277595308700288,-0.286895923006403,-0.295949990145654,-0.30475208342949,-0.313237407131175,-0.321380332338494,-0.329133326073603,-0.336449947204523,-0.34329147894612,-0.349626716854948,-0.355429448200449
V6,0,0.023003147565698,0.046681370533043,0.070493178940221,0.09431164332654,0.118601535618996,0.14249609189611,0.165007940866112,0.184288596239474,0.198719043658837,0.208978423237834,0.215113641614011,0.21392140589316,0.207983713065886,0.202155620732723,0.196392353899638,0.190571819251156,0.184700874767212,0.17838842994553,0.172030254235617,0.165199371352497,0.158171602710872,0.151009780145161,0.143648914434996,0.136158264598456,0.128575121443687,0.120788460523961,0.112947184058664,0.104964826150056,0.09700556600088,0.089045413787782,0.080810667586565,0.072566013171641,0.064372546666372,0.05624913334817,0.048209282617556,0.040263303278572,0.032423053705457,0.024701222344509,0.017626426962083,0.010740246852191,0.00399754052287,-0.002601947842085,-0.008924052566714,-0.015053501329062,-0.02097854983951,-0.02666144578512,-0.032119837689189,-0.037364415418399,-0.042292350089346,-0.046955515337833,-0.051400163823776,-0.055657081615901,-0.059678266499651,-0.063463123182342,-0.066854457077396,-0.070035971464464,-0.072690666206,-0.075099240513091,-0.077330911573162,-0.079313015939757,-0.081095018780375,-0.082695474041386,-0.083972174250399,-0.085113909207866,-0.086024312796175,-0.086813519744555,-0.087484635741321,-0.087767872482237,-0.087923238371289,-0.087967932436464,-0.087964348800079,-0.087913488200987,-0.087825618433006,-0.08757617255044,-0.087307892090285,-0.087026463281916,-0.08674062313674,-0.086458588713863,-0.086186754727015,-0.085932562438075
PL,0.016925931321566,0.020858873494199,0.024431316116462,0.027673074661977,0.030568494627312,0.033099526072907,0.035250873044309,0.042751356019025,0.049862489321624,0.05656886049067,0.063030027872841,0.069077006620415,0.074738695912865,0.080071942969992,0.085179070709542,0.090025428855756,0.094526141605497,0.098660934634812,0.102459464100065,0.106143717583393,0.109542746125705,0.112701001077235,0.115711675345014,0.118558523633251,0.121232012966308,0.123811461746045,0.124644011349445,0.12551179385913,0.126459029884922,0.127514293791218,0.128706145286286,0.130067162648984,0.127508940110774,0.125304863507409,0.123399362520774,0.121794281099269,0.120590829572827,0.119774077437369,0.111774101368517,0.104764409742151,0.098448549330993,0.092628452517813,0.087254996426629,0.082825710213208,0.074137788495019,0.066291966522843,0.058913185779269,0.052264637747811,0.046101675928889,0.040958939466746,0.033193813219757,0.025922136569143,0.019328612172068,0.013508363418983,0.008062865115921,0.003177334495167,-0.003524848604437,-0.009294531598402,-0.014670241278028,-0.019819631443333,-0.024614403193268,-0.029153221124409,-0.030662634965702,-0.031710572863304,-0.032420077383021,-0.032765236212583,-0.032851797808928,-0.032740094805438,-0.031266337811894,-0.029571441070797,-0.027700420506567,-0.02563973148478,-0.023335812822382,-0.020822445173982,-0.017939750503876,-0.01483399427418,-0.011492625736601,-0.007906986035934,-0.004075124657132,0,0.004310230892169
DAU21+NCSmax,0,0.046499940152463,0.101641986126272,0.165326189406564,0.236464335333098,0.312722128198552,0.389358324450196,0.460733873152084,0.521176201771597,0.564882743151202,0.591244270729131,0.600839676654203,0.596401807053107,0.586044928403229,0.574325337244075,0.561139475261998,0.546636588858901,0.530343509721047,0.512745868824218,0.494675992612488,0.475685762202516,0.456153676694695,0.436072898135871,0.415512025017657,0.394426412395729,0.373028743726855,0.351135531756983,0.329093260681451,0.306854710585814,0.284553364017653,0.262210571086631,0.239571888840074,0.217001735654622,0.194603063221436,0.172326567074059,0.150164017408808,0.128225008021702,0.106489301948526,0.084983132719893,0.064283193318218,0.044101050562754,0.024246351385827,0.004673954426045,-0.014121652921963,-0.032362229601362,-0.049923870253104,-0.067187402765002,-0.083895101910716,-0.100304851009656,-0.115878209899819,-0.13090273238539,-0.145615002956567,-0.159833863540783,-0.173470593103512,-0.186925883931717,-0.200019640669366,-0.212759955735809,-0.224763939925907,-0.236570354543411,-0.248339955346665,-0.259939826234348,-0.271461070253037,-0.282888994405568,-0.293998694519263,-0.3048992665942,-0.315547885413575,-0.326031000590353,-0.336383864281707,-0.346321351520311,-0.356054310672214,-0.365563241136752,-0.374860271806482,-0.383863478346641,-0.392577701862496,-0.400813579681615,-0.408688224428779,-0.416159789355519,-0.423190570341263,-0.429750067659983,-0.435813471581964,-0.441362010638524
