Scenario,Region,Sector,Subsector,Product_category,Product_long,Product,Flow_category,Flow_long,Flow,Hydrogen,Flexible,Non-Energy Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
pathway,australi,Industrial,High Temperature,Electricity and Heat,Heat,HEAT,Heat output,Heat output-autoproducer CHP plants,HEAUTOC,N,N,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,australi,Industrial,High Temperature,Electricity and Heat,Heat,HEAT,Heat output,Heat output-autoproducer heat plants,HEAUTOH,N,N,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,australi,Industrial,High Temperature,Electricity and Heat,Heat,HEAT,Heat output,Heat output-main activity producer CHP plants,HEMAINC,N,N,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,australi,Industrial,High Temperature,Electricity and Heat,Heat,HEAT,Heat output,Heat output-main activity producer heat plants,HEMAINH,N,N,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,australi,Industrial,Low Temperature,Electricity and Heat,Heat,HEAT,Heat output,Heat output-autoproducer CHP plants,HEAUTOC,N,N,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,australi,Industrial,Low Temperature,Electricity and Heat,Heat,HEAT,Heat output,Heat output-autoproducer heat plants,HEAUTOH,N,N,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,australi,Industrial,Low Temperature,Electricity and Heat,Heat,HEAT,Heat output,Heat output-main activity producer CHP plants,HEMAINC,N,N,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,australi,Industrial,Low Temperature,Electricity and Heat,Heat,HEAT,Heat output,Heat output-main activity producer heat plants,HEMAINH,N,N,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,austria,Industrial,High Temperature,Electricity and Heat,Heat,HEAT,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,N,N,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,61.2,64.8,61.2,54.0,10.7604,62.146800000000006,63.064800000000005,65.00160000000001,60.372,64.5588,41.3424,41.3424,50.4,48.2436,53.5572,55.7028,45.018,47.3292,45.972,46.82743352471629,46.518072774892346,46.08581400956078,45.51689617505374,44.79779549753521,43.91589423842954,42.86030443964954,41.62282096241928,40.19894895245902,38.588918227577125,36.79856705136159,34.83995892503648,32.7315978135626,30.498136778140783,28.169533529092725,25.77968650440796,23.364670726416616,20.960763190302306,18.602484197920734,16.3208740223376,14.142176291606589,12.08702453845391,10.17014628344372,8.400528402491389,6.781940426210021,5.313692407435369,3.9915075139694167,2.8084089784507924,1.7555481037376737,0.8229277839413598,0.0
pathway,austria,Industrial,High Temperature,Electricity and Heat,Heat,HEAT,Heat output,Heat output-autoproducer heat plants,HEAUTOH,N,N,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,75.0,86.0,86.0,79.0,16.3015,78.8305,77.3995,78.115,72.552,77.581,49.681,49.7305,49.739,47.6095,52.8565,54.9735,44.428,46.709,45.3675,46.21168516559136,45.90639229563492,45.47981743406308,44.9183804755449,44.20873547451554,43.33843060693361,42.29672108382929,41.07550965832584,39.67036058036814,38.08150064581929,36.31469134913961,34.381837564856696,32.30119994359176,30.097107375844026,27.79912364876694,25.44070145933889,23.057441468300382,20.68514365344208,18.357874398528857,16.106265818506927,13.956216455874475,11.92808852667509,10.036415894764914,8.29006726485747,6.692762600845796,5.243821027893581,3.93902195118784,2.771480343031982,1.7324638605307356,0.8121068528225734,0.0
