Region,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAPAC ,Buildings,CO2,116.05000000000003,115.74000000000001,106.94000000000001,102.24,97.25000000000001,95.84000000000002,95.61000000000001,92.38000000000001,89.84,87.96000000000001,88.38000000000002,90.59,87.08,89.46000000000001,90.3,86.76,86.32000000000002,85.69,84.0,80.70000000000002,72.33000000000001,70.62,68.82,63.77999999999999,59.139999999999986,56.62999999999998,54.019999999999996,53.97,52.62
CHINA ,Buildings,CO2,542.13,533.08,525.09,510.54,487.0,476.57,457.22,440.72,416.4,391.66,383.25,398.28,384.12,365.46,352.57,308.48,283.61,277.73,274.12,305.36,298.69,352.62,313.8,365.7,341.37,370.43,360.03,383.27,384.68
INDIA ,Buildings,CO2,118.84,113.75,111.86,107.82,103.75,99.59,97.46,96.72,92.71,89.57,85.39,83.34,81.35,79.92,79.04,76.71,74.62,71.32,72.68,73.44,70.4,72.9,67.27,65.38,63.49,58.88,58.56,59.28,56.41
JPN ,Buildings,CO2,106.11,115.44,111.56,114.01,118.92,125.28,121.32,124.86,126.14,124.89,134.07,142.57,147.52,153.4,152.53,152.67,158.09,150.78,151.11,148.51,140.63,136.78,136.67,137.55,129.21,132.32,126.25,122.04,120.16
 OECD ,Buildings,CO2,1348.1599999999999,1323.87,1318.1100000000001,1323.79,1330.02,1405.9,1327.4600000000003,1374.2000000000003,1478.8799999999999,1449.5300000000002,1484.3799999999999,1424.33,1470.2200000000003,1541.92,1564.06,1580.2399999999998,1528.4799999999998,1539.2700000000004,1522.78,1503.83,1488.93,1556.58,1623.7399999999998,1519.5600000000004,1493.1600000000003,1544.8600000000001,1507.5100000000002,1527.3200000000002,1476.33
NonOECD ,Buildings,CO2,1472.5399999999997,1409.2300000000002,1356.6799999999998,1307.28,1273.7599999999998,1244.42,1209.8400000000001,1216.95,1163.88,1142.71,1157.5,1151.8000000000002,1106.89,1063.8200000000002,1045.05,982.6300000000001,950.2900000000002,941.92,931.48,954.02,909.5500000000001,978.6299999999999,934.93,973.0099999999999,929.71,958.6600000000001,936.73,1024.82,1046.8899999999999
World ,Electricity,CO2,30959.440000000002,30113.300000000003,29681.730000000003,29806.929999999997,30249.339999999997,30434.989999999998,29913.73,29303.59,28097.350000000002,26325.61,26710.95,26643.489999999998,25519.380000000005,24548.969999999998,23811.04,23049.499999999996,21827.71,21459.42,20946.58,20131.54,20027.17,19584.62,19061.43,18355.739999999998,17985.97,17788.589999999997,17695.44,17381.09,17113.140000000003
NAM ,Electricity,CO2,2505.87,2471.21,2554.92,2643.89,2784.29,2793.5699999999997,2782.96,2902.25,3012.7599999999998,2884.57,3118.9300000000003,3211.7,3124.21,3194.62,3118.6099999999997,3097.28,3048.02,3179.5800000000004,3158.8199999999997,3099.6,3134.51,3041.38,2779.95,2692.66,2633.12,2587.1,2530.2599999999998,2425.23,2392.09
US ,Electricity,CO2,2103.17,2064.52,2145.51,2234.02,2376.19,2378.54,2360.2,2488.67,2609.56,2489.11,2719.59,2789.49,2722.96,2791.21,2742.06,2707.69,2679.75,2812.78,2801.39,2769.65,2800.15,2738.66,2504.04,2423.43,2360.7,2335.52,2276.97,2179.91,2159.79
CSAM ,Electricity,CO2,346.15999999999997,362.92,385.2799999999999,412.5199999999999,407.3,383.89000000000004,359.06,325.5,326.91,312.84000000000003,313.38,288.78,280.64000000000004,271.41,264.53999999999996,247.65,238.51999999999998,238.07999999999998,233.36000000000004,226.35000000000008,217.89,200.85999999999999,183.83999999999997,170.89999999999998,159.89,157.48000000000002,157.19000000000003,149.16,151.08999999999997
BRAZIL ,Electricity,CO2,88.44,97.86,96.39,120.7,125.82,107.07,82.23,63.38,69.68,57.76,68.99,57.73,58.46,58.23,56.06,50.48,50.27,54.97,50.23,45.49,38.93,38.15,33.89,31.48,29.93,30.17,29.85,28.07,28.07
EUR ,Electricity,CO2,1603.96,1662.54,1677.3399999999997,1701.4099999999999,1718.71,1824.88,1926.41,1927.1499999999999,1934.75,1874.0799999999997,2035.5900000000001,2115.15,2081.59,2047.46,2034.4000000000003,2058.34,1978.1600000000003,1959.17,1934.0000000000002,1904.71,1949.28,1942.54,1988.3000000000002,1985.83,1988.3799999999997,2039.3200000000002,2134.7400000000002,2210.67,2267.04
AFRICA ,Electricity,CO2,582.3500000000001,576.3299999999999,567.1700000000001,566.5,572.8800000000001,544.71,541.6200000000001,512.3199999999999,519.6500000000001,466.19000000000005,498.78000000000003,460.37999999999994,446.0400000000001,439.40000000000003,437.91,404.65,387.20000000000005,375.26,328.87,318.92,324.59000000000003,310.61,294.23,286.35,275.32000000000005,269.31,256.59000000000003,251.20999999999998,246.02000000000004
SAFR ,Electricity,CO2,281.88,284.43,290.93,284.91,304.0,292.58,294.59,287.27,302.5,256.42,293.42,265.59,252.36,251.02,261.18,245.67,230.55,227.32,191.93,184.42,194.4,187.34,177.43,169.47,161.41,157.52,147.68,145.37,145.83
ME ,Electricity,CO2,803.0699999999998,815.94,815.12,814.6800000000001,799.0999999999999,760.0599999999998,736.42,689.4599999999999,667.89,631.36,597.76,539.44,531.4400000000002,503.71000000000004,471.40999999999997,440.10999999999996,417.61,398.65,371.99000000000007,353.62,339.29,350.3499999999999,316.43,304.95,295.09000000000003,269.69,227.46,193.31,202.44999999999996
RUS ,Electricity,CO2,844.67,835.58,840.13,879.86,907.38,969.39,1007.74,1015.17,956.01,891.48,961.59,965.64,994.76,947.84,943.17,956.82,933.94,929.27,930.29,917.49,907.32,910.52,982.04,957.9,1014.7,1101.71,1218.61,1261.62,1231.39
ASIAPAC ,Electricity,CO2,1067.92,983.1999999999999,969.8900000000001,925.2399999999999,888.0199999999999,849.03,833.5099999999999,825.98,800.95,774.75,781.47,746.73,710.1500000000001,688.6600000000001,657.23,622.0699999999999,613.6199999999999,582.44,554.36,539.5,528.95,498.90999999999997,465.7299999999999,436.15,405.55,390.38,371.81000000000006,358.74,332.31000000000006
CHINA ,Electricity,CO2,5214.2,4904.12,4637.77,4580.61,4636.87,4742.95,4450.73,4324.11,3831.98,3455.66,3208.47,3171.09,2898.66,2552.71,2376.12,2178.69,1840.48,1661.15,1575.21,1432.76,1409.58,1328.11,1330.33,1185.7,1082.83,997.65,877.75,794.33,725.36
INDIA ,Electricity,CO2,1241.34,1157.77,1097.81,1103.23,1123.44,1006.04,989.12,860.23,819.68,789.51,721.88,701.16,638.85,599.57,584.73,536.41,513.58,505.36,491.24,459.65,418.14,402.1,388.14,364.89,319.86,306.8,278.57,258.97,231.92
JPN ,Electricity,CO2,561.86,589.35,608.59,610.36,636.28,658.43,652.83,603.56,546.23,502.25,532.88,557.16,504.47,517.14,513.61,517.12,497.03,465.43,474.02,464.3,441.84,459.63,465.11,459.76,471.47,429.89,446.54,440.67,440.51
 OECD ,Electricity,CO2,4691.93,4751.29,4851.4400000000005,4966.02,5124.77,5251.01,5325.96,5381.32,5462.539999999999,5247.619999999999,5639.870000000001,5830.679999999999,5644.8099999999995,5694.27,5603.120000000001,5566.58,5453.23,5517.31,5473.73,5375.83,5400.07,5281.84,5044.76,4900.62,4831.96,4719.37,4741.959999999999,4659.200000000001,4612.97
NonOECD ,Electricity,CO2,10299.209999999997,9825.310000000001,9520.320000000002,9475.58,9543.88,9512.059999999998,9171.82,8814.08,8155.210000000002,7525.370000000001,7338.93,7124.999999999999,6769.830000000001,6246.7,5976.2,5662.87,5177.34,4923.24,4729.73,4472.39,4405.05,4291.69,4290.57,4097.259999999999,3996.6600000000008,4020.0100000000007,3964.8600000000006,3904.5699999999997,3833.21
World ,Forests & Wetlands,CH4,238.64,172.63,197.47,429.81999999999994,398.20000000000005,233.87,265.9,247.44,215.87999999999997,354.99,173.38,206.91,449.94,281.99,419.77,246.24999999999994,369.1700000000001,114.71000000000001,242.08999999999997,393.46,546.49,809.0500000000001,281.88,320.94999999999993,320.94999999999993,320.94999999999993,320.95,320.95,320.95
NAM ,Forests & Wetlands,CH4,3.1799999999999997,2.83,1.68,2.34,1.03,2.02,1.4000000000000001,1.87,1.0,1.35,1.81,1.35,1.44,1.58,1.03,2.5,1.51,0.6799999999999999,7.35,8.58,15.690000000000001,4.02,6.529999999999999,3.16,3.16,3.16,3.16,3.16,3.16
US ,Forests & Wetlands,CH4,1.18,1.28,0.69,1.1,0.64,0.62,0.56,0.64,0.44,0.53,0.99,0.75,0.52,0.45,0.58,0.59,0.71,0.26,2.17,2.11,1.82,0.91,1.93,0.93,0.93,0.93,0.93,0.93,0.93
CSAM ,Forests & Wetlands,CH4,3.6000000000000005,8.24,6.5,6.8,3.41,2.880000000000001,5.5600000000000005,4.57,17.97,2.8100000000000005,5.33,14.999999999999996,7.049999999999999,11.409999999999998,12.02,8.709999999999999,8.86,3.7800000000000002,10.78,33.29,34.92,23.22,19.369999999999997,11.16,11.16,11.16,11.16,11.16,11.16
BRAZIL ,Forests & Wetlands,CH4,1.74,5.85,3.83,4.6,2.35,1.05,3.62,1.8,8.16,1.07,2.56,8.2,3.13,6.85,5.4,4.76,5.31,2.1,2.18,14.76,19.32,10.91,8.93,5.55,5.55,5.55,5.55,5.55,5.55
EUR ,Forests & Wetlands,CH4,0.09,0.38,0.08999999999999998,0.17,0.18,0.06999999999999999,0.13,0.09,0.08,0.09000000000000001,0.02,0.09999999999999999,0.11000000000000001,0.16999999999999998,0.04,0.2,0.11000000000000001,0.03,0.47,0.3,0.5900000000000001,0.39000000000000007,0.33,0.19,0.19,0.19,0.19,0.16999999999999998,0.16999999999999998
AFRICA ,Forests & Wetlands,CH4,48.97,54.96,57.51000000000001,54.74000000000001,49.00000000000001,51.39,53.97,53.639999999999986,58.15,49.42,54.650000000000006,51.81,51.190000000000005,55.5,47.68999999999999,51.88000000000001,38.06,34.85999999999999,69.32,92.42999999999998,100.62999999999998,76.64,64.85999999999999,57.63000000000001,57.63000000000001,57.63000000000001,57.63000000000001,57.63000000000001,57.63000000000001
SAFR ,Forests & Wetlands,CH4,0.25,0.1,0.07,0.05,0.09,0.06,0.07,0.05,0.08,0.06,0.11,0.19,0.04,0.16,0.04,0.13,0.05,0.03,0.38,1.19,1.79,1.06,1.05,0.3,0.3,0.3,0.3,0.3,0.3
ME ,Forests & Wetlands,CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.01,0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.02
RUS ,Forests & Wetlands,CH4,3.44,1.95,3.44,1.45,3.37,1.42,3.71,3.03,2.86,2.27,5.45,1.46,2.86,1.81,3.8,3.72,2.11,1.56,6.61,5.88,8.78,4.6,12.31,3.79,3.79,3.79,3.79,3.82,3.82
ASIAPAC ,Forests & Wetlands,CH4,56.849999999999994,14.349999999999998,27.109999999999996,147.51000000000002,139.63000000000005,56.38999999999999,63.459999999999994,58.37,23.71000000000001,116.30999999999997,16.99,30.740000000000006,160.60999999999996,68.72,142.14999999999998,53.69,133.26999999999998,15.500000000000002,23.979999999999993,52.94,110.30000000000003,293.44,35.28,81.85999999999999,81.85999999999999,81.85999999999999,81.85999999999999,81.85999999999999,81.85999999999999
CHINA ,Forests & Wetlands,CH4,0.32,0.15,0.28,0.27,0.3,0.19,0.18,0.22,0.37,0.36,0.84,0.3,0.21,0.27,0.54,0.71,0.2,0.34,0.99,0.88,0.97,0.82,0.77,0.44,0.44,0.44,0.44,0.44,0.44
INDIA ,Forests & Wetlands,CH4,2.83,3.43,2.11,1.61,2.1,2.55,4.48,1.89,3.74,4.85,1.52,2.59,1.5,1.49,2.58,1.69,0.42,0.57,1.28,2.25,1.09,1.07,1.25,2.1,2.1,2.1,2.1,2.1,2.1
JPN ,Forests & Wetlands,CH4,0.01,0.01,0.0,0.01,0.02,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
 OECD ,Forests & Wetlands,CH4,4.03,4.33,2.6399999999999997,3.27,2.1700000000000004,3.4000000000000004,2.3100000000000005,2.48,1.31,3.0300000000000002,2.16,2.47,4.32,2.08,1.44,6.27,3.6499999999999995,1.76,9.86,15.669999999999998,21.11,10.75,11.02,5.6,5.6,5.6,5.6,5.6,5.6
NonOECD ,Forests & Wetlands,CH4,115.25999999999998,81.97,96.08000000000001,211.63000000000005,196.87000000000006,113.50999999999999,130.58,121.20999999999998,106.61000000000001,174.42999999999998,84.46000000000001,100.9,220.65,138.88,208.41,116.83,180.90999999999997,55.56000000000001,111.1,181.00999999999996,252.01999999999998,393.7200000000001,129.83999999999997,154.82000000000002,154.82000000000002,154.82000000000002,154.82000000000002,154.82000000000002,154.82000000000002
World ,Forests & Wetlands,CO2,2384.92,2091.79,2158.47,963.1200000000006,915.9600000000005,384.57000000000016,419.0600000000004,397.59000000000026,2550.5599999999995,3128.1800000000007,2521.96,2538.9299999999994,3389.3299999999995,2798.4900000000002,3207.9299999999994,2661.56,3203.5,2455.7599999999998,3011.3999999999996,3116.2,3309.25,4421.18,3040.5600000000004,3348.2400000000002,3336.5400000000004,3336.5600000000004,3336.5600000000004,3336.5600000000004,3336.59
NAM ,Forests & Wetlands,CO2,-182.01,-182.24,-182.24,-270.22,-270.19000000000005,-270.13,-270.03000000000003,-269.97,-167.39000000000004,-167.39,-167.32,-167.20000000000005,-167.08999999999997,-166.96000000000004,-166.84000000000003,-166.8,-166.78000000000003,-166.79000000000002,-330.56999999999994,-330.83,-330.99,-331.2,-331.17999999999995,-331.15999999999997,-331.52,-331.39,-331.39,-331.39,-331.39
US ,Forests & Wetlands,CO2,-231.73,-231.82,-231.8,-419.26,-419.23,-419.16,-419.05,-418.98,-401.91,-401.9,-401.84,-401.75,-401.71,-401.63,-401.57,-401.5,-401.48,-401.46,-418.53,-418.63,-418.64,-418.7,-418.65,-418.59,-418.71,-418.58,-418.58,-418.58,-418.58
CSAM ,Forests & Wetlands,CO2,761.1000000000001,760.9200000000001,760.7800000000001,678.3600000000001,678.3600000000001,678.2500000000001,678.2200000000001,678.2400000000001,1573.71,1573.6799999999998,1573.6799999999998,1573.6499999999999,1573.6599999999999,1573.6799999999998,1573.7199999999998,1572.79,1572.83,1572.78,1555.6399999999999,1555.6,1555.1899999999998,1555.1,1555.0099999999998,1554.6599999999999,1554.15,1554.15,1554.15,1554.15,1554.15
BRAZIL ,Forests & Wetlands,CO2,384.31,384.3,384.3,261.99,261.99,261.99,261.99,261.99,1101.12,1101.12,1101.12,1101.12,1101.12,1101.12,1101.12,1101.05,1101.05,1101.04,1038.49,1038.49,1038.48,1038.48,1038.47,1038.47,1038.47,1038.47,1038.47,1038.47,1038.47
EUR ,Forests & Wetlands,CO2,-330.39000000000004,-330.79,-330.79,-705.66,-705.65,-705.59,-705.5799999999999,-705.6700000000001,-484.62,-484.86,-484.8599999999999,-484.73999999999995,-484.76,-484.77,-484.84,-484.54999999999995,-484.2799999999999,-484.08000000000004,-401.35,-401.66,-402.13,-402.26,-402.25999999999993,-402.07,-402.3399999999999,-402.28999999999996,-402.28999999999996,-402.21000000000004,-402.21000000000004
AFRICA ,Forests & Wetlands,CO2,1248.7500000000002,1248.95,1248.97,1208.8499999999997,1208.8499999999997,1208.9399999999996,1208.9499999999996,1208.7099999999998,1000.5400000000002,1000.4300000000003,1000.4100000000003,1000.3200000000003,1000.3600000000002,1000.3500000000004,1000.3000000000004,1000.2200000000003,1000.2500000000003,1000.1600000000002,966.3899999999996,966.3699999999998,965.8399999999997,965.6099999999999,965.5299999999999,965.5299999999997,964.7999999999998,964.8099999999998,964.8099999999998,964.8099999999998,964.8099999999998
SAFR ,Forests & Wetlands,CO2,6.55,6.55,6.55,6.29,6.29,6.29,6.29,6.29,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.36,6.35,6.32,6.32,6.3,6.29,6.28,6.28,6.28,6.28,6.28,6.28,6.28
ME ,Forests & Wetlands,CO2,0.5,0.5,0.5,-0.6900000000000001,-0.6900000000000001,-0.6900000000000001,-0.6900000000000001,-0.6900000000000001,-45.00000000000001,-45.00000000000001,-45.00000000000001,-45.00000000000001,-45.00000000000001,-45.00000000000001,-45.00000000000001,-45.00000000000001,-45.00000000000001,-45.00000000000001,-21.23,-21.23,-21.23,-21.23,-21.23,-21.23,-21.23,-21.23,-21.23,-21.23,-21.23
RUS ,Forests & Wetlands,CO2,-558.5,-558.95,-559.03,-687.51,-687.53,-687.5,-687.49,-687.66,-769.04,-769.11,-769.04,-768.99,-768.89,-768.81,-768.76,-768.75,-768.68,-768.68,-374.21,-374.29,-374.55,-374.56,-374.55,-374.51,-374.46,-374.45,-374.45,-374.53,-374.53
ASIAPAC ,Forests & Wetlands,CO2,1026.69,881.1700000000001,914.7099999999999,1149.0,1125.3600000000001,859.4500000000002,876.52,866.1300000000001,671.0300000000004,960.1700000000003,656.8400000000003,665.0500000000002,1089.85,794.1700000000001,998.7100000000002,726.2100000000004,996.7100000000002,622.7600000000003,821.95,875.0300000000001,973.41,1530.0400000000004,839.8599999999999,993.77,989.8200000000002,989.6400000000001,989.6400000000001,989.6400000000001,989.6400000000001
CHINA ,Forests & Wetlands,CO2,-650.1,-650.1,-650.1,-710.17,-710.17,-710.17,-710.17,-710.17,-332.23,-332.23,-332.23,-332.23,-332.24,-332.24,-332.24,-332.25,-332.25,-332.25,-349.35,-349.36,-349.37,-349.38,-349.38,-349.38,-349.41,-349.41,-349.41,-349.41,-349.41
INDIA ,Forests & Wetlands,CO2,-34.27,-34.27,-34.27,-64.84,-64.84,-64.83,-64.83,-64.83,4.98,4.98,4.97,4.97,4.97,4.97,4.97,4.98,4.98,4.99,-221.1,-221.09,-221.1,-221.1,-221.12,-221.12,-221.16,-221.17,-221.17,-221.17,-221.17
JPN ,Forests & Wetlands,CO2,-32.07,-32.07,-32.06,-49.75,-49.71,-49.64,-49.56,-49.5,-98.12,-98.01,-97.88,-97.79,-97.63,-97.57,-97.49,-97.48,-97.47,-97.46,-75.77,-75.75,-75.76,-75.74,-75.72,-75.69,-75.72,-75.68,-75.68,-75.68,-75.68
 OECD ,Forests & Wetlands,CO2,-510.43000000000006,-511.16,-511.28000000000003,-806.8,-806.73,-806.6200000000001,-806.4100000000001,-806.3700000000001,-647.4200000000001,-647.52,-647.4599999999999,-647.3,-647.0999999999999,-646.95,-646.9000000000001,-646.77,-646.56,-646.46,-685.15,-685.61,-686.14,-686.3699999999999,-686.3,-686.0899999999999,-686.56,-686.3499999999999,-686.3499999999999,-686.3299999999999,-686.3299999999999
NonOECD ,Forests & Wetlands,CO2,1748.4699999999998,1602.6200000000001,1636.09,1337.0899999999995,1313.4399999999998,1047.63,1064.6699999999998,1053.88,1982.42,2271.32,1968.1699999999996,1976.4799999999998,2401.47,2105.91,2310.5699999999997,2037.2800000000002,2308.0099999999998,1934.0300000000002,2233.2199999999993,2286.0699999999993,2383.119999999999,2939.32,2248.929999999999,2402.5600000000004,2397.16,2396.9999999999995,2396.9999999999995,2396.9799999999996,2397.0099999999993
World ,Forests & Wetlands,N2O,150.74,174.85999999999999,178.51999999999998,176.22,157.92000000000002,154.28,176.40999999999997,160.54999999999998,212.82999999999998,165.82999999999998,169.33999999999997,196.28,169.87,181.06000000000003,189.76000000000005,182.22000000000003,132.38,104.77000000000001,87.99,129.58,166.03,132.0,99.71000000000001,160.52,160.52,160.52,160.52,160.53,160.53
NAM ,Forests & Wetlands,N2O,3.46,3.09,1.83,2.55,1.13,2.19,1.52,2.03,1.1,1.47,1.98,1.46,1.56,1.71,1.12,2.71,1.6400000000000001,0.73,4.0,4.82,8.35,2.25,3.95,2.4899999999999998,2.4899999999999998,2.4899999999999998,2.4899999999999998,2.4899999999999998,2.4899999999999998
US ,Forests & Wetlands,N2O,1.28,1.39,0.75,1.2,0.7,0.67,0.61,0.69,0.48,0.57,1.08,0.81,0.57,0.48,0.64,0.64,0.77,0.28,1.42,1.37,1.19,0.6,1.27,0.84,0.84,0.84,0.84,0.84,0.84
CSAM ,Forests & Wetlands,N2O,3.91,8.97,7.069999999999999,7.4,3.7300000000000004,3.13,6.05,4.989999999999999,19.560000000000002,3.04,5.77,16.29,7.66,12.389999999999999,13.089999999999996,9.469999999999999,9.64,4.13,3.8699999999999997,11.809999999999999,12.35,8.25,6.889999999999999,8.41,8.41,8.41,8.41,8.41,8.41
BRAZIL ,Forests & Wetlands,N2O,1.89,6.36,4.17,5.0,2.55,1.14,3.94,1.96,8.89,1.17,2.78,8.92,3.4,7.45,5.88,5.18,5.78,2.28,0.77,5.19,6.78,3.83,3.14,4.32,4.32,4.32,4.32,4.32,4.32
EUR ,Forests & Wetlands,N2O,0.11,0.41000000000000003,0.09999999999999999,0.18,0.19999999999999998,0.08,0.16,0.09,0.09,0.12,0.03,0.12,0.12,0.19,0.04,0.21,0.13,0.03,0.32000000000000006,0.19,0.4,0.28,0.21000000000000002,0.16,0.16,0.16,0.16,0.15,0.15
AFRICA ,Forests & Wetlands,N2O,53.29,59.8,62.580000000000005,59.57999999999999,53.35000000000001,55.94000000000001,58.77000000000001,58.370000000000005,63.25,53.760000000000005,59.46999999999999,56.38,55.70000000000001,60.42,51.93,56.48000000000001,41.43999999999999,37.96999999999999,24.439999999999998,32.60000000000001,35.580000000000005,27.080000000000005,22.860000000000003,50.06999999999999,50.06999999999999,50.06999999999999,50.06999999999999,50.06999999999999,50.06999999999999
SAFR ,Forests & Wetlands,N2O,0.27,0.11,0.07,0.05,0.1,0.07,0.07,0.06,0.08,0.06,0.12,0.2,0.04,0.18,0.05,0.14,0.05,0.03,0.21,0.6,0.89,0.51,0.51,0.19,0.19,0.19,0.19,0.19,0.19
ME ,Forests & Wetlands,N2O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
RUS ,Forests & Wetlands,N2O,3.74,2.12,3.75,1.58,3.67,1.55,4.03,3.3,3.11,2.47,5.93,1.59,3.12,1.97,4.13,4.05,2.29,1.7,4.36,3.87,5.79,3.04,8.12,3.44,3.44,3.44,3.44,3.47,3.47
ASIAPAC ,Forests & Wetlands,N2O,7.389999999999999,9.099999999999998,11.31,14.749999999999996,14.219999999999999,11.24,12.56,9.15,14.749999999999996,16.32,8.83,19.029999999999998,14.899999999999997,11.89,21.15,15.539999999999996,10.340000000000002,6.81,5.75,9.99,19.41,24.03,6.699999999999999,13.110000000000003,13.110000000000003,13.110000000000003,13.110000000000003,13.110000000000003,13.110000000000003
CHINA ,Forests & Wetlands,N2O,0.35,0.16,0.3,0.29,0.32,0.2,0.19,0.24,0.4,0.4,0.92,0.32,0.23,0.29,0.58,0.77,0.22,0.37,0.64,0.56,0.6,0.52,0.49,0.4,0.4,0.4,0.4,0.4,0.4
INDIA ,Forests & Wetlands,N2O,3.08,3.74,2.3,1.75,2.29,2.78,4.88,2.06,4.07,5.28,1.65,2.82,1.63,1.62,2.8,1.84,0.45,0.62,0.46,0.81,0.39,0.38,0.44,2.07,2.07,2.07,2.07,2.07,2.07
JPN ,Forests & Wetlands,N2O,0.01,0.01,0.0,0.01,0.02,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01
 OECD ,Forests & Wetlands,N2O,4.39,4.71,2.88,3.5600000000000005,2.37,3.7,2.51,2.69,1.4300000000000002,3.3,2.36,2.6900000000000004,4.68,2.24,1.5699999999999998,6.819999999999999,3.9699999999999998,1.92,5.34,7.84,10.92,5.41,6.0600000000000005,4.46,4.46,4.46,4.46,4.46,4.46
