Region,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
World ,Buildings,CO2,5754.589999999998,5581.280000000001,5464.01,5369.0,5310.9,5413.98,5187.98,5298.58,5403.81,5296.71,5397.54,5267.48,5273.24,5340.360000000001,5340.889999999999,5255.740000000001,5088.58,5090.23,5040.71,5056.39,4915.549999999999,5220.72,5265.45,5124.610000000001,4976.26,5140.280000000001,5019.83,5234.94,5184.4
NAM ,Buildings,CO2,647.9699999999999,589.45,584.78,605.91,642.35,621.25,551.88,618.5400000000001,636.55,646.4300000000001,654.4300000000001,647.87,612.23,670.94,692.0699999999999,709.95,684.22,676.1,697.23,657.45,637.7800000000001,695.36,714.75,673.17,669.9,677.19,652.95,639.32,629.09
US ,Buildings,CO2,550.68,497.9,496.47,512.54,545.08,528.01,460.55,522.21,545.06,551.36,556.25,549.01,517.53,571.94,590.29,605.74,582.87,581.7,599.13,567.36,548.58,600.08,616.39,580.06,575.86,585.59,565.08,555.2,545.48
CSAM ,Buildings,CO2,83.26,82.05,83.55000000000001,81.9,82.86,84.02000000000001,81.72999999999999,79.93,78.01999999999998,73.99000000000001,74.12,79.58000000000001,68.80000000000001,69.03000000000002,68.84,66.12,68.03,68.56,69.85000000000002,68.25999999999999,63.89000000000001,64.12000000000002,63.480000000000025,62.09,59.56000000000001,59.67999999999999,57.890000000000015,56.1,57.010000000000005
BRAZIL ,Buildings,CO2,20.38,20.48,20.41,20.22,20.47,20.39,20.08,20.14,19.85,19.63,19.96,19.9,19.22,19.22,19.77,19.25,21.46,21.65,21.42,21.53,20.5,20.1,19.78,19.66,18.82,17.76,17.26,16.71,16.47
EUR ,Buildings,CO2,621.3499999999999,644.83,649.1300000000001,629.5699999999999,601.9799999999999,699.36,696.33,674.38,759.3799999999999,718.5,740.5399999999998,680.8900000000001,764.36,765.3000000000002,769.8600000000001,767.4599999999999,736.3199999999998,760.2700000000003,724.49,751.3999999999999,763.06,783.1099999999999,841.6199999999999,774.4500000000003,761.6800000000002,809.7900000000001,800.3000000000002,838.5700000000002,811.52
AFRICA ,Buildings,CO2,103.02999999999999,98.69000000000001,84.85999999999999,86.44999999999999,88.26999999999998,86.42000000000002,83.17,71.25999999999999,67.36000000000001,84.98,84.69999999999999,79.47999999999999,71.11000000000001,69.02,64.67,62.089999999999996,60.26000000000002,56.460000000000015,50.67,50.260000000000005,49.56,50.07999999999999,48.11,47.48999999999998,47.359999999999985,47.559999999999995,45.17999999999999,44.08,43.00999999999999
SAFR ,Buildings,CO2,33.84,33.97,21.13,23.46,26.45,26.14,24.98,16.27,13.87,31.24,32.39,29.95,24.18,21.52,19.91,17.58,15.77,12.81,9.19,9.65,10.71,11.25,10.93,12.32,13.98,14.9,11.73,11.82,11.32
ME ,Buildings,CO2,166.09000000000003,159.72999999999996,167.06000000000003,156.88,156.01,160.14000000000001,151.23000000000002,159.52000000000004,153.66000000000003,158.57999999999998,154.63000000000002,159.87999999999997,151.28,140.88,132.34,119.86,119.48,111.5,109.64999999999999,102.14999999999999,101.09999999999998,105.31,101.34,91.60000000000001,90.19999999999999,74.24000000000001,70.59999999999998,58.6,55.339999999999996
RUS ,Buildings,CO2,217.99,178.41,156.31,148.76,138.87,122.37,122.48,139.22,137.03,139.91,155.79,148.05,145.18,140.74,143.87,150.43,146.48,163.86,162.06,160.82,145.09,152.53,157.04,165.03,182.74,204.47,205.66,276.05,288.23
