Model,Scenario,Region Group,ISO,Region,Subvertical,Metric,Unit,Value 1,Duration 1 (Years),Value 2,Duration 2 (Years),Value 3,Duration 3 (Years)
PD22,Pathway,PAK,AFG,Afghanistan,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.6241,30,0.0000,70,NA,NA
PD22,Pathway,EEU,ALB,Albania,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.2930,30,0.0000,70,NA,NA
PD22,Pathway,NAF,DZA,Algeria,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.4873,30,0.0000,70,NA,NA
PD22,Pathway,SSA-M,AGO,Angola,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.4623,30,0.0000,70,NA,NA
PD22,Pathway,LAM-M,ARG,Argentina,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.7381,30,0.0000,70,NA,NA
PD22,Pathway,CAS,ARM,Armenia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.0307,30,0.0000,70,NA,NA
PD22,Pathway,ANUZ,AUS,Australia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.5384,30,0.0000,70,NA,NA
PD22,Pathway,EU15,AUT,Austria,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.3622,30,0.0000,70,NA,NA
PD22,Pathway,CAS,AZE,Azerbaijan,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.0931,30,0.0000,70,NA,NA
PD22,Pathway,LAM-M,BHS,Bahamas,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,4.9189,30,0.0000,70,NA,NA
PD22,Pathway,OAS-L,BGD,Bangladesh,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,3.6696,30,0.0000,70,NA,NA
PD22,Pathway,EEU-FSU,BLR,Belarus,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.1328,30,0.0000,70,NA,NA
PD22,Pathway,EU15,BEL,Belgium,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.7694,30,0.0000,70,NA,NA
PD22,Pathway,LAM-L,BLZ,Belize,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,5.3736,30,0.0000,70,NA,NA
PD22,Pathway,SSA-L,BEN,Benin,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.8656,30,0.0000,70,NA,NA
PD22,Pathway,OAS-M,BTN,Bhutan,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.0065,30,0.0000,70,NA,NA
PD22,Pathway,LAM-M,BOL,Bolivia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.4046,30,0.0000,70,NA,NA
PD22,Pathway,EEU,BIH,Bosnia and Herzegovina,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.4625,30,0.0000,70,NA,NA
PD22,Pathway,SSA-M,BWA,Botswana,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.1833,30,0.0000,70,NA,NA
PD22,Pathway,BRA,BRA,Brazil,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,4.8636,30,0.0000,70,NA,NA
PD22,Pathway,OAS-M,BRN,Brunei Darussalam,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.3990,30,0.0000,70,NA,NA
PD22,Pathway,EU12-M,BGR,Bulgaria,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.8663,30,0.0000,70,NA,NA
PD22,Pathway,SSA-L,BFA,Burkina Faso,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.4244,30,0.0000,70,NA,NA
PD22,Pathway,SSA-L,BDI,Burundi,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.6138,30,0.0000,70,NA,NA
PD22,Pathway,OAS-CPA,KHM,Cambodia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,3.6130,30,0.0000,70,NA,NA
PD22,Pathway,SSA-L,CMR,Cameroon,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.7763,30,0.0000,70,NA,NA
PD22,Pathway,CAN,CAN,Canada,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.4269,30,0.0000,70,NA,NA
PD22,Pathway,SSA-L,CPV,Cape Verde,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.2033,30,0.0000,70,NA,NA
PD22,Pathway,SSA-L,CAF,Central African Republic,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.2495,30,0.0000,70,NA,NA
PD22,Pathway,SSA-L,TCD,Chad,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.3046,30,0.0000,70,NA,NA
PD22,Pathway,LAM-M,CHL,Chile,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.6289,30,0.0000,70,NA,NA
PD22,Pathway,CHN,CHN,China,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,4.3844,30,0.0000,70,NA,NA
PD22,Pathway,LAM-M,COL,Colombia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,5.0639,30,0.0000,70,NA,NA
PD22,Pathway,SSA-L,COM,Comoros,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.7876,30,0.0000,70,NA,NA
PD22,Pathway,LAM-M,CRI,Costa Rica,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,5.8897,30,0.0000,70,NA,NA
PD22,Pathway,SSA-L,CIV,Cote d'Ivoire,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.7096,30,0.0000,70,NA,NA
PD22,Pathway,EEU,HRV,Croatia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.7889,30,0.0000,70,NA,NA
PD22,Pathway,LAM-M,CUB,Cuba,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,4.4858,30,0.0000,70,NA,NA
