"Renewable Electricity generation (GWh) by Region/country/area, Technology and Year",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
region,Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
World,Other solid biofuels,97642.73,93966.19,103155.25,108897.73,120531.15,135058.47,142769.74,153855.89,166231.79,178800.75,186757.29,204193.75,223401.14,238881.93,256508.12,268277.42,286472.2,296937.35,310773.37,331738.97,346656.24
World,Liquid biofuels,0.41,15.51,956.02,741.72,914.16,1981.89,3095.39,1692.71,2214.18,4225.05,5601.69,4067.3,4341.53,5094.2,6380.74,7790.83,7219.23,6785.94,7233.75,8316.04,7932.64
World,Biogas,13182.8,14674.45,16516.31,19096.64,20211.35,21373.66,24219.35,31251.49,35994.65,40831.85,46482.84,54095.52,64853.88,73795.08,79961.37,83461.91,86595.7,88575.72,90918.14,91618.67,96564.82
World,Geothermal,52567.03,51640.59,52563.01,53726.37,55985.89,58405.06,59697,62664.87,65258.22,67287.74,68466.6,69856.32,70967.95,72529.01,77495.11,81411.25,83477.11,86231.6,89738.38,92284.8,94949.1
Africa,Total renewable energy,70540.17,74543.39,71852.29,75549.18,80045.33,85658.38,88374.55,86072.15,91951.72,96890.21,103319.18,105368.16,110133.74,117694.93,123847.84,125657.9,127553.77,139018.83,151966.51,163034.28,172334.96
Africa,Hydropower,69564.12,73121.7,71150.86,75149.38,79661.79,84971.75,87682.68,85037.31,90457.66,94707.1,100190.97,101302.84,104791.78,111513.08,114514.4,112638.28,110863.24,120663.94,130232.37,136825.42,141436.8
Africa,Renewable hydropower,67726.12,71421.45,68667.36,72230.63,76151.29,81455.45,84153.18,81650.01,87190.21,91573.8,97127.72,98209.79,101611.78,108395.43,111068.4,109276.08,107256.49,116101.19,125365.73,131491.92,136153.1
Africa,Pumped storage,1838,1700.25,2483.5,2918.75,3510.5,3516.3,3529.5,3387.3,3267.45,3133.3,3063.25,3093.05,3180,3117.65,3446,3362.2,3606.75,4562.75,4866.64,5333.5,5283.7
Africa,Marine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa,Wind,185.09,425.25,455.16,468.36,639.09,804.17,809.56,990.88,1222.53,1483.48,2012.32,2406.68,2815.49,3497.74,4475.26,5455.07,7004.27,7150.83,7844.07,9702.66,10557.42
Africa,Onshore wind energy,185.09,425.25,455.16,468.36,639.09,804.17,809.56,990.88,1222.53,1483.48,2012.32,2406.68,2815.49,3497.74,4475.26,5455.07,7004.27,7150.83,7844.07,9702.66,10557.42
Africa,Offshore wind energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa,Solar,15.26,18.54,21.83,25.9,31.36,36.96,47.11,62.1,81.62,113.09,218.97,666.52,1173.45,870.65,2160.74,3454.5,5305.21,7948.45,10294.88,13054.55,17036.62
Africa,Solar photovoltaic,15.26,18.54,21.83,25.9,31.36,36.96,47.11,62.1,81.62,113.09,218.86,339.04,462.22,638.87,1810.15,3038.79,4104.02,6080.64,7854.99,9448.13,13801.26
Africa,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0.1,327.49,711.24,231.77,350.59,415.71,1201.19,1867.81,2439.89,3606.42,3235.36
Africa,Bioenergy,2181.7,2203.65,2269.94,2236.28,2312.09,2342.79,2334.7,2308.66,2313.35,2418.69,2559.09,2588.36,2946.13,3025.07,2937.36,2991.15,3298.87,2947.71,3292.91,3401.29,3202.94
Africa,Solid biofuels,2181.7,2203.65,2269.94,2236.28,2312.09,2342.79,2334.7,2299.66,2294.97,2398.59,2532.77,2560,2899.91,2971.28,2883.74,2923.04,3215.62,2830.98,3161.84,3236.12,3034.97
Africa,Bagasse,2088.05,2097,2162.15,2136.71,2209.55,2241.88,2243.65,2208.18,2210.8,2327.55,2496.7,2490.89,2716.97,2800.26,2693.82,2733.24,2929.42,2714.66,2965.14,3008.13,2895.85
Africa,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Other solid biofuels,93.64,106.65,107.79,99.58,102.54,100.91,91.05,91.49,84.18,71.04,36.07,69.11,182.94,171.02,189.93,189.8,286.2,116.33,196.7,228,139.13
Africa,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.36,0.51,0.51,0.51,2.81,7.21,4.41
Africa,Biogas,0,0,0,0,0,0,0,9,18.38,20.1,26.33,28.37,46.22,53.74,53.26,67.61,82.74,116.22,128.26,157.96,163.56
Africa,Geothermal,432,474.5,438,588,911.5,1019,1030,1060.5,1144,1301.15,1401.09,1496.81,1586.88,1906.05,3206.09,4481.1,4688.93,4870.66,5168.94,5383.86,5384.88
Algeria,Total renewable energy,54,69,57.4,265.2,251.1,555.26,217.57,226.08,282.71,342,172.88,481.34,582.63,291.02,391.33,326.51,430.5,635.11,781.66,840.05,721.05
Algeria,Hydropower,54,69,57.4,265.2,251.1,555.26,217.57,226.08,282.71,342,172.78,378.22,389.4,98.48,192.6,145.32,72,56,117,152,50
Algeria,Renewable hydropower,54,69,57.4,265.2,251.1,555.26,217.57,226.08,282.71,342,172.78,378.22,389.4,98.48,192.6,145.32,72,56,117,152,50
Algeria,Pumped storage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,Marine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.24,19.4,19.4,10,10,8
Algeria,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.24,19.4,19.4,10,10,8
Algeria,Offshore wind energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,Solar,0,0,0,0,0,0,0,0,0,0,0.1,103.12,193.23,192.54,197.73,161.95,339.1,559.71,654.66,678.05,663.05
Algeria,Solar photovoltaic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,13.75,204.7,373.6,521.55,544.93,544.93
Algeria,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0.1,103.12,193.23,192.54,196.83,148.21,134.4,186.11,133.11,133.11,118.11
Algeria,Bioenergy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,Solid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,Bagasse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,Renewable municipal waste,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,Other solid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,Liquid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,Biogas,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,Geothermal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,Total renewable energy,900.29,1010.32,1130.52,1230.93,1730.93,2201.17,2541.39,2883.99,3188.94,3343.13,3695.67,4053.88,3853.47,3653.89,5092.91,5100.2,6459.4,9062.44,11541.19,12780.57,14019.94
Angola,Hydropower,900.29,1010.27,1130.25,1230.58,1730.34,2200.3,2540.27,2880.21,3182.13,3335.6,3685.59,4042.92,3839.83,3638.56,5039.93,5039.93,6286.13,8844.17,11322.92,12562.3,13801.67
Angola,Renewable hydropower,900.29,1010.27,1130.25,1230.58,1730.34,2200.3,2540.27,2880.21,3182.13,3335.6,3685.59,4042.92,3839.83,3638.56,5039.93,5039.93,6286.13,8844.17,11322.92,12562.3,13801.67
Angola,Pumped storage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,Marine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,Onshore wind energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,Offshore wind energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,Solar,0,0.05,0.27,0.35,0.59,0.87,1.13,3.78,6.81,7.53,10.08,10.96,13.64,15.34,16.99,18.27,18.27,18.27,18.27,18.27,18.27
Angola,Solar photovoltaic,0,0.05,0.27,0.35,0.59,0.87,1.13,3.78,6.81,7.53,10.08,10.96,13.64,15.34,16.99,18.27,18.27,18.27,18.27,18.27,18.27
Angola,Concentrated solar power,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,Bioenergy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,42,155,200,200,200,200
Angola,Solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,42,155,200,200,200,200
Angola,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,42,155,200,200,200,200
Angola,Renewable municipal waste,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,Other solid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,Liquid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,Biogas,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,Geothermal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,Total renewable energy,1.63,1.57,1.52,1.69,1.49,0.75,0,0,0.36,0.24,0,0,0.35,0,0.5,6.46,5.34,5.41,5.41,5.41,5.41
Benin,Hydropower,1.63,1.57,1.52,1.69,1.49,0.75,0,0,0.36,0.24,0,0,0.35,0,0,1.13,0,0.07,0.07,0.07,0.07
Benin,Renewable hydropower,1.63,1.57,1.52,1.69,1.49,0.75,0,0,0.36,0.24,0,0,0.35,0,0,1.13,0,0.07,0.07,0.07,0.07
Benin,Pumped storage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,Marine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,Onshore wind energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,Offshore wind energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,5.34,5.34,5.34,5.34,5.34,5.34
Benin,Solar photovoltaic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,5.34,5.34,5.34,5.34,5.34,5.34
Benin,Concentrated solar power,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,Bioenergy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,Solid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,Bagasse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,Renewable municipal waste,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,Other solid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,Liquid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,Biogas,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,Geothermal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Total renewable energy,0,0,0,0,0,0,0,0,0,0,0.24,0.29,1.09,2.38,2.89,3.33,5.24,5.45,5.97,5.92,5.98
Botswana,Hydropower,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Renewable hydropower,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Pumped storage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Marine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Onshore wind energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Offshore wind energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Solar,0,0,0,0,0,0,0,0,0,0,0.24,0.29,1.09,2.38,2.89,3.33,5.24,5.45,5.97,5.92,5.98
Botswana,Solar photovoltaic,0,0,0,0,0,0,0,0,0,0,0.24,0.29,1.09,2.38,2.89,3.33,5.24,5.45,5.97,5.92,5.98
Botswana,Concentrated solar power,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Bioenergy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Solid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Bagasse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Renewable municipal waste,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Other solid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Liquid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Biogas,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Geothermal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,Total renewable energy,99.07,54.58,64.56,96.99,103.26,102.37,82.57,114.02,139.63,137.2,123.34,91.35,106.05,115.79,101.92,106.76,155.99,158.08,190.54,209.16,214.55
Burkina Faso,Hydropower,98.27,53.78,63.76,95.89,101.46,100.47,80.67,111.42,135.93,132.3,117.54,81.95,96.65,105.54,90.47,93.46,139.49,127.93,91.45,105.32,112.39
Burkina Faso,Renewable hydropower,98.27,53.78,63.76,95.89,101.46,100.47,80.67,111.42,135.93,132.3,117.54,81.95,96.65,105.54,90.47,93.46,139.49,127.93,91.45,105.32,112.39
Burkina Faso,Pumped storage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,Marine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,Onshore wind energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,Offshore wind energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,Solar,0.8,0.8,0.8,1.1,1.8,1.9,1.9,2.6,3.7,4.9,5.8,9.4,9.4,10.2,11.3,13,16.2,28.85,97.79,102.54,100.85
Burkina Faso,Solar photovoltaic,0.8,0.8,0.8,1.1,1.8,1.9,1.9,2.6,3.7,4.9,5.8,9.4,9.4,10.2,11.3,13,16.2,28.85,97.79,102.54,100.85
Burkina Faso,Concentrated solar power,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,Bioenergy,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.15,0.3,0.3,1.3,1.3,1.3,1.3
Burkina Faso,Solid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,Bagasse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,Renewable municipal waste,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,Other solid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.15,0.3,0.3,0.3,0.3,0.3,0.3
Burkina Faso,Biogas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Burkina Faso,Geothermal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,Total renewable energy,102.74,116.6,128.7,104.16,94.6,102.46,158.51,203.52,218.33,206.99,234.57,247.05,259.22,259.95,250.84,246.75,284.95,273.22,253.93,253.69,285.06
Burundi,Hydropower,98.71,112.34,124.36,100.04,90.39,98.01,154.21,197.51,212.86,200.42,228.96,240.09,251.04,249.04,240.67,236.13,271.95,258.71,240.34,240.34,271.58
Burundi,Renewable hydropower,98.71,112.34,124.36,100.04,90.39,98.01,154.21,197.51,212.86,200.42,228.96,240.09,251.04,249.04,240.67,236.13,271.95,258.71,240.34,240.34,271.58
Burundi,Pumped storage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,Marine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,Onshore wind energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,Offshore wind energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,Solar,0,0,0,0,0,0.16,0.31,0.47,0.62,0.62,0.93,1.24,2.49,4.04,4.35,4.82,6.37,7.93,7.93,7.93,7.93
Burundi,Solar photovoltaic,0,0,0,0,0,0.16,0.31,0.47,0.62,0.62,0.93,1.24,2.49,4.04,4.35,4.82,6.37,7.93,7.93,7.93,7.93
Burundi,Concentrated solar power,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,Bioenergy,4.03,4.25,4.33,4.12,4.21,4.3,3.99,5.55,4.85,5.94,4.68,5.72,5.69,6.87,5.82,5.8,6.63,6.59,5.67,5.43,5.55
Burundi,Solid biofuels,4.03,4.25,4.33,4.12,4.21,4.3,3.99,5.55,4.85,5.94,4.68,5.72,5.69,6.87,5.82,5.8,6.63,6.59,5.67,5.43,5.55
Burundi,Bagasse,4.03,4.25,4.33,4.12,4.21,4.3,3.99,5.55,4.85,5.94,4.68,5.72,5.69,6.87,5.82,5.8,6.63,6.59,5.67,5.43,5.55
Burundi,Renewable municipal waste,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,Other solid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,Liquid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,Biogas,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,Geothermal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,Total renewable energy,4.55,3.75,5.66,5.37,6.43,6.45,7.44,6.87,5.51,4.66,4.1,24.56,70.49,83.26,89.21,85.02,82.57,74.93,89.35,82.78,70.52
Cabo Verde,Hydropower,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,Renewable hydropower,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,Pumped storage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,Marine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,Wind,4.55,3.75,5.66,5.37,6.43,6.45,7.44,6.87,5.51,4.66,1.99,15.61,63.03,76.01,82.56,78.81,76.93,68.32,80.23,73.8,63.93
Cabo Verde,Onshore wind energy,4.55,3.75,5.66,5.37,6.43,6.45,7.44,6.87,5.51,4.66,1.99,15.61,63.03,76.01,82.56,78.81,76.93,68.32,80.23,73.8,63.93
Cabo Verde,Offshore wind energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,Solar,0,0,0,0,0,0,0,0,0,0,2.11,8.96,7.46,7.25,6.65,6.21,5.64,6.61,9.12,8.99,6.59
Cabo Verde,Solar photovoltaic,0,0,0,0,0,0,0,0,0,0,2.11,8.96,7.46,7.25,6.65,6.21,5.64,6.61,9.12,8.99,6.59
Cabo Verde,Concentrated solar power,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,Bioenergy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,Solid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,Bagasse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,Renewable municipal waste,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,Other solid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,Liquid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,Biogas,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,Geothermal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,Total renewable energy,3442,3474,3182,3528.14,3920.14,3772.14,3892.14,3847.28,4232.27,4016.69,4261.37,4388.72,4259.9,4377.63,4380.37,4382.85,4385.05,5105.83,5109.4,5109.4,5109.57
Cameroon,Hydropower,3442,3474,3182,3528,3920,3772,3892,3847,4232,4016,4260,4385.42,4256.05,4372.68,4372.68,4372.68,4372.68,5089.9,5089.9,5089.9,5089.9
Cameroon,Renewable hydropower,3442,3474,3182,3528,3920,3772,3892,3847,4232,4016,4260,4385.42,4256.05,4372.68,4372.68,4372.68,4372.68,5089.9,5089.9,5089.9,5089.9
Cameroon,Pumped storage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,Marine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,Onshore wind energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,Offshore wind energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,Solar,0,0,0,0.14,0.14,0.14,0.14,0.28,0.28,0.69,1.37,3.3,3.85,4.95,7.69,10.17,12.37,15.93,19.5,19.5,19.67
Cameroon,Solar photovoltaic,0,0,0,0.14,0.14,0.14,0.14,0.28,0.28,0.69,1.37,3.3,3.85,4.95,7.69,10.17,12.37,15.93,19.5,19.5,19.67
Cameroon,Concentrated solar power,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,Bioenergy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,Solid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,Bagasse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,Renewable municipal waste,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
