region,sector,subvertical,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
cuba,Electric Power,Hydro,% Adoption,0.0004265056727671632,0.0004227714546715879,0.00046170843932600815,0.000514445911434278,0.0004115686859098183,0.00018934235510357402,0.0002448476768050018,0.00029113412171611464,0.00048632266091182854,0.00040280096486204446,0.000363118965211087,0.00036682863900693166,0.00037213059254911885,0.0003788012092823102,0.00038696431593187994,0.0003967564776056861,0.00040545148311825913,0.00041599858108507724,0.0004286240036651523,0.0004436605426232617,0.0004616306681935645,0.0005211525481827304,0.0005917707071984856,0.0006770097560476266,0.0007822817742065881,0.0009163717840293797,0.0010192772290347635,0.0011071214712368893,0.0011887971588154368,0.0012616780216502897,0.001324681038576532,0.0013101694338410615,0.0011890370875218682,0.0010938063331577853,0.0010195477817299353,0.0009621409001313841,0.000922724950750752,0.0008935216959797488,0.0008724330475014405,0.0008577689382420178,0.0008481794950190194,0.0008364647752439313,0.0008323511215670553,0.0008307889683834644,0.0008312521428740996,0.000833332533602773,0.0008367142521718465,0.0008411529953932296,0.0008464597153106545,0.0008524878047769237,0.0008591231154293606,0.0008662762322797304,0.0008738765286085496,0.0008818676132939085,0.0008902038589647109,0.0008988477635626035,0.0009077679508845583,0.0009169376587033957,0.0009263335975136888,0.0009359350902023456,0.0009457234242733854
cuba,Electric Power,Offshore wind energy,% Adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.230140667708843e-05,5.580698192612397e-05,7.38387352727186e-05,9.79810412560641e-05,0.0001303872518382405,0.00017275596984569046,0.00022950165020175077,0.000305650966886417,0.00040804350211488344,0.0005460725085200473,0.0007901203450633757,0.0011448072455218607,0.0016619739757397184,0.002420341376119689,0.0035436492501275335,0.004877455178772844,0.006478950917225821,0.008393497815773771,0.010585696175841503,0.012991270169606382,0.01476020879462241,0.01511847409910877,0.015426031999185005,0.015687476097325213,0.01590818857245532,0.01617340514834065,0.016408141041662293,0.016617183301146744,0.016804901318179365,0.01697515113575201,0.017006627222850512,0.01711522816028912,0.017215791825183017,0.01731025995295452,0.01740021325266451,0.017486926255274978,0.01757141502185115,0.01765447817940229,0.01773673215776389,0.01781864151026275,0.017900545063719304,0.017982678484401958,0.01806519371547125,0.018148175649124125,0.018231656337511417,0.018315627010351113,0.018400048144504657,0.018484857814620132,0.018569978539886945,0.018655322827690512
cuba,Electric Power,Onshore wind energy,% Adoption,5.0872893133155456e-05,7.742269164844333e-05,8.926363160302825e-05,9.122300728740111e-05,7.578404168435596e-05,8.256115608995425e-05,8.007284180513573e-05,8.158770688092562e-05,6.220250666370533e-05,8.844553471747269e-05,9.056881428991454e-05,0.0002007676575688201,0.00023724001184025802,0.0002857707485449223,0.0003504648694129777,0.00043688329733741093,0.0005486621097253741,0.0006978452645891668,0.0008973135916986136,0.0011645701384221077,0.0015236346964418255,0.0021649513534273052,0.0030915107168255273,0.004435957643781057,0.00639962296475123,0.009299028592884328,0.012721393052062838,0.016816428451642117,0.02170243445114101,0.027290092459812523,0.033418582005094705,0.03791084130337255,0.03879288919161343,0.039560872194957686,0.04022377678370946,0.040792328921701745,0.04148213041329814,0.04209832281478333,0.04265104357875263,0.04314987643218311,0.043603580350589616,0.04369972130352139,0.0439925298428339,0.04426309464883005,0.04451639941570122,0.04475659411759131,0.04498709272656751,0.04521066658427708,0.04542953124089782,0.0456454259792599,0.045859685872784675,0.0460733064883046,0.04628700146020798,0.04650125323262935,0.046716357327756156,0.04693246055656896,0.04714959363872061,0.04736769873498974,0.047586652415401366,0.04780628458820291,0.04802639390119852
cuba,Electric Power,Rooftop solar photovoltaics,% Adoption,2.1105435353426634e-06,2.049800992347093e-06,9.98288517461639e-07,2.916543749863623e-06,1.709593003010014e-05,2.7454641490018235e-05,3.580897273273151e-05,4.886002243200953e-05,0.00011967909348743507,0.00018013374875389557,0.0001886209295922865,0.0003072315315998096,0.0003479015113322467,0.00040189579384624746,0.00047364986994314023,0.0005691589481875707,0.000691616563990654,0.0008546584725300538,0.001072108872209446,0.0013627452420722928,0.0017523383548613556,0.002454802374044287,0.00346511474046362,0.004925783605670769,0.007053136115116531,0.010187442802400174,0.013870985005444569,0.01826856089693798,0.02351016244872685,0.029501684774865533,0.03607373441753585,0.040883559960275595,0.04181174057707165,0.04262965845695798,0.04334422941173069,0.04396425451829168,0.04471964835311405,0.04539838342422973,0.04600978093669329,0.046563018991997725,0.047066787595637566,0.047183301773958186,0.04751066082831351,0.04781253515883571,0.048094372905285815,0.04836077748242317,0.04861558247070375,0.048861932778221644,0.049102366694007644,0.049338895485762944,0.04957307847911327,0.049806092380895735,0.050038794165146325,0.05027177723585706,0.050505420871877586,0.05073993317483329,0.050975387895506805,0.05121175561750553,0.05144892983740958,0.05168674850586793,0.05192501159200321
cuba,Electric Power,Utility solar photovoltaics,% Adoption,5.27635883835666e-06,5.124502480867732e-06,2.495721293654098e-06,7.291359374659058e-06,4.273982507525036e-05,6.863660372504557e-05,8.952243183182879e-05,0.00012215005608002383,0.00029919773371858764,0.00045033437188473887,0.00047155232398071625,0.0005204250237704284,0.0005426502922529651,0.0005714851331705735,0.0006086591271743109,0.0006564392936211335,0.0007127446783423226,0.0007856116792895776,0.0008799121562825506,0.0010022024336048215,0.0011614565850360968,0.00147732433431246,0.0019097078799267515,0.002508939768912847,0.0033512825501473445,0.00455713327657453,0.005893365904513963,0.0074339754920153605,0.00923503612946655,0.011268301307798458,0.013487427709167344,0.015052734708527533,0.015239278198986662,0.015448446945648836,0.015672499989483373,0.015903528331118987,0.01621386674620457,0.016517090873557936,0.01680814273481661,0.017083585567460563,0.01734153637698179,0.01745353396573232,0.0176380358513759,0.01780686850343781,0.017961672002050646,0.01810426243067891,0.018236469887209502,0.01836003034140446,0.018476520922562144,0.018587327702941643,0.018693636256525332,0.018796437140315193,0.01889654036065831,0.018994594566302044,0.01909110805910429,0.019186469736391643,0.019280968821439978,0.019374812757536743,0.019468142990734866,0.019561048592381114,0.019653577810816926
cuba,Transportation,Domestic navigation,% Adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.542225532873062e-07,2.5356098128119556e-06,5.623668340599017e-06,1.1041332755926576e-05,1.9294104645549752e-05,3.2268039291258435e-05,5.225780629639927e-05,8.248600236365895e-05,0.00012736841777849362,0.00019950580329088625,0.0003062590021779081,0.0004608649715006278,0.0006796500884679699,0.0009815841014364508,0.0013653644174496226,0.0018573544096982838,0.002468157852630566,0.0032008117601680917,0.004048324702172173,0.005006734225384591,0.0060398653213028465,0.00711426283776258,0.008194762124760373,0.009249209906873241,0.010248060100939003,0.011177133426556221,0.012027160682534175,0.012795727387731519,0.013485484239691715,0.014110545556295848,0.014664941547892045,0.015162423737243727,0.015611091011348742,0.01601846268137353,0.016391256757536037,0.016735317081446915,0.01705563113063283,0.01735639732117359,0.017641114732736263,0.017912678631674558,0.018173472357804664,0.01842545080475214,0.018670213590244476,0.018909067672207697,0.019143080052578816,0.019373121622086164,0.019599903332477766,0.019824005862524547,0.020045903847025075
cuba,Transportation,International aviation bunkers,% Adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.445239748481694e-06,1.013942273319744e-05,1.7290677939438462e-05,2.6121970815401416e-05,3.515842241135824e-05,4.534726542831864e-05,5.673055418490281e-05,6.931868299129688e-05,8.308240974780206e-05,0.00010136146074364652,0.00012172013840955696,0.00014406756605444708,0.00016823796562625342,0.00019399468845290472,0.0002175881825223893,0.00024147615570155478,0.0002653263373330756,0.0002888257846464404,0.00031169800929596375,0.0003346472208942728,0.0003566616085651691,0.00037761236773766756,0.00039742358617644814,0.00041606620008685993,0.0004333852712304918,0.0004495778106837268,0.00046470693626060177,0.00047884973278826404,0.0004920909346688477,0.0005048113896530924,0.0005166040929110203,0.0005277527692416248,0.0005383345111400333,0.0005484201805369812,0.0005580739778886722,0.0005673533982100597,0.0005763094500121175,0.0005849870410441402,0.00059342545913994,0.0006016588965842106,0.0006097169823069909,0.0006176252983383798,0.0006254058659274612,0.0006330775931786717,0.0006406566805566796,0.0006481569836414339,0.000655590334468446,0.0006629668239706278,0.00067029504867874
cuba,Transportation,International marine bunkers,% Adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.542225532873062e-07,2.5356098128119556e-06,5.623668340599017e-06,1.1041332755926576e-05,1.9294104645549752e-05,3.2268039291258435e-05,5.225780629639927e-05,8.248600236365895e-05,0.00012736841777849362,0.00019950580329088625,0.0003062590021779081,0.0004608649715006278,0.0006796500884679699,0.0009815841014364508,0.0013653644174496226,0.0018573544096982838,0.002468157852630566,0.0032008117601680917,0.004048324702172173,0.005006734225384591,0.0060398653213028465,0.00711426283776258,0.008194762124760373,0.009249209906873241,0.010248060100939003,0.011177133426556221,0.012027160682534175,0.012795727387731519,0.013485484239691715,0.014110545556295848,0.014664941547892045,0.015162423737243727,0.015611091011348742,0.01601846268137353,0.016391256757536037,0.016735317081446915,0.01705563113063283,0.01735639732117359,0.017641114732736263,0.017912678631674558,0.018173472357804664,0.01842545080475214,0.018670213590244476,0.018909067672207697,0.019143080052578816,0.019373121622086164,0.019599903332477766,0.019824005862524547,0.020045903847025075
cuba,Transportation,Rail – Heavy-duty,% Adoption,0.0008309845890494389,0.0008409184296788739,0.0008541597493466044,0.0009799658048726136,0.0009998297156145763,0.001032938808505004,0.0009501719159819501,0.000971029219983239,0.0009604330558717019,0.0009542339582208352,0.0008495239447910244,0.000901313228521751,0.0009531025122524776,0.0010048917959832042,0.0010566810797139308,0.001108470363444657,0.001108470363444657,0.001108470363444657,0.001108470363444657,0.001108470363444657,0.001108470363444657,0.0010127921004115244,0.0009171138373783913,0.0008214355743452586,0.0007257573113121257,0.0006300790482789929,0.0006017054214799654,0.000573331794680938,0.0005449581678819104,0.0005165845410828831,0.00048821091428385564,0.0004658877586074663,0.0004435646029310771,0.00042124144725468786,0.0003989182915782987,0.0003765951359019094,0.00035920797134653056,0.0003418208067911517,0.00032443364223577287,0.00030704647768039405,0.00028965931312501523,0.00026419507218980475,0.0002443399120739208,0.00022448475195803788,0.00020462959184214713,0.00018477443172626302,0.0001649192716103801,0.0001450641114944972,0.00012520895137861318,0.00010535379126273034,8.54986311468471e-05,6.564347103096385e-05,4.5788310915080475e-05,2.5933150799197223e-05,6.07799068330619e-06,-1.3777169432577134e-05,-3.3632329548460385e-05,-5.3487489664343644e-05,-7.33426497802269e-05,-9.319780989611017e-05,-0.00011305297001199308
cuba,Transportation,Rail – Light-duty,% Adoption,0.00014664433924401862,0.00014839736994333067,0.00015073407341410666,0.0001729351420363436,0.00017644053804963115,0.0001822833191479419,0.00016767739693799118,0.000171358097644101,0.00016948818633030034,0.0001683942279213239,0.00014991599025723957,0.00015905527562148542,0.00016819456098573132,0.0001773338463499772,0.00018647313171422304,0.00019561241707846897,0.00019561241707846897,0.00019561241707846897,0.00019561241707846897,0.00019561241707846897,0.00019561241707846897,0.00017872801771968077,0.0001618436183608926,0.00014495921900210446,0.00012807481964331632,0.00011119042028452817,0.00010618330967293512,0.00010117619906134204,9.616908844974893e-05,9.116197783815584e-05,8.615486722656277e-05,8.221548681308232e-05,7.827610639960185e-05,7.43367259861214e-05,7.039734557264095e-05,6.64579651591605e-05,6.338964200232894e-05,6.0321318845497375e-05,5.7252995688665815e-05,5.418467253183424e-05,5.111634937500268e-05,4.662265979820085e-05,4.311880801304485e-05,3.961495622788904e-05,3.611110444273184e-05,3.260725265757583e-05,2.9103400872420026e-05,2.5599549087264216e-05,2.2095697302108213e-05,1.859184551695242e-05,1.5087993731796552e-05,1.158414194664068e-05,8.08029016148479e-06,4.576438376328923e-06,1.0725865911716812e-06,-2.4312651939842004e-06,-5.93511697914007e-06,-9.43896876429594e-06,-1.294282054945181e-05,-1.644667233460768e-05,-1.9950524119763486e-05
