model,scenario,region,sector,product_long,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,singapore,Electric Power,Offshore wind energy,% Adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,singapore,Electric Power,Onshore wind energy,% Adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006683955513310836,0.0006590522878565199,0.0006433314623477587,0.0006564420798758872,0.0006564420798758874,0.0006564420798758873,0.0006564420798758874,0.0006564420798758874,0.0006564420798758873,0.0006564420798758873,0.0006564420798758874,0.0006564420798758875,0.0006564420798758875,0.0006564420798758875,0.0006564420798758875,0.0006564420798758876,0.0006564420798758875,0.0006564420798758875,0.0006564420798758874,0.0006564420798758875,0.0006564420798758875,0.0006564420798758875,0.0006564420798758875,0.0006564420798758874,0.0006564420798758875,0.0006564420798758873,0.0006564420798758873,0.0006564420798758874,0.0006564420798758875,0.0006564420798758873,0.0006564420798758873,0.0006564420798758873,0.0006564420798758873,0.0006564420798758874,0.0006564420798758875,0.0006564420798758874,0.0006564420798758874,0.0006564420798758873,0.0006564420798758874,0.0006564420798758874,0.0006564420798758875,0.0006564420798758874,0.0006564420798758875,0.0006564420798758875,0.0006564420798758875,0.0006564420798758875,0.0006564420798758876,0.0006564420798758877,0.0006564420798758876,0.0006564420798758875,0.0006564420798758876,0.0006564420798758876,0.0006564420798758875,0.0006564420798758876
PD22,baseline,singapore,Electric Power,Rooftop solar photovoltaics,% Adoption,0.002581522323714295,0.004163619851098545,0.006634215712374428,0.008505620797743843,0.01847054191597848,0.032851302625564974,0.06783645837931267,0.08020746615973004,0.10691560475046546,0.18105332487549747,0.2236659463333917,0.22366594633339174,0.22366594633339174,0.2236659463333918,0.22366594633339174,0.22366594633339174,0.2236659463333917,0.22366594633339174,0.22366594633339174,0.22366594633339174,0.2236659463333918,0.22366594633339174,0.2236659463333918,0.22366594633339174,0.22366594633339174,0.22366594633339174,0.2236659463333918,0.22366594633339174,0.2236659463333917,0.2236659463333917,0.2236659463333917,0.22366594633339174,0.2236659463333917,0.2236659463333917,0.2236659463333917,0.22366594633339174,0.2236659463333917,0.2236659463333917,0.2236659463333917,0.22366594633339165,0.2236659463333917,0.22366594633339174,0.2236659463333917,0.2236659463333917,0.2236659463333917,0.2236659463333917,0.2236659463333917,0.22366594633339174,0.2236659463333917,0.22366594633339174,0.22366594633339174,0.22366594633339174,0.22366594633339174,0.2236659463333918,0.2236659463333918,0.22366594633339174,0.22366594633339174,0.2236659463333918,0.2236659463333918,0.22366594633339174,0.2236659463333918
PD22,baseline,singapore,Electric Power,Utility solar photovoltaics,% Adoption,0.006453805809285736,0.010409049627746364,0.01658553928093607,0.021264051994359608,0.04617635478994619,0.08212825656391243,0.16959114594828167,0.20051866539932506,0.26728901187616366,0.4526333121887437,0.5591648658334792,0.5591648658334794,0.5591648658334794,0.5591648658334795,0.5591648658334794,0.5591648658334794,0.5591648658334794,0.5591648658334795,0.5591648658334795,0.5591648658334795,0.5591648658334795,0.5591648658334795,0.5591648658334796,0.5591648658334795,0.5591648658334795,0.5591648658334794,0.5591648658334795,0.5591648658334794,0.5591648658334794,0.5591648658334794,0.5591648658334794,0.5591648658334794,0.5591648658334794,0.5591648658334794,0.5591648658334794,0.5591648658334795,0.5591648658334794,0.5591648658334792,0.5591648658334794,0.5591648658334792,0.5591648658334794,0.5591648658334794,0.5591648658334794,0.5591648658334794,0.5591648658334794,0.5591648658334794,0.5591648658334795,0.5591648658334795,0.5591648658334794,0.5591648658334795,0.5591648658334794,0.5591648658334794,0.5591648658334794,0.5591648658334795,0.5591648658334795,0.5591648658334795,0.5591648658334795,0.5591648658334795,0.5591648658334796,0.5591648658334795,0.5591648658334796
PD22,pathway,singapore,Electric Power,Offshore wind energy,% Adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4328102904908499,0.6080013973433709,0.8443676832867086,1.1619982800759119,1.5872410097691227,2.1483966497575477,2.893732900144315,3.879225890127362,5.175068512511843,6.867214697906632,9.0581610391473,11.862347060129109,15.400736638529839,19.78699390843505,25.107382137658853,31.39673695796505,38.60951613378499,46.56085491136723,55.01531016784483,63.71395442648263,72.40742843097779,80.83906787547532,88.83858243674763,92.75306043399048,92.77340402335157,92.75806986881491,92.71726174042647,92.65963695260444,92.59224925152296,92.520593262116,92.44873923767473,92.379528647616,92.31479701147705,92.25559558316283,92.20239261728159,92.15524407902939,92.11393079703159,92.07806370379878,92.04716128120671,92.02070423891644,91.99817239904941,91.97906820232265,91.96293049719819,91.94934150557901,91.93792916817652,91.92836649588357,91.92036909472733,91.9136916800398,91.9081241331155,91.9034874627361
PD22,pathway,singapore,Electric Power,Onshore wind energy,% Adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006683955513310836,0.0006590522878565198,0.0006433314623477587,0.0006564420798758873,0.0007754787120616447,0.0008741654574625985,0.0009840981088610394,0.001110690902939933,0.001260674627951142,0.0014384037171845216,0.0016583208592987522,0.001933120178368984,0.002278297914529277,0.0027123542885064576,0.0032569109605804798,0.003935264529911639,0.004771500787379471,0.005787519976906629,0.00699912380278345,0.008411677369355112,0.010014696770836353,0.0117686672166133,0.013628528063009258,0.015547616612140552,0.01748234136054221,0.019384878813328975,0.02122339178986009,0.02212927954163558,0.022144486717310632,0.022178192576170225,0.02222229090722534,0.022270576842688145,0.022318675168879497,0.02236378891960412,0.022404362953428906,0.022439741478936064,0.02246986844491266,0.022495051468360526,0.02251579051534059,0.02253266229806057,0.022546247837722667,0.02255709100958675,0.022565677964003564,0.022572429796829177,0.02257770308594497,0.022581794691930227,0.022584948527217277,0.022587362903742463,0.02258919766980896,0.022590580729885915,0.02259161377566002,0.022592377193665827,0.022592934189685186,0.022593334206631795
PD22,pathway,singapore,Electric Power,Rooftop solar photovoltaics,% Adoption,0.002581522323714295,0.004163619851098545,0.006634215712374429,0.008505620797743842,0.01847054191597848,0.03285130262556498,0.06783645837931268,0.08020746615973004,0.10691560475046544,0.18105332487549744,0.22366594633339174,0.24548599606150825,0.2695219877312504,0.2935017458486714,0.31791925899452006,0.3432925993125078,0.3691305713505904,0.39717062567449885,0.4279761365291306,0.46212496133539555,0.5001868037991175,0.5427277007449979,0.5901264769285198,0.642643615087725,0.7003008025499577,0.7628216086500001,0.8296444398156615,0.8998616912928066,0.9714947911084824,1.0437434167614654,1.1166988965967006,1.191067916290074,1.2671497923716664,1.3458065738294385,1.3750975120189677,1.3604962042201043,1.3572797226227644,1.3628061485181235,1.3747748404906697,1.3912187716474849,1.4104960395755513,1.43127542016187,1.452514026832538,1.4734276839844995,1.493456214394891,1.5122264719638856,1.5295158333211873,1.5452182909986687,1.5593145451436823,1.5718467720992242,1.582898169212904,1.5925769742664204,1.6010044247935573,1.6083060231739679,1.6146054673817796,1.6200206581632393,1.6246612729266863,1.6286274852239573,1.6320094943568346,1.6348876059491666,1.6373326686844047
PD22,pathway,singapore,Electric Power,Utility solar photovoltaics,% Adoption,0.006453805809285736,0.010409049627746365,0.016585539280936073,0.0212640519943596,0.04617635478994619,0.08212825656391246,0.1695911459482817,0.20051866539932506,0.2672890118761636,0.45263331218874364,0.5591648658334794,0.6057570458882301,0.6664838269322987,0.7283063104264013,0.792999401977601,0.8625745987267788,0.9367038004678765,1.0209241185236404,1.1181709442662944,1.2317917491335248,1.365520162200095,1.5234905941489052,1.7096668771880597,1.9278573829962107,2.18108563243226,2.470982455088951,2.7972960348206377,3.157128807745512,3.5417724692739316,3.944387396790846,4.359862265313621,4.784678154780045,5.2135663061190805,5.643957768811376,5.8497127744489035,5.843955285711012,5.86247221598615,5.89770982014819,5.943317630062203,5.994213301660668,6.046546909388857,6.0975809792099795,6.145517584072537,6.189305436093533,6.228453150973926,6.262865120239192,6.2927074253513595,6.31830466413202,6.34006466004796,6.358426268730059,6.373825162073826,6.386672923598232,6.397345578191856,6.40617853110063,6.413465664135466,6.419460975990426,6.424381650459858,6.428411806273059,6.431706448409708,6.434395326745649,6.4365865343728705
PD22,baseline,singapore,Transportation,Rail – Heavy-duty,% Adoption,0.32226084393183196,0.3223334934542177,0.3363680200686079,0.3408284386199196,0.35152376949531206,0.3321047924881485,0.3337950582772235,0.3324382679935638,0.3568739344188394,0.3751275873868362,0.36399577361656693,0.36213074271721196,0.3604150211774385,0.35883123969833197,0.3573647423933959,0.3560029665067843,0.3699288676973986,0.3833117023711341,0.3961826298099177,0.4085704702811625,0.4205019204715169,0.4691531568902023,0.5160674076749553,0.5613360642511406,0.6050442171433895,0.6472711897872996,0.7320838174590315,0.8141151476653117,0.8934997857700012,0.9703637891113713,1.0448253349437477,1.1620590573339025,1.2754301636020704,1.3851264580468228,1.4913237641600436,1.5941868650102036,1.7241668257126153,1.8508822728827552,1.974454666163286,2.0949995136307966,2.212626731920286,2.278328125913046,2.3756428479068505,2.470453059331489,2.562854216698222,2.6529369864227648,2.740787541566424,2.826487836788698,2.910115863353624,2.991745885859386,3.0714486622000408,3.1492916481300886,3.2253391876734634,3.299652690508233,3.3722907973531417,3.4433095342934568,3.512762456898824,3.5807007849128714,3.647173528225637,3.712227604781128,3.7759079510147586
PD22,baseline,singapore,Transportation,Rail – Light-duty,% Adoption,0.05686956069385269,0.056882381197803124,0.059359062365048454,0.06014619505057405,0.06203360638152566,0.05860672808614385,0.05890501028421592,0.05866557670474654,0.06297775313273636,0.06619898600944168,0.06423454828527651,0.06390542518539034,0.06360265079601855,0.06332315994676445,0.06306436630471692,0.06282405291296193,0.06528156488777621,0.06764324159490602,0.06991458173116194,0.07210067122608749,0.07420622125967945,0.08279173356885923,0.0910707190014627,0.09905930545608362,0.10677250890765698,0.11422432760952346,0.12919126190453495,0.1436673789997609,0.15767643278294136,0.1712406686667126,0.18438094146066136,0.20506924541186516,0.22507591122389478,0.24443408083179227,0.263174781910596,0.28132709382533,0.30426473394928505,0.326626283449898,0.3484331763817564,0.3697057965230818,0.3904635409271094,0.4020579045728905,0.4192310908070912,0.4359623045879098,0.45226839118203915,0.4681653505451938,0.4836683896881923,0.49879197119800545,0.5135498582388747,0.5279551563281268,0.5420203521529482,0.5557573496700153,0.5691775037070814,0.5822916512661583,0.5951101407093775,0.6076428589929626,0.6198992570997921,0.6318883738081534,0.6436188579221708,0.6550989890790221,0.666336697237898
