REGION,VARIABLE,UNIT,VALUE,YEAR
World,Final Energy|Residential and Commercial|Liquids,EJ/yr,17.67109486,2010
World,Final Energy|Residential and Commercial|Solids,EJ/yr,39.81456241,2010
World,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,34.42503774,2010
World,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,5.389524671,2010
World,Final Energy|Solids,EJ/yr,92.85753877,2010
World,Final Energy|Solids|Biomass,EJ/yr,47.50995705,2010
World,Final Energy|Solids|Biomass|Traditional,EJ/yr,29.12531717,2010
World,Final Energy|Solids|Coal,EJ/yr,45.34758172,2010
ASIA,Final Energy|Transportation,EJ/yr,17.52406905,2010
LAM,Final Energy|Transportation,EJ/yr,8.099291251,2010
MAF,Final Energy|Transportation,EJ/yr,9.162312767,2010
OECD90,Final Energy|Transportation,EJ/yr,52.87960717,2010
REF,Final Energy|Transportation,EJ/yr,5.564419951,2010
World,Final Energy|Transportation,EJ/yr,93.2297002,2010
World,Final Energy|Transportation|Electricity,EJ/yr,1.297297434,2010
World,Final Energy|Transportation|Freight,EJ/yr,35.81965226,2010
World,Final Energy|Transportation|Gases,EJ/yr,0.498124375,2010
World,Final Energy|Transportation|Hydrogen,EJ/yr,0.036026477,2010
World,Final Energy|Transportation|Liquids,EJ/yr,91.18686271,2010
World,Final Energy|Transportation|Passenger,EJ/yr,57.41004793,2010
World,Forcing|CO2|MAGICC6|MED,W/m2,1.846762201,2010
World,Forcing|Kyoto Gases|MAGICC6|MED,W/m2,2.546614954,2010
World,Forcing|MAGICC6|MED,W/m2,2.154388305,2010
ASIA,GDP|MER,billion US$2005/yr,7271.30694,2010
LAM,GDP|MER,billion US$2005/yr,3083.1822,2010
MAF,GDP|MER,billion US$2005/yr,2113.13052,2010
OECD90,GDP|MER,billion US$2005/yr,31257.60444,2010
REF,GDP|MER,billion US$2005/yr,1323.75534,2010
World,GDP|MER,billion US$2005/yr,45048.97944,2010
World,Land Cover,million Ha/yr,12824.19001,2010
World,Land Cover|Cropland,million Ha/yr,1079.025633,2010
World,Land Cover|Cropland|Energy Crops,million Ha/yr,0,2010
World,Land Cover|Forest,million Ha/yr,4131.606187,2010
World,Land Cover|Other Arable Land,million Ha/yr,470.2424255,2010
World,Land Cover|Other Land,million Ha/yr,3844.739134,2010
World,Land Cover|Pasture,million Ha/yr,3298.576634,2010
ASIA,Population,million,3687.957,2010
LAM,Population,million,584.391,2010
MAF,Population,million,1243.382,2010
OECD90,Population,million,993.503,2010
REF,Population,million,401.8,2010
World,Population,million,6911.033,2010
World,Price|Carbon,US$2005/t CO2,0,2010
ASIA,Primary Energy,EJ/yr,163.4126106,2010
LAM,Primary Energy,EJ/yr,31.59572896,2010
MAF,Primary Energy,EJ/yr,56.0475255,2010
OECD90,Primary Energy,EJ/yr,194.8945642,2010
REF,Primary Energy,EJ/yr,56.01433759,2010
World,Primary Energy,EJ/yr,501.9647668,2010
World,Primary Energy|Biomass,EJ/yr,51.38761822,2010
World,Primary Energy|Biomass|w/ CCS,EJ/yr,0,2010
World,Primary Energy|Biomass|w/o CCS,EJ/yr,51.38761822,2010
World,Primary Energy|Coal,EJ/yr,146.840261,2010
World,Primary Energy|Coal|w/ CCS,EJ/yr,0,2010
World,Primary Energy|Coal|w/o CCS,EJ/yr,146.840261,2010
World,Primary Energy|Fossil,EJ/yr,431.116208,2010
World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.0266799,2010
World,Primary Energy|Fossil|w/o CCS,EJ/yr,431.0895281,2010
World,Primary Energy|Gas,EJ/yr,114.56201,2010
World,Primary Energy|Gas|w/ CCS,EJ/yr,0,2010
World,Primary Energy|Gas|w/o CCS,EJ/yr,114.56201,2010
World,Primary Energy|Geothermal,EJ/yr,0.5104724,2010
