Variable,Unit,Model,Year,Value
"Atm conc CO2
",ppm,Baseline,1900,293.72
"Atm conc CO2
",ppm,Baseline,1901,294.03
"Atm conc CO2
",ppm,Baseline,1902,294.34
"Atm conc CO2
",ppm,Baseline,1903,294.59
"Atm conc CO2
",ppm,Baseline,1904,294.73
"Atm conc CO2
",ppm,Baseline,1905,294.91
"Atm conc CO2
",ppm,Baseline,1906,295.17
"Atm conc CO2
",ppm,Baseline,1907,295.49
"Atm conc CO2
",ppm,Baseline,1908,295.83
"Atm conc CO2
",ppm,Baseline,1909,296.15
"Atm conc CO2
",ppm,Baseline,1910,296.5
"Atm conc CO2
",ppm,Baseline,1911,296.86
"Atm conc CO2
",ppm,Baseline,1912,297.21
"Atm conc CO2
",ppm,Baseline,1913,297.54
"Atm conc CO2
",ppm,Baseline,1914,297.83
"Atm conc CO2
",ppm,Baseline,1915,298.11
"Atm conc CO2
",ppm,Baseline,1916,298.42
"Atm conc CO2
",ppm,Baseline,1917,298.77
"Atm conc CO2
",ppm,Baseline,1918,299.14
"Atm conc CO2
",ppm,Baseline,1919,299.49
"Atm conc CO2
",ppm,Baseline,1920,299.82
"Atm conc CO2
",ppm,Baseline,1921,300.16
"Atm conc CO2
",ppm,Baseline,1922,300.46
"Atm conc CO2
",ppm,Baseline,1923,300.79
"Atm conc CO2
",ppm,Baseline,1924,301.16
"Atm conc CO2
",ppm,Baseline,1925,301.51
"Atm conc CO2
",ppm,Baseline,1926,301.86
"Atm conc CO2
",ppm,Baseline,1927,302.21
"Atm conc CO2
",ppm,Baseline,1928,302.58
"Atm conc CO2
",ppm,Baseline,1929,302.95
"Atm conc CO2
",ppm,Baseline,1930,303.29
"Atm conc CO2
",ppm,Baseline,1931,303.59
"Atm conc CO2
",ppm,Baseline,1932,303.85
"Atm conc CO2
",ppm,Baseline,1933,304.1
"Atm conc CO2
",ppm,Baseline,1934,304.38
"Atm conc CO2
",ppm,Baseline,1935,304.7
"Atm conc CO2
",ppm,Baseline,1936,305.05
"Atm conc CO2
",ppm,Baseline,1937,305.44
"Atm conc CO2
",ppm,Baseline,1938,305.83
"Atm conc CO2
",ppm,Baseline,1939,306.21
"Atm conc CO2
",ppm,Baseline,1940,306.61
"Atm conc CO2
",ppm,Baseline,1941,307.04
"Atm conc CO2
",ppm,Baseline,1942,307.47
"Atm conc CO2
",ppm,Baseline,1943,307.89
"Atm conc CO2
",ppm,Baseline,1944,308.3
"Atm conc CO2
",ppm,Baseline,1945,308.65
"Atm conc CO2
",ppm,Baseline,1946,308.94
"Atm conc CO2
",ppm,Baseline,1947,309.26
"Atm conc CO2
",ppm,Baseline,1948,309.6
"Atm conc CO2
",ppm,Baseline,1949,309.93
"Atm conc CO2
",ppm,Baseline,1950,310.25
"Atm conc CO2
",ppm,Baseline,1951,310.61
"Atm conc CO2
",ppm,Baseline,1952,310.97
"Atm conc CO2
",ppm,Baseline,1953,311.32
"Atm conc CO2
",ppm,Baseline,1954,311.67
"Atm conc CO2
",ppm,Baseline,1955,312.04
"Atm conc CO2
",ppm,Baseline,1956,312.46
"Atm conc CO2
",ppm,Baseline,1957,312.93
"Atm conc CO2
",ppm,Baseline,1958,313.43
"Atm conc CO2
",ppm,Baseline,1959,314.09
"Atm conc CO2
",ppm,Baseline,1960,314.99
"Atm conc CO2
",ppm,Baseline,1961,315.87
"Atm conc CO2
",ppm,Baseline,1962,316.72
"Atm conc CO2
",ppm,Baseline,1963,317.54
"Atm conc CO2
",ppm,Baseline,1964,318.29
"Atm conc CO2
",ppm,Baseline,1965,318.95
"Atm conc CO2
",ppm,Baseline,1966,319.66
"Atm conc CO2
",ppm,Baseline,1967,320.45
"Atm conc CO2
",ppm,Baseline,1968,321.33
"Atm conc CO2
",ppm,Baseline,1969,322.28
"Atm conc CO2
",ppm,Baseline,1970,323.31
"Atm conc CO2
",ppm,Baseline,1971,324.46
"Atm conc CO2
",ppm,Baseline,1972,325.68
"Atm conc CO2
",ppm,Baseline,1973,326.96
"Atm conc CO2
",ppm,Baseline,1974,328.26
"Atm conc CO2
",ppm,Baseline,1975,329.48
"Atm conc CO2
",ppm,Baseline,1976,330.66
"Atm conc CO2
",ppm,Baseline,1977,331.92
"Atm conc CO2
",ppm,Baseline,1978,333.23
"Atm conc CO2
",ppm,Baseline,1979,334.58
"Atm conc CO2
",ppm,Baseline,1980,335.93
"Atm conc CO2
",ppm,Baseline,1981,337.22
"Atm conc CO2
",ppm,Baseline,1982,338.44
"Atm conc CO2
",ppm,Baseline,1983,339.52
"Atm conc CO2
",ppm,Baseline,1984,340.57
"Atm conc CO2
",ppm,Baseline,1985,341.74
"Atm conc CO2
",ppm,Baseline,1986,343.03
"Atm conc CO2
",ppm,Baseline,1987,344.41
"Atm conc CO2
",ppm,Baseline,1988,345.89
"Atm conc CO2
",ppm,Baseline,1989,347.44
"Atm conc CO2
",ppm,Baseline,1990,349.03
"Atm conc CO2
",ppm,Baseline,1991,350.63
"Atm conc CO2
",ppm,Baseline,1992,352.11
"Atm conc CO2
",ppm,Baseline,1993,353.46
"Atm conc CO2
",ppm,Baseline,1994,354.89
"Atm conc CO2
",ppm,Baseline,1995,356.45
"Atm conc CO2
",ppm,Baseline,1996,358.13
"Atm conc CO2
",ppm,Baseline,1997,359.95
"Atm conc CO2
",ppm,Baseline,1998,361.81
"Atm conc CO2
",ppm,Baseline,1999,363.52
"Atm conc CO2
",ppm,Baseline,2000,365.27
"Atm conc CO2
",ppm,Baseline,2001,367.06
"Atm conc CO2
",ppm,Baseline,2002,368.89
"Atm conc CO2
",ppm,Baseline,2003,370.79
"Atm conc CO2
",ppm,Baseline,2004,372.78
"Atm conc CO2
",ppm,Baseline,2005,374.88
"Atm conc CO2
",ppm,Baseline,2006,377.06
"Atm conc CO2
",ppm,Baseline,2007,379.28
"Atm conc CO2
",ppm,Baseline,2008,381.52
"Atm conc CO2
",ppm,Baseline,2009,383.78
"Atm conc CO2
",ppm,Baseline,2010,386.08
"Atm conc CO2
",ppm,Baseline,2011,388.5
"Atm conc CO2
",ppm,Baseline,2012,390.99
"Atm conc CO2
",ppm,Baseline,2013,393.47
"Atm conc CO2
",ppm,Baseline,2014,395.91
