Region,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tanzania,MtCO2e,289.78,289.98,290,290.45,290.54,294.59,296.82,281.96,299.73,294.65,269.19,310.18,297.08,320.69,323.55,339.9,309.19,320.64,324.7,315.62,316.84,312.03,309.58,309.94,312.99,326.73,319.78,321.06
Vietnam,MtCO2e,25.63,28.49,31,37.69,43.31,49.46,56.03,63.8,75,78.24,86.24,118.02,135.41,141.61,159.76,169.64,184.78,200.5,209.45,231.71,251.16,235.76,237.24,249.25,263.12,306.26,320.67,319.54
Spain,MtCO2e,228.8,234.98,244.81,230.02,242.96,256.87,250.17,271.75,281.34,305.93,323.41,321.25,337.93,347.31,363.3,378.36,385.94,401.62,368.38,331.69,316.43,316.29,309.75,283.43,281.94,292.59,282.81,299.35
Kazakhstan,MtCO2e,309.03,319.08,320,278.37,253.4,221.73,193.9,166.14,165.38,149.24,148.47,148.46,164.95,176.44,193.94,206.01,227.47,235.75,282.06,251.28,277.17,294.12,294.12,307.49,258.13,259.7,274.51,280.64
United Arab Emirates,MtCO2e,68.52,75.06,73.63,76.57,83.17,89.59,94.9,102.67,107.2,111.5,112.15,127.32,131.54,139.26,147.97,156.65,162.74,174.06,199.68,201.86,208.37,214.42,226.35,237.42,239.81,252.64,259.43,269.6
Ukraine,MtCO2e,874.8,829.21,739.35,650.28,554.99,524.41,460.09,435.61,407.75,404.08,385.49,408.78,417.07,443.02,407.79,388.56,396.22,405.51,392.02,332.08,348.29,386.56,377.22,360.99,331.87,282.19,283.65,257.61
Myanmar,MtCO2e,176.98,176.43,178.98,181.66,184.18,187.26,176.69,174.38,180.71,186.24,183.01,159.98,157.08,169.8,193.6,179.75,183.72,199.44,176.88,190.43,198.11,194.25,206.74,209.56,218.77,223.92,220.03,232.41
Democratic Republic of the Congo,MtCO2e,203.63,202.53,202.92,203.3,203.63,203.61,210.13,216.1,218.25,210.66,206.71,196.32,197.7,203.93,208.27,210.94,209.12,207.98,210.07,210.81,211.73,214.73,214.31,222.94,219.12,219.91,224.74,224.39
Uzbekistan,MtCO2e,196.29,199.02,188.83,220.73,198.17,189.42,191.88,186.36,197.34,204.19,223.95,227.97,231.79,226.78,229.27,226.32,250.41,248.41,257.9,231.69,237.07,225.94,213.95,216.53,209.67,206.45,213.33,218.55
Colombia,MtCO2e,273.46,275.22,278.88,282.9,284.99,288.01,285.3,290.34,292.06,281.75,286.06,309.75,308.78,318.22,319.56,315.33,309.99,317.95,316.82,320.76,325.18,182.62,181.2,188.01,195.2,195.22,222.64,216.67
Algeria,MtCO2e,96,94.87,94.5,102.03,99.78,103.99,105.3,109.39,114.73,120.71,127.66,125.25,132.49,138.28,142.17,147.68,145.89,153.14,156.4,166.21,167.32,179.68,189.89,193.59,203.79,211.66,209.41,211.5
Bangladesh,MtCO2e,116.27,116.46,118.36,119.56,122.01,127.04,126.94,129.18,129.22,133.35,135.51,139.33,142.55,144.36,147.17,150.54,146.35,148.65,157.69,160.23,169.59,182.65,184.96,188.82,193.91,202.95,203.15,211.05
Cameroon,MtCO2e,136.74,136.43,136.38,140.56,196.99,197.04,191.95,192.8,196.63,195.88,197.55,196.88,195.3,203.03,199.67,206.77,197.71,202.39,204.65,202.27,201.34,200.89,199.12,208.97,202.92,207.73,208.95,210.23
South Sudan,MtCO2e,230.2,231.15,233.79,235.95,237.98,238.71,204.57,215.84,232.8,230.27,232.78,324.96,399.95,309.64,377.56,343.69,259.85,259.44,270.5,383.2,286.36,340.26,323.94,232.33,146.51,205.79,211.18,209.42
Iraq,MtCO2e,77.78,57.43,79.14,102.14,113.17,109.13,110.9,129.45,95.9,79.31,89.67,101.22,93.82,85.79,90.04,104.18,99.69,93.86,103.39,126.64,139.87,151.57,173.56,184.88,191.69,183.95,195.4,198.78
Paraguay,MtCO2e,107.63,104.63,104,104.21,104.2,106.21,102.33,103.53,103.75,106.94,102.37,109.93,112.43,112.26,109.45,111.35,166.3,170.4,166.91,169.08,172.01,187.78,189.46,193.59,193.01,193.59,194.87,196.32
Ethiopia,MtCO2e,102.7,104.47,107.01,102.6,105,107.13,104.07,106.75,116.98,117.95,111.27,122.38,141.72,136.68,138.18,132.49,144.5,144.67,157.29,160.55,164.7,150.22,166.04,176.96,173.03,178.36,189.82,193.63
Netherlands,MtCO2e,204.68,210.04,209.42,214.94,214.68,220.08,231.01,222.21,222.35,209.9,207.84,209.27,208.76,208.7,210.26,204.61,198.11,198,195.77,190.52,201.32,188.3,186.53,186.1,178.8,187.75,187.8,184.19
Angola,MtCO2e,150.61,151.28,151.61,152.39,152.54,156.9,161.39,156.01,170.08,161.98,161.87,143.61,164.51,181,193.17,191.84,165.81,196.13,173.99,180.66,186.83,220.92,185.95,203.34,185.1,207.66,182.19,176.85
Peru,MtCO2e,88.47,87.24,88.1,89.27,91.8,96.58,99.29,101.23,101.51,105.37,105.93,103.97,106.08,106.38,110.37,115.5,137.62,144.16,146.27,149.96,156.24,159.06,159.98,161.44,164.31,166.4,169.48,167.46
Philippines,MtCO2e,93.39,93.45,95.59,101.1,108.87,121.06,129.78,138.4,132.26,137.86,139.77,153.25,155.12,158.19,161.94,163.38,174.38,180.05,183.12,185.21,191.4,103.12,108.26,119.66,127.66,136.84,149.76,166.2
Malaysia,MtCO2e,211.78,219.34,226.07,229.46,236.38,244.01,251.87,262.36,293.71,270.82,281.66,307.49,326.86,335.37,361.58,375.09,203.8,229.36,241.22,243.65,251.52,128.18,128.4,147.31,179.88,164.9,162.95,158.12
Sudan,MtCO2e,109.25,110.09,113.56,115.36,119.71,120.64,110.48,115.6,121.95,122.43,125.75,150.74,178.48,152.71,173.1,167.27,142.42,147.02,150.99,185.1,155.22,172.47,143.02,142.66,143.79,147.4,151.83,153.25
Bolivia,MtCO2e,110.14,110.93,112.75,114.52,116.59,116.17,112.76,113.79,114.8,120.27,110.87,110.27,118.68,114.67,133.05,128.59,133.63,142.6,135.82,133.38,169.87,142.83,137.67,137.6,138.71,141.95,150.52,151.7
Turkmenistan,MtCO2e,80.22,70.92,56.9,54,58.16,60.11,57.6,58.68,60.26,67.31,70.33,73.34,77.18,84.6,88.89,89.31,89.96,94.62,94.59,86.35,92.39,101.67,108.99,114.46,120.04,126.6,126.56,126.12
Czech Republic,MtCO2e,169.71,152.99,148.54,143.83,136.55,136.52,138.14,135.64,129.01,120.91,131.55,131.51,125.89,130.23,130.78,127.72,134.19,137.17,132.11,124.47,127.55,119.21,115.81,110.52,107.8,109.72,111.53,111.57
Kuwait,MtCO2e,32.04,38.73,26.32,32.96,37.79,38.21,37.78,39.27,45.49,49.75,53.57,57.47,60.41,62.99,67.13,77.54,78.25,77.97,82.86,85.57,89.19,93.57,97.44,100.53,100.29,106.8,109.81,111.43
