Region,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Guyana,MtCO2e,22.41,22.64,22.63,22.76,23.06,23.41,14.1,14.12,17.72,12.93,12.36,16.29,17.79,46.79,15.92,25.22,17.87,17.4,19.96,22.02,34.45,24.3,29.2,26.89,35.43,46.94,37.6,37.7
Jordan,MtCO2e,18.67,19.14,21.89,22.63,23.71,23.34,22.57,22.07,21.28,20.34,20.9,21.03,22.32,22.71,23.93,25.44,26.18,27.63,26.89,27.57,27.43,28.55,32.12,32.42,34.68,34.97,35.07,36.73
Lebanon,MtCO2e,7.22,8.71,8.77,12.15,13.11,15.37,16.4,18.61,18.95,19.93,18.77,20.04,20.02,20.7,21.25,20.68,19.74,18.73,22.47,25.91,25.01,25.75,28.35,28.35,30.3,32.66,33.77,35.59
Slovakia,MtCO2e,57.06,49.02,46.48,43.8,41.09,41.68,41.72,41.53,40.34,38.88,36.29,37.62,37.06,37.35,36.7,37.58,39.9,38.92,38.8,35.15,36.74,36.56,34.25,34.9,32.24,32.66,33.48,35.38
Senegal,MtCO2e,21.15,21.54,22.09,22.43,22.86,23.22,24.64,25.2,26.46,28.72,28.76,28.15,27.47,25.64,27.69,28.66,29.08,28.42,30.08,29.76,31.35,30.96,30.06,31.32,32.25,32.77,34.92,34.98
Côte d'Ivoire,MtCO2e,5.09,10.81,16.4,22.09,27.93,27.67,26.94,27.78,27.82,29.06,28.23,24.15,23.03,20.2,17.89,18.56,31.33,30.86,29.4,27.71,26.15,25.04,26.74,27.53,27.3,28.57,30.2,31.56
Cuba,MtCO2e,19.8,10.93,4.99,1.21,2.53,4.3,7.33,9.77,9.25,9.6,9.93,10.95,9.66,8.85,8.42,8.71,79.98,80.97,80.42,81.84,84.89,32.19,32.25,30.97,30.6,30.78,31.75,28.56
Dominican Republic,MtCO2e,5.92,7.08,8.59,9.11,11.11,11.63,12.53,14.22,16.11,16.76,17.52,19.65,22.04,19.72,18.98,20.43,22.09,23.3,23.47,22.98,24.31,24.69,25.44,25.24,25.49,27.86,29.11,28.28
Benin,MtCO2e,19.95,20.08,20.2,20.32,20.6,20.46,21.93,22.21,23.34,23.11,23.34,18.5,19.72,19.52,19.48,20.9,21.45,22.47,22.08,22.84,23.46,23.7,23.63,24.13,24.74,25.41,27.36,27.89
Bosnia and Herzegovina,MtCO2e,22.2,19.67,12.13,8.69,-1.64,-1.73,-0.63,4.23,7.09,7.2,10.91,18.57,18.66,19.57,20.26,20.88,22.77,24.06,25.84,26.01,26.01,29.33,27.49,27.1,24.53,24.76,27.28,27.53
Panama,MtCO2e,16.85,17.35,18.03,18.3,18.59,18.82,18.59,18.5,19.55,18.66,18.8,20.62,20.15,20.69,20.43,21.9,21.88,21.84,21.86,23.53,24.08,25.16,26.08,26.4,26.86,26.74,26.66,26.28
Uruguay,MtCO2e,3.25,4.87,6.48,7.02,6.91,7.11,8.39,8.06,7.64,8.65,6.76,18.03,18.36,19.27,21.21,21.52,18.05,17.01,19.64,19.17,16.64,27.16,27.82,26.94,26.34,26.16,26.52,25.54
Equatorial Guinea,MtCO2e,5.52,5.58,5.63,6.61,6.66,6.72,8.74,10.36,11.86,13.58,15.61,17.93,21.12,24.16,28.14,30.88,31.79,29.94,31.14,31.59,31.22,30.88,30.74,29.63,27.92,26.52,24.5,24.05
Norway,MtCO2e,30.6,28.03,28.58,30.43,31.97,31.3,32.17,33.78,35.36,37.31,31.92,25.59,25.07,27.02,27.52,26.27,25.26,25.87,24.46,23.79,28.14,27.15,26.01,25.09,25.36,25.63,25.02,23.88
Namibia,MtCO2e,16.6,17.91,17.86,17.82,18.01,18.12,18.27,18.04,19.07,19.04,20.42,19.88,18.12,18.36,19.03,20.52,22.23,21.07,19.26,22.51,21.6,26.07,27.52,21.05,20.36,20.7,20.3,22.75
Trinidad and Tobago,MtCO2e,15.44,14.36,13.31,13.85,14.41,14.59,14.85,15.39,15.8,16,16.27,17.2,17.91,17.26,18.01,21.78,24.75,24.79,24.04,23.28,25.91,25.91,25.12,26.02,25.49,25.1,22.35,22.59
Yemen,MtCO2e,12.37,14.02,14.8,13.92,14.3,15.82,16.48,17.82,19.24,21.07,22.25,23.84,24.03,26.98,28.24,29.33,29.68,31.41,33.06,36.97,35.61,32.39,31.47,38.35,38.81,26.05,22.74,22.07
Malawi,MtCO2e,18.06,17.36,16.48,15.74,14.47,14.91,15.5,15.55,15.87,15.73,16.38,17.9,17.21,18.07,17.75,18.8,17.34,17.77,18.39,18.23,19.37,17.13,18.12,18.8,19.83,20.77,21.32,21.99
Nicaragua,MtCO2e,39.44,38.08,38.99,39.66,39.98,39.36,38.9,39.74,40.72,41.29,41.86,41.98,42.44,44.77,43.09,44.78,43.91,44.01,44.2,43.99,44.83,16.96,17.02,17.97,19.14,19.4,20.44,20.23
Estonia,MtCO2e,35.18,31.39,23.75,17.94,17.06,15.31,16.21,15.77,15.17,14.02,13.6,21.39,21.33,23.01,23.13,23.25,16.57,20.4,18.89,15.47,19.47,21.81,20.6,23.03,21.66,19.24,19.45,20.04
Croatia,MtCO2e,17.1,10.59,11.62,12.5,12.59,13.87,13.2,14.69,15.05,14.66,13.76,14.53,15.53,16.63,16.39,16.29,19.05,20.67,19.74,17.17,16.61,22.11,20.14,19,18.27,18.87,18.9,19.55
Lithuania,MtCO2e,45.83,47.57,32.79,26.87,24.85,23.26,24.03,23.82,24.71,22,20.28,21.11,20.89,21.3,22.19,22.99,21.32,22.09,21.79,18.27,19.29,18.29,18.75,17.86,17.38,17.65,17.66,17.57
Georgia,MtCO2e,47.95,37.82,29.81,23.55,16.2,12.76,11.12,10.4,9.91,9.62,9.98,8.12,7.48,8.03,8.12,8.75,9.13,9.87,9,9.75,9.49,14.38,15.26,16.06,16.65,17.01,17.41,17.21
Brunei,MtCO2e,15.79,15.39,15.73,16.14,16.56,17.06,17.73,18.63,22.4,18.11,18.69,18.64,18.71,19.84,19.44,19.45,21.32,20.46,20.36,20.11,19.05,17.62,17.66,17.45,17.4,16.28,16.64,16.79
Kyrgyzstan,MtCO2e,30.12,27.86,20.3,15.46,10.28,7.59,8.53,8.43,8.64,7.3,7.26,6.66,7.62,8.25,8.4,8.08,25.06,26.31,27.48,27.11,26.78,13,15.56,15.08,15.6,16.25,15.81,15.5
Togo,MtCO2e,10.88,10.7,10.39,10.29,10.58,10.61,11.13,10.91,11.88,12.35,11.94,11.69,12.19,12.67,12.47,13.44,12.65,12.49,12.71,14.27,14,14.59,14.07,13.89,13.61,14.41,14.86,14.73
Tajikistan,MtCO2e,17.88,17.01,14,11.16,8.69,8.1,7.47,7.71,7.64,7.17,6.82,6.76,6.71,6.95,7.66,7.78,8.32,9.01,9.36,9,9.03,9.34,10.13,10.54,11.99,12.55,13.93,14.54
Sierra Leone,MtCO2e,10.89,10.87,10.99,11.08,11.06,10.73,8.91,8.9,9.02,8.69,8.87,9.35,9.6,11.87,13.06,11.11,15.11,12.43,11.13,12.96,11.21,11.8,14.04,13.03,14.8,16,13.56,13.22
El Salvador,MtCO2e,8.04,8.89,9.3,9.84,10.52,10.77,10.68,11.52,11.6,11.77,11.63,12.24,12.44,12.96,13.27,13.61,14.04,14.66,14.09,13.7,13.45,13.28,13.43,12.72,13,13.49,13.46,12.83
Mauritania,MtCO2e,7.87,8.12,8,8.2,8.13,8.23,8.72,8.99,9.27,9.85,10.25,10.56,10.51,10.63,10.67,10.84,10.61,10.81,10.28,11.04,11.65,9.71,10.16,10.18,10.64,11.32,11.59,12.6
Timor-Leste,MtCO2e,4.03,4.11,4.11,4.14,4.23,4.25,4.26,4.27,4.29,4.18,4.25,8.49,9.55,10.39,11.18,12.16,13.2,13.49,13.86,14.18,14.48,13.05,13.04,13,12.98,13,12.87,12.49
Moldova,MtCO2e,37.09,31.01,25.85,22.46,19.39,17.33,15.55,13.84,12.38,11.02,10.17,10.77,10.9,11.56,11.49,11.78,11.47,11.77,11.54,10.86,11.62,11.56,11.31,10.48,11.1,11.64,11.81,11.89
Slovenia,MtCO2e,11.01,9.98,9.71,10.42,10.5,11.37,12.19,12.67,12.4,11.67,11.37,8.75,8.82,8.8,9.01,9.21,12.08,12.01,13,11.01,11.3,12.88,12.26,11.62,10.07,10.15,10.98,11.16
Macedonia,MtCO2e,13.25,12.58,11.99,11.99,11.54,11.18,12.7,11.53,12.3,11.4,11.11,13.12,12.51,13.41,13.2,13.57,12.37,12.87,12.61,11.91,11.75,12.71,12.16,11.24,10.82,10.56,10.53,10.99
Liberia,MtCO2e,19.6,19.33,19.21,19.04,18.87,18.73,17.9,18.06,18.25,18.27,18.42,18.52,18.59,19.21,19.19,19.14,20.08,19.77,19.8,24.79,20.37,7.6,8.5,8.84,11.34,15.06,10.67,10.65
Haiti,MtCO2e,5.21,5.44,5.86,5.5,4.99,5.79,6.07,6.5,6.63,6.76,7.24,7.43,7.66,7.7,7.58,7.67,7.72,8.13,8.15,8.2,8.73,9.11,8.85,9.14,9.51,9.83,10.02,10.04
Luxembourg,MtCO2e,12.03,12.51,12.2,12.4,11.56,9.41,9.5,8.99,8.32,8.7,8.66,9.96,10.75,11.15,12.59,12.82,12.63,12.04,11.96,11.38,11.98,11.83,11.58,11.05,10.56,10.05,9.78,9.92
Albania,MtCO2e,11.4,9.04,6.99,6.93,7.77,7.53,7.25,6.54,6.77,7.99,8.38,9.06,9.67,10.11,10.16,9.94,8.75,9.03,8.54,8.6,8.88,9.33,8.94,9.05,9.54,9.48,9.33,9.9
Jamaica,MtCO2e,9.49,9.49,10.28,10.47,10.51,10.82,11.12,11.26,11.8,12.08,12.21,12.33,12.44,12.85,12.75,12.72,14.13,13.99,11.4,9.83,9.26,9.43,9.08,9.56,9.32,9.22,9.76,9.22
Armenia,MtCO2e,24.44,25.07,14.95,8.76,6.24,6.84,5.78,6.39,6.31,5.8,6.15,6.26,5.92,6.35,6.74,7.46,7.9,8.57,9.11,8.02,7.88,8.23,9.22,9.15,9.12,9.11,9.36,9.13
Cyprus,MtCO2e,5.35,5.87,6.29,6.56,6.81,6.7,7.09,7.17,7.5,7.77,8.04,7.91,8.14,8.8,8.75,8.89,8.72,9.05,9.24,9.06,8.75,8.58,8.07,7.4,7.78,7.84,8.23,8.37
Eritrea,MtCO2e,5.03,5.56,6.6,6.59,7.29,7.9,8.41,8.88,8.88,9.04,9.13,8.1,7.9,7.9,7.79,7.65,7.48,7.91,7.95,8.22,8.08,8.3,8.21,8.09,7.98,7.82,7.9,8.02
Burundi,MtCO2e,12.42,12.53,12.56,12.59,12.53,12.61,11.99,12.16,12.4,12.08,12.22,9.2,10.17,10.39,9.55,8.87,3.15,2.69,3.45,3.82,4.03,7.55,7.36,8,7.56,7.52,7.95,8
Rwanda,MtCO2e,13.41,13.39,13.32,13.24,13.11,12.87,12.37,12.61,12.75,12.84,12.73,-5.74,-5.71,-3.79,-5.12,-4.55,4.05,3.18,4.73,3.92,4.44,5.41,5.28,6.42,5.24,7.76,7.58,7.64
Suriname,MtCO2e,6.94,7.3,7.4,7.35,7.38,7.43,6.37,6.51,7.02,6.16,5.29,5.43,6.49,9.97,8.58,6.08,6.41,5.61,6.89,7.72,6.96,7.32,7.82,8.07,8.48,9.9,7.68,7.51
Mauritius,MtCO2e,2.25,2.36,2.45,2.61,2.68,2.74,2.92,3.03,3.3,3.83,4.27,4.58,4.6,4.79,4.82,5.01,5.25,5.39,5.5,5.49,5.77,5.81,5.97,6.1,6.31,6.35,6.51,6.71
Lesotho,MtCO2e,3.26,3.32,3.54,3.55,3.56,3.53,3.56,3.58,3.6,4.11,4.06,4.08,3.9,3.98,3.95,4.15,4.22,4.42,4.5,4.72,4.87,4.9,5.08,5.09,5.19,5.19,5.22,5.62
Belize,MtCO2e,13.23,13.44,13.66,13.73,13.84,12.75,9.8,8.6,7.88,6.67,5.63,7.21,9.66,10.25,6.93,9.32,7.58,9.85,8.42,8.01,9.32,7.22,3.52,7.63,3.58,5.28,4.94,4.96
Costa Rica,MtCO2e,15.28,15.55,16.65,16.71,17.1,16.67,16.52,16.61,17.36,17.18,17.04,3.57,3.56,4.98,3.93,4.51,4.81,6.22,6.36,5.94,6.2,3.01,3.07,3.63,3.6,3.49,4.59,4.76
Chile,MtCO2e,35.53,34.8,37.14,38.5,42.03,45.49,51.65,58.96,60.16,62.97,59.27,62.73,63.74,64.64,70.05,70.91,71.44,79.83,84.56,81.8,86.47,-4.71,-2.58,0.26,-5.81,0.36,3.62,4.63
Guinea-Bissau,MtCO2e,3.17,3.18,3.21,3.25,3.27,3.31,3.12,3.17,3.39,3.75,3.46,4.8,4.46,4.41,4.3,4.25,3.71,3.75,3.64,3.85,3.98,3.91,4.11,4.01,4.02,4.17,4.11,4.24
Barbados,MtCO2e,3.1,3.14,3.37,3.22,3.3,3.35,3.36,3.47,3.59,3.64,3.58,3.66,3.71,3.72,3.72,3.76,3.89,3.91,4.23,7.07,4.06,4.09,4.66,3.94,3.77,3.78,3.82,3.72
Montenegro,MtCO2e,1.36,1.35,1.23,1.24,1.25,1.32,1.34,1.36,1.37,1.35,1.3,1.24,1.24,1.25,1.1,2.87,-12.68,-12.83,-12.39,-13.46,-12.72,4.16,3.88,3.69,3.59,3.7,3.43,3.54
Iceland,MtCO2e,3.38,3.26,3.06,3.02,3.1,3.04,3.29,3.27,3.42,3.4,3.43,3.28,3.34,3.31,3.38,3.35,4.01,3.8,3.69,3.35,3.23,2.92,2.91,3.07,3.14,3.18,3.15,3.27
Eswatini,MtCO2e,2.91,2.94,2.89,2.62,2.94,2.94,2.85,3.18,3.29,3.31,3.22,3.05,3.09,3.12,3.13,3.16,3.05,3.36,3.21,3.08,3.1,3.12,3.19,3.69,3.12,3.17,3.38,3.24
Bahamas,MtCO2e,0.64,0.74,1.4,0.97,0.91,0.96,0.85,0.65,1.17,1.13,1.06,1.46,1.65,1.57,1.69,1.47,7.3,7.33,7.48,11.34,7.36,3.33,4.38,4.06,3.4,3.17,3.06,3.03
Solomon Islands,MtCO2e,2.09,2.1,2.11,2.13,2.15,2.16,2.18,2.19,2.21,2.22,2.24,2.26,2.28,2.3,2.34,2.38,2.32,2.33,2.33,2.35,2.36,2.76,2.78,2.83,2.8,2.78,2.86,2.88
Gambia,MtCO2e,3.97,4.13,4.24,4.37,3.91,3.44,3.33,3.01,2.74,2.68,2.33,2.09,1.75,1.56,1.46,1.33,1.49,1.52,1.7,2.08,2.17,1.93,2.03,2.1,2.25,2.3,2.32,2.4
Grenada,MtCO2e,1.84,1.86,1.92,1.91,1.93,1.96,1.99,2.02,2.06,2.07,2.07,2.45,2.48,2.5,2.49,2.51,2.01,2.04,2.06,2.59,2.08,2.27,2.41,2.32,2.26,2.29,2.31,2.33
Maldives,MtCO2e,0.21,0.21,0.28,0.26,0.27,0.33,0.35,0.42,0.4,0.52,0.56,0.59,0.72,0.64,0.86,0.84,1,1.01,1.02,1.08,1.14,1.22,1.38,1.39,1.66,1.66,2.12,2.24
Malta,MtCO2e,2.52,2.43,2.41,3.05,2.76,2.62,2.57,2.73,2.63,2.67,2.41,2.78,2.62,2.92,2.92,2.97,3.05,3.14,3.08,2.89,2.99,2.98,3.16,2.83,2.84,2.16,1.87,2.01
Djibouti,MtCO2e,0.99,1.01,1.02,1.04,1.05,1.1,1.15,1.18,1.19,1.23,1.27,1.28,1.31,1.33,1.32,1.36,1.36,1.4,1.41,1.4,1.46,1.42,1.46,1.52,1.43,1.51,1.47,1.46
Antigua and Barbuda,MtCO2e,0.34,0.35,0.43,0.41,0.42,0.44,0.47,0.5,0.55,0.57,0.59,0.65,0.71,0.74,0.75,0.78,0.95,1.01,1.06,2.02,1.13,1.07,1.29,1.06,1.08,1.1,1.14,1.17
Vanuatu,MtCO2e,0.47,0.48,0.5,0.53,0.54,0.54,0.57,0.57,0.57,0.58,0.56,0.56,0.55,0.58,0.56,0.58,0.58,0.7,0.7,0.7,0.71,0.75,0.75,0.75,0.81,0.81,0.84,0.84
Saint Lucia,MtCO2e,0.85,0.87,0.98,0.98,1.03,0.99,0.92,0.85,0.76,0.68,0.58,0.66,0.62,0.67,0.66,0.63,0.9,0.81,0.83,1.56,0.92,0.72,0.87,0.67,0.72,0.74,0.72,0.74
Seychelles,MtCO2e,0.22,0.24,0.24,0.26,0.28,0.28,0.32,0.43,0.52,0.61,0.67,0.73,0.63,0.65,0.85,0.79,0.84,0.75,0.81,0.62,0.56,0.52,0.57,0.54,0.6,0.65,0.69,0.74
Samoa,MtCO2e,-1.7,-1.7,-1.7,-1.69,-1.65,-1.65,-1.64,-1.64,-1.63,-1.62,-1.6,0.37,0.36,0.36,0.38,0.39,-0.04,-0.04,-0.05,-0.03,-0.02,0.54,0.54,0.55,0.57,0.62,0.66,0.67
Comoros,MtCO2e,0.33,0.34,0.34,0.35,0.35,0.36,0.36,0.37,0.39,0.4,0.38,0.43,0.43,0.45,0.47,0.53,0.49,0.44,0.46,0.47,0.51,0.51,0.53,0.55,0.56,0.58,0.61,0.66
Cape Verde,MtCO2e,-0.17,-0.15,-0.12,-0.11,-0.13,-0.09,-0.11,-0.09,-0.06,-0.03,0,0.43,0.47,0.5,0.54,0.64,0.63,0.59,0.61,0.66,0.7,0.59,0.56,0.55,0.55,0.56,0.6,0.63
Saint Vincent and the Grenadines,MtCO2e,0.05,0.06,0.09,0.1,0.11,0.13,0.13,0.13,0.17,0.17,0.15,0.24,0.26,0.26,0.28,0.28,0.51,0.56,0.48,1.25,0.51,0.33,0.5,0.31,0.39,0.32,0.37,0.37
Saint Kitts and Nevis,MtCO2e,0.16,0.16,0.2,0.19,0.2,0.21,0.21,0.22,0.24,0.24,0.25,0.28,0.3,0.3,0.31,0.3,0.44,0.45,0.46,0.92,0.46,0.38,0.46,0.34,0.34,0.35,0.36,0.36
Dominica,MtCO2e,0.15,0.15,0.17,0.16,0.16,0.17,0.14,0.15,0.15,0.15,0.16,0.23,0.2,0.21,0.23,0.24,0.76,0.77,0.78,1.09,0.77,0.35,0.44,0.36,0.36,0.37,0.37,0.35
Fiji,MtCO2e,0.14,0.16,0.2,0.26,0.31,0.38,0.42,0.41,0.37,0.34,0.37,0.28,0.11,0.26,0.65,0.46,3.21,3.11,2.82,2.87,2.99,-0.65,-0.67,-0.51,-0.22,0.07,0.24,0.35
Tonga,MtCO2e,0.25,0.26,0.25,0.26,0.27,0.26,0.24,0.25,0.24,0.26,0.24,0.23,0.24,0.29,0.27,0.28,-0.21,-0.23,-0.23,-0.2,-0.22,0.26,0.27,0.28,0.27,0.27,0.31,0.34
Palau,MtCO2e,0,-0.13,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.1,0.09,0.11,0.14,0.27,0.26,0.23,0.22,0.23,0.24,0.24,0.24,0.25,0.25,0.29,0.3
Micronesia,MtCO2e,0,-0.02,0.08,0.09,0.1,0.16,0.16,0.16,0.17,0.17,0.17,0.19,0.18,0.2,0.2,0.2,0.18,0.18,0.16,0.18,0.16,0.17,0.18,0.19,0.19,0.2,0.23,0.23
Marshall Islands,MtCO2e,0,0.03,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.15,0.15,0.16,0.17,0.17,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.19,0.19,0.22,0.22
Sao Tome and Principe,MtCO2e,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.11,0.11,0.12,0.12,0.42,0.42,0.42,0.43,0.44,0.15,0.17,0.17,0.17,0.17,0.18,0.19
Kiribati,MtCO2e,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.07,0.08,0.09,0.08,0.08,0.08,0.07,0.07,0.08,0.09,0.08,0.08,0.1,0.1
Cook Islands,MtCO2e,0,0,0,0,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.06,0.06,0.03,0.03,0.03,0.02,0.03,0.08,0.08,0.08,0.09,0.08,0.09,0.1
Nauru,MtCO2e,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.08,0.08,0.07,0.08,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07
Niue,MtCO2e,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0,-0.01,0,-0.01,-0.01,0.05,0.05,0.05,0.06,0.06,0.06,0.06
Tuvalu,MtCO2e,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03
Andorra,MtCO2e,0.41,0.41,0.41,0.42,0.42,0.44,0.47,0.49,0.52,0.55,0.57,0.56,0.58,0.58,0.61,0.63,0.6,0.6,0.6,0.58,0.59,0.58,0.58,0.57,0.55,0.56,0.56,0.56
Liechtenstein,MtCO2e,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09
Bhutan,MtCO2e,-2.93,-2.88,-2.89,-2.92,-2.89,-2.79,-2.78,-2.7,-2.68,-2.62,-2.68,-3.03,-3,-3.03,-3.05,-2.86,-1.42,-1.31,-1.47,-1.45,-1.26,-1.99,-1.77,-1.82,-1.71,-1.69,-1.47,-1.37
Latvia,MtCO2e,12.29,10.56,8.34,5.15,2.17,0.41,0.41,-0.19,-0.64,-1.37,-2.18,7.05,7.38,7.53,7.34,7.44,-3.55,-3.17,-3.51,-4.29,-3.09,-1.91,-2.1,-2.11,-2.17,-2.16,-2.33,-2.42
Romania,MtCO2e,246.57,204.11,182.67,171.22,167.76,173.31,176.29,163.59,146.11,130.47,135.11,140.39,138.07,143.6,140.2,138.79,135.92,133.83,130.33,113.4,110.25,-42.86,-44.81,-56.81,-57.81,-56.06,-58.56,-55.82
Gabon,MtCO2e,8.74,8.91,9.12,9.16,8.84,8.72,7.95,7.79,7.61,7.23,6.79,6.77,6.63,6.86,7.41,7.53,7.21,7.37,8.29,7.05,7.94,-85.08,-85.23,-84.9,-85.57,-85.01,-84.89,-85.82
