Region,Sector,Metric,Scenario,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFRICA ,,Geothermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0.0030558,,,,,0.1316772,0.1316772,0.1316772,,,
AFRICA ,,Solar thermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,,,
AFRICA ,,Other sources,Pathway,TWh,0,,,,,0,,,,,1,,,,,105,,,,,94.5281172,,,,,103.3466004,103.3466004,103.3466004,,,
ASEAN ,,Coal,Baseline,TWh,966,,,,,924,,,,,952,,,,,1091,,,,,1230.4937094,,,,,1397.9934972,1397.9934972,1397.9934972,,,
ASEAN ,,Oil,Baseline,TWh,632,,,,,453,,,,,247,,,,,177,,,,,160.9714878,,,,,122.693148,122.693148,122.693148,,,
ASEAN ,,Natural gas,Baseline,TWh,2135,,,,,1779,,,,,1461,,,,,1473,,,,,1452.371736,,,,,1397.9934972,1397.9934972,1397.9934972,,,
ASEAN ,,Bioenergy,Baseline,TWh,38,,,,,23,,,,,17,,,,,19,,,,,20.8327776,,,,,21.0052914,21.0052914,21.0052914,,,
ASEAN ,,Waste,Baseline,TWh,6,,,,,12,,,,,18,,,,,22,,,,,31.7861538,,,,,34.0424454,34.0424454,34.0424454,,,
ASEAN ,,Nuclear,Baseline,TWh,5,,,,,4,,,,,4,,,,,4,,,,,6.1085442,,,,,5.8474122,5.8474122,5.8474122,,,
ASEAN ,,Geothermal,Baseline,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0.0030558,,,,,0.1316772,0.1316772,0.1316772,,,
ASEAN ,,Solar thermal,Baseline,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,,,
ASEAN ,,Other sources,Baseline,TWh,0,,,,,0,,,,,1,,,,,105,,,,,94.5281172,,,,,103.3466004,103.3466004,103.3466004,,,
ASEAN ,,Coal,Pathway,TWh,966,,,,,924,,,,,952,,,,,1091,,,,,1230.4937094,,,,,1397.9934972,1397.9934972,1397.9934972,,,
ASEAN ,,Oil,Pathway,TWh,632,,,,,453,,,,,247,,,,,177,,,,,160.9714878,,,,,122.693148,122.693148,122.693148,,,
ASEAN ,,Natural gas,Pathway,TWh,2135,,,,,1779,,,,,1461,,,,,1473,,,,,1452.371736,,,,,1397.9934972,1397.9934972,1397.9934972,,,
ASEAN ,,Bioenergy,Pathway,TWh,38,,,,,23,,,,,17,,,,,19,,,,,20.8327776,,,,,21.0052914,21.0052914,21.0052914,,,
ASEAN ,,Waste,Pathway,TWh,6,,,,,12,,,,,18,,,,,22,,,,,31.7861538,,,,,34.0424454,34.0424454,34.0424454,,,
ASEAN ,,Nuclear,Pathway,TWh,5,,,,,4,,,,,4,,,,,4,,,,,6.1085442,,,,,5.8474122,5.8474122,5.8474122,,,
ASEAN ,,Geothermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0.0030558,,,,,0.1316772,0.1316772,0.1316772,,,
ASEAN ,,Solar thermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,,,
ASEAN ,,Other sources,Pathway,TWh,0,,,,,0,,,,,1,,,,,105,,,,,94.5281172,,,,,103.3466004,103.3466004,103.3466004,,,
ASIAPAC ,,Coal,Baseline,TWh,966,,,,,924,,,,,952,,,,,1091,,,,,1230.4937094,,,,,1397.9934972,1397.9934972,1397.9934972,,,
ASIAPAC ,,Oil,Baseline,TWh,632,,,,,453,,,,,247,,,,,177,,,,,160.9714878,,,,,122.693148,122.693148,122.693148,,,
ASIAPAC ,,Natural gas,Baseline,TWh,2135,,,,,1779,,,,,1461,,,,,1473,,,,,1452.371736,,,,,1397.9934972,1397.9934972,1397.9934972,,,
ASIAPAC ,,Bioenergy,Baseline,TWh,38,,,,,23,,,,,17,,,,,19,,,,,20.8327776,,,,,21.0052914,21.0052914,21.0052914,,,
ASIAPAC ,,Waste,Baseline,TWh,6,,,,,12,,,,,18,,,,,22,,,,,31.7861538,,,,,34.0424454,34.0424454,34.0424454,,,
ASIAPAC ,,Nuclear,Baseline,TWh,5,,,,,4,,,,,4,,,,,4,,,,,6.1085442,,,,,5.8474122,5.8474122,5.8474122,,,
ASIAPAC ,,Geothermal,Baseline,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0.0030558,,,,,0.1316772,0.1316772,0.1316772,,,
ASIAPAC ,,Solar thermal,Baseline,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,,,
ASIAPAC ,,Other sources,Baseline,TWh,0,,,,,0,,,,,1,,,,,105,,,,,94.5281172,,,,,103.3466004,103.3466004,103.3466004,,,
ASIAPAC ,,Coal,Pathway,TWh,966,,,,,924,,,,,952,,,,,1091,,,,,1230.4937094,,,,,1397.9934972,1397.9934972,1397.9934972,,,
ASIAPAC ,,Oil,Pathway,TWh,632,,,,,453,,,,,247,,,,,177,,,,,160.9714878,,,,,122.693148,122.693148,122.693148,,,
ASIAPAC ,,Natural gas,Pathway,TWh,2135,,,,,1779,,,,,1461,,,,,1473,,,,,1452.371736,,,,,1397.9934972,1397.9934972,1397.9934972,,,
ASIAPAC ,,Bioenergy,Pathway,TWh,38,,,,,23,,,,,17,,,,,19,,,,,20.8327776,,,,,21.0052914,21.0052914,21.0052914,,,
ASIAPAC ,,Waste,Pathway,TWh,6,,,,,12,,,,,18,,,,,22,,,,,31.7861538,,,,,34.0424454,34.0424454,34.0424454,,,
ASIAPAC ,,Nuclear,Pathway,TWh,5,,,,,4,,,,,4,,,,,4,,,,,6.1085442,,,,,5.8474122,5.8474122,5.8474122,,,
ASIAPAC ,,Geothermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0.0030558,,,,,0.1316772,0.1316772,0.1316772,,,
ASIAPAC ,,Solar thermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,,,
ASIAPAC ,,Other sources,Pathway,TWh,0,,,,,0,,,,,1,,,,,105,,,,,94.5281172,,,,,103.3466004,103.3466004,103.3466004,,,
BRAZIL ,,Coal,Baseline,TWh,966,,,,,924,,,,,952,,,,,1091,,,,,1230.4937094,,,,,1397.9934972,1397.9934972,1397.9934972,,,
BRAZIL ,,Oil,Baseline,TWh,632,,,,,453,,,,,247,,,,,177,,,,,160.9714878,,,,,122.693148,122.693148,122.693148,,,
BRAZIL ,,Natural gas,Baseline,TWh,2135,,,,,1779,,,,,1461,,,,,1473,,,,,1452.371736,,,,,1397.9934972,1397.9934972,1397.9934972,,,
BRAZIL ,,Bioenergy,Baseline,TWh,38,,,,,23,,,,,17,,,,,19,,,,,20.8327776,,,,,21.0052914,21.0052914,21.0052914,,,
BRAZIL ,,Waste,Baseline,TWh,6,,,,,12,,,,,18,,,,,22,,,,,31.7861538,,,,,34.0424454,34.0424454,34.0424454,,,
BRAZIL ,,Nuclear,Baseline,TWh,5,,,,,4,,,,,4,,,,,4,,,,,6.1085442,,,,,5.8474122,5.8474122,5.8474122,,,
BRAZIL ,,Geothermal,Baseline,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0.0030558,,,,,0.1316772,0.1316772,0.1316772,,,
BRAZIL ,,Solar thermal,Baseline,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,,,
BRAZIL ,,Other sources,Baseline,TWh,0,,,,,0,,,,,1,,,,,105,,,,,94.5281172,,,,,103.3466004,103.3466004,103.3466004,,,
BRAZIL ,,Coal,Pathway,TWh,966,,,,,924,,,,,952,,,,,1091,,,,,1230.4937094,,,,,1397.9934972,1397.9934972,1397.9934972,,,
BRAZIL ,,Oil,Pathway,TWh,632,,,,,453,,,,,247,,,,,177,,,,,160.9714878,,,,,122.693148,122.693148,122.693148,,,
BRAZIL ,,Natural gas,Pathway,TWh,2135,,,,,1779,,,,,1461,,,,,1473,,,,,1452.371736,,,,,1397.9934972,1397.9934972,1397.9934972,,,
BRAZIL ,,Bioenergy,Pathway,TWh,38,,,,,23,,,,,17,,,,,19,,,,,20.8327776,,,,,21.0052914,21.0052914,21.0052914,,,
BRAZIL ,,Waste,Pathway,TWh,6,,,,,12,,,,,18,,,,,22,,,,,31.7861538,,,,,34.0424454,34.0424454,34.0424454,,,
BRAZIL ,,Nuclear,Pathway,TWh,5,,,,,4,,,,,4,,,,,4,,,,,6.1085442,,,,,5.8474122,5.8474122,5.8474122,,,
BRAZIL ,,Geothermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0.0030558,,,,,0.1316772,0.1316772,0.1316772,,,
BRAZIL ,,Solar thermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,,,
BRAZIL ,,Other sources,Pathway,TWh,0,,,,,0,,,,,1,,,,,105,,,,,94.5281172,,,,,103.3466004,103.3466004,103.3466004,,,
CHINA ,,Coal,Baseline,TWh,966,,,,,924,,,,,952,,,,,1091,,,,,1230.4937094,,,,,1397.9934972,1397.9934972,1397.9934972,,,
CHINA ,,Oil,Baseline,TWh,632,,,,,453,,,,,247,,,,,177,,,,,160.9714878,,,,,122.693148,122.693148,122.693148,,,
CHINA ,,Natural gas,Baseline,TWh,2135,,,,,1779,,,,,1461,,,,,1473,,,,,1452.371736,,,,,1397.9934972,1397.9934972,1397.9934972,,,
CHINA ,,Bioenergy,Baseline,TWh,38,,,,,23,,,,,17,,,,,19,,,,,20.8327776,,,,,21.0052914,21.0052914,21.0052914,,,
CHINA ,,Waste,Baseline,TWh,6,,,,,12,,,,,18,,,,,22,,,,,31.7861538,,,,,34.0424454,34.0424454,34.0424454,,,
CHINA ,,Nuclear,Baseline,TWh,5,,,,,4,,,,,4,,,,,4,,,,,6.1085442,,,,,5.8474122,5.8474122,5.8474122,,,
CHINA ,,Geothermal,Baseline,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0.0030558,,,,,0.1316772,0.1316772,0.1316772,,,
CHINA ,,Solar thermal,Baseline,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,,,
CHINA ,,Other sources,Baseline,TWh,0,,,,,0,,,,,1,,,,,105,,,,,94.5281172,,,,,103.3466004,103.3466004,103.3466004,,,
CHINA ,,Coal,Pathway,TWh,966,,,,,924,,,,,952,,,,,1091,,,,,1230.4937094,,,,,1397.9934972,1397.9934972,1397.9934972,,,
CHINA ,,Oil,Pathway,TWh,632,,,,,453,,,,,247,,,,,177,,,,,160.9714878,,,,,122.693148,122.693148,122.693148,,,
CHINA ,,Natural gas,Pathway,TWh,2135,,,,,1779,,,,,1461,,,,,1473,,,,,1452.371736,,,,,1397.9934972,1397.9934972,1397.9934972,,,
CHINA ,,Bioenergy,Pathway,TWh,38,,,,,23,,,,,17,,,,,19,,,,,20.8327776,,,,,21.0052914,21.0052914,21.0052914,,,
CHINA ,,Waste,Pathway,TWh,6,,,,,12,,,,,18,,,,,22,,,,,31.7861538,,,,,34.0424454,34.0424454,34.0424454,,,
CHINA ,,Nuclear,Pathway,TWh,5,,,,,4,,,,,4,,,,,4,,,,,6.1085442,,,,,5.8474122,5.8474122,5.8474122,,,
CHINA ,,Geothermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0.0030558,,,,,0.1316772,0.1316772,0.1316772,,,
CHINA ,,Solar thermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,,,
CHINA ,,Other sources,Pathway,TWh,0,,,,,0,,,,,1,,,,,105,,,,,94.5281172,,,,,103.3466004,103.3466004,103.3466004,,,
CSAM ,,Coal,Baseline,TWh,966,,,,,924,,,,,952,,,,,1091,,,,,1230.4937094,,,,,1397.9934972,1397.9934972,1397.9934972,,,
CSAM ,,Oil,Baseline,TWh,632,,,,,453,,,,,247,,,,,177,,,,,160.9714878,,,,,122.693148,122.693148,122.693148,,,
CSAM ,,Natural gas,Baseline,TWh,2135,,,,,1779,,,,,1461,,,,,1473,,,,,1452.371736,,,,,1397.9934972,1397.9934972,1397.9934972,,,
CSAM ,,Bioenergy,Baseline,TWh,38,,,,,23,,,,,17,,,,,19,,,,,20.8327776,,,,,21.0052914,21.0052914,21.0052914,,,
