WEO Sector,WEO Metric,GCAM Value,Model,REGION,VARIABLE,UNIT,Year,Value
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2041,0.9856215547883308
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2042,0.9854117991415507
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2043,0.985195832979514
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2044,0.9849733763329936
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2045,0.9847441321480688
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2046,0.9845077849627266
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2047,0.9842639994585112
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2048,0.9840124188732434
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2049,0.9837526632590032
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2050,0.9834843275674879
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2051,0.9866168659260659
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2052,0.9864353281034051
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2053,0.986248797554042
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2054,0.9860570654381916
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2055,0.9858599111040168
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2056,0.985657101240532
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2057,0.9854483889565484
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2058,0.9852335127780164
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2059,0.9850121955551964
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2060,0.984784143270068
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2061,0.979798292361279
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2062,0.9793817688842512
Buildings,Bioenergy,Final Energy|Residential and Commercial|Solids|Biomass,Pathway,ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,2063,0.9789477078593798
