Region,Sector,Metric,Gas,Scenario,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
 OECD ,Industry,cement,CO2,baseline,184.31042000000002,195.16618000000003,207.64930999999999,203.18279,191.04009,198.92222,206.86061,218.13065,219.93563000000003,214.32188000000002,208.07112999999998,200.53358000000003,200.66867,198.08893999999998,192.62360999999999,195.05016999999998,199.23282,208.09355,213.76488999999998,215.20516,212.10898,216.52009999999999,217.81415,231.49453999999994,234.81024000000002,233.25901999999996,237.03847000000002,231.40458000000004,233.92959,238.71243999999996,235.01848999999999,236.66807000000003,238.97520999999998,244.76189000000005,247.23315,252.61315,258.82867000000005,245.79083000000003,212.33320000000003,214.62292399999998,216.90755,216.71590000000003,216.07770000000002,223.03640000000001,223.1081,227.134,231.91170000000002,233.14170000000004,232.39287026924043,232.31582223989867,233.22337527770108,234.08051634109108,234.88724543006882,235.64356254463414,236.34946768478713,237.00496085052777,237.6100420418561,238.16471125877212,238.6689685012757,239.122813769367,239.52624706304596,239.87926838231257,240.1818777271668,240.43407509760868,240.63586049363826,240.78723391525543,240.88819536246032,240.9387448352528,240.938882333633,240.8886078576008,240.78792140715626,240.63682298229944,240.43531258303022,240.18339020934872,239.88105586125477,239.52830953874852,239.12515124182994,238.67158097049904,238.1675987247557,237.61320450460008,237.0083983100321,236.35318014105178,235.6475499976591,234.89150787985412,234.08505378763678,233.22818772100706,232.32090967996498,231.36321966451058,230.35511767464388,229.3029354929513,228.24466381495208,227.18663442323268,226.12884731779323,225.07130249863357,224.0139999657538,222.95693971915398,221.90012175883393,220.84354608479381,219.78721269703348,218.73112159555308,217.67527278035254,216.61966625143185,215.56430200879103,214.5091800524301,213.454300382349,212.39966299854783,211.34526790102646,210.291115089785,209.23720456482337,208.18353632614162,207.13011037373974,206.07692670761773,205.02398532777556,203.97128623421332,202.91882942693087,201.86661490592837,200.81464267120566,199.76291272276293,198.71142506059996,197.6601796847169,196.60917659511364,195.55841579179034,194.50789727474688,193.45762104398332,192.4075870994995,191.3577954412957,190.30824606937168,189.25893898372755,188.2098741843633,187.16105167127893
AFRICA ,Industry,cement,CO2,baseline,9.022000000000002,9.535599999999999,10.0771,10.525900000000002,10.660309,10.918139999999998,11.74909,12.423242000000002,13.359020000000003,14.609438999999998,15.874138000000002,16.943744000000002,18.649305999999996,19.363048,19.121632000000005,18.353953,19.946627,21.602283,22.608847,22.88204000000001,24.709517999999996,25.288924999999995,25.081887000000002,25.579126000000002,27.554743999999992,28.081213999999996,28.740515,29.672762,30.761374000000004,31.90726799999999,33.61709999999999,35.92622000000001,36.320402,39.135020000000004,42.5619,47.21540000000001,50.623940000000005,53.73932000000001,59.21813000000001,59.22066,58.82224999999999,66.56287999999999,67.45010000000002,69.252877,73.48722000000001,75.66749000000002,74.90749000000001,75.66749000000002,78.81473233897276,81.4889085870932,84.45223390926277,87.45029743619861,90.48309916790073,93.55063910436907,96.6529172456037,99.7899335916046,102.96168814237176,106.16818089790522,109.40941185820489,112.68538102327089,115.99608839310312,119.34153396770161,122.72171774706634,126.1366397311974,129.58629992009472,133.0706983137583,136.58983491218814,140.14370971538423,143.7323227233466,147.35567393607522,151.01376335357008,154.70659097583126,158.4341568028587,162.1964608346524,165.9935030712124,169.82528351253862,173.69180215863113,177.59305900948993,181.52905406511496,185.49978732550622,189.50525879066385,193.54546846058773,197.6204163352778,201.7301024147342,205.87452669895686,210.0536891879458,214.26758988170096,218.51622878022238,222.7996058835101,227.12011571368612,231.49212540348307,235.91802947502285,240.39782792830562,244.9315207633313,249.5191079800999,254.16058957861154,258.85596555886593,263.6052359208634,268.4084006646037,273.265459790087,278.17641329731316,283.14126118628224,288.1600034569943,293.2326401094492,298.35917114364713,303.53959655958795,308.7739163572717,314.0621305366984,319.40423909786807,324.8002420407805,330.250139365436,335.7539310718344,341.31161715997564,346.92319762985994,352.58867248148715,358.3080417148572,364.0813053299702,369.90846332682617,375.7895157054251,381.7244624657669,387.7133036078516,393.75603913167936,399.85266903725,406.00319332456365,412.20761199362,418.4659250444195,424.7781324769619,431.1442342912472,437.5642304872753,444.03812106504654
ASIAPAC ,Industry,cement,CO2,baseline,12.28489,12.606029999999999,14.92067,15.538160000000001,16.599434,18.38319,20.145700000000005,21.395716999999998,22.721429999999998,23.40738,25.06973,27.18754,29.818056999999996,30.08532,30.461769999999998,32.977129999999995,35.84517,39.419309999999996,43.264129999999994,48.32119,50.897729999999996,55.386168999999995,63.396996,70.621273,76.044119,80.61954,84.61766000000001,69.13128,72.57605,78.31849,81.96180000000001,89.1529,92.39591999999999,94.69507000000002,95.81248000000001,98.05795,102.40369999999999,105.66076000000001,108.03368999999999,108.05938,112.12049,115.76306,121.49677,125.60891000000001,130.14778,143.26541,145.03081,146.18080999999998,150.02146785304646,153.47652761951932,156.18822431436766,158.8463874069199,161.45101689717615,164.00211278513623,166.49967507080027,168.9437037541682,171.33419883524007,173.6711603140159,175.95458819049557,178.1844824646792,180.36084313656673,182.4836702061582,184.55296367345355,186.56872353845284,188.53094980115608,190.43964246156315,192.29480151967425,194.09642697548927,195.84451882900814,197.53907708023092,199.18010172915763,200.7675927757883,202.3015502201229,203.7819740621614,205.20886430190382,206.58222093935012,207.9020439745004,209.16833340735448,210.38108923791253,211.54031146617453,212.64600009214047,213.69815511581024,214.696776537184,215.6418643562617,216.5334185730433,217.3714391875288,218.1559261997182,218.88687960961153,219.56429941720884,220.1965887726627,220.8341665768896,221.48543598004215,222.1503969821205,222.8290495831245,223.52139378305418,224.22742958190966,224.94715697969073,225.68057597639765,226.42768657203013,227.18848876658848,227.96298256007242,228.75116795248215,229.55304494381753,230.36861353407855,231.19787372326536,232.04082551137788,232.89746889841604,233.76780388438004,234.65183046926967,235.54954865308505,236.46095843582617,237.38605981749296,238.32485279808535,239.27733737760366,240.24351355604753,241.22338133341714,242.21694070971245,243.22419168493352,244.24513425908026,245.2797684321527,246.3280942041509,247.39011157507477,248.46582054492436,249.5552211136997,250.6583132814006,251.77509704802742,252.90557241357988,254.049739378058,255.2075979414618,256.3791481037914
BRAZIL ,Industry,cement,CO2,baseline,4.69,5.417,6.341,7.019,8.16,8.912,9.777,10.25,11.38,12.37,11.78,11.53,9.33,8.775,9.106,11.11,11.12,10.99,11.18,11.06,11.78,9.77,10.16,10.09,11.53,13.88,15.27,16.18,16.44,16.05,15.23,14.39,13.1,13.27,14.35,15.44,17.2,18.88,19.03,21.29,22.85,25.0,26.65,26.31,23.77,20.95,19.3,18.93,19.062793904208995,19.242238976768306,19.6608959151624,20.07439355866584,20.482731907278648,20.885910961000807,21.28393071983232,21.67679118377319,22.064492352823414,22.447034226983003,22.824416806251936,23.19664009063023,23.56370408011788,23.92560877471489,24.282354174421247,24.63394027923696,24.980367089162037,25.321634604196465,25.65774282434025,25.988691749593396,26.3144813799559,26.635111715427747,26.950582756008952,27.26089450169952,27.56604695249945,27.86604010840873,28.16087396942736,28.450548535555345,28.735063806792695,29.0144197831394,29.288616464595453,29.55765385116086,29.821531942835634,30.08025073961976,30.333810241513238,30.58221044851607,30.825451360628268,31.06353297784981,31.296455300180718,31.52421832762098,31.7468220601706,31.96508493469657,32.18391757240091,32.40413841015061,32.62574744794569,32.84874468578614,33.07313012367195,33.29890376160314,33.526065599579695,33.75461563760162,33.9845538756689,34.21588031378157,34.4485949519396,34.682697790142996,34.918188828391756,35.15506806668589,35.3933355050254,35.632991143410266,35.87403498184051,36.11646702031612,36.3602872588371,36.605495697403434,36.852092336015154,37.100077174672236,37.34945021337467,37.6002114521225,37.85236089091568,38.105898529754235,38.36082436863816,38.61713840756747,38.874840646542125,39.13393108556217,39.39440972462756,39.65627656373834,39.91953160289447,40.18417484209599,40.45020628134285,40.71762592063509,40.98643375997272,41.2566297993557,41.52821403878404,41.80118647825776
CHINA ,Industry,cement,CO2,baseline,12.2834,12.6445,13.5811,13.6725,16.0415,24.9715,28.3769,32.8561,36.5077,39.9231,41.614999999999995,45.1256,51.491400000000006,56.339999999999996,64.9441,72.76850000000002,80.2434,92.7781,91.7201,92.78390000000002,109.8763,131.8666,153.2297,174.3974,194.4826,202.43840000000003,212.3798,219.9576,236.2346,251.99949999999998,278.5853,304.8157,353.02079999999995,387.9556,419.84020000000004,478.0253,522.6798,533.0638,590.1054,646.3805,715.5552,721.3942,755.3027,784.8939,739.5559,761.7519,774.6519,787.3519,811.944552023747,831.9258662807582,838.4728412183797,844.9472774561661,851.3491749941179,857.6785338322343,863.9353539705162,870.119635408963,876.2313781475749,882.270582186352,888.237247525294,894.1313741644011,899.9529621036735,905.7020113431106,911.3785218827131,916.9824937224805,922.5139268624131,927.9728213025105,933.3591770427736,938.6729940832014,943.914272423794,949.0830120645518,954.1792130054748,959.2028752465629,964.1539987878161,969.0325836292344,973.8386297708175,978.5721372125658,983.2331059544794,987.8215359965579,992.3374273388013,996.78077998121,1001.151593923784,1005.4498691665231,1009.6756057094267,1013.8288035524959,1017.90946269573,1021.9175831391291,1025.8531648826934,1029.7162079264226,1033.5067122703172,1037.2383915150442,1040.9935272646112,1044.785833119685,1048.615309080267,1052.481955146356,1056.3857713179525,1060.3267575950567,1064.3049139776679,1068.3202404657866,1072.3727370594127,1076.462403758546,1080.5892405631869,1084.7532474733353,1088.9544244889912,1093.192771610154,1097.4682888368247,1101.7809761690025,1106.1308336066875,1110.5178611498802,1114.9420587985803,1119.4034265527878,1123.9019644125026,1128.437672377725,1133.0105504484545,1137.6205986246916,1142.267816906436,1146.952205293688,1151.6737637864471,1156.4324923847141,1161.228391088488,1166.0614598977695,1170.9316988125581,1175.8391078328548,1180.7836869586583,1185.7654361899697,1190.784355526788,1195.8404449691138,1200.9337045169473,1206.0641341702878,1211.231733929136,1216.4365037934915
CSAM ,Industry,cement,CO2,baseline,14.143740000000001,15.738329999999996,17.31431,18.25223,19.092540000000003,20.43122,21.22376,22.71935,24.72462,26.780540000000002,26.17241,25.26404,22.17668,22.01424,22.1699,25.41099,26.80023,26.962870000000002,25.434230000000003,25.20568,26.29582,25.34999,26.52182,27.960430000000002,29.98014,32.40178,35.60278,36.978139999999996,36.10871,36.40289,35.336780000000005,33.20358,33.348870000000005,33.159859999999995,36.33296,41.18987,43.07986,45.44556,44.493950000000005,46.94802,50.236090000000004,53.70154,56.11402,56.444469999999995,53.96779,50.55649000000001,48.87029000000001,48.45949,47.97702549588017,47.99190422967869,49.250945174902775,50.49184946638596,51.714617104128216,52.91924808812957,54.10574241839001,55.27410009490952,56.42432111768814,57.55640548672584,58.6703532020226,59.76616426357849,60.84383867139344,61.90337642546749,62.94477752580063,63.96804197239285,64.97316976524417,65.96016090435457,66.92901538972404,67.87973322135261,68.81231439924028,69.72675892338701,70.62306679379284,71.50123801045778,72.3612725733818,73.20317048256489,74.02693173800705,74.83255633970832,75.62004428766868,76.38939558188814,77.14061022236667,77.87368820910429,78.58862954210099,79.2854342213568,79.96410224687166,80.62463361864563,81.26702833667869,81.89128640097083,82.49740781152204,83.08539256833235,83.65524067140177,84.20976927542947,84.76588130861066,85.32639392564454,85.89130712653115,86.46062091127047,87.03433527986246,87.6124502323072,88.1949657686046,88.78188188875475,89.37319859275756,89.96891588061308,90.56903375232133,91.1735522078823,91.78247124729594,92.39579087056228,93.01351107768134,93.63563186865309,94.26215324347756,94.89307520215476,95.52839774468464,96.1681208710672,96.8122445813025,97.4607688753905,98.11369375333116,98.7710192151246,99.43274526077067,100.09887189026949,100.769399103621,101.44432690082525,102.12365528188215,102.80738424679177,103.49551379555409,104.18804392816915,104.88497464463688,105.58630594495736,106.29203782913046,107.00217029715635,107.7167033490349,108.43563698476618,109.15897120435012,109.8867060077868
EUR ,Industry,cement,CO2,baseline,125.73090000000002,132.36822,137.96014999999997,136.54148,134.87180999999998,139.55422,143.24921,147.01874999999998,145.31973,143.48078,138.17853,135.45008,133.37376999999998,128.46033999999997,123.70521,126.19407,126.99002,131.23274999999998,133.86119,128.02035,120.64604,118.12745,110.22494,115.51084999999998,118.27322,114.30405999999996,117.42097999999999,120.62408,120.59578999999998,122.38634999999998,119.72559,120.14047000000001,122.83090999999999,129.30049000000002,132.73634999999996,138.12804999999997,145.77577000000002,140.36143000000004,118.67240000000002,120.588624,122.18345,116.98340000000002,116.53340000000001,120.4098,118.54939999999999,122.03699999999999,125.7562,127.32620000000001,125.2859332869106,123.84980907259651,123.86776627243397,123.87305597069019,123.86567816736526,123.8456328624591,123.8129200559717,123.76753974790314,123.70949193825336,123.63877662702238,123.5553938142102,123.45934349981682,123.35062568384222,123.2292403662864,123.09518754714938,122.94846722643116,122.78907940413171,122.6170240802511,122.43230125478927,122.2349109277462,122.02485309912196,121.80212776891649,121.56673493712982,121.31867460376195,121.05794676881287,120.78455143228263,120.49848859417112,120.19975825447841,119.88836041320454,119.56429507034944,119.22756222591309,118.87816187989559,118.51609403229686,118.14135868311692,117.75395583235579,117.35388548001346,116.9411476260899,116.51574227058515,116.07766941349918,115.626929054832,115.16352119458365,114.68881362960778,114.21101314102678,113.73148752569426,113.25023678361033,112.76726091477498,112.28255991918812,111.79613379684986,111.3079825477601,110.81810617191891,110.32650466932625,109.83317803998217,109.33812628388664,108.84134940103961,108.34284739144117,107.84262025509126,107.34066799198993,106.83699060213712,106.33158808553287,105.82446044217718,105.31560767207002,104.80502977521141,104.29272675160135,103.77869860123985,103.26294532412686,102.74546692026244,102.22626338964656,101.70533473227924,101.18268094816045,100.65830203729024,100.13219799966856,99.60436883529545,99.07481454417086,98.54353512629484,98.01053058166737,97.47580091028846,96.93934611215802,96.40116618727619,95.8612611356429,95.31963095725817,94.77627565212197,94.23119522023434
INDIA ,Industry,cement,CO2,baseline,7.052,7.363,6.921,6.501,7.288,8.279,8.322,8.421,7.752,7.545,8.888,9.676,10.95,12.59,14.39,16.01,16.41,18.23,20.79,22.35,24.5,25.16,26.6,28.54,31.46,34.6,37.98,40.45,45.13,45.97,47.66,51.5,54.47,56.95,60.84,64.23,68.51,73.08,85.05,91.37,96.49,101.4,104.3,108.0,111.8,110.6,108.9,125.3,129.0151155802773,133.16445315559358,139.2842045039035,145.44501177184566,151.64687495942007,157.88979406662673,164.17376909346564,170.49880003993675,176.8648869060401,183.27202969177583,189.7202283971437,196.20948302214384,202.73979356677623,209.31116003104088,215.92358241493775,222.57706071846687,229.27159494162825,236.00718508442188,242.78383114684775,249.6015331289059,256.46029103059624,263.36010485191883,270.3009745928737,277.28290025346087,284.30588183368025,291.3699193335319,298.47501275301573,305.62116209213184,312.80836735088025,320.0366285292609,327.30594562727373,334.6163186449188,341.9677475821962,349.3602324391057,356.7937732156476,364.26836991182165,371.78402252762805,379.3407310630666,386.9384955181374,394.57731589284055,402.2571921871759,409.9856881377397,417.8081861641088,425.7322500028794,433.7578796540515,441.8850751176251,450.1138363936002,458.4441634819767,466.8760563827547,475.4095150959343,484.04453962151524,492.78112995949783,501.61928610988184,510.5590080726673,519.6002958478543,528.7431494354429,537.9875688354329,547.3335540478245,556.7811050726174,566.3302219098119,575.9809045594079,585.7331530214053,595.5869672958042,605.5423473826049,615.5992932818068,625.7578049934103,636.0178825174152,646.3795258538216,656.8427350026293,667.4075099638387,678.0738507374496,688.8417573234619,699.7112297218757,710.6822679326913,721.754871955908,732.9290417915264,744.204777439546,755.5820788999674,767.0609461727902,778.6413792580144,790.3233781556402,802.1069428656675
JPN ,Industry,cement,CO2,baseline,29.27,32.53,38.19,35.61,31.8,33.23,35.24,40.74,41.99,41.9,40.26,38.15,38.1,37.01,34.05,33.19,33.19,35.84,36.7,38.7,40.35,41.67,41.22,42.3,42.14,42.56,39.93,35.36,35.01,35.09,34.37,32.42,31.94,31.28,32.28,31.99,30.66,28.55,25.31,24.32,24.98,25.62,26.81,26.56,25.94,25.97,26.43,25.43,24.867336369422013,24.456179515243743,24.270314549612483,24.08769465434795,23.908319829450154,23.732190074919075,23.559305390754737,23.389665776957127,23.223271233526248,23.06012176046211,22.900217357764692,22.74355802543401,22.590143763470063,22.439974571872842,22.29305045064235,22.149371399778595,22.008937419281573,21.871748509151274,21.737804669387714,21.607105899990877,21.479652200960782,21.355443572297407,21.234480014000766,21.116761526070867,21.00228810850769,20.891059761311247,20.78307648448153,20.678338278018547,20.5768451419223,20.478597076192777,20.383594080829987,20.29183615583393,20.203323301204605,20.118055516942018,20.036032803046147,19.95725515951702,19.881722586354616,19.809435083558945,19.74039265113001,19.6745952890678,19.612042997372324,19.552182464371793,19.491693820035533,19.430023752691742,19.367172262340436,19.30313934898161,19.23792501261526,19.171529253241403,19.103952070860014,19.03519346547111,18.965253437074683,18.89413198567074,18.821829111259277,18.74834481384029,18.673679093413785,18.597831949979753,18.52080338353821,18.442593394089144,18.363201981632557,18.28262914616845,18.200874887696827,18.117939206217677,18.03382210173101,17.948523574236827,17.862043623735115,17.774382250225894,17.685539453709143,17.59551523418488,17.504309591653087,17.411922526113784,17.31835403756695,17.223604126012603,17.12767279145073,17.030560033881347,16.932265853304436,16.832790249720013,16.73213322312806,16.630294773528593,16.527274900921608,16.4230736053071,16.31769088668507,16.211126745055523
ME ,Industry,cement,CO2,baseline,4.1727,4.72948,4.607749,5.3588499999999994,6.072019999999999,6.6884,7.478610000000001,11.291880000000003,10.8678,11.12218,12.50169,14.366299999999999,15.620700000000003,18.610100000000003,19.5081,18.802400000000002,19.415900000000004,20.00592,21.335430000000002,20.409570000000002,18.412409999999998,20.23649,21.08321,21.64791,23.02619,24.307350000000003,23.943929999999998,25.691509999999997,27.57576,29.015209999999996,31.274430000000002,33.955870000000004,34.26973,36.029700000000005,36.1114,39.04280000000001,45.94029999999999,54.8472,57.9584,63.113299999999995,66.0618,70.47779999999999,73.2622,75.0003,72.88429999999998,69.81349999999999,64.58349999999999,63.113499999999995,65.13332496882167,66.83161380107597,68.17216086760938,69.55120845155753,70.96875655292045,72.42480517169808,73.91935430789047,75.45240396149761,77.02395413251948,78.63400482095611,80.28255602680748,81.96960775007358,83.69515999075443,85.45921274885005,87.26176602436037,89.10281981728545,90.98237412762528,92.90042895537982,94.85698430054917,96.85204016313322,98.88559654313204,100.95765344054557,103.06821085537386,105.21726878761687,107.40482723727466,109.6308862043472,111.89544568883446,114.19850569073644,116.54006621005318,118.92012724678465,121.33868880093088,123.79575087249185,126.29131346146757,128.82537656785803,131.39794019166325,134.0090043328832,136.65856899151788,139.34663416756732,142.0731998610315,144.8382660719104,147.6418328002041,150.48307806215723,153.35706995523864,156.26298649569307,159.2008276835205,162.17059351872092,165.17228400129437,168.20589913124087,171.27143890856027,174.3689033332528,177.49829240531824,180.6596061247567,183.85284449156822,187.0780075057527,190.33509516731021,193.6241074762407,196.94504443254425,200.29790603622078,203.6826922872703,207.09940318569292,210.54803873148848,214.02859892465705,217.54108376519864,221.0854932531132,224.66182738840072,228.27008617106142,231.91026960109497,235.58237767850153,239.28641040328114,243.02236777543382,246.79024979495938,250.59005646185807,254.4217877761297,258.2854437377744,262.181024346792,266.1085296031827,270.06795950694635,274.0593140580831,278.0825932565927,282.13779710247536,286.2249255957311,290.3439787363599
