Region,Onshore wind,Offshore wind,Wave device,Geothermal electric plant,Hydroelectric plant,Tidal turbine,Res. roof PV system,Com/gov/Indus roof PV system,Solar PV plant,CSP plant 
Brazil,0.355278077265,0.09118803983135,0.008394543735956,0,0.160388101410999,0.000157524993395,0.0781611769983,0.173691504440667,0.09118803983135,0.041552991492983
Brunei Darussalam,0.023448071385254,0.254330721490984,0.009991105701292,0,0,0.000889429870777,0.217997761277986,0.189556215561326,0.254330721490984,0.049455973221397
Bulgaria,0.402825002112711,0.110455486349185,0,0,0.10460237392062,0.0002309547178,0.094676131156445,0.176754565394054,0.110455486349185,0
Burkina Faso,,,,,,,,,,
Burundi,,,,,,,,,,
Cambodia,0.255558307462455,0.129115587297428,0,0,0.083442161414461,0.00035316758532,0.110670503397796,0.245934451995101,0.129115587297428,0.045810233550011
Cameroon,0.390803596029929,0.035605755040454,0.009233944025753,0,0.07606267813309,0.000542919291616,0.085976791126584,0.191059535836854,0.165006757588243,0.045708022927477
Canada,0.32735712117472,0.088700422021657,0.007348083528052,0.026296399033628,0.236019669718217,0.002875578442948,0.07602893316142,0.146673370897701,0.088700422021657,0
Cape Verde,,,,,,,,,,
Central African Republic,,,,,,,,,,
Chad,,,,,,,,,,
Chile,0.3670506919773,0.100560079449327,0.008672708180691,0.037987242962785,0.09410482208065,0.000637116887452,0.086194353813709,0.161302999704338,0.100560079449327,0.042929905494421
China,0.34837069369164,0.142905004071885,0.000471999963292,0.000674987388394,0.063019965153234,0.000198418268981,0.122490003490187,0.132182192439197,0.142905004071885,0.046781731461305
Taiwan,0.022087627599231,0.239203197465829,0.001477418019117,0.303834563384476,0.010478212277564,6.59424044103255E-05,0.100062223615534,0.049380424572287,0.239203197465829,0.034207193195722
Colombia,0.344164399344417,0.088335529165067,0.008131948711546,0,0.182964621332388,0.003840507512986,0.075716167855772,0.168258150790604,0.088335529165067,0.040253146122154
Comoros,,,,,,,,,,
Congo,0.414286109900037,0.106333434874343,0.009299351512908,0,0.069147054099435,0.000917794609798,0.091142944178008,0.202539875951129,0.106333434874343,0
"Congo, Democratic Republic of",0.398030728456373,0.008581606401488,0.000684578614989,0,0.06821907642628,3.03134818365776E-05,0.094950167093759,0.169981444467481,0.21296878348395,0.046553301573845
Costa Rica,0.214560794325257,0.055070603876816,0.005069662574878,0.247403012968069,0.244297045621633,0.001333683922539,0.047203374751557,0.104896388336792,0.055070603876816,0.025094829745644
Cote d'Ivoire,0.353772820355181,0.109936254941302,0.009327791560512,0,0.066736392860067,0.000484451088743,0.094231075663974,0.209402390364386,0.109936254941302,0.046172568224534
Croatia,0.133129829276786,0,0,0,0.139614213801555,0.00244659956181,0.162493238907475,0.166006443935533,0.379150890784108,0.017158783732733
Cuba,0.421226321183353,0.108114755770394,0.009952775029437,0,0.003468806450685,0.001253690605602,0.092669790660338,0.205932868134084,0.108114755770394,0.049266236395714
Cyprus,0.083919074163553,0.221097702168697,0.009980581174564,0,0,0.001941882543553,0.189512316144598,0.223046864822243,0.221097702168697,0.049403876814094
Czech Republic,0.437261306465922,0,0,0,0.028308207853507,0,0.095884543082988,0.093895696721127,0.344650245876456,0
Denmark,0.444551744569928,0.221034678104635,0.009978714805161,0,0.00042758935018,0.001700930133709,0.066588945182972,0.03468271974878,0.221034678104635,0
Djibouti,,,,,,,,,,
Dominican Republic,0.221007964609755,0.127449976911076,0,0.088451552271557,0.039225089122852,0.000836393797949,0.109242837352351,0.242761860783002,0.127449976911076,0.043574348240382
Ecuador,0.333824364308701,0.030855342174163,0.007887633393791,0.003304590049006,0.202285736700597,0.00564633387134,0.073441360147914,0.163203022550921,0.140507831504304,0.039043785299263
Egypt,0.420962631553186,0.108047075431984,0,0,0.015198113399363,9.39765347049634E-05,0.092611778941701,0.20580395320378,0.108047075431984,0.049235395503297
El Salvador,0.22929139377821,0.058851457736407,0.005417718560534,0.363457892938857,0.093863690172548,0.000906560835172,0.050444106631206,0.112098014736014,0.058851457736407,0.026817706874645
Equatorial Guinea,,,,,,,,,,
Eritrea,0.417245615180563,0.107093041229678,0,0,0,0.023986865074705,0.091794035339724,0.203986745199387,0.107093041229678,0.048800656746265
Estonia,0.446822442839636,0.198762063289643,0,0,0.001800898161195,0.005260339972947,0.085339880862788,0.063252311584147,0.198762063289643,0
Ethiopia,0.359373603814315,0,0,0.071102914453765,0.08825707662386,0,0.079062192839149,0.175693761864776,0.184478449958015,0.042032000446119
Fiji,,,,,,,,,,
Finland,0.418416619795548,0.227278186752459,0,0,0.069939869769078,0.000245419574149,0.039224762779801,0.017616954576506,0.227278186752459,0
France,0.402801999895518,0.131535012292207,0.009226093128462,0.000255531762403,0.075139223155008,0.001995932236399,0.112744296250463,0.116499234592978,0.131535012292207,0.018267664394355
French Guiana,,,,,,,,,,
Gabon,0.156599596822482,0.233371349035277,0.009851877542977,0,0.014417093656001,0.00039515204629,0.20003258488738,0.151960996974315,0.233371349035277,0
Gambia,,,,,,,,,,
Georgia,0.252817481004487,0.064889820124485,0,0,0.437548354609918,0.000635020935668,0.055619845820987,0.123599657379971,0.064889820124485,0
Germany,0.410548724114993,0.204220166821499,0.000954985132987,0.00017422472121,0.01346116100647,5.23081359548079E-05,0.081779857645049,0.08458840560034,0.204220166821499,0
Ghana,0.229695583450177,0.132530312715662,0.009152496657816,0,0.084400129481242,0.000350204737135,0.113597410899139,0.252438690886976,0.132530312715662,0.04530485845619
Gibraltar,0.011502780512337,0.965207428583464,0.001767171179671,0,0,0.000199782569719,0.001048426829153,0.000576299538237,0.019698110787418,0
Greece,0.374832970542262,0.096207129105847,0.008856588588629,0.026017564469805,0.086596957800733,0.001726618866536,0.082463253519298,0.183251674487328,0.096207129105847,0.043840113513715
Grenada,,,,,,,,,,
Guatemala,0.243965480966982,0.062617806781526,0.005764439269112,0.329514343510939,0.093603326266686,0.000438403311199,0.053672405812736,0.119272012917191,0.062617806781525,0.028533974382103
Guinea,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,
Guyana,,,,,,,,,,
Haiti,0.205735932777431,0.174696042613273,0,0,0.017327380282019,0.004045260744221,0.149739465097091,0.224828507924004,0.174696042613273,0.048931367948688
Honduras,0.350899550007595,0.090064217835283,0.008291087483197,0.111443519104941,0.058533510056335,0.000914222519048,0.077197901001671,0.171550891114824,0.090064217835283,0.041040883041824
"Hong Kong, China",0.000683628232348,0.97203954601925,0.001382940596081,0,0,0.000118160442044,0.010928795288942,0.005028348148413,0.009818581272922,0
Hungary,0.156034636618519,0,0,0.024221497898999,0.001982316476632,0,0.173840329366535,0.147415761814243,0.496505457825073,0
Iceland,0.406887057069327,0.01220661171208,0.004237082756111,0.25537800820178,0.316475646799177,0.004438069387956,0,0,0.000377524073569,0
India,0.369232515921671,0.062325360140163,0.000554409352383,0.000239565579615,0.021189946399227,0.000163731927595,0.120343238979146,0.158583083551962,0.218475530811179,0.048892617337059
Indonesia,0.157946609167565,0.152842356532968,0.009418047363771,0.044459299355281,0.01340198216802,0.000333982099613,0.131007734171115,0.291128298158034,0.152842356532968,0.046619334450666
"Iran, Islamic Republic of",0.289191512697929,0.125597722399341,0,2.243731513591E-05,0.026842593372931,4.37092361645817E-05,0.146685628540835,0.146293089237934,0.216668744195941,0.048654563003789
Iraq,0.408275470918326,0.009144332891934,0,0,0.04494205987914,2.75987914431033E-05,0.089820603602032,0.199601341337848,0.200437075512807,0.047751517066471
Ireland,0.438955841244392,0.174546296703289,0.009853105302904,0,0.013953860786904,0.000735608922654,0.149611111459962,0.037797878876605,0.174546296703289,0
Israel,0.082072892433765,0.156121691364624,0,0,0.000259274095033,0.000156447342729,0.212595710666556,0.110110059203476,0.388704710965705,0.049979213928112
Italy,0.373103154011862,0.139698936050317,0.003476525171904,0.009786014779097,0.077873431652897,0.000199481970183,0.119741945185986,0.090988347806143,0.139698936050317,0.045433227321296
Jamaica,0.054044141945246,0.240278932113848,0,0,0.004010660506893,0.001737130842303,0.205953370383299,0.203984221662023,0.240278932113848,0.04971261043254
Japan,0.102378796441819,0.3154720935656,0.009318339220434,0.006897872640963,0.058426664208673,0.002841541106991,0.117786751587478,0.071405847662443,0.3154720935656,0
Jordan,0.427159104628456,0.014151129634968,0,0,0.000740858825383,5.65572484056643E-05,0.097721180393319,0.196346082123717,0.213864957949443,0.049960129196311
Kazakhstan,0.434759149469065,0,0,0,0.033868556735411,0,0.095647012883194,0.212548917518209,0.22317636339412,0
Kenya,0.354613500086781,0.091017465022274,0.008378841044049,0.129193297450707,0.032663008437464,0.000259589706889,0.078014970019092,0.173366600042426,0.091017465022274,0.041475263168045
Kiribati,,,,,,,,,,
"Korea, Democratic People's Republic of",0.36134149512583,0.137399893564237,0,0,0.17545784616677,0.017274447777088,0.117771337340774,0.049068480684544,0.137399893564237,0.004286605776521
"Korea, Republic of",0.044408599421845,0.37183202506617,0,0,0.019752670313361,0.001498474732871,0.089009970671355,0.052728791980539,0.37183202506617,0.048937442747688
Kosovo,0.225469128194066,0,0,0.471633094800407,0.022263362676437,0,0.049603208202695,0.110229351561543,0.115740819139621,0.005061035425232
Kuwait,0.007088827363628,0.140333922521285,0,0,0,9.17557391371453E-05,0.02972196733921,0.017447493784294,0.755320621039403,0.049995412213043
Kyrgyzstan,0.269133074010692,0,0,0,0.370448949682592,0,0.059209276282352,0.131576169516338,0.138154977992155,0.031477552515871
Laos,,,,,,,,,,
Latvia,0.347983068858377,0.125156417676605,0,0,0.225809777746663,0.000894513679165,0.10727692943709,0.067722874925495,0.125156417676605,0
Lebanon,0.026224404761291,0.27444563292667,0,0,0.017408063582952,0.000293412229059,0.148723370343049,0.079492692779399,0.404297497168181,0.0491149262094
Lesotho,,,,,,,,,,
Liberia,,,,,,,,,,
Libya,0.427290509434553,0.109671230754869,0,0,0,0.000490036410402,0.094003912075602,0.208897582390226,0.109671230754869,0.04997549817948
Lithuania,0.444961680202762,0.142823885471004,0,0,0.011001526745865,0.00019473947022,0.12242047326086,0.135773809378286,0.142823885471003,0
Luxembourg,0.076309134406033,0,0,0,0.00675045468362,0,0.016595996428502,0.017352762196042,0.882991652285803,0
"Macedonia, Former Yugoslav Republic of",0.174976484451871,0,0,0,0.136892506684097,0,0.142360711384774,0.213595304248119,0.332174993231139,0
Madagascar,,,,,,,,,,
Malawi,,,,,,,,,,
Malaysia,0.027031421537811,0.252445730767426,0.001941428452027,0,0.036376426086944,0.000159763295975,0.217026570144906,0.16299294103597,0.253949599570689,0.048076119108253
Maldives,,,,,,,,,,
Mali,,,,,,,,,,
Malta,0.010699437179772,0.43515099527811,0.005909386166492,0,0,0.001344492044368,0.0419960581453,0.02011132981839,0.43515099527811,0.049637306089457
Mauritania,,,,,,,,,,
Mauritius,0.016786064040488,0.267622310454107,0.009833858903985,0,0.015776130392971,0.000837979208485,0.229390551817806,0.143453193153324,0.267622310454107,0.048677601574728
Mexico,0.394384976575889,0.101225477321145,0.009318565221239,0.029560684120217,0.038426783313793,0.000156010442088,0.086764694846696,0.192810432992657,0.101225477321145,0.046126897845133
Micronesia,,,,,,,,,,
"Moldova, Republic of",0.443198846910732,0,0,0,0.015113673531706,0,0.134535630453551,0.093235378045726,0.313916471058285,0
Mongolia,0.448719756708336,0,0,0,0.002844985092586,0,0.098718346475834,0.219374103279631,0.230342808443613,0
Montenegro,0.245464712335431,0.080623340815503,0,0,0.361825329898484,0.002431859106116,0.069105720699003,0.153568268220006,0.080623340815503,0.006357428109954
Morocco,0.410121061209077,0.10526440571033,0.009690378905052,0,0.030620419091417,0.000341690403352,0.090226633465997,0.200503629924438,0.10526440571033,0.047967375580009
Mozambique,0.368026804952083,0.094460213271035,0.008695771869622,0,0.106495665044162,0.023927147993625,0.080965897089458,0.179924215754352,0.094460213271035,0.04304407075463
Myanmar,0.376717803480709,0.096690902893382,0.008901123598103,0,0.106546901136845,0.003340739052867,0.082877916765756,0.184173148368347,0.096690902893382,0.044060561810609
Namibia,0.395888927727767,0.101611491450127,0.009354100720132,0,0.062186467194986,0.002403460791861,0.087095564100109,0.193545698000241,0.101611491450127,0.046302798564651
Nepal,0.25984164966385,0,0,0,0.046345632077324,0,0.172900268476588,0.069795771607398,0.403433959778706,0.047682718396134
Netherlands,0.104476901984848,0.430870844155074,0,0,0.000428469226247,6.77850696715056E-05,0.018595382481153,0.014689772927932,0.430870844155074,0
Netherlands Antilles,0.013079009411606,0.428978586937376,0,0,0,0.00161881674209,0.053817452191673,0.023608488616984,0.428978586937376,0.049919059162896
New Zealand,0.32417335062807,0.103773764536197,0.007659598337245,0.093176594294846,0.138316297298639,0.002547274681972,0.088948941031026,0.099715402886442,0.103773764536197,0.037915011769365
Nicaragua,0.323042363908908,0.08291420673662,0.007632875276955,0.203753537768851,0.030656458297839,0.002302476237856,0.07106932005996,0.157931822355466,0.08291420673662,0.037782732620925
Niger,0.4275,0,0,0,0,0,0.09405,0.209,0.21945,0.05
Nigeria,0.136318666996369,0,0.002953698422621,0,0.012855479805462,5.52227313305333E-05,0.143749827376594,0.319444060836875,0.335416263878719,0.049206779952029
Norway,0.137119750916536,0.055627155648118,0.003077884420124,0,0.688316252938261,0.003895305049313,0.047680419126958,0.008656076252574,0.055627155648118,0
Oman,0.129609400982888,0.144792070575274,0.006582608944104,0,0,0.000216978508992,0.111072381323391,0.069352742330154,0.488713796707852,0.049660020627345
Pakistan,0.239897876761692,0.105498768742443,0.002438714479588,0,0.036510652642752,4.93843331650495E-05,0.152255650335622,0.165534474903505,0.249764415374009,0.048050062427225
Panama,0.364559415156964,0.093570249890287,0.00861384405829,0,0.131338849144992,0.007276745026043,0.080203071334532,0.178229047410071,0.093570249890287,0.042638528088534
Papua New Guinea,,,,,,,,,,
Paraguay,0.063846966346485,0,0,0,0.850650371119333,0,0.014046332596227,0.03121407243606,0.032774776057862,0.007467481444033
Peru,0.335625208194533,0.000203818716097,0.007930183902051,0.066174224110051,0.140353425342826,0.000453960342073,0.073837545802797,0.164083435117327,0.172083788157097,0.03925441031515
Philippines,0.076809765773863,0.151329204286188,0.005954911379409,0.112441584421805,0.039526417489531,0.00268232430976,0.129710746531018,0.288246103402263,0.151329204286188,0.041969738119975
Poland,0.446446975714903,0.114588057100158,0,0.002018378183895,0.005818533373603,5.86979649398879E-05,0.098218334657279,0.218262965905064,0.114588057100158,0
Portugal,0.350475236504411,0.089955310702799,0.008281061763941,0.006002925311015,0.157685457981082,0.008205440313761,0.07710455203097,0.171343448957712,0.089955310702799,0.04099125573151
Qatar,0.005645783749537,0.21021764854803,0,0,0,0.000131453166152,0.023096861575783,0.013245040112295,0.697669785506511,0.049993427341692
Romania,0.374504825248685,0.120249357165216,0,0.004436725331494,0.163236016909892,9.17804381485322E-05,0.103070877570185,0.114158527847774,0.120249357165216,2.53232338916114E-06
Russian Federation,0.402464584534372,0.130572087979854,0.004997930717125,0.001713264015046,0.089561202301993,0.000327862147942,0.11191893255416,0.118838050361476,0.130572087979853,0.009033997408179
Rwanda,,,,,,,,,,
Saint Lucia,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,
Samoa,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,
Saudi Arabia,0.427478700233969,0.038370319012333,0,0,0,4.98240141063369E-05,0.112797212220313,0.146483259551588,0.224823176168397,0.049997508799295
Senegal,0.414599847069996,0.106413960747966,0.0097962040775,0,0.019532034974415,0.00084755727558,0.091211966355399,0.202693258567554,0.106413960747966,0.048491210183625
Serbia,0.137105201200971,0,0,0,0.110082204112075,0,0.164980118568751,0.202878866124449,0.384953609993753,0
Seychelles,,,,,,,,,,
Sierra Leone,,,,,,,,,,
Singapore,0.000227661647373,0.926624059606459,0,0.049425678928801,0,2.40540980558022E-05,0.011129525696901,0.003209181036487,0.009359838985924,0
Slovak Republic,0.405157172728958,0,0,0,0.099650727268982,0,0.115976104176093,0.108605086081751,0.270610909744216,0
Slovenia,0.364828659672474,0.098013880817011,0,0.023021636058396,0.16607830290912,0.000169706204764,0.090641370934914,0.143763792038867,0.113482651364454,0
Solomon Islands,,,,,,,,,,
Somalia,,,,,,,,,,
South Africa,0.42191914936854,0.136992911744632,0.009969145238786,0,0.00300123357462,8.42425467348146E-05,0.117422495781113,0.12427064106895,0.136992911744632,0.049347268931993
South Sudan,0.4275,0,0,0,0,0,0.09405,0.209,0.21945,0.05
Spain,0.373584042773672,0.119161438251408,0.008827078806159,0.000600102194225,0.113410881755546,0.00328113543431,0.102138375644064,0.11614146679872,0.119161438251408,0.043694040090488
Sri Lanka,0.396598876473631,0.101793711628232,0.009370875455695,0,0.062480647955538,0.000431806475011,0.087251752824199,0.193892784053775,0.101793711628232,0.046385833505688
Sudan,0.395395812602958,0.101484925234759,0,0,0.074753189268558,0.000344325110488,0.086987078772651,0.193304619494779,0.101484925234759,0.046245124281048
Suriname,0.348913490083262,0.089554462454704,0.008244160673005,0,0.170802955115018,0.004780977584464,0.076760967818318,0.17057992848515,0.089554462454704,0.040808595331376
Swaziland,,,,,,,,,,
Sweden,0.337462802883694,0.173858808465477,0,0,0.24933274598286,0.000749914275597,0.044471782884629,0.020265137042267,0.173858808465477,0
Switzerland,0.269090548428725,0,0,0,0.393093813379241,0,0.065648192199821,0.118988330859298,0.153179115132915,0
Syrian Arab Republic,0.386743819419663,0.09926424698438,0,0,0.095123005107839,0.000213089816927,0.085083640272326,0.189074756160724,0.09926424698438,0.045233195253762
Tajikistan,0.077459533558317,0,0,0,0.818808108635517,0,0.01704109738283,0.037869105295177,0.039762560559936,0.009059594568224
"Tanzania, United Republic of",0.414710861777096,0.106442454522788,0.009798514161996,0,0.014065260936477,0.006052337703641,0.091236389590961,0.202747532424358,0.106442454522788,0.048504194359894
Thailand,0.037456343576391,0.188115118913996,0,0.000805998233433,0.013092648954807,7.83322182561164E-05,0.222831655119037,0.156493342257315,0.33182540969709,0.049301151029675
Timor-Leste (East Timor),,,,,,,,,,
Togo,0.266186996264256,0.185090113103991,0.008872234481788,0,0.012011816237213,0.000369773854547,0.15864866837485,0.134792975808041,0.185090113103992,0.048937308771323
Tonga,,,,,,,,,,
Trinidad and Tobago,0.004485868055643,0.379466737194791,0.004963519176439,0,0,0.000329593383734,0.136638956584928,0.044913244037681,0.379466737194791,0.049735344371991
Tunisia,0.426177636343041,0.109385593328047,0,0,0.002660202053176,0.000433046267196,0.093759079995469,0.208353511101042,0.109385593328047,0.049845337583982
Turkey,0.354822881485973,0.020818304022627,0,0.013255581048973,0.156545962588558,0.000203411950837,0.078061033926914,0.173468964282031,0.161324108473507,0.041499752220582
Turkmenistan,0.427478307369382,0,0,0,5.07429955988418E-05,0,0.094045227621264,0.20898939471392,0.219438864449616,0.04999746285022
Uganda,,,,,,,,,,
Ukraine,0.42414562510611,0.152085445334118,0,0,0.057254247509551,0.000199918921316,0.13035895314353,0.083870364651258,0.152085445334118,0
United Arab Emirates,0.071023384360131,0.12259127571454,0,0,0,5.29257551421901E-05,0.042987066223748,0.024499666004417,0.68884832822978,0.049997353712243
United Kingdom,0.202857813242994,0.326608139496641,0.009625640178441,0,0.009345414988326,0.028090567167587,0.054139835321984,0.042724450107388,0.326608139496641,0
United States of America,0.314416382012581,0.164226413819071,0.009551648272578,0.005723343117176,0.039027837382258,8.39922427821709E-05,0.109484275879381,0.145979034505841,0.164226413819071,0.04728065894926
Uruguay,0.365510157380767,0.09381427372773,0.008636308284737,0,0.135707636425573,0.000661535100762,0.080412234623769,0.178693854719486,0.09381427372773,0.042749726009447
Uzbekistan,0.409434118119392,0,0,0,0.042259372820137,0,0.090075505986266,0.200167791080591,0.210176180634621,0.047887031358993
Vanuatu,,,,,,,,,,
Venezuela,0.359128857187432,0.092176406678108,0.001771657110688,0,0.157964011740393,0.000196828956096,0.079008348581235,0.1755741079583,0.092176406678107,0.042003375109641
Vietnam,0.007246601953462,0.251933811473494,0.005668556358796,0,0.080689350822469,0.000106154556175,0.21594326697728,0.140801649471702,0.251933811473494,0.045676796913128
Yemen,0.132149657719986,0.163084756754556,0.009662347022898,0.031178821298602,0,0.002586476411569,0.139786934361048,0.310637631913439,0.163084756754556,0.047828617763347
Zambia,0.378499094440973,0,0,0.007258761397504,0.107363239910162,0,0.083269800777014,0.185044001726698,0.194296201813033,0.044268899934617
Zimbabwe,0.39861826537474,0,0,0,0.067559613158503,0,0.095757497247443,0.168008444633205,0.223434160244034,0.046622019342075
