Region,Onshore wind,Offshore wind,Wave device,Geothermal electric plant,Hydroelectric plant,Tidal turbine,Res. roof PV system,Com/gov/Indus roof PV system,Solar PV plant,CSP plant 
Afghanistan,,,,,,,,,,
Albania,0.210070538966568,0.068303216490127,0,0,0.435407383839606,0.00109372055585,0.058545614134395,0.130101364743099,0.068303216490127,0.028174944780227
Algeria,0.425788682452557,0.021795817346805,0.001029268798918,1.90828437806411E-05,0.002850774978018,0.000103955361606,0.093673510139563,0.208163355865695,0.196775706312174,0.049799845900884
Angola,0.37544712570788,0.096364762265023,0.008871099904492,0,0.112270244750902,0.000619764799857,0.082598367655734,0.183551928123852,0.096364762265023,0.043911944527238
Antigua and Barbuda,,,,,,,,,,
Argentina,0.38765781356761,0.099498838815687,0,0.013991109646629,0.078992200014877,0.000214787256366,0.085284718984874,0.189521597744165,0.099498838815687,0.045340095154107
Armenia,0.27371393061735,0,0,0.012514499470188,0.347218996161741,0,0.060217064735817,0.133815699412927,0.140506484383573,0.032013325218404
Australia,0.269529012176159,0.150936246818649,0.009552685173708,0.003573325641877,0.039937056075854,0.001221100911511,0.094335154261656,0.15722525710276,0.226404370227974,0.047285791609853
Austria,0.36184147581783,0,0,4.74561822538457E-05,0.195860375333679,0,0.105529376032849,0.090486105890074,0.246235210743314,0
Azerbaijan,0.225690858767005,0,0,0,0.067712769553599,0,0.125509229887488,0.278909399749973,0.292854869737471,0.009322872304464
Bahamas,,,,,,,,,,
Bahrain,0.003847348957082,0.169970365403683,0,0,0,0.000155553379773,0.03486921170092,0.016578727567839,0.724586570659693,0.049992222331011
Bangladesh,0.07081847334454,0.071184848688188,0.006165094685688,0,0.003202018670404,0.001027989470522,0.231758364920346,0.096778295902358,0.469584669459286,0.049480244858669
Barbados,,,,,,,,,,
Belarus,0.448081984585983,0,0,0.000667343045573,0.00359491343002,0,0.079902210227079,0.07150300359268,0.396250545118665,0
Belgium,0.079613164919746,0.226379694758561,0,0,0.001893608780601,2.64858523799251E-05,0.0182218387702,0.016085722158518,0.657779484759996,0
Belize,,,,,,,,,,
Benin,0.339712077255739,0.137386256662961,0.009950447076249,0,0.004607765568732,0.000347526806374,0.117759648568253,0.203595308371298,0.137386256662962,0.049254713027432
Bhutan,,,,,,,,,,
Bolivia,0.32656161423458,0,0,0.186536438037117,0.04957674503989,0,0.071843555131608,0.159652344736906,0.167634961973751,0.03819434084615
Bosnia and Herzegovina,0.223234217516269,0.04792534516132,0,0,0.279129294959467,0.00010346145568,0.088258563653892,0.196130141453094,0.158011303364429,0.007207672435849
Botswana,0.4275,0,0,0,0,0,0.09405,0.209,0.21945,0.05
