GCAM Region,IEA Region,Sector,Metric,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
OECD90 ,US ,Industry,Bioenergy,325,325,325,325,337,337,337,348,348,360,360,360,360,360,372,372,372,372,383,383,383,383,395,395,407,407,407,418,418,430,430
OECD90 ,US ,Industry,Other renewables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OECD90 ,US ,Transport,Transport,6919,6966,7012,7059,7117,7164,7210,7268,7454,7443,7431,7419,7408,7396,7385,7373,7338,7303,7268,7233,7198,7175,7164,7140,7129,7117,7094,7082,7071,7059,7047
OECD90 ,US ,Transport,Oil,6454,6466,6489,6512,6536,6559,6582,6605,6768,6733,6710,6675,6652,6617,6594,6559,6501,6443,6384,6326,6268,6222,6175,6129,6094,6047,6001,5966,5931,5896,5861
OECD90 ,US ,Transport,Electricity,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,23,23,23,23,23,34,34,34,34,34,34,34
OECD90 ,US ,Transport,Biofuels,267,290,314,337,360,383,407,441,453,465,476,488,500,511,534,546,558,569,581,593,604,616,628,651,662,674,686,697,709,732,744
OECD90 ,US ,Transport,Other fuels,186,186,186,186,197,197,197,209,209,209,220,220,232,232,232,244,244,255,267,279,290,290,302,314,325,337,337,348,360,372,383
OECD90 ,US ,Buildings,Buildings,5687,5640,5605,5570,5535,5500,5466,5431,5791,5791,5791,5791,5803,5803,5803,5803,5815,5838,5861,5884,5908,5919,5942,5966,5989,6012,6024,6047,6070,6094,6117
OECD90 ,US ,Buildings,Coal,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OECD90 ,US ,Buildings,Oil,418,395,372,360,337,325,302,290,302,302,290,290,290,279,279,279,267,267,255,255,255,244,244,232,232,220,209,209,197,197,186
OECD90 ,US ,Buildings,Natural gas,2116,2105,2093,2093,2081,2081,2070,2070,2291,2279,2279,2267,2267,2256,2256,2256,2256,2256,2267,2267,2267,2267,2267,2279,2279,2291,2291,2291,2291,2291,2291
OECD90 ,US ,Buildings,Electricity,2907,2895,2895,2895,2895,2895,2895,2895,3012,3023,3023,3035,3047,3058,3058,3070,3081,3093,3116,3128,3151,3163,3186,3198,3221,3244,3256,3279,3291,3314,3337
OECD90 ,US ,Buildings,Heat,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0
OECD90 ,US ,Buildings,Bioenergy,162,151,139,139,127,127,116,116,116,116,116,116,116,127,127,127,127,127,127,139,139,139,139,139,151,151,151,151,151,162,162
OECD90 ,US ,Buildings,   Traditional biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OECD90 ,US ,Buildings,Other renewables,23,23,23,23,23,23,23,23,23,34,34,34,34,34,46,46,46,46,46,58,58,58,58,69,69,81,81,81,93,93,104
OECD90 ,US ,Other,Other,1779,1791,1814,1837,1860,1884,1907,1930,1988,2070,2151,2221,2302,2384,2453,2535,2535,2535,2535,2535,2535,2535,2535,2546,2546,2546,2535,2535,2535,2523,2523
OECD90 ,US ,Other,   Petrochem. feedstock,1093,1035,976,918,860,802,744,697,732,779,825,872,918,965,1011,1058,1058,1058,1058,1069,1069,1069,1069,1069,1069,1069,1058,1058,1058,1058,1058
LAM ,CSAM ,TPED,Total primary demand,7105,7175,7257,7326,7408,7478,7559,7640,7664,7803,7943,8082,8210,8350,8489,8629,8792,8955,9117,9280,9455,9641,9827,10025,10211,10397,10594,10804,11013,11222,11420
LAM ,CSAM ,TPED,Coal,290,302,314,325,337,348,360,372,372,372,383,395,395,407,418,418,418,418,430,430,441,441,441,453,453,465,465,465,476,476,476
LAM ,CSAM ,TPED,Oil,3163,3151,3151,3151,3151,3151,3151,3151,3093,3140,3186,3233,3279,3314,3361,3407,3442,3477,3523,3558,3605,3640,3675,3721,3756,3803,3837,3872,3907,3942,3977
LAM ,CSAM ,TPED,Natural gas,1442,1465,1500,1523,1558,1581,1616,1651,1674,1697,1721,1744,1767,1791,1814,1837,1884,1942,2000,2058,2116,2186,2256,2326,2395,2465,2546,2640,2721,2814,2907
LAM ,CSAM ,TPED,Nuclear,58,58,58,58,58,58,58,58,58,69,69,69,69,69,69,69,69,81,81,93,104,116,127,151,162,174,174,186,197,209,220
LAM ,CSAM ,TPED,Hydro,686,686,686,686,686,686,686,697,709,732,755,767,790,814,837,848,872,895,918,942,965,976,1000,1023,1046,1069,1081,1104,1128,1151,1174
LAM ,CSAM ,TPED,Bioenergy,1395,1418,1442,1465,1488,1511,1535,1558,1593,1616,1639,1674,1697,1721,1744,1767,1779,1802,1825,1849,1872,1895,1918,1942,1965,1988,2011,2035,2058,2081,2105
LAM ,CSAM ,TPED,Other renewables,34,34,46,58,69,81,93,104,127,139,151,162,186,197,209,232,244,267,279,302,314,325,348,372,383,407,430,453,476,500,523
LAM ,CSAM ,Power sector,Power sector,1837,1872,1918,1965,2011,2058,2105,2151,2151,2198,2244,2279,2326,2372,2407,2453,2512,2581,2640,2709,2779,2860,2942,3023,3105,3186,3268,3361,3454,3547,3640
LAM ,CSAM ,Power sector,Coal,116,116,127,139,139,151,162,174,174,174,174,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,174,174,174,174,174
LAM ,CSAM ,Power sector,Oil,360,348,337,325,314,302,290,279,255,255,244,244,244,244,232,232,220,220,209,209,209,197,197,197,197,197,186,186,186,186,174
LAM ,CSAM ,Power sector,Natural gas,430,453,476,500,523,546,569,593,593,593,593,593,593,593,593,593,604,628,651,674,697,721,744,767,802,825,860,895,930,965,1000
LAM ,CSAM ,Power sector,Nuclear,58,58,58,58,58,58,58,58,58,69,69,69,69,69,69,69,69,81,81,93,104,116,127,151,162,174,174,186,197,209,220
LAM ,CSAM ,Power sector,Hydro,686,686,686,686,686,686,686,697,709,732,755,767,790,814,837,848,872,895,918,942,965,976,1000,1023,1046,1069,1081,1104,1128,1151,1174
LAM ,CSAM ,Power sector,Bioenergy,127,139,151,162,174,186,197,209,220,220,232,244,244,255,255,267,267,279,279,290,290,290,302,314,325,337,337,348,348,360,372
LAM ,CSAM ,Power sector,Other renewables,34,34,46,58,58,69,81,93,104,127,139,151,162,186,197,209,220,232,255,267,290,302,325,337,360,372,395,418,441,465,488
LAM ,CSAM ,Other energy sector,Other energy sector,1011,1011,1011,1011,1011,1011,1011,1011,1023,1035,1046,1058,1069,1081,1104,1116,1139,1163,1186,1209,1232,1256,1279,1302,1325,1349,1383,1418,1453,1488,1523
LAM ,CSAM ,Other energy sector,  Electricity,209,209,220,220,232,232,244,255,255,255,267,267,279,279,290,290,290,302,314,325,337,337,348,360,372,383,383,395,407,418,430
LAM ,CSAM ,TFC,Total final consumption,5373,5419,5477,5535,5582,5640,5698,5756,5791,5908,6035,6152,6268,6396,6512,6640,6757,6884,7001,7129,7245,7373,7512,7640,7780,7908,8047,8187,8327,8466,8606
LAM ,CSAM ,TFC,Coal,127,127,127,127,127,127,127,139,139,139,139,151,151,162,162,162,162,162,174,174,186,186,186,197,197,197,197,197,209,209,220
LAM ,CSAM ,TFC,Oil,2488,2512,2546,2581,2605,2640,2674,2709,2686,2721,2767,2814,2860,2895,2942,2988,3023,3058,3093,3140,3174,3209,3244,3291,3326,3372,3407,3442,3477,3512,3558
LAM ,CSAM ,TFC,Natural gas,779,755,744,732,721,709,697,686,709,732,755,779,802,825,848,872,895,930,953,988,1011,1035,1069,1104,1139,1174,1209,1244,1279,1314,1349
LAM ,CSAM ,TFC,Electricity,907,918,942,953,976,988,1011,1035,1046,1081,1116,1151,1174,1209,1244,1279,1314,1349,1383,1430,1465,1500,1546,1593,1628,1674,1721,1767,1814,1860,1907
LAM ,CSAM ,TFC,Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAM ,CSAM ,TFC,Bioenergy,1046,1058,1069,1081,1104,1116,1128,1151,1174,1197,1209,1221,1244,1256,1279,1290,1302,1314,1325,1349,1360,1372,1383,1407,1418,1430,1442,1453,1477,1488,1511
LAM ,CSAM ,TFC,Other renewables,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,23,23,23,23,23,23,23,23,34,34,34
LAM ,CSAM ,Industry,Industry,1860,1849,1849,1849,1837,1837,1837,1837,1872,1907,1953,2000,2035,2081,2116,2163,2198,2244,2279,2326,2360,2395,2442,2488,2535,2581,2628,2674,2721,2767,2814
LAM ,CSAM ,Industry,Coal,116,116,116,116,116,116,116,127,139,139,139,151,151,151,162,162,162,162,174,174,186,186,186,186,197,197,197,197,209,209,220
LAM ,CSAM ,Industry,Oil,430,418,407,395,395,383,372,372,372,372,372,372,372,372,372,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383
LAM ,CSAM ,Industry,Natural gas,395,383,372,372,360,360,348,348,372,383,407,430,441,465,476,500,511,534,558,581,593,616,639,662,686,709,732,755,779,802,825
LAM ,CSAM ,Industry,Electricity,407,407,407,407,407,407,407,407,418,430,441,453,465,476,488,500,500,511,523,534,546,558,569,581,593,604,616,628,639,651,662
LAM ,CSAM ,Industry,Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAM ,CSAM ,Industry,Bioenergy,488,488,500,511,511,523,534,546,558,569,569,581,581,593,593,604,604,616,616,628,628,628,639,651,662,662,662,674,686,697,709
LAM ,CSAM ,Industry,Other renewables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAM ,CSAM ,Transport,Transport,1686,1732,1779,1825,1872,1918,1965,2023,2011,2046,2081,2128,2163,2198,2244,2279,2314,2360,2395,2442,2477,2512,2558,2605,2651,2698,2733,2779,2826,2872,2919
LAM ,CSAM ,Transport,Oil,1430,1465,1500,1546,1581,1628,1663,1709,1686,1721,1756,1779,1814,1837,1872,1907,1930,1953,1988,2011,2046,2070,2105,2139,2163,2198,2221,2256,2279,2314,2337
LAM ,CSAM ,Transport,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAM ,CSAM ,Transport,Biofuels,162,162,174,174,186,186,197,209,220,232,244,255,255,267,279,290,290,302,314,325,337,337,348,360,372,383,383,395,407,418,430
LAM ,CSAM ,Transport,Other fuels,69,69,69,69,69,69,69,81,81,81,81,69,69,69,69,69,69,69,81,81,81,81,93,93,104,104,104,116,116,127,127
LAM ,CSAM ,Buildings,Buildings,1186,1209,1232,1256,1279,1302,1325,1349,1360,1383,1407,1430,1453,1477,1500,1523,1546,1581,1604,1639,1663,1686,1721,1756,1791,1825,1860,1895,1930,1965,2000
LAM ,CSAM ,Buildings,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAM ,CSAM ,Buildings,Oil,220,220,220,220,232,232,232,244,244,244,244,244,244,255,255,255,255,255,255,255,267,267,267,267,267,279,279,279,279,279,279
LAM ,CSAM ,Buildings,Natural gas,139,139,139,139,139,139,139,151,162,162,162,174,174,174,174,186,186,186,197,197,209,209,209,220,220,220,220,232,232,244,244
LAM ,CSAM ,Buildings,Electricity,465,476,488,511,523,546,558,581,581,604,628,639,662,686,697,721,744,767,790,814,848,872,895,930,953,988,1011,1046,1081,1104,1139
LAM ,CSAM ,Buildings,Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAM ,CSAM ,Buildings,Bioenergy,337,337,337,337,337,337,337,337,337,337,337,337,337,325,325,325,314,314,314,314,314,302,302,302,290,290,279,279,279,267,267
LAM ,CSAM ,Buildings,   Traditional biomass,302,302,302,302,302,302,302,302,302,302,302,302,302,290,290,290,279,279,279,279,267,255,255,255,255,244,232,232,232,220,220
LAM ,CSAM ,Buildings,Other renewables,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,23,23,23,23,23,23,23,23,23,34,34
LAM ,CSAM ,Other,Other,628,604,593,581,569,558,546,534,534,546,569,581,604,616,639,651,662,674,697,709,721,732,744,755,767,790,802,814,825,837,848
LAM ,CSAM ,Other,   Petrochem. feedstock,267,255,244,232,220,209,197,197,197,209,220,232,244,244,255,267,267,279,290,290,302,302,314,314,325,325,325,337,348,348,360
LAM ,BRAZIL ,TPED,Total primary demand,3058,3093,3128,3174,3209,3256,3291,3337,3302,3372,3442,3512,3582,3640,3709,3779,3849,3919,3989,4058,4140,4210,4291,4372,4454,4535,4617,4698,4791,4872,4966
LAM ,BRAZIL ,TPED,Coal,162,162,162,162,174,174,174,186,186,186,186,186,186,186,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
LAM ,BRAZIL ,TPED,Oil,1209,1209,1221,1232,1244,1256,1267,1279,1244,1267,1302,1325,1349,1372,1407,1430,1442,1465,1488,1511,1535,1546,1570,1581,1604,1628,1639,1651,1674,1686,1709
LAM ,BRAZIL ,TPED,Natural gas,267,279,290,302,325,337,348,372,348,348,348,360,360,360,360,372,383,395,407,418,430,453,476,500,523,546,569,604,628,662,686
LAM ,BRAZIL ,TPED,Nuclear,34,34,34,34,34,34,34,46,46,46,46,46,46,46,46,46,46,58,58,69,69,69,81,93,104,116,116,116,127,127,139
LAM ,BRAZIL ,TPED,Hydro,395,383,383,372,372,360,360,360,360,372,395,407,418,430,441,453,465,476,488,500,511,523,534,546,558,569,581,593,604,628,639
LAM ,BRAZIL ,TPED,Bioenergy,942,942,953,965,976,988,1000,1011,1023,1046,1069,1081,1104,1128,1139,1163,1174,1186,1197,1209,1221,1232,1244,1267,1279,1302,1314,1325,1337,1349,1360
LAM ,BRAZIL ,TPED,Other renewables,0,0,11,11,23,23,34,46,58,58,69,69,81,81,81,93,93,104,104,116,116,116,127,127,139,151,151,162,174,174,186
LAM ,BRAZIL ,Power sector,Power sector,674,686,709,732,744,767,790,814,814,825,848,860,872,883,907,918,942,965,988,1011,1046,1069,1104,1139,1163,1197,1232,1267,1302,1337,1372
LAM ,BRAZIL ,Power sector,Coal,34,34,34,34,46,46,46,58,58,58,58,58,58,58,58,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
LAM ,BRAZIL ,Power sector,Oil,34,34,34,34,34,34,34,34,34,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
LAM ,BRAZIL ,Power sector,Natural gas,69,69,81,93,104,116,127,139,127,127,116,116,104,104,104,93,93,93,93,93,93,93,104,116,116,127,127,139,151,162,174
LAM ,BRAZIL ,Power sector,Nuclear,34,34,34,34,34,34,34,46,46,46,46,46,46,46,46,46,46,58,58,69,69,69,81,93,104,116,116,116,127,127,139
LAM ,BRAZIL ,Power sector,Hydro,395,383,383,372,372,360,360,360,360,372,395,407,418,430,441,453,465,476,488,500,511,523,534,546,558,569,581,593,604,628,639
LAM ,BRAZIL ,Power sector,Bioenergy,58,58,69,69,81,81,93,104,104,116,116,116,127,127,127,139,139,139,139,139,151,151,151,151,151,151,151,151,151,162,162
LAM ,BRAZIL ,Power sector,Other renewables,0,0,0,11,11,23,23,34,46,46,58,58,58,69,69,81,81,81,93,93,104,104,104,116,116,127,127,139,139,151,162
LAM ,BRAZIL ,Other energy sector,Other energy sector,476,476,476,476,476,476,476,476,465,476,488,500,511,523,534,546,558,569,581,593,604,616,628,639,651,662,674,686,697,721,732
LAM ,BRAZIL ,Other energy sector,  Electricity,104,104,104,104,104,104,104,116,127,127,127,127,139,139,139,139,139,139,151,151,162,162,162,174,174,186,186,197,197,209,209
LAM ,BRAZIL ,TFC,Total final consumption,2453,2477,2512,2535,2570,2593,2628,2663,2640,2698,2756,2814,2884,2942,3000,3058,3105,3163,3221,3279,3326,3384,3442,3500,3570,3628,3686,3744,3803,3872,3930
LAM ,BRAZIL ,TFC,Coal,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,104
LAM ,BRAZIL ,TFC,Oil,1081,1093,1104,1116,1139,1151,1163,1186,1163,1186,1209,1232,1256,1279,1302,1325,1337,1360,1383,1407,1430,1442,1465,1477,1500,1523,1535,1558,1570,1593,1604
LAM ,BRAZIL ,TFC,Natural gas,151,139,139,139,139,139,139,139,139,139,139,151,151,162,162,174,174,186,197,197,209,209,220,232,244,255,255,267,279,290,302
LAM ,BRAZIL ,TFC,Electricity,430,430,441,453,453,465,476,488,500,511,523,534,558,569,581,593,604,628,639,662,674,686,709,721,744,767,779,802,825,848,872
LAM ,BRAZIL ,TFC,Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAM ,BRAZIL ,TFC,Bioenergy,674,674,686,686,697,697,709,721,732,744,767,779,790,802,825,837,837,848,860,872,883,895,907,918,930,942,953,965,976,988,1000
LAM ,BRAZIL ,TFC,Other renewables,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,23,23,23,23,23
LAM ,BRAZIL ,Industry,Industry,918,918,918,918,918,918,918,930,930,942,965,988,1000,1023,1035,1058,1069,1081,1104,1116,1139,1151,1174,1186,1209,1221,1232,1256,1279,1302,1325
LAM ,BRAZIL ,Industry,Coal,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,93,93,93,93,93,93,93,93,93,93,93
LAM ,BRAZIL ,Industry,Oil,127,116,116,116,116,116,116,116,116,116,116,116,116,116,116,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
LAM ,BRAZIL ,Industry,Natural gas,104,104,104,104,104,104,104,104,93,104,104,116,116,127,127,139,139,151,151,162,162,162,174,186,186,197,197,209,220,220,232
LAM ,BRAZIL ,Industry,Electricity,197,197,197,197,197,197,197,197,197,197,209,209,209,220,220,232,232,232,244,244,244,244,255,255,267,267,267,279,279,290,290
LAM ,BRAZIL ,Industry,Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAM ,BRAZIL ,Industry,Bioenergy,395,395,395,395,407,407,407,418,418,430,430,441,441,453,453,465,465,465,476,476,488,488,500,500,511,511,511,523,523,534,546
LAM ,BRAZIL ,Industry,Other renewables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAM ,BRAZIL ,Transport,Transport,814,837,860,883,907,930,953,976,965,988,1000,1023,1046,1058,1081,1104,1116,1128,1151,1163,1186,1197,1221,1244,1256,1279,1290,1314,1325,1349,1372
LAM ,BRAZIL ,Transport,Oil,616,628,651,674,686,709,732,755,732,744,767,779,790,802,814,837,837,848,860,872,883,895,907,918,930,942,953,965,976,988,1000
LAM ,BRAZIL ,Transport,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAM ,BRAZIL ,Transport,Biofuels,162,162,162,162,174,174,174,186,197,197,209,220,220,232,232,244,244,255,255,267,267,267,279,279,290,302,302,314,314,325,325
LAM ,BRAZIL ,Transport,Other fuels,23,23,23,23,23,23,23,23,23,23,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,23
LAM ,BRAZIL ,Buildings,Buildings,395,395,407,407,418,418,430,441,441,453,453,465,476,488,500,511,523,534,546,558,569,581,593,604,628,639,651,674,686,709,721
LAM ,BRAZIL ,Buildings,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAM ,BRAZIL ,Buildings,Oil,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,93,93,93,93,93,93,93,93,93,93,93
LAM ,BRAZIL ,Buildings,Natural gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,23
LAM ,BRAZIL ,Buildings,Electricity,209,209,220,232,232,244,255,267,267,267,279,290,302,314,314,325,337,348,360,372,383,395,407,418,430,453,465,476,500,511,523
LAM ,BRAZIL ,Buildings,Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAM ,BRAZIL ,Buildings,Bioenergy,81,69,69,69,69,69,69,69,69,69,69,69,69,69,58,58,58,58,58,58,58,46,46,46,46,46,34,34,34,34,34
LAM ,BRAZIL ,Buildings,   Traditional biomass,81,69,69,69,69,69,69,69,69,69,69,69,58,58,58,58,58,58,58,58,58,46,46,46,46,46,34,34,34,34,34
LAM ,BRAZIL ,Buildings,Other renewables,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,23
LAM ,BRAZIL ,Other,Other,314,302,302,302,290,290,290,290,290,302,314,325,337,348,360,372,372,383,395,407,418,418,430,441,453,465,465,476,488,488,500
LAM ,BRAZIL ,Other,   Petrochem. feedstock,104,93,93,93,93,93,93,93,81,93,104,116,116,127,139,139,139,151,151,162,162,162,162,174,174,186,186,186,197,197,209
OECD90 ,EUR ,TPED,Total primary demand,24539,24341,24155,23969,23771,23585,23399,23213,23248,23248,23248,23248,23236,23236,23236,23236,23190,23155,23120,23073,23039,22980,22922,22876,22818,22771,22794,22818,22841,22864,22887
OECD90 ,EUR ,TPED,Coal,4372,4279,4186,4093,4000,3907,3814,3733,3640,3570,3500,3442,3372,3302,3233,3174,3128,3093,3058,3012,2977,2919,2860,2802,2744,2686,2663,2640,2628,2605,2593
OECD90 ,EUR ,TPED,Oil,7699,7652,7606,7559,7512,7466,7419,7385,7385,7338,7292,7245,7198,7152,7094,7047,6966,6896,6815,6745,6675,6594,6512,6431,6361,6280,6222,6163,6105,6047,5989
OECD90 ,EUR ,TPED,Natural gas,6629,6512,6408,6291,6187,6070,5966,5861,5768,5791,5803,5826,5849,5873,5896,5919,5942,5966,6001,6024,6059,6117,6175,6245,6303,6361,6384,6408,6431,6454,6477
OECD90 ,EUR ,TPED,Nuclear,3128,3081,3035,3000,2954,2919,2872,2837,2849,2814,2779,2744,2709,2674,2628,2593,2570,2546,2535,2512,2488,2442,2395,2349,2314,2267,2279,2291,2302,2314,2326
OECD90 ,EUR ,TPED,Hydro,639,628,616,604,593,581,569,569,616,628,639,651,662,686,697,709,709,709,721,721,721,721,721,732,732,744,744,744,744,755,755
OECD90 ,EUR ,TPED,Bioenergy,1686,1732,1779,1825,1872,1918,1965,2023,2116,2151,2198,2244,2291,2337,2372,2419,2442,2465,2488,2512,2546,2558,2581,2605,2628,2651,2663,2686,2709,2733,2756
OECD90 ,EUR ,TPED,Other renewables,337,395,453,511,581,639,697,767,837,907,988,1058,1128,1197,1267,1337,1372,1418,1453,1500,1535,1570,1616,1651,1697,1744,1779,1825,1860,1907,1942
OECD90 ,EUR ,Power sector,Power sector,10408,10304,10211,10106,10013,9908,9815,9722,9769,9757,9734,9722,9711,9687,9676,9664,9676,9699,9711,9734,9757,9757,9757,9757,9757,9769,9815,9873,9932,9990,10048
OECD90 ,EUR ,Power sector,Coal,3093,3023,2954,2884,2814,2744,2674,2616,2581,2523,2465,2395,2337,2267,2209,2151,2116,2081,2058,2023,1988,1930,1884,1837,1791,1744,1721,1709,1697,1686,1674
OECD90 ,EUR ,Power sector,Oil,314,290,279,255,244,220,209,197,197,186,174,151,139,127,116,104,93,93,81,81,69,58,58,58,58,58,46,46,46,46,46
OECD90 ,EUR ,Power sector,Natural gas,2360,2302,2244,2186,2128,2070,2011,1965,1884,1884,1884,1884,1884,1884,1884,1884,1907,1930,1953,1977,2000,2046,2093,2151,2198,2256,2256,2267,2279,2291,2302
OECD90 ,EUR ,Power sector,Nuclear,3128,3081,3035,3000,2954,2919,2872,2837,2849,2814,2779,2744,2709,2674,2628,2593,2570,2546,2535,2512,2488,2442,2395,2349,2314,2267,2279,2291,2302,2314,2326
OECD90 ,EUR ,Power sector,Hydro,639,628,616,604,593,581,569,569,616,628,639,651,662,686,697,709,709,709,721,721,721,721,721,732,732,744,744,744,744,755,755
OECD90 ,EUR ,Power sector,Bioenergy,569,593,628,662,686,721,755,790,825,848,872,883,907,918,942,965,976,988,1000,1011,1023,1035,1046,1058,1069,1093,1093,1104,1116,1128,1139
OECD90 ,EUR ,Power sector,Other renewables,279,337,395,453,511,569,628,697,767,837,895,965,1035,1104,1163,1232,1267,1302,1337,1372,1407,1442,1477,1511,1546,1581,1616,1651,1686,1721,1756
OECD90 ,EUR ,Other energy sector,Other energy sector,2337,2302,2279,2244,2221,2186,2163,2139,2128,2116,2105,2093,2093,2081,2070,2058,2035,2011,1988,1977,1953,1942,1930,1918,1907,1895,1895,1895,1895,1895,1895
OECD90 ,EUR ,Other energy sector,  Electricity,651,639,639,628,628,616,616,616,616,616,616,604,604,604,604,604,593,593,593,593,593,593,593,593,593,593,593,593,604,604,616
OECD90 ,EUR ,TFC,Total final consumption,16944,16863,16782,16700,16619,16537,16456,16375,16409,16479,16549,16607,16677,16747,16805,16875,16863,16863,16863,16863,16863,16851,16840,16840,16828,16828,16840,16851,16863,16875,16886
OECD90 ,EUR ,TFC,Coal,767,744,732,709,697,674,662,651,604,604,593,593,593,581,581,581,569,569,558,558,546,534,534,523,523,511,500,500,500,500,500
OECD90 ,EUR ,TFC,Oil,6826,6791,6757,6733,6698,6675,6640,6617,6629,6605,6582,6559,6536,6512,6489,6466,6408,6349,6291,6233,6175,6105,6035,5966,5908,5838,5780,5733,5687,5640,5582
OECD90 ,EUR ,TFC,Natural gas,3837,3791,3744,3709,3663,3628,3582,3547,3547,3570,3582,3605,3616,3640,3651,3675,3675,3686,3698,3709,3721,3733,3744,3756,3768,3779,3779,3791,3803,3814,3814
OECD90 ,EUR ,TFC,Electricity,3465,3465,3465,3477,3477,3489,3489,3500,3523,3570,3605,3651,3686,3733,3768,3814,3849,3884,3919,3954,3989,4023,4058,4093,4140,4175,4210,4256,4291,4337,4372
OECD90 ,EUR ,TFC,Heat,860,837,825,814,790,779,767,755,755,755,755,767,767,779,779,779,779,779,779,790,790,790,790,790,790,802,802,802,802,802,802
OECD90 ,EUR ,TFC,Bioenergy,1093,1104,1116,1128,1151,1163,1174,1197,1256,1279,1302,1325,1349,1372,1395,1430,1430,1442,1453,1465,1477,1488,1500,1511,1523,1535,1546,1558,1570,1581,1593
OECD90 ,EUR ,TFC,Other renewables,58,58,58,58,58,58,58,69,69,69,81,81,81,93,93,104,104,104,116,116,127,127,139,139,151,151,151,162,174,174,186
OECD90 ,EUR ,Industry,Industry,3989,3977,3977,3965,3965,3954,3954,3954,3942,3965,3977,4000,4012,4035,4047,4070,4070,4070,4070,4070,4070,4070,4070,4070,4082,4082,4082,4093,4093,4105,4105
OECD90 ,EUR ,Industry,Coal,453,441,430,430,418,418,407,407,383,383,383,383,383,383,383,383,372,372,372,372,372,372,372,372,372,372,360,360,360,360,360
OECD90 ,EUR ,Industry,Oil,500,476,465,453,441,430,418,407,395,395,395,395,395,395,395,395,383,383,383,383,383,383,383,383,383,383,372,372,372,372,372
OECD90 ,EUR ,Industry,Natural gas,1174,1174,1186,1186,1197,1197,1209,1221,1221,1221,1232,1232,1244,1244,1256,1256,1244,1244,1244,1244,1244,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232
