GCAM Region,IEA Region,Sector,Metric,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
OECD90 ,NAM ,TPED,Total primary demand,30877,30819,30772,30726,30668,30621,30575,30528,31563,31680,31796,31924,32040,32156,32284,32401,32447,32494,32540,32587,32633,32715,32796,32878,32971,33052,33133,33215,33296,33378,33471
OECD90 ,NAM ,TPED,Coal,6256,5954,5663,5361,5070,4768,4477,4186,4000,3896,3791,3675,3570,3465,3349,3244,3198,3163,3116,3081,3047,3012,2977,2954,2919,2895,2860,2837,2814,2791,2767
OECD90 ,NAM ,TPED,Oil,11595,11560,11525,11490,11455,11420,11385,11350,11595,11618,11653,11676,11699,11734,11757,11781,11734,11688,11641,11595,11548,11513,11478,11455,11420,11397,11362,11339,11315,11292,11269
OECD90 ,NAM ,TPED,Natural gas,7978,8175,8373,8571,8780,8978,9176,9385,10269,10432,10583,10746,10897,11060,11211,11374,11432,11502,11571,11641,11711,11781,11850,11920,11990,12060,12118,12176,12234,12304,12362
OECD90 ,NAM ,TPED,Nuclear,2826,2826,2837,2837,2849,2849,2860,2872,2895,2849,2791,2733,2686,2628,2570,2512,2488,2465,2453,2430,2407,2384,2372,2349,2337,2326,2302,2279,2256,2232,2209
OECD90 ,NAM ,TPED,Hydro,639,651,662,674,686,697,709,721,709,709,721,732,732,744,755,767,767,767,779,779,790,790,790,802,802,814,814,814,825,825,837
OECD90 ,NAM ,TPED,Bioenergy,1279,1290,1314,1337,1360,1383,1407,1430,1453,1477,1511,1535,1558,1581,1604,1639,1663,1686,1709,1732,1756,1779,1814,1849,1884,1918,1942,1977,2011,2035,2070
OECD90 ,NAM ,TPED,Other renewables,267,302,337,372,418,453,488,534,593,662,721,790,848,918,976,1046,1093,1151,1209,1267,1325,1383,1442,1500,1558,1628,1686,1744,1802,1860,1918
OECD90 ,NAM ,Power sector,Power sector,12606,12478,12362,12234,12118,11990,11874,11757,12037,11955,11874,11792,11711,11630,11548,11467,11455,11455,11455,11455,11455,11478,11502,11525,11548,11571,11595,11630,11664,11699,11723
OECD90 ,NAM ,Power sector,Coal,5698,5431,5163,4896,4628,4361,4093,3837,3651,3547,3430,3314,3209,3093,2988,2872,2826,2791,2744,2709,2663,2628,2593,2570,2535,2512,2477,2453,2430,2407,2372
OECD90 ,NAM ,Power sector,Oil,267,255,244,232,220,209,197,197,220,197,174,151,139,116,93,81,69,69,69,69,58,46,46,46,46,46,34,34,34,34,34
OECD90 ,NAM ,Power sector,Natural gas,2616,2709,2802,2895,3000,3093,3186,3291,3686,3709,3744,3768,3803,3826,3861,3884,3884,3884,3884,3884,3884,3896,3907,3919,3930,3942,3954,3977,3989,4012,4035
OECD90 ,NAM ,Power sector,Nuclear,2826,2826,2837,2837,2849,2849,2860,2872,2895,2849,2791,2733,2686,2628,2570,2512,2488,2465,2453,2430,2407,2384,2372,2349,2337,2326,2302,2279,2256,2232,2209
OECD90 ,NAM ,Power sector,Hydro,639,651,662,674,686,697,709,721,709,709,721,732,732,744,755,767,767,767,779,779,790,790,790,802,802,814,814,814,825,825,837
OECD90 ,NAM ,Power sector,Bioenergy,267,267,267,267,267,267,267,279,279,290,290,302,314,314,325,325,325,337,337,348,348,348,360,372,383,395,395,407,407,418,430
OECD90 ,NAM ,Power sector,Other renewables,244,279,314,348,395,430,465,511,558,616,674,744,802,860,918,988,1035,1093,1139,1197,1244,1290,1349,1407,1465,1511,1558,1616,1674,1721,1779
OECD90 ,NAM ,Other energy sector,Other energy sector,2477,2512,2546,2581,2628,2663,2698,2744,2884,2977,3070,3174,3268,3361,3454,3547,3593,3651,3698,3756,3814,3861,3919,3977,4035,4093,4140,4186,4233,4291,4337
OECD90 ,NAM ,Other energy sector,  Electricity,709,709,709,709,709,709,709,709,744,744,744,755,755,755,767,767,767,779,779,790,790,790,802,814,825,825,825,837,848,860,860
OECD90 ,NAM ,TFC,Total final consumption,21166,21189,21224,21248,21282,21306,21341,21375,22178,22317,22457,22597,22736,22876,23027,23166,23201,23236,23271,23306,23341,23387,23434,23480,23527,23574,23620,23678,23736,23783,23841
OECD90 ,NAM ,TFC,Coal,395,372,348,337,314,302,279,267,267,267,267,267,267,267,267,255,255,255,255,255,255,244,244,244,244,244,244,244,244,244,244
OECD90 ,NAM ,TFC,Oil,10757,10722,10699,10676,10653,10629,10606,10583,10804,10827,10862,10885,10920,10943,10978,11001,10943,10885,10839,10781,10722,10676,10641,10594,10560,10525,10478,10443,10408,10373,10339
OECD90 ,NAM ,TFC,Natural gas,4372,4419,4477,4535,4582,4640,4698,4756,5140,5198,5256,5314,5384,5442,5500,5559,5582,5617,5652,5687,5721,5745,5768,5791,5815,5849,5861,5884,5896,5919,5931
OECD90 ,NAM ,TFC,Electricity,4512,4512,4512,4512,4512,4512,4512,4512,4675,4698,4733,4756,4791,4814,4849,4872,4907,4942,4977,5012,5059,5093,5128,5175,5210,5256,5291,5338,5384,5419,5466
OECD90 ,NAM ,TFC,Heat,81,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,58,58,58,58,58,58,58,58,58,58
OECD90 ,NAM ,TFC,Bioenergy,988,1011,1035,1058,1081,1104,1128,1151,1174,1186,1209,1221,1244,1267,1279,1302,1314,1337,1360,1383,1395,1418,1442,1465,1488,1511,1535,1558,1581,1604,1639
OECD90 ,NAM ,TFC,Other renewables,23,23,23,23,23,23,23,23,34,34,34,46,46,46,46,58,58,58,69,69,81,81,81,93,93,104,104,116,116,127,127
OECD90 ,NAM ,Industry,Industry,4058,4047,4035,4023,4023,4012,4000,4000,4128,4186,4244,4303,4349,4407,4465,4524,4535,4558,4582,4593,4617,4628,4640,4663,4675,4686,4698,4721,4745,4768,4791
OECD90 ,NAM ,Industry,Coal,372,348,337,314,302,279,267,255,255,255,255,255,255,255,255,255,244,244,244,244,244,244,244,244,244,244,232,232,232,232,232
