IEA Region,Sector,Metric,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
World ,TFC,Total final consumption,16384.9,16578.199113130475,16768.512729652244,16955.840849565306,17140.183472869663,17321.54059956531,17499.912229652244,17675.298363130478,17847.699,18010.5,18124.016521565587,18223.94934466987,18323.77405310013,18423.49064685636,18523.099125938577,18622.599490346773,18721.991740080946,18821.2758751411,18920.451895527225,19019.519801239338,19118.47959227742,19217.331268641487,19316.07483033153,19414.71027734755,19513.23760968955,19611.65682735753,19709.967930351486,19808.170918671425,19906.265792317336,20004.25255128923,20102.1311955871,20199.90172521095,20297.56414016078,20395.11844043659,20492.564626038373,20589.902696966135,20687.13265321988,20784.2544947996,20881.268221705297,20978.173833936977,21074.97133149463,21171.660714378264,21268.24198258788,21364.715136123472,21461.080174985043,21557.33709917259,21653.485908686114,21749.52660352562,21845.459183691106,21941.283649182566,22037.000000000007,22132.60823614343,22228.108357612826,22323.500364408203,22418.784256529558,22513.960033976888,22609.027696750203,22703.987244849493,22798.838678274762,22893.58199702601,22988.217201103234,23082.744290506438,23177.16326523562,23271.474125290784,23365.676870671923,23459.771501379044,23553.75801741214,23647.636418771217,23741.40670545627,23835.068877467296,23928.622934804305,24022.068877467296,24115.406705456262,24208.63641877121,24301.758017412132,24394.771501379037,24487.67687067192,24580.47412529078,24673.163265235617,24765.744290506438,24858.21720110323,24950.581997026005,25042.838678274755,25134.987244849486,25227.027696750196,25318.960033976884,25410.78425652955,25502.500364408195,25594.108357612822,25685.60823614342,25777.0
World ,TFC,Coal,4473.65,4459.5759851004905,4444.2527601722695,4427.680325215337,4409.858680229693,4390.787825215337,4370.467760172269,4348.898485100491,4326.08,4301.82,4274.964655875704,4267.482845235326,4260.434762504871,4253.820407684338,4247.639780773728,4241.892881773038,4236.579710682272,4231.70026750143,4227.254552230507,4223.242564869509,4219.6643054184315,4216.519773877277,4213.808970246045,4211.5318945247345,4209.688546713347,4208.278926811881,4207.303034820338,4206.760870738718,4206.652434567019,4206.977726305244,4207.736745953389,4208.9294935114585,4210.555968979449,4212.616172357362,4215.110103645198,4218.037762842956,4221.399149950636,4225.194264968239,4229.423107895763,4234.08567873321,4239.181977480579,4244.712004137871,4250.675758705085,4257.073241182222,4263.90445156928,4271.169389866262,4278.868056073165,4287.000450189989,4295.566572216738,4304.566422153409,4314.000000000001,4323.867305756516,4334.168339422953,4344.903100999312,4356.071590485594,4367.673807881798,4379.709753187924,4392.179426403974,4405.082827529945,4418.419956565838,4432.190813511654,4446.395398367392,4461.033711133052,4476.1057518086345,4491.61152039414,4507.551016889567,4523.924241294917,4540.731193610189,4557.971873835382,4575.646281970499,4593.754418015537,4612.296281970499,4631.2718738353815,4650.6811936101885,4670.524241294916,4690.801016889566,4711.511520394139,4732.655751808635,4754.233711133052,4776.245398367392,4798.690813511653,4821.569956565838,4844.882827529944,4868.629426403973,4892.809753187924,4917.423807881798,4942.471590485593,4967.953100999312,4993.868339422953,5020.217305756515,5047.0
World ,TFC,Oil,9081.37,9266.441631460113,9438.40458250305,9597.258853128813,9743.0044433374,9875.641353128813,9995.16958250305,10101.589131460112,10194.9,10273.2,10325.076002723856,10376.905051372563,10428.747897522971,10480.604541175082,10532.474982328897,10584.359220984414,10636.257257141631,10688.169090800553,10740.094721961175,10792.034150623504,10843.98737678753,10895.954400453264,10947.935221620693,10999.92984028983,11051.93825646067,11103.960470133208,11155.996481307451,11208.046289983396,11260.109896161042,11312.187299840394,11364.278501021447,11416.383499704201,11468.502295888658,11520.634889574818,11572.781280762681,11624.941469452244,11677.115455643512,11729.30323933648,11781.504820531152,11833.720199227528,11885.949375425602,11938.192349125382,11990.449120326864,12042.719689030046,12095.004055234933,12147.30221894152,12199.614180149812,12251.939938859805,12304.279495071502,12356.6328487849,12409.0,12461.380948716804,12513.775694935308,12566.184238655516,12618.606579877427,12671.042718601038,12723.492654826354,12775.956388553372,12828.433919782094,12880.925248512514,12933.43037474464,12985.949298478467,13038.482019713996,13091.028538451226,13143.588854690162,13196.162968430799,13248.750879673138,13301.35258841718,13353.968094662923,13406.59739841037,13459.240499659518,13511.897398410372,13564.568094662922,13617.252588417181,13669.950879673137,13722.662968430799,13775.388854690162,13828.128538451227,13880.882019713994,13933.649298478467,13986.43037474464,14039.225248512514,14092.03391978209,14144.856388553373,14197.692654826355,14250.542718601038,14303.406579877426,14356.284238655517,14409.17569493531,14462.080948716803,14515.0
World ,TFC,Natural gas,2829.85,2852.1163722038305,2885.764852349424,2930.7954404367797,2987.208136465899,3055.0029404367806,3134.179852349424,3224.7388722038304,3326.68,3435.48,3523.999457776242,3579.5469779401883,3634.539497765244,3688.9770172514104,3742.859536398687,3796.1870552070736,3848.9595736765705,3901.1770918071775,3952.839609598894,4003.947127051722,4054.4996441656594,4104.4971609407075,4153.939677376864,4202.827193474132,4251.15970923251,4298.937224651999,4346.159739732598,4392.827254474306,4438.939768877124,4484.497282941053,4529.499796666092,4573.947310052241,4617.8398230995,4661.17733580787,4703.959848177349,4746.187360207939,4787.859871899639,4828.977383252449,4869.539894266369,4909.547404941399,4948.999915277539,4987.897425274789,5026.239934933151,5064.0274442526215,5101.259953233202,5137.937461874893,5174.059970177695,5209.627478141605,5244.639985766627,5279.09749305276,5313.000000000001,5346.347506608354,5379.140012877816,5411.377518808387,5443.060024400071,5474.187529652863,5504.760034566767,5534.777539141779,5564.240043377902,5593.147547275135,5621.500050833478,5649.297554052933,5676.540056933496,5703.22755947517,5729.360061677954,5754.937563541848,5779.960065066853,5804.427566252967,5828.340067100191,5851.697567608526,5874.500067777971,5896.747567608527,5918.44006710019,5939.577566252967,5960.1600650668515,5980.187563541847,5999.660061677953,6018.577559475169,6036.940056933495,6054.747554052932,6072.000050833478,6088.697547275135,6104.840043377901,6120.427539141779,6135.460034566765,6149.937529652862,6163.86002440007,6177.227518808387,6190.040012877815,6202.297506608353,6214.0
NAM ,TFC,Total final consumption,3298.97,3326.4713913779433,3350.608099505046,3371.380124381307,3388.787466006728,3402.8301243813075,3413.5080995050457,3420.8213913779437,3424.77,3423.85,3409.03783915065,3396.9917445072356,3385.3812985132904,3374.2065011688132,3363.467352473806,3353.163852428268,3343.296001032199,3333.8637982856,3324.867244188468,3316.3063387408074,3308.1810819426146,3300.4914737938916,3293.2375142946375,3286.4192034448524,3280.036541244537,3274.08952769369,3268.5781627923134,3263.5024465404044,3258.8623789379653,3254.657959984996,3250.889189681495,3247.556068027463,3244.6585950229005,3242.196770667808,3240.1705949621833,3238.580067906028,3237.4251894993427,3236.7059597421257,3236.422378634378,3236.5744461760996,3237.16216236729,3238.18552720795,3239.6445406980797,3241.5392028376773,3243.869513626745,3246.635473065281,3249.837081153287,3253.4743378907615,3257.5472432777055,3262.055797314119,3267.000000000001,3272.379851335353,3278.1953513201734,3284.446499954463,3291.133297238222,3298.25574317145,3305.8138377541472,3313.807580986314,3322.2369728679496,3331.102013399054,3340.4027025796277,3350.139040409671,3360.3110268891833,3370.9186620181645,3381.9619457966146,3393.4408782245346,3405.3554593019235,3417.7056890287813,3430.491567405108,3443.7130944309047,3457.3702701061693,3471.4630944309047,3485.9915674051076,3500.9556890287813,3516.3554593019226,3532.1908782245337,3548.4619457966146,3565.168662018164,3582.3110268891824,3599.8890404096705,3617.902702579627,3636.3520133990532,3655.236972867948,3674.5575809863135,3694.3138377541463,3714.505743171449,3735.133297238221,3756.196499954462,3777.6953513201724,3799.6298513353518,3822.0
NAM ,TFC,Coal,145.617,137.34745258458142,129.95356157356815,123.43532696696019,117.79274876475756,113.02582696696021,109.13456157356815,106.11895258458141,103.979,102.579,101.10472966563817,101.03021003119724,100.96450585279737,100.90761713043848,100.85954386412064,100.8202860538438,100.78984369960801,100.76821680141326,100.75540535925948,100.75140937314676,100.75622884307505,100.76986376904438,100.79231415105473,100.82357998910608,100.86366128319848,100.91255803333189,100.97027023950632,101.03679790172181,101.11214101997828,101.1962995942758,101.28927362461431,101.39106311099388,101.50166805341445,101.62108845187608,101.74932430637871,101.88637561692235,102.03224238350703,102.18692460613272,102.35042228479945,102.52273541950721,102.70386401025596,102.89380805704576,103.09256755987661,103.30014251874844,103.51653293366131,103.74173880461518,103.97576013161012,104.21859691464603,104.470249153723,104.730716848841,105.0,105.27809860720005,105.5650126704411,105.86074218972317,106.1652871650463,106.47864759641041,106.80082348381558,107.13181482726176,107.47162162674897,107.82024388227717,108.17768159384642,108.54393476145671,108.919003385108,109.30288746480034,109.69558700053366,110.09710199230804,110.50743244012344,110.92657834397986,111.3545397038773,111.79131651981575,112.23690879179523,112.69131651981576,113.15453970387728,113.62657834397986,114.10743244012342,114.59710199230803,115.09558700053367,115.60288746480032,116.119003385108,116.6439347614567,117.17768159384642,117.72024388227717,118.27162162674894,118.83181482726177,119.40082348381556,119.97864759641041,120.56528716504627,121.16074218972318,121.76501267044111,122.37809860720004,123.0
NAM ,TFC,Oil,2304.04,2304.5180644270526,2305.9370390178046,2308.296923772256,2311.5977186904065,2315.839423772256,2321.0220390178047,2327.1455644270527,2334.21,2340.17,2332.7534900071782,2318.7789070975364,2305.1866701191493,2291.976779072016,2279.1492339561373,2266.7040347715133,2254.6411815181436,2242.9606741960292,2231.6625128051683,2220.7466973455626,2210.2132278172107,2200.0621042201137,2190.293326554271,2180.9068948196827,2171.9028090163492,2163.28106914427,2155.0416752034457,2147.1846271938753,2139.709925115559,2132.6175689684987,2125.907558752692,2119.5798944681396,2113.634576114842,2108.071603692799,2102.89097720201,2098.092696642476,2093.676762014196,2089.6431733171707,2085.9919305514,2082.7230337168835,2079.8364828136214,2077.332277841614,2075.2104188008616,2073.470905691363,2072.113738513119,2071.1389172661297,2070.5464419503946,2070.3363125659143,2070.5085291126884,2071.063091590717,2072.0,2073.3192543405376,2075.0208546123295,2077.1048008153757,2079.5710929496768,2082.419731015232,2085.6507150120424,2089.264044940107,2093.259720799426,2097.637742589999,2102.3981103118267,2107.5408239649096,2113.0658835492463,2118.9732890648374,2125.2630405116834,2131.935137889784,2138.989581199139,2146.426370439748,2154.2455056116114,2162.44698671473,2171.030813749103,2179.99698671473,2189.3455056116118,2199.076370439748,2209.1895811991385,2219.6851378897836,2230.5630405116835,2241.823289064838,2253.4658835492464,2265.4908239649094,2277.8981103118267,2290.6877425899993,2303.8597207994258,2317.414044940107,2331.350715012042,2345.669731015232,2360.3710929496765,2375.4548008153756,2390.9208546123295,2406.769254340538,2423.0
NAM ,TFC,Natural gas,849.305,884.5863330180945,914.6900351738765,939.6161064673457,959.3645468985021,973.9353564673457,983.3285351738764,987.5440830180946,986.582,981.118,975.20636630054,977.2205670537387,979.2786467858754,981.3806054969496,983.5264431869617,985.7161598559119,987.9497555037997,990.2272301306255,992.5485837363889,994.9138163210903,997.3229278847294,999.7759184273067,1002.2727879488215,1004.8135364492741,1007.3981639286648,1010.0266703869931,1012.6990558242593,1015.4153202404635,1018.1754636356053,1020.9794860096852,1023.8273873627027,1026.7191676946582,1029.6548270055514,1032.6343652953826,1035.6577825641516,1038.725078811858,1041.8362540385028,1044.9913082440853,1048.1902414286055,1051.4330535920637,1054.7197447344595,1058.0503148557934,1061.4247639560651,1064.8430920352746,1068.3052990934218,1071.8113851305068,1075.36135014653,1078.9551941414907,1082.5929171153894,1086.274519068226,1090.0000000000002,1093.7693599107124,1097.5825988003626,1101.43971666895,1105.340713516476,1109.2855893429394,1113.2743441483408,1117.3069779326802,1121.383490695957,1125.503882438172,1129.6681531593244,1133.8763028594153,1138.1283315384435,1142.4242391964096,1146.764025833314,1151.147691449156,1155.5752360439355,1160.046659617653,1164.5619621703083,1169.1211437019015,1173.7242042124326,1178.3711437019017,1183.0619621703083,1187.796659617653,1192.5752360439353,1197.3976914491554,1202.2640258333136,1207.1742391964096,1212.1283315384435,1217.126302859415,1222.1681531593244,1227.2538824381718,1232.3834906959569,1237.5569779326802,1242.7743441483406,1248.0355893429391,1253.3407135164757,1258.68971666895,1264.0825988003621,1269.5193599107122,1275.0
US ,TFC,Total final consumption,2736.18,2755.7392986249483,2772.5141547856256,2786.5045684820325,2797.7105397141677,2806.1320684820325,2811.7691547856257,2814.6217986249485,2814.69,2810.76,2795.5492451602718,2782.0216326058744,2768.904988329702,2756.1993123317543,2743.9046046120325,2732.020865170535,2720.5480940072634,2709.4862911222176,2698.8354565153954,2688.5955901867997,2678.7666921364284,2669.3487623642827,2660.341800870362,2651.7458076546664,2643.5607827171957,2635.7867260579505,2628.423637676931,2621.4715175741358,2614.9303657495657,2608.800182203222,2603.080966935102,2597.772719945208,2592.8754412335393,2588.3891308000952,2584.3137886448762,2580.6494147678827,2577.396009169114,2574.553571848571,2572.1221028062537,2570.1016020421607,2568.4920695562923,2567.2935053486503,2566.505909419233,2566.1292817680405,2566.1636223950736,2566.6089313003317,2567.465208483815,2568.7324539455235,2570.410667685457,2572.4998497036163,2575.0,2577.9111185746096,2581.233205427444,2584.966260558503,2589.110283967788,2593.6652756552976,2598.631235621033,2604.0081638649935,2609.796060387179,2615.994925187589,2622.604758266225,2629.625559623086,2637.0573292581716,2644.900067171483,2653.1537733630194,2661.818447832781,2670.8940905807676,2680.3807016069795,2690.278280911417,2700.586828494079,2711.3063443549663,2722.4368284940792,2733.9782809114163,2745.9307016069797,2758.2940905807673,2771.0684478327807,2784.2537733630193,2797.850067171483,2811.8573292581714,2826.2755596230854,2841.1047582662245,2856.344925187589,2871.996060387178,2888.0581638649933,2904.5312356210325,2921.4152756552976,2938.7102839677877,2956.4162605585034,2974.533205427444,2993.0611185746093,3012.0
US ,TFC,Coal,115.328,107.93605009374129,101.31530016069935,95.46575020087418,90.38740021426581,86.08025020087419,82.54430016069935,79.77955009374128,77.786,76.464,75.21565081688843,75.19794380213538,75.18599656914292,75.17980911791098,75.17938144843961,75.18471356072878,75.19580545477852,75.21265713058882,75.23526858815967,75.26363982749108,75.29777084858303,75.33766165143555,75.38331223604862,75.43472260242223,75.49189275055642,75.55482268045115,75.62351239210645,75.6979618855223,75.77817116069869,75.86414021763566,75.95586905633317,76.05335767679124,76.15660607900985,76.26561426298903,76.38038222872876,76.50090997622905,76.6271975054899,76.7592448165113,76.89705190929324,77.04061878383577,77.18994544013881,77.34503187820243,77.50587809802663,77.67248409961135,77.84484988295662,78.02297544806247,78.20686079492886,78.39650592355582,78.59191083394333,78.7930755260914,79.0,79.21268425566917,79.43112829309891,79.65533211228919,79.88529571324003,80.12101909595141,80.36250226042337,80.60974520665587,80.86274793464894,81.12151044440255,81.3860327359167,81.65631480919144,81.93235666422672,82.21415830102256,82.50171971957894,82.7950409198959,83.09412190197341,83.39896266581147,83.70956321141006,84.02592353876923,84.34804364788894,84.67592353876924,85.00956321141005,85.34896266581146,85.69412190197339,86.04504091989588,86.40171971957895,86.76415830102255,87.1323566642267,87.50631480919145,87.88603273591671,88.27151044440254,88.66274793464892,89.05974520665588,89.46250226042336,89.87101909595141,90.28529571324002,90.70533211228918,91.13112829309891,91.56268425566918,92.0
