Scenario,ISO,Subvector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
baseline,AFG,Biochar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.73386656907869,116.75948641536745,165.7851062616562,214.810726107945,263.8363459542337,312.8619658005225,361.8875856468113,410.9132054931,459.9388253393888,508.9644451856775,557.9900650319663,607.0156848782551,656.0413047245439,705.0669245708326,754.0925444171214,803.1181642634101,852.1437841096989,901.1694039559877,950.1950238022764,999.2206436485652,1048.2462634948538,1097.2718833411427,1146.2975031874314,1195.32312303372,1244.348742880009,1293.3743627262977,1342.3999825725864,1391.425602418875,1440.451222265164,1489.4768421114527
baseline,ALB,Biochar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.73386656907869,116.75948641536745,165.7851062616562,214.810726107945,263.8363459542337,312.8619658005225,361.8875856468113,410.9132054931,459.9388253393888,508.9644451856775,557.9900650319663,607.0156848782551,656.0413047245439,705.0669245708326,754.0925444171214,803.1181642634101,852.1437841096989,901.1694039559877,950.1950238022764,999.2206436485652,1048.2462634948538,1097.2718833411427,1146.2975031874314,1195.32312303372,1244.348742880009,1293.3743627262977,1342.3999825725864,1391.425602418875,1440.451222265164,1489.4768421114527
baseline,DZA,Biochar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.73386656907869,116.75948641536745,165.7851062616562,214.810726107945,263.8363459542337,312.8619658005225,361.8875856468113,410.9132054931,459.9388253393888,508.9644451856775,557.9900650319663,607.0156848782551,656.0413047245439,705.0669245708326,754.0925444171214,803.1181642634101,852.1437841096989,901.1694039559877,950.1950238022764,999.2206436485652,1048.2462634948538,1097.2718833411427,1146.2975031874314,1195.32312303372,1244.348742880009,1293.3743627262977,1342.3999825725864,1391.425602418875,1440.451222265164,1489.4768421114527
baseline,AGO,Biochar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.73386656907869,116.75948641536745,165.7851062616562,214.810726107945,263.8363459542337,312.8619658005225,361.8875856468113,410.9132054931,459.9388253393888,508.9644451856775,557.9900650319663,607.0156848782551,656.0413047245439,705.0669245708326,754.0925444171214,803.1181642634101,852.1437841096989,901.1694039559877,950.1950238022764,999.2206436485652,1048.2462634948538,1097.2718833411427,1146.2975031874314,1195.32312303372,1244.348742880009,1293.3743627262977,1342.3999825725864,1391.425602418875,1440.451222265164,1489.4768421114527
baseline,ARG,Biochar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.73386656907869,116.75948641536745,165.7851062616562,214.810726107945,263.8363459542337,312.8619658005225,361.8875856468113,410.9132054931,459.9388253393888,508.9644451856775,557.9900650319663,607.0156848782551,656.0413047245439,705.0669245708326,754.0925444171214,803.1181642634101,852.1437841096989,901.1694039559877,950.1950238022764,999.2206436485652,1048.2462634948538,1097.2718833411427,1146.2975031874314,1195.32312303372,1244.348742880009,1293.3743627262977,1342.3999825725864,1391.425602418875,1440.451222265164,1489.4768421114527
baseline,ARM,Biochar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.73386656907869,116.75948641536745,165.7851062616562,214.810726107945,263.8363459542337,312.8619658005225,361.8875856468113,410.9132054931,459.9388253393888,508.9644451856775,557.9900650319663,607.0156848782551,656.0413047245439,705.0669245708326,754.0925444171214,803.1181642634101,852.1437841096989,901.1694039559877,950.1950238022764,999.2206436485652,1048.2462634948538,1097.2718833411427,1146.2975031874314,1195.32312303372,1244.348742880009,1293.3743627262977,1342.3999825725864,1391.425602418875,1440.451222265164,1489.4768421114527
baseline,AUS,Biochar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.73386656907869,116.75948641536745,165.7851062616562,214.810726107945,263.8363459542337,312.8619658005225,361.8875856468113,410.9132054931,459.9388253393888,508.9644451856775,557.9900650319663,607.0156848782551,656.0413047245439,705.0669245708326,754.0925444171214,803.1181642634101,852.1437841096989,901.1694039559877,950.1950238022764,999.2206436485652,1048.2462634948538,1097.2718833411427,1146.2975031874314,1195.32312303372,1244.348742880009,1293.3743627262977,1342.3999825725864,1391.425602418875,1440.451222265164,1489.4768421114527
baseline,AUT,Biochar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.73386656907869,116.75948641536745,165.7851062616562,214.810726107945,263.8363459542337,312.8619658005225,361.8875856468113,410.9132054931,459.9388253393888,508.9644451856775,557.9900650319663,607.0156848782551,656.0413047245439,705.0669245708326,754.0925444171214,803.1181642634101,852.1437841096989,901.1694039559877,950.1950238022764,999.2206436485652,1048.2462634948538,1097.2718833411427,1146.2975031874314,1195.32312303372,1244.348742880009,1293.3743627262977,1342.3999825725864,1391.425602418875,1440.451222265164,1489.4768421114527
baseline,AZE,Biochar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.73386656907869,116.75948641536745,165.7851062616562,214.810726107945,263.8363459542337,312.8619658005225,361.8875856468113,410.9132054931,459.9388253393888,508.9644451856775,557.9900650319663,607.0156848782551,656.0413047245439,705.0669245708326,754.0925444171214,803.1181642634101,852.1437841096989,901.1694039559877,950.1950238022764,999.2206436485652,1048.2462634948538,1097.2718833411427,1146.2975031874314,1195.32312303372,1244.348742880009,1293.3743627262977,1342.3999825725864,1391.425602418875,1440.451222265164,1489.4768421114527
baseline,BHS,Biochar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.73386656907869,116.75948641536745,165.7851062616562,214.810726107945,263.8363459542337,312.8619658005225,361.8875856468113,410.9132054931,459.9388253393888,508.9644451856775,557.9900650319663,607.0156848782551,656.0413047245439,705.0669245708326,754.0925444171214,803.1181642634101,852.1437841096989,901.1694039559877,950.1950238022764,999.2206436485652,1048.2462634948538,1097.2718833411427,1146.2975031874314,1195.32312303372,1244.348742880009,1293.3743627262977,1342.3999825725864,1391.425602418875,1440.451222265164,1489.4768421114527
