model,scenario,region,variable,value
PD22,baseline,World ,Improved Rice|parameter a max,100
PD22,pathway,World ,Improved Rice|parameter a min,0.10618
PD22,baseline,World ,Improved Rice|parameter a min,0
PD22,pathway,World ,Improved Rice|parameter b max,50
PD22,baseline,World ,Improved Rice|parameter b max,100
PD22,pathway,World ,Improved Rice|parameter b min,50
PD22,baseline,World ,Improved Rice|parameter b min,0
PD22,pathway,World ,Improved Rice|saturation point,1
PD22,baseline,World ,Improved Rice|saturation point,1
PD22,pathway,World ,Legumes|Floor,0
PD22,baseline,World ,Legumes|Floor,0
PD22,pathway,World ,Legumes|Max annual growth,100
PD22,baseline,World ,Legumes|Max annual growth,100
PD22,pathway,World ,Legumes|parameter a max,0.10618
PD22,baseline,World ,Legumes|parameter a max,100
PD22,pathway,World ,Legumes|parameter a min,0.10618
PD22,baseline,World ,Legumes|parameter a min,0
PD22,pathway,World ,Legumes|parameter b max,44
PD22,baseline,World ,Legumes|parameter b max,100
PD22,pathway,World ,Legumes|parameter b min,44
PD22,baseline,World ,Legumes|parameter b min,0
PD22,pathway,World ,Legumes|saturation point,1
PD22,baseline,World ,Legumes|saturation point,1
PD22,pathway,World ,Natural Regeneration|Floor,0
PD22,baseline,World ,Natural Regeneration|Floor,0
PD22,pathway,World ,Natural Regeneration|Max annual growth,100
PD22,baseline,World ,Natural Regeneration|Max annual growth,100
PD22,pathway,World ,Natural Regeneration|parameter a max,0.08
PD22,baseline,World ,Natural Regeneration|parameter a max,100
PD22,pathway,World ,Natural Regeneration|parameter a min,0.08
PD22,baseline,World ,Natural Regeneration|parameter a min,0
PD22,pathway,World ,Natural Regeneration|parameter b max,60
PD22,baseline,World ,Natural Regeneration|parameter b max,100
PD22,pathway,World ,Natural Regeneration|parameter b min,60
PD22,baseline,World ,Natural Regeneration|parameter b min,0
PD22,pathway,World ,Natural Regeneration|saturation point,1
PD22,baseline,World ,Natural Regeneration|saturation point,1
PD22,pathway,World ,Nitrogen Fertilizer Management|Floor,0
PD22,baseline,World ,Nitrogen Fertilizer Management|Floor,0
PD22,pathway,World ,Nitrogen Fertilizer Management|Max annual growth,100
PD22,baseline,World ,Nitrogen Fertilizer Management|Max annual growth,100
PD22,pathway,World ,Nitrogen Fertilizer Management|parameter a max,0.1
PD22,baseline,World ,Nitrogen Fertilizer Management|parameter a max,100
PD22,pathway,World ,Nitrogen Fertilizer Management|parameter a min,0.1
PD22,baseline,World ,Nitrogen Fertilizer Management|parameter a min,0
