Product,Flow,Sector,EIA Product,WWS EF Product,WWS Upstream Product,WWS Addtl Efficiency
ANTCOAL,HEMAINC,Industrial,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,HEMAINH,Industrial,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,IMPORTS,Total energy consumption,Total,na,N,na
ANTCOAL,INDPROD,Total energy consumption,Total,na,N,na
ANTCOAL,INONSPEC,Industrial,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,IRONSTL,Industrial,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,MACHINE,Industrial,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,MAINCHP,Industrial,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,MAINELEC,Electric Power,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,MAINHEAT,Industrial,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,MANUFACT,Industrial,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,MINING,Industrial,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,NECHEM,Industrial,Coal,na,N,na
ANTCOAL,NEINTREN,Industrial,Coal,na,N,na
ANTCOAL,NONENUSE,Industrial,Coal,na,N,na
ANTCOAL,NONFERR,Industrial,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,NONMET,Industrial,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,ONONSPEC,Industrial,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,PAPERPRO,Industrial,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,RAIL,Transportation,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,RESIDENT,Residential,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,STATDIFF,Total energy consumption,Total,na,N,na
ANTCOAL,STOCKCHA,Total energy consumption,Total,na,N,na
ANTCOAL,TBLASTFUR,Industrial,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,TCOKEOVS,Transportation,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,TES,Total energy consumption,Total,na,N,na
ANTCOAL,TEXTILES,Industrial,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,TFC,Total energy consumption,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,TNONSPEC,Industrial,Coal,na,N,na
ANTCOAL,TOTENGY,Industrial,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,TOTIND,Industrial,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,TOTTRANF,Total energy consumption,Total,na,N,na
ANTCOAL,TOTTRANS,Transportation,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,TPATFUEL,Industrial,Coal,coal ef ratio,Y,na
ANTCOAL,TRANSEQ,Industrial,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,TRNONSPE,Transportation,Coal,coal ef ratio,N,coal addtl eff
ANTCOAL,WOODPRO,Industrial,Coal,coal ef ratio,N,coal addtl eff
AVGAS,AGRICULT,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff
AVGAS,AVBUNK,Transportation,Liquid fuels,hydrogen ef ratio,N,oil addtl eff
AVGAS,CHEMICAL,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff
AVGAS,COMMPUB,Commercial,Liquid fuels,oil ef ratio,N,oil addtl eff
AVGAS,CONSTRUC,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff
AVGAS,DISTLOSS,Transportation,Liquid fuels,oil ef ratio,Y,na
AVGAS,DOMESAIR,Transportation,Liquid fuels,oil ef ratio,N,oil addtl eff
AVGAS,ENONSPEC,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff
AVGAS,EREFINER,Industrial,Liquid fuels,oil ef ratio,Y,na
AVGAS,EXPORTS,Total energy consumption,Total,na,N,na
AVGAS,IMPORTS,Total energy consumption,Total,na,N,na
AVGAS,INONSPEC,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff
AVGAS,MANUFACT,Transportation,Liquid fuels,oil ef ratio,N,oil addtl eff
AVGAS,NETRANS,Transportation,Liquid fuels,oil ef ratio,N,oil addtl eff
AVGAS,NONENUSE,Industrial,Liquid fuels,na,N,na
AVGAS,ONONSPEC,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff
AVGAS,ROAD,Transportation,Liquid fuels,oil ef ratio,N,oil addtl eff
AVGAS,STATDIFF,Total energy consumption,Total,na,N,na
AVGAS,STOCKCHA,Total energy consumption,Total,na,N,na
AVGAS,TES,Total energy consumption,Total,na,N,na
AVGAS,TFC,Total energy consumption,Liquid fuels,oil ef ratio,N,oil addtl eff
AVGAS,TOTENGY,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff
AVGAS,TOTIND,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff
AVGAS,TOTTRANF,Total energy consumption,Total,na,N,na
AVGAS,TOTTRANS,Transportation,Liquid fuels,oil ef ratio,N,oil addtl eff
AVGAS,TRANSEQ,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff
AVGAS,TRANSFER,Total energy consumption,Total,na,N,na
AVGAS,TREFINER,Transportation,Liquid fuels,oil ef ratio,Y,na
AVGAS,TRNONSPE,Transportation,Liquid fuels,oil ef ratio,N,oil addtl eff
AVGAS,WORLDAV,Transportation,Liquid fuels,hydrogen ef ratio,N,oil addtl eff
