Region,Metric,Units,Scenario,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
World ,Global CO2 Emissions,GtCO2,pathway,7.54326105117798,7.65712356567383,7.58106899261475,7.70953321456909,7.71617603302002,8.21116352081299,8.60656642913818,8.88908863067627,9.21750736236572,12.4565114974976,13.0348339080811,13.162787437439,13.5202178955078,13.9046363830566,14.2356491088867,14.5221433639526,14.8238906860352,15.1334629058838,15.8498649597168,16.8377590179443,18.0492134094238,18.603178024292,19.1812191009521,19.9832077026367,19.7709579467773,19.6868209838867,20.534107208252,20.9561252593994,21.4444942474365,21.8272247314453,21.6370048522949,21.0575790405273,20.8835506439209,21.2761287689209,21.982385635376,22.7547302246094,23.2215785980225,24.1327610015869,24.9684371948242,25.440013885498,25.6978816986084,26.1982078552246,26.6983165740967,27.1341018676758,27.3797874450684,27.8950004577637,28.5406112670898,30.4582748413086,28.389347076416,28.6878662109375,29.1533641815186,29.2882633209229,30.1355724334717,31.1128253936768,32.5131187438965,33.3972702026367,34.7513046264648,34.7347984313965,35.638988494873,35.5967483520508,36.9786529541016,38.1082954406738,38.6197624206543,38.5158882141113,38.995662689209,39.8639678955078,39.9732627868652,40.7835235595703,41.3563575744629,41.5713119506836,40.3060760498047,39.3478050231934,38.2785720825195,37.0844573974609,35.7592849731445,34.3050575256348,32.7344093322754,31.0655555725098,29.3277835845947,27.5509243011475,25.7611141204834,24.0480537414551,22.5952777862549,21.1114749908447,19.6062831878662,18.0894660949707,16.592041015625,15.1014442443848,13.6214084625244,12.1549367904663,10.7032623291016,9.39421653747559,8.09969139099121,6.81805801391602,5.54771232604981,4.28737306594849,3.0363187789917,1.79455757141113,0.562967956066132,-0.645003437995911,-1.84213805198669,-3.16905093193054,-4.48410177230835,-5.78652811050415,-7.07543516159058,-8.34978103637695,-9.60837936401367,-10.8499069213867,-12.072922706604,-13.2759008407593,-14.4572658538818,-15.6129312515259,-16.7441558837891,-17.8495063781738,-18.9276866912842,-19.977596282959,-20.998327255249,-21.9892139434814,-22.9498252868652,-23.8799724578857,-24.7796897888184,-25.5274829864502,-26.2456398010254,-26.9347686767578,-27.5956172943115,-28.2290496826172,-28.8360118865967,-29.4175224304199,-29.9746284484863,-30.5084095001221,-31.0199432373047,-31.5187129974365,-31.8475036621094,-32.1705741882324,-32.4879570007324,-32.5865058898926,-32.6790733337402,-32.7656860351563,-32.8463821411133,-32.921199798584,-32.9901695251465,-33.0513534545898,-33.1067962646484,-33.1565399169922,-33.200626373291,-33.2390975952148,-33.2719535827637,-33.2992897033691,-33.3211364746094,-33.3375358581543,-33.3485107421875
World ,Global CO2 Equivalent Emissions,GtCO2,pathway,12.33,12.52,12.56,12.81,12.96,13.61,14.16,14.61,15.09,18.48,19.19,19.48,19.9985980987549,20.5244731903076,21.0369758605957,21.5134162902832,22.0241012573242,22.539794921875,23.4535827636719,24.6173515319824,26.0407772064209,26.4373626708984,27.3916988372803,28.3036422729492,28.0864582061768,28.1784820556641,29.2797050476074,29.9231300354004,30.4934997558594,31.148042678833,31.0402202606201,30.3514404296875,30.7770462036133,31.0051097869873,31.557201385498,32.4055480957031,33.1361465454102,34.4485168457031,35.0785903930664,35.7813415527344,36.0286254882813,36.4857940673828,36.8934097290039,37.2446670532227,37.5051879882812,38.2032737731934,38.9849281311035,41.1019325256348,39.0446701049805,39.3176918029785,39.8329086303711,39.9422760009766,41.0632858276367,42.2765617370605,44.1139221191406,45.1586952209473,46.8935241699219,46.9249839782715,47.9668769836426,48.0137062072754,49.5399742126465,50.8106155395508,51.433837890625,51.3334732055664,52.0015487670898,53.0619354248047,53.226978302002,54.1001091003418,54.7762489318848,56.9025917053223,55.8307189941406,55.066104888916,54.1472702026367,53.0528602600098,51.7701644897461,50.2970123291016,48.6681213378906,46.8814392089844,44.97314453125,42.9822196960449,40.9433174133301,39.0613975524902,37.5313110351563,35.9437866210938,34.3112411499023,32.6468849182129,31.0021324157715,29.3540802001953,27.7078552246094,26.0682277679443,24.437427520752,22.9887981414795,21.5371513366699,20.0926818847656,18.6439533233643,17.2155246734619,15.7841606140137,14.3618545532227,12.9520406723022,11.5794811248779,10.2249879837036,8.82448387145996,7.43970823287964,6.07218599319458,4.72294902801514,3.3936243057251,2.08575892448425,0.800885796546936,-0.459486782550812,-1.69390952587128,-2.89788222312927,-4.06853723526001,-5.20945882797241,-6.3197135925293,-7.39850187301636,-8.44527435302734,-9.45971298217773,-10.441743850708,-11.3915348052979,-12.3094863891602,-13.1953287124634,-13.9370679855347,-14.646523475647,-15.3173723220825,-15.9608058929443,-16.5779552459717,-17.1700592041016,-17.738374710083,-18.2842273712158,-18.8088645935059,-19.3134803771973,-19.8158760070801,-20.1504421234131,-20.4817180633545,-20.8096694946289,-20.9208354949951,-21.028133392334,-21.1310119628906,-21.2297763824463,-21.3242301940918,-21.4141368865967,-21.4963245391846,-21.5734939575195,-21.6453132629395,-21.7114276885986,-21.7714424133301,-21.8285465240479,-21.8766422271729,-21.9176273345947,-21.9508991241455,-21.9758491516113
World ,Atm conc CO2,ppm,pathway,310.25,310.61,310.97,311.32,311.67,312.04,312.46,312.93,313.43,314.09,314.99,315.87,316.717620849609,317.544738769531,318.289642333984,318.953063964844,319.657897949219,320.451385498047,321.328979492187,322.275543212891,323.310485839844,324.460235595703,325.680114746094,326.964996337891,328.258819580078,329.478942871094,330.664947509766,331.920135498047,333.232086181641,334.582336425781,335.929840087891,337.223571777344,338.437927246094,339.522552490234,340.566619873047,341.7373046875,343.034820556641,344.412322998047,345.889709472656,347.442810058594,349.031372070313,350.625579833984,352.113922119141,353.457641601562,354.887542724609,356.453582763672,358.131286621094,359.954132080078,361.808776855469,363.516082763672,365.272155761719,367.062286376953,368.885284423828,370.788909912109,372.783477783203,374.881286621094,377.055114746094,379.283996582031,381.517730712891,383.783386230469,386.075866699219,388.494598388672,390.986724853516,393.467559814453,395.903930664062,398.378540039062,400.888458251953,403.473205566406,406.035614013672,408.674011230469,411,413.571929931641,415.81591796875,417.925872802734,419.893737792969,421.711029052734,423.369750976562,424.863433837891,426.188201904297,427.343353271484,428.330932617188,429.158203125,429.846160888672,430.414764404297,430.862487792969,431.189392089844,431.397552490234,431.490447998047,431.470672607422,431.341033935547,431.104583740234,430.77001953125,430.348876953125,429.842834472656,429.253570556641,428.582611083984,427.831298828125,427.001190185547,426.093597412109,425.110412597656,424.053985595703,422.918670654297,421.695220947266,420.386199951172,418.994140625,417.521545410156,415.971008300781,414.345245361328,412.647033691406,410.879272460938,409.044952392578,407.147216796875,405.189514160156,403.175018310547,401.107086181641,398.989105224609,396.824462890625,394.61669921875,392.369171142578,390.085266113281,387.768249511719,385.427032470703,383.073181152344,380.70849609375,378.334991455078,375.954620361328,373.569305419922,371.180755615234,368.790679931641,366.400543212891,364.011810302734,361.625305175781,359.248687744141,356.892791748047,354.5556640625,352.245880126953,349.97705078125,347.746185302734,345.551086425781,343.389831542969,341.260772705078,339.162475585937,337.093811035156,335.053527832031,333.040557861328,331.053955078125,329.092864990234,327.156494140625,325.244140625,323.355163574219,321.489013671875
World ,Equivalent CO2,ppm,pathway,311.11,311.85,312.5,313.04,313.56,314.17,315.09,316.29,317.63,319.08,320.53,321.56,322.038909912109,321.286163330078,318.142395019531,314.990966796875,314.360229492187,315.137634277344,316.069793701172,316.357025146484,317.060028076172,319.139770507812,321.704223632812,324.322052001953,326.481140136719,327.766632080078,328.804748535156,331.085357666016,333.867950439453,336.690704345703,339.706298828125,342.821807861328,344.086090087891,342.071838378906,340.675354003906,342.132354736328,344.3662109375,346.972869873047,350.026336669922,353.450958251953,356.929077148438,358.519134521484,354.968872070312,350.837554931641,351.375030517578,353.640319824219,356.528137207031,359.672546386719,363.039398193359,366.590637207031,370.352905273438,374.207427978516,377.982727050781,381.480926513672,384.811553955078,388.215881347656,391.432495117187,394.951721191406,398.578063964844,402.252716064453,405.990142822266,410.0615234375,414.350311279297,417.843780517578,421.048645019531,424.375244140625,427.800628662109,431.370300292969,434.909973144531,438.613220214844,442.576812744141,446.414581298828,450.142547607422,453.732513427734,457.156707763672,460.386108398438,463.375793457031,466.126220703125,468.617645263672,470.838043212891,472.782592773438,474.427459716797,475.875061035156,477.169067382813,478.299682617188,479.260589599609,479.925262451172,480.425933837891,480.764678955078,480.944549560547,480.969360351563,480.734985351563,480.380798339844,479.904815673828,479.307342529297,478.590454101563,477.747741699219,476.784423828125,475.704345703125,474.514831542969,473.224914550781,471.882568359375,470.442321777344,468.908111572266,467.283508300781,465.572601318359,463.835083007813,462.019134521484,460.128967285156,458.168701171875,456.142944335938,454.106994628906,452.012420654297,449.863250732422,447.663116455078,445.41552734375,443.163818359375,440.870788574219,438.539306640625,436.172119140625,433.771820068359,431.377044677734,428.962280273437,426.529357910156,424.080444335938,421.616882324219,419.162902832031,416.696319580078,414.218231201172,411.729553222656,409.231048583984,406.740692138672,404.243957519531,401.752990722656,399.265808105469,396.792205810547,394.360137939453,391.953918457031,389.571594238281,387.211334228516,384.871704101562,382.563110351562,380.274047851562,378.003967285156,375.752319335938,373.518829345703,371.311431884766,369.121246337891,366.948974609375,364.795074462891,362.660034179687
World ,Temperature change from preindustrial,Deg c,pathway,0.32,0.33,0.33,0.32,0.32,0.33,0.33,0.35,0.37,0.38,0.39,0.38,0.356367856264114,0.301433205604553,0.184777364134788,0.092881791293621,0.090061023831368,0.127906814217567,0.158632189035416,0.160370662808418,0.173153474926949,0.217861175537109,0.269042640924454,0.310406684875488,0.332326978445053,0.327915191650391,0.31890019774437,0.349073350429535,0.389034599065781,0.424228936433792,0.461311846971512,0.500002682209015,0.481995642185211,0.377936750650406,0.318142950534821,0.350324600934982,0.397657185792923,0.439372420310974,0.484964281320572,0.534623622894287,0.583183526992798,0.569308221340179,0.426456272602081,0.306837975978851,0.345420122146606,0.422651410102844,0.499294430017471,0.567026853561401,0.630473375320435,0.692964375019074,0.752096712589264,0.805149495601654,0.84907066822052,0.879186451435089,0.899843394756317,0.919577419757843,0.933733403682709,0.955713510513306,0.981575310230255,1.00773441791534,1.03504991531372,1.06722104549408,1.10169672966003,1.11547613143921,1.12693238258362,1.14272606372833,1.16187953948975,1.18362319469452,1.20737612247467,1.23263764381409,1.25925874710083,1.28674757480621,1.31441605091095,1.34206187725067,1.36950302124023,1.39657092094421,1.42309987545013,1.44893658161163,1.47395598888397,1.49804532527924,1.52110850811005,1.54300653934479,1.56363940238953,1.58309686183929,1.60146069526672,1.61878275871277,1.63504385948181,1.65020406246185,1.66431367397308,1.67741191387177,1.68953037261963,1.70061206817627,1.71059167385101,1.71955752372742,1.727574467659,1.73469042778015,1.74094092845917,1.74634826183319,1.75093269348145,1.754714012146,1.75771486759186,1.75980961322784,1.76083433628082,1.760897397995,1.76008284091949,1.75845682621002,1.75609540939331,1.75307238101959,1.74941098690033,1.74513244628906,1.74025583267212,1.73480498790741,1.72880470752716,1.72227013111115,1.71521615982056,1.70765686035156,1.69962418079376,1.69115483760834,1.68225240707397,1.67292249202728,1.66317164897919,1.65298664569855,1.64235782623291,1.63131606578827,1.61988711357117,1.60809242725372,1.59596037864685,1.58351981639862,1.57077717781067,1.55773878097534,1.54441022872925,1.53079152107239,1.51687860488892,1.50269174575806,1.48825180530548,1.47357535362244,1.45870316028595,1.44367778301239,1.42851984500885,1.41324424743652,1.39786076545715,1.38239002227783,1.36685431003571,1.35125112533569,1.33557891845703,1.31983661651611,1.30402874946594,1.28816092014313,1.27223169803619,1.25624179840088,1.24019312858582
World ,Sea Level Rise from 2000,mm,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.61406135559082,5.94092226028442,10.0517101287842,15.0091361999512,19.9922046661377,25.5052719116211,30.7619037628174,35.9166030883789,41.1574249267578,46.5543518066406,51.8686027526856,57.2349739074707,63.4269142150879,70.1815872192383,76.7827301025391,83.3043441772461,89.803955078125,96.3235549926758,102.901504516602,109.556114196777,116.309196472168,123.203201293945,130.250900268555,137.460952758789,144.840240478516,152.394378662109,160.1279296875,168.043045043945,176.140640258789,184.420211791992,192.881362915039,201.524551391602,210.339584350586,219.315689086914,228.443984985352,237.718200683594,247.135345458984,256.687194824219,266.365905761719,276.164276123047,286.077545166016,296.105041503906,306.236846923828,316.464080810547,326.778961181641,337.174621582031,347.645080566406,358.184661865234,368.787811279297,379.449035644531,390.166412353516,400.945831298828,411.777282714844,422.651123046875,433.559173583984,444.493713378906,455.446594238281,466.412750244141,477.387573242187,488.36669921875,499.345794677734,510.320373535156,521.286560058594,532.24072265625,543.17919921875,554.09814453125,564.992797851563,575.8603515625,586.698181152344,597.503601074219,608.274353027344,619.009155273438,629.704162597656,640.355712890625,650.960693359375,661.515869140625,672.017761230469,682.464233398438,692.853271484375,703.182983398438,713.451599121094,723.657775878906,733.799194335938,743.873291015625,753.877807617188,763.809875488281,773.666320800781,783.444946289063,793.144409179688,802.763488769531,812.300903320313,821.754821777344,831.124877929688,840.410705566406,849.612121582031,858.728515625,867.75927734375,876.703979492187,885.562316894531,894.333984375
World ,Global cumulative CO2,GtCO2,pathway,432.18,439.76,447.39,455.02,462.73,470.64,479,487.71,496.72,507.15,519.83,532.91,546.205261230469,559.86962890625,573.898376464844,588.241455078125,602.876770019531,617.816772460938,633.218872070313,649.439208984375,666.731262207031,684.988159179688,703.80810546875,723.290100097656,743.193725585938,762.93310546875,782.937683105469,803.630004882812,824.769287109375,846.357299804687,868.113220214844,889.532958984375,910.525268554687,931.556030273438,953.096984863281,975.369018554687,998.298828125,1021.86206054688,1046.30822753906,1071.45349121094,1096.990234375,1122.87573242188,1149.26147460938,1176.12316894531,1203.34948730469,1230.92236328125,1259.0595703125,1288.31921386719,1318.00170898438,1346.5029296875,1375.36535644531,1404.5693359375,1434.17541503906,1464.67736816406,1496.31530761719,1529.16003417969,1563.06506347656,1597.81018066406,1632.88403320312,1668.50720214844,1704.62219238281,1742.0244140625,1780.32446289063,1818.9052734375,1857.60107421875,1896.92236328125,1936.82739257813,1977.6005859375,2018.46350097656,2060.16943359375,2101.26635742187,2141.21313476562,2180.15991210937,2217.99072265625,2254.578125,2289.79223632812,2323.50830078125,2355.61669921875,2386.03076171875,2414.69213867187,2441.57202148437,2466.69067382813,2490.19384765625,2512.23266601562,2532.77978515625,2551.81713867187,2569.34521484375,2585.37817382813,2599.92456054687,2612.99609375,2624.60668945312,2634.81909179687,2643.72778320313,2651.34692382812,2657.68872070312,2662.763671875,2666.58203125,2669.15258789062,2670.4853515625,2670.59521484375,2669.50146484375,2667.16162109375,2663.49951171875,2658.52685546875,2652.25708007812,2644.70361328125,2635.88208007812,2625.80810546875,2614.49951171875,2601.97534179688,2588.25659179687,2573.36596679687,2557.32885742187,2540.17016601562,2521.91625976562,2502.59497070313,2482.234375,2460.86450195312,2438.51513671875,2415.21655273438,2390.9990234375,2365.93896484375,2340.14233398437,2313.63818359375,2286.45556640625,2258.62231445312,2230.16577148437,2201.11157226563,2171.4853515625,2141.310546875,2110.61010742187,2079.4033203125,2047.76123046875,2015.79260253906,1983.5029296875,1950.97802734375,1918.35681152344,1885.64526367188,1852.84936523438,1819.97485351563,1787.02783203125,1754.01477050781,1720.94262695313,1687.81713867188,1654.64404296875,1621.42907714844,1588.17761230469,1554.89538574219,1521.587890625,1488.26062011719,1454.9189453125
World ,Global cumulative C,GtC,pathway,118.08,120.15,122.24,124.32,126.43,128.59,130.87,133.25,135.72,138.57,142.03,145.6,149.236404418945,152.969833374023,156.802825927734,160.721710205078,164.720428466797,168.802383422852,173.010620117188,177.442398071289,182.167007446289,187.155242919922,192.297302246094,197.620239257812,203.058380126953,208.45166015625,213.917388916016,219.571044921875,225.346801757812,231.245162963867,237.189392089844,243.041778564453,248.777389526367,254.523498535156,260.408996582031,266.494262695312,272.759216308594,279.197296142578,285.876556396484,292.746856689453,299.724090576172,306.796630859375,314.005859375,321.345123291016,328.783996582031,336.317596435547,344.005340576172,351.999786376953,360.109741210937,367.89697265625,375.782897949219,383.762115478516,391.851196289062,400.185089111328,408.829315185547,417.803283691406,427.066955566406,436.560150146484,446.143157958984,455.876281738281,465.743743896484,475.962951660156,486.427459716797,496.968658447266,507.541290283203,518.284790039063,529.187805175781,540.328002929688,551.492736816406,562.887817382812,574.116455078125,585.030883789063,595.672119140625,606.008361816406,616.004943847656,625.626281738281,634.838317871094,643.611145019531,651.920959472656,659.751953125,667.096130371094,673.959167480469,680.380798339844,686.40234375,692.016296386719,697.217834472656,702.0068359375,706.387512207031,710.361938476563,713.933349609375,717.105651855469,719.895935058594,722.330017089844,724.411743164063,726.144409179688,727.531066894531,728.574279785156,729.276672363281,729.640747070313,729.670837402344,729.371948242188,728.732666015625,727.732055664063,726.373474121094,724.660400390625,722.596618652344,720.186340332031,717.433837890625,714.344116210938,710.922241210938,707.173889160156,703.105407714844,698.723693847656,694.035522460938,689.048156738281,683.76904296875,678.206115722656,672.367370605469,666.260925292969,659.895202636719,653.278442382813,646.431396484375,639.383117675781,632.141540527344,624.714599609375,617.109924316406,609.334899902344,601.396606445313,593.301940917969,585.057495117188,576.66943359375,568.142944335937,559.497619628906,550.763000488281,541.940673828125,533.054077148438,524.141174316406,515.20361328125,506.242980957031,497.260894775391,488.258972167969,479.238983154297,470.202880859375,461.152221679687,452.088531494141,443.013397216797,433.928283691406,424.834808349609,415.734405517578,406.628570556641,397.518829345703
World ,Budget of C remaining,GtC,pathway,674.27,672.2,670.11,668.03,665.92,663.76,661.48,659.1,656.63,653.78,650.32,646.75,643.11328125,639.3798828125,635.546875,631.627990722656,627.629272460938,623.547302246094,619.339111328125,614.907287597656,610.182678222656,605.194458007813,600.052429199219,594.7294921875,589.291320800781,583.898071289063,578.432312011719,572.778686523438,567.0029296875,561.104553222656,555.160339355469,549.307922363281,543.572326660156,537.826232910156,531.940673828125,525.85546875,519.590454101563,513.152404785156,506.47314453125,499.602844238281,492.625610351563,485.553070068359,478.343841552734,471.004577636719,463.565704345703,456.032104492188,448.344390869141,440.349914550781,432.239959716797,424.452728271484,416.566833496094,408.587585449219,400.49853515625,392.164642333984,383.520385742188,374.546447753906,365.282775878906,355.78955078125,346.20654296875,336.473449707031,326.60595703125,316.386749267578,305.922271728516,295.381042480469,284.808441162109,274.064910888672,263.161926269531,252.021682739258,240.856948852539,229.461883544922,218.23323059082,207.318832397461,196.677612304688,186.341339111328,176.344741821289,166.723449707031,157.511413574219,148.738571166992,140.428771972656,132.597763061523,125.253570556641,118.390533447266,111.968879699707,105.947334289551,100.333396911621,95.1318969726563,90.3428421020508,85.9622268676758,81.98779296875,78.4163513183594,75.2440643310547,72.4537963867188,70.0197067260742,67.9379959106445,66.2052917480469,64.8186569213867,63.7754287719727,63.0730628967285,62.7089347839356,62.6788864135742,62.9777717590332,63.6170425415039,64.6176452636719,65.9762496948242,67.6893310546875,69.7530822753906,72.1633911132813,74.9158401489258,78.0056076049805,81.4274749755859,85.1758117675781,89.2442932128906,93.6260223388672,98.3141784667969,103.301567077637,108.580635070801,114.143577575684,119.982353210449,126.088760375977,132.454498291016,139.071273803711,145.91828918457,152.966598510742,160.208145141602,167.63508605957,175.239776611328,183.01481628418,190.953079223633,199.047744750977,207.292221069336,215.680267333984,224.206756591797,232.852111816406,241.586715698242,250.40901184082,259.295593261719,268.20849609375,277.146087646484,286.106719970703,295.088806152344,304.090759277344,313.110717773437,322.146820068359,331.197509765625,340.261169433594,349.336334228516,358.421417236328,367.514923095703,376.615325927734,385.721130371094,394.830871582031
World ,Global CH4 anthro emissions,MtCH4,pathway,131.64,133.88,137.05,140.87,145.17,149.92,154.71,159.56,164.29,168.36,171.93,174.91,178.933807373047,182.245498657227,186.898483276367,191.335357666016,196.272567749023,201.458160400391,206.706100463867,211.50146484375,215.914276123047,211.066986083984,220.547134399414,222.579376220703,222.318649291992,226.822280883789,233.221817016602,238.714706420898,239.836990356445,246.594573974609,248.701965332031,245.953735351562,264.357482910156,258.05615234375,253.288818359375,256.303009033203,263.922576904297,274.340057373047,269.031066894531,274.878540039062,278.440826416016,277.197082519531,274.053833007813,273.367889404297,271.055969238281,275.191345214844,277.799224853516,279.466705322266,281.335144042969,281.803527832031,284.957733154297,284.050231933594,291.491119384766,297.883575439453,307.906707763672,312.092926025391,318.791931152344,319.017425537109,323.204711914062,324.73828125,327.402709960938,331.667266845703,335.252105712891,335.440643310547,341.039825439453,345.887908935547,348.057525634766,350.394226074219,353.822082519531,372.402038574219,378.72265625,384.916748046875,389.633392333984,392.601440429687,393.580932617187,392.415161132812,389.885375976562,385.260559082031,378.780792236328,370.768127441406,361.522705078125,355.437103271484,352.632507324219,348.89501953125,344.3232421875,339.040710449219,333.776458740234,328.161926269531,322.248168945312,316.099487304687,309.752960205078,305.079864501953,299.697692871094,294.147644042969,288.079833984375,282.418487548828,276.360656738281,270.335327148437,264.434783935547,259.063934326172,253.994689941406,251.897735595703,249.981842041016,248.274520874023,246.780670166016,245.52116394043,244.50862121582,243.750244140625,243.247833251953,242.998001098633,243.001388549805,243.308380126953,243.828338623047,244.543029785156,245.432113647461,246.473556518555,247.644180297852,248.920288085937,250.278015136719,251.693771362305,253.175720214844,254.452758789062,255.728881835938,256.985473632812,258.205383300781,259.376220703125,260.484802246094,261.519622802734,262.468200683594,263.321807861328,264.073638916016,264.4814453125,264.787506103516,264.979553222656,265.05810546875,265.032653808594,264.899078369141,264.676666259766,264.354278564453,263.939178466797,263.439880371094,262.94970703125,262.393524169922,261.783813476563,261.134490966797,260.4609375,259.648986816406,258.919860839844,258.207061767578,257.53369140625,256.923004150391
