Model,Scenario,Region,iso,Country,Subvector,Unit,Initial Extent (Mha),Initial Loss Rate (%),Rate of Improvement,Mitigation (Mg CO2/ha),Duration
PD22,Pathway,SSA-L,BDI,Burundi,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,OAS-CPA,VNM,Vietnam,Avoided Forest Conversion,Mha,18.4649,-1.0076,0.0002,682.2217,99.2480255
PD22,Pathway,IDN,IDN,Indonesia,Avoided Forest Conversion,Mha,162.7072,-0.9805,0.0002,822.4690,101.9854429
PD22,Pathway,OAS-CPA,KHM,Cambodia,Avoided Coastal Impacts,Mha,0.0633,-1.3266,0.00196,1301.4003,75.38216311
PD22,Pathway,SSA-L,CMR,Cameroon,Avoided Coastal Impacts,Mha,0.1886,-0.3121,0.00196,1700.8751,320.3625941
PD22,Pathway,CAN,CAN,Canada,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,SSA-L,CPV,Cape Verde,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,SSA-L,CAF,Central African Republic,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,SSA-L,TCD,Chad,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,LAM-M,CHL,Chile,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,CHN,CHN,China,Avoided Coastal Impacts,Mha,0.0158,-2.3719,0.00196,982.2664,42.15957852
PD22,Pathway,LAM-M,COL,Colombia,Avoided Coastal Impacts,Mha,0.2470,-1.2891,0.00196,2022.1378,77.57451813
PD22,Pathway,SSA-L,COM,Comoros,Avoided Coastal Impacts,Mha,0.0001,-0.0278,0.00196,1792.4528,3601.937886
PD22,Pathway,LAM-M,ARG,Argentina,Avoided Forest Conversion,Mha,45.6232,-0.6202,0.0002,355.6880,161.2289843
PD22,Pathway,LAM-M,CRI,Costa Rica,Avoided Coastal Impacts,Mha,0.0375,-0.5676,0.00196,1441.5534,176.1838595
PD22,Pathway,OAS-CPA,LAO,Laos,Avoided Forest Conversion,Mha,20.1274,-0.5810,0.0002,781.6065,172.106994
PD22,Pathway,SSA-L,CIV,Cote d'Ivoire,Avoided Coastal Impacts,Mha,0.0063,-1.2626,0.00196,1251.7265,79.201967
PD22,Pathway,EEU,HRV,Croatia,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,LAM-M,CUB,Cuba,Avoided Coastal Impacts,Mha,0.3517,-0.7385,0.00196,1835.9771,135.4106112
PD22,Pathway,EU12-H,CYP,Cyprus,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,EU12-H,CZE,Czech Republic,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,OAS-L,PRK,Democratic People's Republic of Korea (North Korea),Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,SSA-L,COD,Democratic Republic of the Congo (DRC),Avoided Coastal Impacts,Mha,0.0275,-0.5176,0.00196,1679.4210,193.188444
PD22,Pathway,EU15,DNK,Denmark (except Greenland),Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,SSA-L,DJI,Djibouti,Avoided Coastal Impacts,Mha,0.0005,-0.3046,0.00196,1257.6065,328.3118938
PD22,Pathway,LAM-M,DOM,Dominican Republic,Avoided Coastal Impacts,Mha,0.0197,-0.6817,0.00196,1635.6560,146.6958802
PD22,Pathway,LAM-M,BOL,Bolivia,Avoided Forest Conversion,Mha,67.8469,-0.3886,0.0002,683.3392,257.313845
PD22,Pathway,LAM-M,ECU,Ecuador,Avoided Coastal Impacts,Mha,0.1451,-0.7727,0.00196,1559.4876,129.4177099
PD22,Pathway,NAF,EGY,Egypt,Avoided Coastal Impacts,Mha,0.0002,-0.7381,0.00196,1086.9565,135.474238
PD22,Pathway,BRA,BRA,Brazil,Avoided Forest Conversion,Mha,568.3118,-0.3776,0.0002,775.0270,264.8361061
PD22,Pathway,LAM-M,SLV,El Salvador,Avoided Coastal Impacts,Mha,0.0383,-1.0511,0.00196,1215.8349,95.14173976
PD22,Pathway,SSA-M,GNQ,Equatorial Guinea,Avoided Coastal Impacts,Mha,0.0251,-0.3830,0.00196,1627.9352,261.0845536
PD22,Pathway,SSA-L,ERI,Eritrea,Avoided Coastal Impacts,Mha,0.0071,-0.5286,0.00196,1423.2585,189.1703164
PD22,Pathway,LAM-L,BLZ,Belize,Avoided Forest Conversion,Mha,1.6853,-0.3199,0.0002,680.0781,312.5668375
PD22,Pathway,EU12-H,EST,Estonia,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
