,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
DAU21,0.0,0.28704100913811087,0.5820170049465996,0.8837179122025991,1.192532435247129,1.508981155309697,1.8334808779159366,2.1646044859274527,2.5040531113796543,2.852159444876724,3.206047123433896,3.568810288409167,3.9396324129693365,4.31922413115533,4.699851733097203,5.083044006500953,5.473912388222601,5.872795328517768,6.278954607234595,6.689910409217331,7.1070605334853845,7.529735932287426,7.956332843674682,8.386651499408103,8.821201882863097,9.258007572956117,9.695134672561236,10.132509567884833,10.568093935734272,11.001227160744582,11.432161189590744,11.860283792222628,12.284116107993853,12.701877833675084,13.114477687786568,13.521777025332401,13.92173418235101,14.314604452145348,14.699711583780267,15.066529043917065,15.418980270300843
V4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V5,0.0,0.7969046068319076,1.7714609962819596,2.934092136425281,4.268919434746913,5.722164888926587,7.2154389981333,8.656417211947263,9.968943875369753,11.046867663085253,11.857994072375213,12.41022516245365,12.81629013232058,13.170116638701433,13.444960072725191,13.674163721797786,13.874131645664743,14.047117234434383,14.208966303558341,14.365561959974483,14.517874391542556,14.667298290047547,14.806882955954148,14.943708725398684,15.075882608358,15.204696897617895,15.326959470218622,15.446285021432985,15.562584070588153,15.673511770526595,15.780246172182675,15.882732794080356,15.98125083454117,16.074873151600475,16.163348810419723,16.246226433798913,16.323359890933727,16.394502660739853,16.459354436156435,16.508320297147417,16.54851810471624
V6,0.0,0.9991175576159022,2.0166031320985347,3.0326697822782727,4.0306735339856035,5.044823839339231,6.050203069373384,7.0299642993125895,7.9540895063107415,8.787575469654236,9.540069836647172,10.221357505055083,10.610624527775016,10.808994020119,11.014717898022688,11.227378900845851,11.446602909818102,11.672869077040454,11.898323165848444,12.127655712698443,12.354833244108558,12.583887500011826,12.814354316845874,13.044860724664495,13.277194988809523,13.510537617082484,13.741555371916213,13.971808811022685,14.197703702954408,14.42284461603396,14.646182978922523,14.861946220803693,15.073309595485954,15.279621215588639,15.482150224584803,15.681019850945486,15.874484496162491,16.062933942142166,16.24593316651145,16.422575443890118,16.589802125786655
PL,0.3765310662446369,0.7542910267617631,1.1320509872788889,1.509810947796015,1.887570908313141,2.265330868830268,2.643090829347393,3.1513045334876546,3.6595182376279167,4.167731941768178,4.67594564590844,5.184159350048701,5.6923730541889626,6.198064874952597,6.703756695716232,7.209448516479867,7.7151403372435,8.220832158007136,8.72652397877077,9.234596376046404,9.742668773322034,10.250741170597667,10.758813567873302,11.266885965148933,11.774958362424568,12.2830307597002,12.759667377465284,13.23630399523037,13.712940612995455,14.189577230760545,14.666213848525626,15.142850466290712,15.545875172932567,15.94889987957442,16.351924586216274,16.75494929285813,17.15797399949998,17.560998706141834,17.798808858850155,18.03661901155847,18.274429164266795
NCSmax,0.0,1.508981155309698,3.2060471234338945,5.083044006500953,7.107060533485386,9.25800757295612,11.432161189590747,13.521777025332398,15.41898027030084,16.982283687862765,18.192016785588493,19.062772379099563,19.487282247126263,19.659886527665105,19.759826237650675,19.818498616142687,19.846822167260246,19.847190982957066,19.828334862172188,19.803307263455594,19.765647102165726,19.721449857771947,19.664904429125336,19.60191795065508,19.531875714304427,19.45722694174426,19.373380169573597,19.285584264570833,19.192193837808286,19.09512922581597,18.99426796151445,18.88439522266142,18.770444322033267,18.65261653351403,18.531021347217962,18.405469259411998,18.276110204745205,18.14283215073667,18.005576018887616,17.864366697120467,17.71933996020205
