Model,Scenario,Region,Country,Subvector,Initial Extent (Mha),Initial Loss Rate (%),Rate of Improvement,Mitigation (Mg CO2/ha),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160,2161,2162,2163,2164,2165,2166,2167,2168,2169,2170,2171,2172,2173,2174,2175,2176,2177,2178,2179,2180,2181,2182,2183,2184,2185,2186,2187,2188,2189,2190,2191,2192,2193,2194,2195,2196,2197,2198,2199,2200,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,2211,2212,2213,2214,2215,2216,2217,2218,2219,2220,2221,2222,2223,2224,2225,2226,2227,2228,2229,2230,2231,2232,2233,2234,2235,2236,2237,2238,2239,2240,2241,2242,2243,2244,2245,2246,2247,2248,2249,2250,2251,2252,2253,2254,2255,2256,2257,2258,2259,2260,2261,2262,2263,2264,2265,2266,2267,2268,2269,2270,2271,2272,2273,2274,2275,2276,2277,2278,2279,2280,2281,2282,2283,2284,2285,2286,2287,2288,2289,2290,2291,2292,2293,2294,2295,2296,2297,2298,2299,2300
PD21,pathway,PAK,Afghanistan,Avoided Forest Conversion,0.411291,,0.00019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD21,pathway,PAK,Afghanistan,Avoided Peat Impacts,0.01164,-0.11938,0.00019,41371.40204,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.47449323296,1.47201092112,1.46952860928,1.46704629744,1.4645639856,1.46208167376,1.45959936192,1.45711705008,1.45463473824,1.4521524264,1.44967011456,1.44718780272,1.44470549088,1.44222317904,1.4397408672,1.43725855536,1.43477624352,1.43229393168,1.42981161984,1.427329308,1.42484699616,1.42236468432,1.41988237248,1.41740006064,1.4149177488,1.41243543696,1.40995312512,1.40747081328,1.40498850144,1.4025061896,1.40002387776,1.39754156592,1.39505925408,1.39257694224,1.3900946304,1.38761231856,1.38513000672,1.38264769488,1.38016538304,1.3776830712,1.37520075936,1.37271844752,1.37023613568,1.36775382384,1.365271512,1.36278920016,1.36030688832,1.35782457648,1.35534226464,1.3528599528,1.35037764096,1.34789532912,1.34541301728,1.34293070544,1.3404483936,1.33796608176,1.33548376992,1.33300145808,1.33051914624,1.3280368344,1.32555452256,1.32307221072,1.32058989888,1.31810758704,1.3156252752,1.31314296336,1.31066065152,1.30817833968,1.30569602784,1.303213716,1.30073140416,1.29824909232,1.29576678048,1.29328446864,1.2908021568,1.28831984496,1.28583753312,1.28335522128,1.28087290944,1.2783905976,1.27590828576,1.27342597392,1.27094366208,1.26846135024,1.2659790384,1.26349672656,1.26101441472,1.25853210288,1.25604979104,1.2535674792,1.25108516736,1.24860285552,1.24612054368,1.24363823184,1.24115592,1.23867360816,1.23619129632,1.23370898448,1.23122667264,1.2287443608,1.22626204896,1.22377973712,1.22129742528,1.21881511344,1.2163328016,1.21385048976,1.21136817792,1.20888586608,1.20640355424,1.2039212424,1.20143893056,1.19895661872,1.19647430688,1.19399199504,1.1915096832,1.18902737136,1.18654505952,1.18406274768,1.18158043584,1.179098124,1.17661581216,1.17413350032,1.17165118848,1.16916887664,1.1666865648,1.16420425296,1.16172194112,1.15923962928,1.15675731744,1.1542750056,1.15179269376,1.14931038192,1.14682807008,1.14434575824,1.1418634464,1.13938113456,1.13689882272,1.13441651088,1.13193419904,1.1294518872,1.12696957536,1.12448726352,1.12200495168,1.11952263984,1.117040328,1.11455801616,1.11207570432,1.10959339248,1.10711108064,1.1046287688,1.10214645696,1.09966414512,1.09718183328,1.09469952144,1.0922172096,1.08973489776,1.08725258592,1.08477027408,1.08228796224,1.0798056504,1.07732333856,1.07484102672,1.07235871488,1.06987640304,1.0673940912,1.06491177936,1.06242946752,1.05994715568,1.05746484384,1.054982532,1.05250022016,1.05001790832,1.04753559648,1.04505328464,1.0425709728,1.04008866096,1.03760634912,1.03512403728,1.03264172544,1.0301594136,1.02767710176,1.02519478992,1.02271247808,1.02023016624,1.0177478544,1.01526554256,1.01278323072,1.01030091888,1.00781860704,1.0053362952,1.00285398336,1.00037167152,0.99788935968,0.99540704784,0.992924736,0.99044242416,0.98796011232,0.98547780048,0.98299548864,0.9805131768,0.97803086496,0.97554855312,0.97306624128,0.97058392944,0.9681016176,0.96561930576,0.96313699392,0.96065468208,0.95817237024,0.9556900584,0.95320774656,0.95072543472,0.94824312288,0.94576081104,0.9432784992,0.94079618736,0.93831387552,0.93583156368,0.93334925184,0.93086694,0.92838462816,0.92590231632,0.92342000448,0.92093769264,0.9184553808,0.91597306896,0.91349075712,0.91100844528,0.90852613344,0.9060438216,0.90356150976,0.90107919792,0.89859688608,0.89611457424,0.8936322624,0.89114995056,0.88866763872,0.88618532688,0.88370301504,0.8812207032,0.87873839136,0.87625607952,0.87377376768,0.87129145584,0.868809144,0.86632683216,0.86384452032,0.86136220848,0.85887989664,0.8563975848,0.85391527296,0.85143296112,0.84895064928,0.84646833744,0.8439860256,0.84150371376,0.83902140192,0.83653909008,0.83405677824,0.8315744664,0.82909215456,0.82660984272,0.82412753088,0.82164521904,0.8191629072,0.81668059536,0.81419828352,0.81171597168,0.80923365984,0.806751348,0.80426903616,0.80178672432,0.79930441248,0.79682210064,0.7943397888,0.79185747696,0.78937516512,0.78689285328,0.78441054144,0.7819282296
PD21,pathway,EEU,Albania,Avoided Coastal Impacts,0,0,0.00196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD21,pathway,EEU,Albania,Avoided Forest Conversion,0.939972,,0.00019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD21,pathway,EEU,Albania,Avoided Peat Impacts,0.0044,-0.000185858,0.00019,19396585.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD21,pathway,NAF,Algeria,Avoided Coastal Impacts,0,0,0.00196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD21,pathway,NAF,Algeria,Avoided Forest Conversion,1.86708,-0.113628701,0.00019,2789.504174,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.3368231604,107.14684648224,106.95686980408,106.76689312592,106.57691644776,106.3869397696,106.19696309144,106.00698641328,105.81700973512,105.62703305696,105.4370563788,105.24707970064,105.05710302248,104.86712634432,104.67714966616,104.487172988,104.29719630984,104.10721963168,103.91724295352,103.72726627536,103.5372895972,103.34731291904,103.15733624088,102.96735956272,102.77738288456,102.5874062064,102.39742952824,102.20745285008,102.01747617192,101.82749949376,101.6375228156,101.44754613744,101.25756945928,101.06759278112,100.87761610296,100.6876394248,100.49766274664,100.30768606848,100.11770939032,99.92773271216,99.737756034,99.54777935584,99.35780267768,99.16782599952,98.97784932136,98.7878726432,98.59789596504,98.40791928688,98.21794260872,98.02796593056,97.8379892524,97.64801257424,97.45803589608,97.26805921792,97.07808253976,96.8881058616,96.69812918344,96.50815250528,96.31817582712,96.12819914896,95.9382224708,95.74824579264,95.55826911448,95.36829243632,95.17831575816,94.98833908,94.79836240184,94.60838572368,94.41840904552,94.22843236736,94.0384556892,93.84847901104,93.65850233288,93.46852565472,93.27854897656,93.0885722984,92.89859562024,92.70861894208,92.51864226392,92.32866558576,92.1386889076,91.94871222944,91.75873555128,91.56875887312,91.37878219496,91.1888055168,90.99882883864,90.80885216048,90.61887548232,90.42889880416,90.238922126,90.04894544784,89.85896876968,89.66899209152,89.47901541336,89.2890387352,89.09906205704,88.90908537888,88.71910870072,88.52913202256,88.3391553444,88.14917866624,87.95920198808,87.76922530992,87.57924863176,87.3892719536,87.19929527544,87.00931859728,86.81934191912,86.62936524096,86.4393885628,86.24941188464,86.05943520648,85.86945852832,85.67948185016,85.489505172,85.29952849384,85.10955181568,84.91957513752,84.72959845936,84.5396217812,84.34964510304,84.15966842488,83.96969174672,83.77971506856,83.5897383904,83.39976171224,83.20978503408,83.01980835592,82.82983167776,82.6398549996,82.44987832144,82.25990164328,82.06992496512,81.87994828696,81.6899716088,81.49999493064,81.31001825248,81.12004157432,80.93006489616,80.740088218,80.55011153984,80.36013486168,80.17015818352,79.98018150536,79.7902048272,79.60022814904,79.41025147088,79.22027479272,79.03029811456,78.8403214364,78.65034475824,78.46036808008,78.27039140192,78.08041472376,77.8904380456,77.70046136744,77.51048468928,77.32050801112,77.13053133296,76.9405546548,76.75057797664,76.56060129848,76.37062462032,76.18064794216,75.990671264,75.80069458584,75.61071790768,75.42074122952,75.23076455136,75.0407878732,74.85081119504,74.66083451688,74.47085783872,74.28088116056,74.0909044824,73.90092780424,73.71095112608,73.52097444792,73.33099776976,73.1410210916,72.95104441344,72.76106773528,72.57109105712,72.38111437896,72.1911377008,72.00116102264,71.81118434448,71.62120766632,71.43123098816,71.24125431,71.05127763184,70.86130095368,70.67132427552,70.48134759736,70.2913709192,70.10139424104,69.91141756288,69.72144088472,69.53146420656,69.3414875284,69.15151085024,68.96153417208,68.77155749392,68.58158081576,68.3916041376,68.20162745944,68.01165078128,67.82167410312,67.63169742496,67.4417207468,67.25174406864,67.06176739048,66.87179071232,66.68181403416,66.491837356,66.30186067784,66.11188399968,65.92190732152,65.73193064336,65.5419539652,65.35197728704,65.16200060888,64.97202393072,64.78204725256,64.5920705744,64.40209389624,64.21211721808,64.02214053992,63.83216386176,63.6421871836,63.45221050544,63.26223382728,63.07225714912,62.88228047096,62.6923037928,62.50232711464,62.31235043648,62.12237375832,61.93239708016,61.742420402,61.55244372384,61.36246704568,61.17249036752,60.98251368936,60.7925370112,60.60256033304,60.41258365488,60.22260697672,60.03263029856,59.8426536204,59.65267694224,59.46270026408,59.27272358592,59.08274690776,58.8927702296,58.70279355144,58.51281687328,58.32284019512,58.13286351696,57.9428868388,57.75291016064,57.56293348248,57.37295680432,57.18298012616,56.993003448,56.80302676984,56.61305009168,56.42307341352,56.23309673536,56.0431200572,55.85314337904,55.66316670088,55.47319002272,55.28321334456,55.0932366664,54.90325998824,54.71328331008,54.52330663192,54.33332995376
PD21,pathway,NAF,Algeria,Avoided Peat Impacts,0.000982,-0.113628701,0.00019,91999.20798,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.1315674029,0.13133454024,0.13110167758,0.13086881492,0.13063595226,0.1304030896,0.13017022694,0.12993736428,0.12970450162,0.12947163896,0.1292387763,0.12900591364,0.12877305098,0.12854018832,0.12830732566,0.128074463,0.12784160034,0.12760873768,0.12737587502,0.12714301236,0.1269101497,0.12667728704,0.12644442438,0.12621156172,0.12597869906,0.1257458364,0.12551297374,0.12528011108,0.12504724842,0.12481438576,0.1245815231,0.12434866044,0.12411579778,0.12388293512,0.12365007246,0.1234172098,0.12318434714,0.12295148448,0.12271862182,0.12248575916,0.1222528965,0.12202003384,0.12178717118,0.12155430852,0.12132144586,0.1210885832,0.12085572054,0.12062285788,0.12038999522,0.12015713256,0.1199242699,0.11969140724,0.11945854458,0.11922568192,0.11899281926,0.1187599566,0.11852709394,0.11829423128,0.11806136862,0.11782850596,0.1175956433,0.11736278064,0.11712991798,0.11689705532,0.11666419266,0.11643133,0.11619846734,0.11596560468,0.11573274202,0.11549987936,0.1152670167,0.11503415404,0.11480129138,0.11456842872,0.11433556606,0.1141027034,0.11386984074,0.11363697808,0.11340411542,0.11317125276,0.1129383901,0.11270552744,0.11247266478,0.11223980212,0.11200693946,0.1117740768,0.11154121414,0.11130835148,0.11107548882,0.11084262616,0.1106097635,0.11037690084,0.11014403818,0.10991117552,0.10967831286,0.1094454502,0.10921258754,0.10897972488,0.10874686222,0.10851399956,0.1082811369,0.10804827424,0.10781541158,0.10758254892,0.10734968626,0.1071168236,0.10688396094,0.10665109828,0.10641823562,0.10618537296,0.1059525103,0.10571964764,0.10548678498,0.10525392232,0.10502105966,0.104788197,0.10455533434,0.10432247168,0.10408960902,0.10385674636,0.1036238837,0.10339102104,0.10315815838,0.10292529572,0.10269243306,0.1024595704,0.10222670774,0.10199384508,0.10176098242,0.10152811976,0.1012952571,0.10106239444,0.10082953178,0.10059666912,0.10036380646,0.1001309438,0.09989808114,0.09966521848,0.09943235582,0.09919949316,0.0989666305,0.09873376784,0.09850090518,0.09826804252,0.09803517986,0.0978023172,0.09756945454,0.09733659188,0.09710372922,0.09687086656,0.0966380039,0.09640514124,0.09617227858,0.09593941592,0.09570655326,0.0954736906,0.09524082794,0.09500796528,0.09477510262,0.09454223996,0.0943093773,0.09407651464,0.09384365198,0.09361078932,0.09337792666,0.093145064,0.09291220134,0.09267933868,0.09244647602,0.09221361336,0.0919807507,0.09174788804,0.09151502538,0.09128216272,0.09104930006,0.0908164374,0.09058357474,0.09035071208,0.09011784942,0.08988498676,0.0896521241,0.08941926144,0.08918639878,0.08895353612,0.08872067346,0.0884878108,0.08825494814,0.08802208548,0.08778922282,0.08755636016,0.0873234975,0.08709063484,0.08685777218,0.08662490952,0.08639204686,0.0861591842,0.08592632154,0.08569345888,0.08546059622,0.08522773356,0.0849948709,0.08476200824,0.08452914558,0.08429628292,0.08406342026,0.0838305576,0.08359769494,0.08336483228,0.08313196962,0.08289910696,0.0826662443,0.08243338164,0.08220051898,0.08196765632,0.08173479366,0.081501931,0.08126906834,0.08103620568,0.08080334302,0.08057048036,0.0803376177,0.08010475504,0.07987189238,0.07963902972,0.07940616706,0.0791733044,0.07894044174,0.07870757908,0.07847471642,0.07824185376,0.0780089911,0.07777612844,0.07754326578,0.07731040312,0.07707754046,0.0768446778,0.07661181514,0.07637895248,0.07614608982,0.07591322716,0.0756803645,0.07544750184,0.07521463918,0.07498177652,0.07474891386,0.0745160512,0.07428318854,0.07405032588,0.07381746322,0.07358460056,0.0733517379,0.07311887524,0.07288601258,0.07265314992,0.07242028726,0.0721874246,0.07195456194,0.07172169928,0.07148883662,0.07125597396,0.0710231113,0.07079024864,0.07055738598,0.07032452332,0.07009166066,0.069858798,0.06962593534,0.06939307268,0.06916021002,0.06892734736,0.0686944847,0.06846162204,0.06822875938,0.06799589672,0.06776303406,0.0675301714,0.06729730874,0.06706444608,0.06683158342,0.06659872076
PD21,pathway,SSA-M,Angola,Avoided Coastal Impacts,0.037473,-0.688239596,0.00196,1572.598938,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.279072121,41.1604958205,41.04191952,40.9233432195,40.804766919,40.6861906185,40.567614318,40.4490380175,40.330461717,40.2118854165,40.093309116,39.9747328155,39.856156515,39.7375802145,39.619003914,39.5004276135,39.381851313,39.2632750125,39.144698712,39.0261224115,38.907546111,38.7889698105,38.67039351,38.5518172095,38.433240909,38.3146646085,38.196088308,38.0775120075,37.958935707,37.8403594065,37.721783106,37.6032068055,37.484630505,37.3660542045,37.247477904,37.1289016035,37.010325303,36.8917490025,36.773172702,36.6545964015,36.536020101,36.4174438005,36.2988675,36.1802911995,36.061714899,35.9431385985,35.824562298,35.7059859975,35.587409697,35.4688333965,35.350257096,35.2316807955,35.113104495,34.9945281945,34.875951894,34.7573755935,34.638799293,34.5202229925,34.401646692,34.2830703915,34.164494091,34.0459177905,33.92734149,33.8087651895,33.690188889,33.5716125885,33.453036288,33.3344599875,33.215883687,33.0973073865,32.978731086,32.8601547855,32.741578485,32.6230021845,32.504425884,32.3858495835,32.267273283,32.1486969825,32.030120682,31.9115443815,31.792968081,31.6743917805,31.55581548,31.4372391795,31.318662879,31.2000865785,31.081510278,30.9629339775,30.844357677,30.7257813765,30.607205076,30.4886287755,30.370052475,30.2514761745,30.132899874,30.0143235735,29.895747273,29.7771709725,29.658594672,29.5400183715,29.421442071,29.3028657705,29.18428947,29.0657131695,28.947136869,28.8285605685,28.709984268,28.5914079675,28.472831667,28.3542553665,28.235679066,28.1171027655,27.998526465,27.8799501645,27.761373864,27.6427975635,27.524221263,27.4056449625,27.287068662,27.1684923615,27.049916061,26.9313397605,26.81276346,26.6941871595,26.575610859,26.4570345585,26.338458258,26.2198819575,26.101305657,25.9827293565,25.864153056,25.7455767555,25.627000455,25.5084241545,25.389847854,25.2712715535,25.152695253,25.0341189525,24.915542652,24.7969663515,24.678390051,24.5598137505,24.44123745,24.3226611495,24.204084849,24.0855085485,23.966932248,23.8483559475,23.729779647,23.6112033465,23.492627046,23.3740507455,23.255474445,23.1368981445,23.018321844,22.8997455435,22.781169243,22.6625929425,22.544016642,22.4254403415,22.306864041,22.1882877405,22.06971144,21.9511351395,21.832558839,21.7139825385,21.595406238,21.4768299375,21.358253637,21.2396773365,21.121101036,21.0025247355,20.883948435,20.7653721345,20.646795834,20.5282195335,20.409643233,20.2910669325,20.172490632,20.0539143315,19.935338031,19.8167617305,19.69818543,19.5796091295,19.461032829,19.3424565285,19.223880228,19.1053039275,18.986727627,18.8681513265,18.749575026,18.6309987255,18.512422425,18.3938461245,18.275269824,18.1566935235,18.038117223,17.9195409225,17.800964622,17.6823883215,17.563812021,17.4452357205,17.32665942,17.2080831195,17.089506819,16.9709305185,16.852354218,16.7337779175,16.615201617,16.4966253165,16.378049016,16.2594727155,16.140896415,16.0223201145,15.903743814,15.7851675135,15.666591213,15.5480149125,15.429438612,15.3108623115,15.192286011,15.0737097105,14.95513341,14.8365571095,14.717980809,14.5994045085,14.480828208,14.3622519075,14.243675607,14.1250993065,14.006523006,13.8879467055,13.769370405,13.6507941045,13.532217804,13.4136415035,13.295065203,13.1764889025,13.057912602,12.9393363015,12.820760001,12.7021837005,12.5836074,12.4650310995,12.346454799,12.2278784985,12.109302198,11.9907258975,11.872149597,11.7535732965,11.634996996,11.5164206955,11.397844395,11.2792680945,11.160691794,11.0421154935,10.923539193,10.8049628925,10.686386592,10.5678102915,10.449233991,10.3306576905,10.21208139,10.0935050895,9.97492878899999,9.8563524885,9.73777618799999,9.61919988749999,9.500623587,9.38204728649999,9.26347098599999,9.1448946855,9.02631838499999,8.90774208449999,8.789165784,8.67058948349999,8.55201318299999,8.4334368825,8.31486058199999,8.1962842815
PD21,pathway,SSA-M,Angola,Avoided Forest Conversion,115.9739,-0.002985875,0.00019,4653.582577,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,198.239716905552,181.719740496756,165.19976408796,148.679787679164,132.159811270368,115.639834861572,99.119858452776,82.59988204398,66.079905635184,49.559929226388,33.039952817592,16.519976408796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
