iso,Subvector,Metric,Model,Scenario,Region,Unit,Value 1,Value 2,Duration 2 (Years),Value 3,Duration 3 (Years),Duration 1 (Years)
DJI,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Djibouti,tCO2/ha/yr,0.5958,0,80,NA,NA,20
DJI,Cropland Soil Health,Max extent,PD21,pathway,Djibouti,Mha,0.0033,NA,NA,NA,NA,100
DOM,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Dominican Republic,tCO2/ha/yr,1.5081,0,80,NA,NA,20
DOM,Cropland Soil Health,Max extent,PD21,pathway,Dominican Republic,Mha,1.2219,NA,NA,NA,NA,100
ECU,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Ecuador,tCO2/ha/yr,2.4589,0,80,NA,NA,20
ECU,Cropland Soil Health,Max extent,PD21,pathway,Ecuador,Mha,2.42,NA,NA,NA,NA,100
EGY,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Egypt,tCO2/ha/yr,0.8557,0,80,NA,NA,20
EGY,Cropland Soil Health,Max extent,PD21,pathway,Egypt,Mha,4.7854,NA,NA,NA,NA,100
SLV,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,El Salvador,tCO2/ha/yr,1.5795,0,80,NA,NA,20
SLV,Cropland Soil Health,Max extent,PD21,pathway,El Salvador,Mha,0.3982,NA,NA,NA,NA,100
GNQ,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Equatorial Guinea,tCO2/ha/yr,1.687,0,80,NA,NA,20
GNQ,Cropland Soil Health,Max extent,PD21,pathway,Equatorial Guinea,Mha,0.1833,NA,NA,NA,NA,100
ERI,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Eritrea,tCO2/ha/yr,1.2658,0,80,NA,NA,20
ERI,Cropland Soil Health,Max extent,PD21,pathway,Eritrea,Mha,1.788,NA,NA,NA,NA,100
EST,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Estonia,tCO2/ha/yr,3.2436,0,80,NA,NA,20
EST,Cropland Soil Health,Max extent,PD21,pathway,Estonia,Mha,0.9773,NA,NA,NA,NA,100
ETH,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Ethiopia,tCO2/ha/yr,1.8923,0,80,NA,NA,20
ETH,Cropland Soil Health,Max extent,PD21,pathway,Ethiopia,Mha,20.3897,NA,NA,NA,NA,100
FLK,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Falkland Islands,tCO2/ha/yr,3.3926,0,80,NA,NA,20
FLK,Cropland Soil Health,Max extent,PD21,pathway,Falkland Islands,Mha,0.0001,NA,NA,NA,NA,100
FRO,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Faroe Islands,tCO2/ha/yr,0,0,80,NA,NA,20
FRO,Cropland Soil Health,Max extent,PD21,pathway,Faroe Islands,Mha,0.0021,NA,NA,NA,NA,100
FJI,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Fiji,tCO2/ha/yr,2.0718,0,80,NA,NA,20
FJI,Cropland Soil Health,Max extent,PD21,pathway,Fiji,Mha,0.335,NA,NA,NA,NA,100
FIN,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Finland,tCO2/ha/yr,3.437,0,80,NA,NA,20
FIN,Cropland Soil Health,Max extent,PD21,pathway,Finland,Mha,2.7293,NA,NA,NA,NA,100
FRA,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,France (except French Guiana),tCO2/ha/yr,0.9374,0,80,NA,NA,20
FRA,Cropland Soil Health,Max extent,PD21,pathway,France (except French Guiana),Mha,25.878,NA,NA,NA,NA,100
GUF,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,French Guiana (France),tCO2/ha/yr,1.9276,0,80,NA,NA,20
GUF,Cropland Soil Health,Max extent,PD21,pathway,French Guiana (France),Mha,0.0137,NA,NA,NA,NA,100
PYF,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,French Polynesia,tCO2/ha/yr,1.4985,0,80,NA,NA,20
PYF,Cropland Soil Health,Max extent,PD21,pathway,French Polynesia,Mha,0.062,NA,NA,NA,NA,100
GAB,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Gabon,tCO2/ha/yr,1.5718,0,80,NA,NA,20
GAB,Cropland Soil Health,Max extent,PD21,pathway,Gabon,Mha,0.9538,NA,NA,NA,NA,100
GMB,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,"Gambia, The",tCO2/ha/yr,1.2226,0,80,NA,NA,20
GMB,Cropland Soil Health,Max extent,PD21,pathway,"Gambia, The",Mha,0.6197,NA,NA,NA,NA,100
GEO,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Georgia,tCO2/ha/yr,1.877,0,80,NA,NA,20
GEO,Cropland Soil Health,Max extent,PD21,pathway,Georgia,Mha,1.7673,NA,NA,NA,NA,100
DEU,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Germany,tCO2/ha/yr,1.3984,0,80,NA,NA,20
DEU,Cropland Soil Health,Max extent,PD21,pathway,Germany,Mha,15.5336,NA,NA,NA,NA,100
GHA,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Ghana,tCO2/ha/yr,1.5746,0,80,NA,NA,20
GHA,Cropland Soil Health,Max extent,PD21,pathway,Ghana,Mha,9.9611,NA,NA,NA,NA,100
GRC,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Greece,tCO2/ha/yr,0.6096,0,80,NA,NA,20
GRC,Cropland Soil Health,Max extent,PD21,pathway,Greece,Mha,4.9685,NA,NA,NA,NA,100
GRL,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Greenland (Denmark),tCO2/ha/yr,0,0,80,NA,NA,20
GRL,Cropland Soil Health,Max extent,PD21,pathway,Greenland (Denmark),Mha,0,NA,NA,NA,NA,100
GLP,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Guadeloupe,tCO2/ha/yr,2.2817,0,80,NA,NA,20
GLP,Cropland Soil Health,Max extent,PD21,pathway,Guadeloupe,Mha,0.0436,NA,NA,NA,NA,100
GTM,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Guatemala,tCO2/ha/yr,2.1985,0,80,NA,NA,20
GTM,Cropland Soil Health,Max extent,PD21,pathway,Guatemala,Mha,1.8929,NA,NA,NA,NA,100
GIN,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Guinea,tCO2/ha/yr,1.8339,0,80,NA,NA,20
GIN,Cropland Soil Health,Max extent,PD21,pathway,Guinea,Mha,3.6485,NA,NA,NA,NA,100
GNB,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Guinea-Bissau,tCO2/ha/yr,1.828,0,80,NA,NA,20
GNB,Cropland Soil Health,Max extent,PD21,pathway,Guinea-Bissau,Mha,0.5302,NA,NA,NA,NA,100
GUY,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Guyana,tCO2/ha/yr,1.8962,0,80,NA,NA,20
GUY,Cropland Soil Health,Max extent,PD21,pathway,Guyana,Mha,0.1954,NA,NA,NA,NA,100
HTI,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Haiti,tCO2/ha/yr,1.5419,0,80,NA,NA,20
HTI,Cropland Soil Health,Max extent,PD21,pathway,Haiti,Mha,0.3693,NA,NA,NA,NA,100
HND,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Honduras,tCO2/ha/yr,1.7541,0,80,NA,NA,20
HND,Cropland Soil Health,Max extent,PD21,pathway,Honduras,Mha,1.3502,NA,NA,NA,NA,100
HUN,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Hungary,tCO2/ha/yr,0.5205,0,80,NA,NA,20
HUN,Cropland Soil Health,Max extent,PD21,pathway,Hungary,Mha,6.2158,NA,NA,NA,NA,100
ISL,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Iceland,tCO2/ha/yr,0,0,80,NA,NA,20
ISL,Cropland Soil Health,Max extent,PD21,pathway,Iceland,Mha,0,NA,NA,NA,NA,100
IND,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,India,tCO2/ha/yr,1.5132,0,80,NA,NA,20
IND,Cropland Soil Health,Max extent,PD21,pathway,India,Mha,199.5034,NA,NA,NA,NA,100
IDN,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Indonesia,tCO2/ha/yr,1.6229,0,80,NA,NA,20
IDN,Cropland Soil Health,Max extent,PD21,pathway,Indonesia,Mha,41.3192,NA,NA,NA,NA,100
IRN,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Iran,tCO2/ha/yr,0.7426,0,80,NA,NA,20
IRN,Cropland Soil Health,Max extent,PD21,pathway,Iran,Mha,27.8178,NA,NA,NA,NA,100
IRQ,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Iraq,tCO2/ha/yr,0.6388,0,80,NA,NA,20
IRQ,Cropland Soil Health,Max extent,PD21,pathway,Iraq,Mha,8.8599,NA,NA,NA,NA,100
IRL,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Ireland,tCO2/ha/yr,3.3378,0,80,NA,NA,20
IRL,Cropland Soil Health,Max extent,PD21,pathway,Ireland,Mha,0.4385,NA,NA,NA,NA,100
ISR,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Israel,tCO2/ha/yr,0.5975,0,80,NA,NA,20
ISR,Cropland Soil Health,Max extent,PD21,pathway,Israel,Mha,0.4824,NA,NA,NA,NA,100
ITA,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Italy,tCO2/ha/yr,0.8837,0,80,NA,NA,20
ITA,Cropland Soil Health,Max extent,PD21,pathway,Italy,Mha,14.9092,NA,NA,NA,NA,100
JAM,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Jamaica,tCO2/ha/yr,1.7275,0,80,NA,NA,20
JAM,Cropland Soil Health,Max extent,PD21,pathway,Jamaica,Mha,0.1449,NA,NA,NA,NA,100
JPN,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Japan,tCO2/ha/yr,3.0965,0,80,NA,NA,20
JPN,Cropland Soil Health,Max extent,PD21,pathway,Japan,Mha,7.4475,NA,NA,NA,NA,100
JOR,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Jordan,tCO2/ha/yr,0.6065,0,80,NA,NA,20
JOR,Cropland Soil Health,Max extent,PD21,pathway,Jordan,Mha,0.5235,NA,NA,NA,NA,100
KAZ,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Kazakhstan,tCO2/ha/yr,1.196,0,80,NA,NA,20
KAZ,Cropland Soil Health,Max extent,PD21,pathway,Kazakhstan,Mha,50.8289,NA,NA,NA,NA,100
KEN,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Kenya,tCO2/ha/yr,1.5201,0,80,NA,NA,20
KEN,Cropland Soil Health,Max extent,PD21,pathway,Kenya,Mha,12.2584,NA,NA,NA,NA,100
KWT,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Kuwait,tCO2/ha/yr,0.5907,0,80,NA,NA,20
KWT,Cropland Soil Health,Max extent,PD21,pathway,Kuwait,Mha,0.0311,NA,NA,NA,NA,100
KGZ,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Kyrgyzstan,tCO2/ha/yr,1.5019,0,80,NA,NA,20
KGZ,Cropland Soil Health,Max extent,PD21,pathway,Kyrgyzstan,Mha,4.1188,NA,NA,NA,NA,100
LAO,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Laos,tCO2/ha/yr,1.3739,0,80,NA,NA,20
LAO,Cropland Soil Health,Max extent,PD21,pathway,Laos,Mha,3.3334,NA,NA,NA,NA,100
LVA,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Latvia,tCO2/ha/yr,3.2527,0,80,NA,NA,20
LVA,Cropland Soil Health,Max extent,PD21,pathway,Latvia,Mha,1.658,NA,NA,NA,NA,100
LBN,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Lebanon,tCO2/ha/yr,0.6585,0,80,NA,NA,20
LBN,Cropland Soil Health,Max extent,PD21,pathway,Lebanon,Mha,0.5215,NA,NA,NA,NA,100
LSO,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Lesotho,tCO2/ha/yr,0.6484,0,80,NA,NA,20
LSO,Cropland Soil Health,Max extent,PD21,pathway,Lesotho,Mha,0.7516,NA,NA,NA,NA,100
LBR,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Liberia,tCO2/ha/yr,1.9747,0,80,NA,NA,20
LBR,Cropland Soil Health,Max extent,PD21,pathway,Liberia,Mha,4.2689,NA,NA,NA,NA,100
LBY,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Libya,tCO2/ha/yr,0.5907,0,80,NA,NA,20
LBY,Cropland Soil Health,Max extent,PD21,pathway,Libya,Mha,2.1463,NA,NA,NA,NA,100
LTU,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Lithuania,tCO2/ha/yr,2.8399,0,80,NA,NA,20
LTU,Cropland Soil Health,Max extent,PD21,pathway,Lithuania,Mha,3.242,NA,NA,NA,NA,100
LUX,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Luxembourg,tCO2/ha/yr,2.2166,0,80,NA,NA,20
LUX,Cropland Soil Health,Max extent,PD21,pathway,Luxembourg,Mha,0.076,NA,NA,NA,NA,100
MKD,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Macedonia (The Former Yugoslav Republic of Macedonia),tCO2/ha/yr,0.5593,0,80,NA,NA,20
MKD,Cropland Soil Health,Max extent,PD21,pathway,Macedonia (The Former Yugoslav Republic of Macedonia),Mha,0.8289,NA,NA,NA,NA,100
MDG,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Madagascar,tCO2/ha/yr,1.6653,0,80,NA,NA,20
MDG,Cropland Soil Health,Max extent,PD21,pathway,Madagascar,Mha,5.0712,NA,NA,NA,NA,100
MWI,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Malawi,tCO2/ha/yr,1.2939,0,80,NA,NA,20
MWI,Cropland Soil Health,Max extent,PD21,pathway,Malawi,Mha,5.8801,NA,NA,NA,NA,100
MYS,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Malaysia,tCO2/ha/yr,1.6213,0,80,NA,NA,20
MYS,Cropland Soil Health,Max extent,PD21,pathway,Malaysia,Mha,6.2075,NA,NA,NA,NA,100
MLI,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Mali,tCO2/ha/yr,0.756,0,80,NA,NA,20
MLI,Cropland Soil Health,Max extent,PD21,pathway,Mali,Mha,22.6613,NA,NA,NA,NA,100
MTQ,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Martinique,tCO2/ha/yr,2.266,0,80,NA,NA,20
MTQ,Cropland Soil Health,Max extent,PD21,pathway,Martinique,Mha,0.0136,NA,NA,NA,NA,100
MRT,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Mauritania,tCO2/ha/yr,0.5045,0,80,NA,NA,20
MRT,Cropland Soil Health,Max extent,PD21,pathway,Mauritania,Mha,1.8116,NA,NA,NA,NA,100
MUS,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Mauritius,tCO2/ha/yr,1.4603,0,80,NA,NA,20
MUS,Cropland Soil Health,Max extent,PD21,pathway,Mauritius,Mha,0.1164,NA,NA,NA,NA,100
MEX,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Mexico,tCO2/ha/yr,1.2551,0,80,NA,NA,20
MEX,Cropland Soil Health,Max extent,PD21,pathway,Mexico,Mha,28.8219,NA,NA,NA,NA,100
MDA,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Moldova,tCO2/ha/yr,0.5069,0,80,NA,NA,20
MDA,Cropland Soil Health,Max extent,PD21,pathway,Moldova,Mha,2.8167,NA,NA,NA,NA,100
MNG,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Mongolia,tCO2/ha/yr,1.1903,0,80,NA,NA,20
MNG,Cropland Soil Health,Max extent,PD21,pathway,Mongolia,Mha,6.0306,NA,NA,NA,NA,100
MNE,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Montenegro,tCO2/ha/yr,2.6424,0,80,NA,NA,20
MNE,Cropland Soil Health,Max extent,PD21,pathway,Montenegro,Mha,0.2051,NA,NA,NA,NA,100
MAR,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Morocco,tCO2/ha/yr,0.6393,0,80,NA,NA,20
MAR,Cropland Soil Health,Max extent,PD21,pathway,Morocco,Mha,8.417,NA,NA,NA,NA,100
MOZ,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Mozambique,tCO2/ha/yr,1.0582,0,80,NA,NA,20
MOZ,Cropland Soil Health,Max extent,PD21,pathway,Mozambique,Mha,10.0452,NA,NA,NA,NA,100
MMR,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Myanmar,tCO2/ha/yr,1.7458,0,80,NA,NA,20
MMR,Cropland Soil Health,Max extent,PD21,pathway,Myanmar,Mha,19.5103,NA,NA,NA,NA,100
NAM,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Namibia,tCO2/ha/yr,1.7017,0,80,NA,NA,20
NAM,Cropland Soil Health,Max extent,PD21,pathway,Namibia,Mha,2.3595,NA,NA,NA,NA,100
NPL,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Nepal,tCO2/ha/yr,2.6158,0,80,NA,NA,20
NPL,Cropland Soil Health,Max extent,PD21,pathway,Nepal,Mha,3.3938,NA,NA,NA,NA,100
NLD,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Netherlands,tCO2/ha/yr,2.2909,0,80,NA,NA,20
NLD,Cropland Soil Health,Max extent,PD21,pathway,Netherlands,Mha,1.2251,NA,NA,NA,NA,100
NCL,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,New Caledonia,tCO2/ha/yr,1.46,0,80,NA,NA,20
NCL,Cropland Soil Health,Max extent,PD21,pathway,New Caledonia,Mha,0.2504,NA,NA,NA,NA,100
NZL,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,New Zealand,tCO2/ha/yr,1.7687,0,80,NA,NA,20
NZL,Cropland Soil Health,Max extent,PD21,pathway,New Zealand,Mha,0.4901,NA,NA,NA,NA,100
NIC,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Nicaragua,tCO2/ha/yr,1.8989,0,80,NA,NA,20
NIC,Cropland Soil Health,Max extent,PD21,pathway,Nicaragua,Mha,1.9876,NA,NA,NA,NA,100
NER,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Niger,tCO2/ha/yr,0.4997,0,80,NA,NA,20
NER,Cropland Soil Health,Max extent,PD21,pathway,Niger,Mha,7.8661,NA,NA,NA,NA,100
NGA,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Nigeria,tCO2/ha/yr,0.9475,0,80,NA,NA,20
NGA,Cropland Soil Health,Max extent,PD21,pathway,Nigeria,Mha,50.3764,NA,NA,NA,NA,100
NOR,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Norway,tCO2/ha/yr,3.3656,0,80,NA,NA,20
NOR,Cropland Soil Health,Max extent,PD21,pathway,Norway,Mha,1.1681,NA,NA,NA,NA,100
OMN,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Oman,tCO2/ha/yr,0.6131,0,80,NA,NA,20
OMN,Cropland Soil Health,Max extent,PD21,pathway,Oman,Mha,0.3016,NA,NA,NA,NA,100
PAK,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Pakistan,tCO2/ha/yr,1.0168,0,80,NA,NA,20
PAK,Cropland Soil Health,Max extent,PD21,pathway,Pakistan,Mha,26.5383,NA,NA,NA,NA,100
PAN,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Panama,tCO2/ha/yr,1.817,0,80,NA,NA,20
PAN,Cropland Soil Health,Max extent,PD21,pathway,Panama,Mha,1.4072,NA,NA,NA,NA,100
PNG,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Papua New Guinea,tCO2/ha/yr,2.0456,0,80,NA,NA,20
PNG,Cropland Soil Health,Max extent,PD21,pathway,Papua New Guinea,Mha,3.3291,NA,NA,NA,NA,100
PRY,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Paraguay,tCO2/ha/yr,1.1899,0,80,NA,NA,20
PRY,Cropland Soil Health,Max extent,PD21,pathway,Paraguay,Mha,6.5537,NA,NA,NA,NA,100
PER,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Peru,tCO2/ha/yr,1.2855,0,80,NA,NA,20
PER,Cropland Soil Health,Max extent,PD21,pathway,Peru,Mha,3.0705,NA,NA,NA,NA,100
PHL,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Philippines,tCO2/ha/yr,1.6542,0,80,NA,NA,20
PHL,Cropland Soil Health,Max extent,PD21,pathway,Philippines,Mha,12.232,NA,NA,NA,NA,100
POL,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Poland,tCO2/ha/yr,0.9148,0,80,NA,NA,20
POL,Cropland Soil Health,Max extent,PD21,pathway,Poland,Mha,17.2052,NA,NA,NA,NA,100
PRT,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Portugal,tCO2/ha/yr,0.5683,0,80,NA,NA,20
PRT,Cropland Soil Health,Max extent,PD21,pathway,Portugal,Mha,3.5067,NA,NA,NA,NA,100
PRI,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Puerto Rico,tCO2/ha/yr,2.1815,0,80,NA,NA,20
PRI,Cropland Soil Health,Max extent,PD21,pathway,Puerto Rico,Mha,0.0893,NA,NA,NA,NA,100
QAT,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Qatar,tCO2/ha/yr,0.577,0,80,NA,NA,20
QAT,Cropland Soil Health,Max extent,PD21,pathway,Qatar,Mha,0.0261,NA,NA,NA,NA,100
COG,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Republic of Congo (ROC),tCO2/ha/yr,1.4421,0,80,NA,NA,20
COG,Cropland Soil Health,Max extent,PD21,pathway,Republic of Congo (ROC),Mha,2.7825,NA,NA,NA,NA,100
KOR,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Republic of Korea (South Korea),tCO2/ha/yr,2.2756,0,80,NA,NA,20
KOR,Cropland Soil Health,Max extent,PD21,pathway,Republic of Korea (South Korea),Mha,3.8585,NA,NA,NA,NA,100
REU,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Reunion,tCO2/ha/yr,1.6109,0,80,NA,NA,20
REU,Cropland Soil Health,Max extent,PD21,pathway,Reunion,Mha,0.079,NA,NA,NA,NA,100
ROU,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Romania,tCO2/ha/yr,0.6815,0,80,NA,NA,20
ROU,Cropland Soil Health,Max extent,PD21,pathway,Romania,Mha,12.4896,NA,NA,NA,NA,100
RUS,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Russia,tCO2/ha/yr,1.1656,0,80,NA,NA,20
RUS,Cropland Soil Health,Max extent,PD21,pathway,Russia,Mha,162.9563,NA,NA,NA,NA,100
RWA,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Rwanda,tCO2/ha/yr,1.9398,0,80,NA,NA,20
RWA,Cropland Soil Health,Max extent,PD21,pathway,Rwanda,Mha,1.6879,NA,NA,NA,NA,100
WSM,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Samoa,tCO2/ha/yr,2.2893,0,80,NA,NA,20
WSM,Cropland Soil Health,Max extent,PD21,pathway,Samoa,Mha,0.103,NA,NA,NA,NA,100
STP,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Sao Tome and Principe,tCO2/ha/yr,1.9955,0,80,NA,NA,20
STP,Cropland Soil Health,Max extent,PD21,pathway,Sao Tome and Principe,Mha,0.0076,NA,NA,NA,NA,100
SAU,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Saudi Arabia,tCO2/ha/yr,0.6843,0,80,NA,NA,20
SAU,Cropland Soil Health,Max extent,PD21,pathway,Saudi Arabia,Mha,2.6887,NA,NA,NA,NA,100
SEN,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Senegal,tCO2/ha/yr,0.6818,0,80,NA,NA,20
SEN,Cropland Soil Health,Max extent,PD21,pathway,Senegal,Mha,5.6057,NA,NA,NA,NA,100
SRB,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Serbia,tCO2/ha/yr,0.7447,0,80,NA,NA,20
SRB,Cropland Soil Health,Max extent,PD21,pathway,Serbia,Mha,4.4135,NA,NA,NA,NA,100
SLE,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Sierra Leone,tCO2/ha/yr,1.9878,0,80,NA,NA,20
SLE,Cropland Soil Health,Max extent,PD21,pathway,Sierra Leone,Mha,3.6914,NA,NA,NA,NA,100
SVK,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Slovakia,tCO2/ha/yr,1.1241,0,80,NA,NA,20
SVK,Cropland Soil Health,Max extent,PD21,pathway,Slovakia,Mha,1.9852,NA,NA,NA,NA,100
SVN,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Slovenia,tCO2/ha/yr,2.3798,0,80,NA,NA,20
SVN,Cropland Soil Health,Max extent,PD21,pathway,Slovenia,Mha,0.4464,NA,NA,NA,NA,100
SLB,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Solomon Islands,tCO2/ha/yr,2.0589,0,80,NA,NA,20
SLB,Cropland Soil Health,Max extent,PD21,pathway,Solomon Islands,Mha,0.0375,NA,NA,NA,NA,100
SOM,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Somalia,tCO2/ha/yr,0.7355,0,80,NA,NA,20
SOM,Cropland Soil Health,Max extent,PD21,pathway,Somalia,Mha,5.4537,NA,NA,NA,NA,100
ZAF,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,South Africa,tCO2/ha/yr,0.981,0,80,NA,NA,20
ZAF,Cropland Soil Health,Max extent,PD21,pathway,South Africa,Mha,14.3607,NA,NA,NA,NA,100
SSD,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,South Sudan,tCO2/ha/yr,0.7056,0,80,NA,NA,20
SSD,Cropland Soil Health,Max extent,PD21,pathway,South Sudan,Mha,2.2435,NA,NA,NA,NA,100
ESP,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Spain,tCO2/ha/yr,0.5677,0,80,NA,NA,20
ESP,Cropland Soil Health,Max extent,PD21,pathway,Spain,Mha,23.0899,NA,NA,NA,NA,100
LKA,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Sri Lanka,tCO2/ha/yr,1.8261,0,80,NA,NA,20
LKA,Cropland Soil Health,Max extent,PD21,pathway,Sri Lanka,Mha,2.6695,NA,NA,NA,NA,100
SDN,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Sudan,tCO2/ha/yr,0.641,0,80,NA,NA,20
SDN,Cropland Soil Health,Max extent,PD21,pathway,Sudan,Mha,32.3749,NA,NA,NA,NA,100
SUR,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Suriname,tCO2/ha/yr,1.9788,0,80,NA,NA,20
SUR,Cropland Soil Health,Max extent,PD21,pathway,Suriname,Mha,0.0523,NA,NA,NA,NA,100
SWZ,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Swaziland,tCO2/ha/yr,0.6692,0,80,NA,NA,20
SWZ,Cropland Soil Health,Max extent,PD21,pathway,Swaziland,Mha,0.6055,NA,NA,NA,NA,100
