iso,Subvector,Metric,Model,Scenario,Region,Unit,Value 1,Value 2,Duration 2 (Years),Value 3,Duration 3 (Years),Duration 1 (Years)
COD,Biochar,Avg mitigation potential flux,PD21,pathway,Democratic Republic of the Congo (DRC),Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
COD,Biochar,Max extent,PD21,pathway,Democratic Republic of the Congo (DRC),Tg dm /yr,2.0678,NA,NA,NA,NA,100
DNK,Biochar,Avg mitigation potential flux,PD21,pathway,Denmark (except Greenland),Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
DNK,Biochar,Max extent,PD21,pathway,Denmark (except Greenland),Tg dm /yr,0.8073,NA,NA,NA,NA,100
DJI,Biochar,Avg mitigation potential flux,PD21,pathway,Djibouti,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
DJI,Biochar,Max extent,PD21,pathway,Djibouti,Tg dm /yr,0.0002,NA,NA,NA,NA,100
DOM,Biochar,Avg mitigation potential flux,PD21,pathway,Dominican Republic,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
DOM,Biochar,Max extent,PD21,pathway,Dominican Republic,Tg dm /yr,0.2395,NA,NA,NA,NA,100
ECU,Biochar,Avg mitigation potential flux,PD21,pathway,Ecuador,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
ECU,Biochar,Max extent,PD21,pathway,Ecuador,Tg dm /yr,0.596,NA,NA,NA,NA,100
EGY,Biochar,Avg mitigation potential flux,PD21,pathway,Egypt,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
EGY,Biochar,Max extent,PD21,pathway,Egypt,Tg dm /yr,4.1633,NA,NA,NA,NA,100
SLV,Biochar,Avg mitigation potential flux,PD21,pathway,El Salvador,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
SLV,Biochar,Max extent,PD21,pathway,El Salvador,Tg dm /yr,0.2095,NA,NA,NA,NA,100
GNQ,Biochar,Avg mitigation potential flux,PD21,pathway,Equatorial Guinea,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GNQ,Biochar,Max extent,PD21,pathway,Equatorial Guinea,Tg dm /yr,0.0062,NA,NA,NA,NA,100
