Model,Scenario,Region,Country,Subvector,Initial Extent (Mha),Initial Loss Rate (%),Rate of Improvement,Mitigation (Mg CO2/ha),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD21,pathway,PAK,Afghanistan,Avoided Forest Conversion,0.411291,,0.00019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD21,pathway,PAK,Afghanistan,Avoided Peat Impacts,0.01164,-0.11938,0.00019,41371.40204,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.4769755448,1.47449323296,1.47201092112,1.46952860928,1.46704629744,1.4645639856,1.46208167376,1.45959936192,1.45711705008,1.45463473824,1.4521524264,1.44967011456,1.44718780272,1.44470549088,1.44222317904,1.4397408672,1.43725855536,1.43477624352,1.43229393168,1.42981161984,1.427329308,1.42484699616,1.42236468432,1.41988237248,1.41740006064,1.4149177488,1.41243543696,1.40995312512,1.40747081328,1.40498850144,1.4025061896,1.40002387776,1.39754156592,1.39505925408,1.39257694224,1.3900946304,1.38761231856,1.38513000672,1.38264769488,1.38016538304,1.3776830712,1.37520075936,1.37271844752,1.37023613568,1.36775382384,1.365271512,1.36278920016,1.36030688832,1.35782457648,1.35534226464,1.3528599528,1.35037764096,1.34789532912,1.34541301728,1.34293070544,1.3404483936,1.33796608176,1.33548376992,1.33300145808,1.33051914624,1.3280368344,1.32555452256,1.32307221072,1.32058989888,1.31810758704,1.3156252752,1.31314296336,1.31066065152,1.30817833968,1.30569602784,1.303213716,1.30073140416,1.29824909232,1.29576678048,1.29328446864,1.2908021568,1.28831984496,1.28583753312,1.28335522128,1.28087290944,1.2783905976
PD21,pathway,EEU,Albania,Avoided Coastal Impacts,0,0,0.00196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD21,pathway,EEU,Albania,Avoided Forest Conversion,0.939972,,0.00019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD21,pathway,EEU,Albania,Avoided Peat Impacts,0.0044,-0.000185858,0.00019,19396585.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD21,pathway,NAF,Algeria,Avoided Coastal Impacts,0,0,0.00196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD21,pathway,NAF,Algeria,Avoided Forest Conversion,1.86708,-0.113628701,0.00019,2789.504174,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.52679983856,107.3368231604,107.14684648224,106.95686980408,106.76689312592,106.57691644776,106.3869397696,106.19696309144,106.00698641328,105.81700973512,105.62703305696,105.4370563788,105.24707970064,105.05710302248,104.86712634432,104.67714966616,104.487172988,104.29719630984,104.10721963168,103.91724295352,103.72726627536,103.5372895972,103.34731291904,103.15733624088,102.96735956272,102.77738288456,102.5874062064,102.39742952824,102.20745285008,102.01747617192,101.82749949376,101.6375228156,101.44754613744,101.25756945928,101.06759278112,100.87761610296,100.6876394248,100.49766274664,100.30768606848,100.11770939032,99.92773271216,99.737756034,99.54777935584,99.35780267768,99.16782599952,98.97784932136,98.7878726432,98.59789596504,98.40791928688,98.21794260872,98.02796593056,97.8379892524,97.64801257424,97.45803589608,97.26805921792,97.07808253976,96.8881058616,96.69812918344,96.50815250528,96.31817582712,96.12819914896,95.9382224708,95.74824579264,95.55826911448,95.36829243632,95.17831575816,94.98833908,94.79836240184,94.60838572368,94.41840904552,94.22843236736,94.0384556892,93.84847901104,93.65850233288,93.46852565472,93.27854897656,93.0885722984,92.89859562024,92.70861894208,92.51864226392,92.32866558576
PD21,pathway,NAF,Algeria,Avoided Peat Impacts,0.000982,-0.113628701,0.00019,91999.20798,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.13180026556,0.1315674029,0.13133454024,0.13110167758,0.13086881492,0.13063595226,0.1304030896,0.13017022694,0.12993736428,0.12970450162,0.12947163896,0.1292387763,0.12900591364,0.12877305098,0.12854018832,0.12830732566,0.128074463,0.12784160034,0.12760873768,0.12737587502,0.12714301236,0.1269101497,0.12667728704,0.12644442438,0.12621156172,0.12597869906,0.1257458364,0.12551297374,0.12528011108,0.12504724842,0.12481438576,0.1245815231,0.12434866044,0.12411579778,0.12388293512,0.12365007246,0.1234172098,0.12318434714,0.12295148448,0.12271862182,0.12248575916,0.1222528965,0.12202003384,0.12178717118,0.12155430852,0.12132144586,0.1210885832,0.12085572054,0.12062285788,0.12038999522,0.12015713256,0.1199242699,0.11969140724,0.11945854458,0.11922568192,0.11899281926,0.1187599566,0.11852709394,0.11829423128,0.11806136862,0.11782850596,0.1175956433,0.11736278064,0.11712991798,0.11689705532,0.11666419266,0.11643133,0.11619846734,0.11596560468,0.11573274202,0.11549987936,0.1152670167,0.11503415404,0.11480129138,0.11456842872,0.11433556606,0.1141027034,0.11386984074,0.11363697808,0.11340411542,0.11317125276
PD21,pathway,SSA-M,Angola,Avoided Coastal Impacts,0.037473,-0.688239596,0.00196,1572.598938,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.3976484215,41.279072121,41.1604958205,41.04191952,40.9233432195,40.804766919,40.6861906185,40.567614318,40.4490380175,40.330461717,40.2118854165,40.093309116,39.9747328155,39.856156515,39.7375802145,39.619003914,39.5004276135,39.381851313,39.2632750125,39.144698712,39.0261224115,38.907546111,38.7889698105,38.67039351,38.5518172095,38.433240909,38.3146646085,38.196088308,38.0775120075,37.958935707,37.8403594065,37.721783106,37.6032068055,37.484630505,37.3660542045,37.247477904,37.1289016035,37.010325303,36.8917490025,36.773172702,36.6545964015,36.536020101,36.4174438005,36.2988675,36.1802911995,36.061714899,35.9431385985,35.824562298,35.7059859975,35.587409697,35.4688333965,35.350257096,35.2316807955,35.113104495,34.9945281945,34.875951894,34.7573755935,34.638799293,34.5202229925,34.401646692,34.2830703915,34.164494091,34.0459177905,33.92734149,33.8087651895,33.690188889,33.5716125885,33.453036288,33.3344599875,33.215883687,33.0973073865,32.978731086,32.8601547855,32.741578485,32.6230021845,32.504425884,32.3858495835,32.267273283,32.1486969825,32.030120682,31.9115443815
PD21,pathway,SSA-M,Angola,Avoided Forest Conversion,115.9739,-0.002985875,0.00019,4653.582577,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,214.759693314348,198.239716905552,181.719740496756,165.19976408796,148.679787679164,132.159811270368,115.639834861572,99.119858452776,82.59988204398,66.079905635184,49.559929226388,33.039952817592,16.519976408796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
