Product,Flow,Sector,Subsector,EIA Product,WWS EF Product,WWS Upstream Product,WWS Addtl Efficiency,Low Temp Heat,Hight Temp Heat,Electricity,Hydrogen,Flexible,Non-Energy Use
NONBIODIES,AUTOCHP,Industrial,,Liquid fuels,oil ef ratio,N,oil addtl eff,y,y,y,n,n,n
NONBIOJETK,AUTOCHP,Industrial,,Liquid fuels,oil ef ratio,N,oil addtl eff,y,y,y,n,n,n
NUCLEAR,AUTOCHP,Electric Power,,Nuclear,electricity ef ratio,N,electricity addtl eff,y,y,y,n,n,n
OBIOLIQ,AUTOCHP,Industrial,,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,y,y,y,n,n,n
OGASES,AUTOCHP,Industrial,,Coal,natural gas ef ratio,N,natural gas addtl eff,y,y,y,n,n,n
OILSHALE,AUTOCHP,Industrial,,Coal,coal ef ratio,N,coal addtl eff,y,y,y,n,n,n
ONONSPEC,AUTOCHP,Industrial,,Total,na,N,na,y,y,y,n,n,n
OTHER,AUTOCHP,Industrial,,Electricity,na,N,na,y,y,y,n,n,n
OTHKERO,AUTOCHP,Industrial,,Liquid fuels,oil ef ratio,N,oil addtl eff,y,y,y,n,n,n
OVENCOKE,AUTOCHP,Industrial,,Coal,coal ef ratio,N,coal addtl eff,y,y,y,n,n,n
PATFUEL,AUTOCHP,Industrial,,Coal,coal ef ratio,N,coal addtl eff,y,y,y,n,n,n
PEAT,AUTOCHP,Industrial,,Coal,coal ef ratio,N,coal addtl eff,y,y,y,n,n,n
PEATPROD,AUTOCHP,Industrial,,Coal,coal ef ratio,N,coal addtl eff,y,y,y,n,n,n
PETCOKE,AUTOCHP,Industrial,,Coal,coal ef ratio,N,coal addtl eff,y,y,y,n,n,n
PRIMSBIO,AUTOCHP,Industrial,,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,y,y,y,n,n,n
REFINGAS,AUTOCHP,Industrial,,Liquid fuels,oil ef ratio,N,oil addtl eff,y,y,y,n,n,n
RESFUEL,AUTOCHP,Industrial,,Liquid fuels,oil ef ratio,N,oil addtl eff,y,y,y,n,n,n
SOLWIND,AUTOCHP,Industrial,,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
SUBCOAL,AUTOCHP,Industrial,,Coal,coal ef ratio,N,coal addtl eff,y,y,y,n,n,n
TOTAL,AUTOCHP,Industrial,,Total,na,N,na,y,y,y,n,n,n
TOTPRODS,AUTOCHP,Industrial,,Liquid fuels,oil ef ratio,N,oil addtl eff,y,y,y,n,n,n
ANTCOAL,AUTOELEC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
BIODIESEL,AUTOELEC,Electric Power,na,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
BIOGASES,AUTOELEC,Electric Power,na,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
BIOGASOL,AUTOELEC,Electric Power,na,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
BITCOAL,AUTOELEC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
BITUMEN,AUTOELEC,Electric Power,na,Coal,na,N,na,n,n,n,n,n,y
BKB,AUTOELEC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
BLFURGS,AUTOELEC,Electric Power,na,Coal,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
COAL,AUTOELEC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
COALTAR,AUTOELEC,Electric Power,na,Coal,coal ef ratio,N,na,n,n,n,n,n,y
COKCOAL,AUTOELEC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
COKEOVGS,AUTOELEC,Electric Power,na,Coal,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
COMRENEW,AUTOELEC,Electric Power,na,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
CRNGFEED,AUTOELEC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
CRUDEOIL,AUTOELEC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
ELECTR,AUTOELEC,Electric Power,na,Total,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
GASWKSGS,AUTOELEC,Electric Power,na,Natural gas,wws heat ef ratio,N,wws heat addtl eff,n,n,y,n,n,n
GEOTHERM,AUTOELEC,Electric Power,na,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
HYDRO,AUTOELEC,Electric Power,na,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
INDWASTE,AUTOELEC,Electric Power,na,Total,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
LIGNITE,AUTOELEC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
LPG,AUTOELEC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
MRENEW,AUTOELEC,Electric Power,na,Renewables,renewables ef ratio,N,renewables addtl eff,n,n,y,n,n,n
MTOTOIL,AUTOELEC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
MTOTOTHER,AUTOELEC,Electric Power,na,Total,na,N,na,n,n,y,n,n,n
MTOTSOLID,AUTOELEC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
MUNWASTEN,AUTOELEC,Electric Power,na,Total,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
MUNWASTER,AUTOELEC,Electric Power,na,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
NAPHTHA,AUTOELEC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
NATGAS,AUTOELEC,Electric Power,na,Natural gas,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
NGL,AUTOELEC,Electric Power,na,Natural gas,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
NONBIODIES,AUTOELEC,Electric Power,na,Liquid fuels,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
NONBIOGASO,AUTOELEC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
NUCLEAR,AUTOELEC,Electric Power,na,Nuclear,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
OBIOLIQ,AUTOELEC,Electric Power,na,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
OGASES,AUTOELEC,Electric Power,na,Coal,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
OILSHALE,AUTOELEC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
ONONSPEC,AUTOELEC,Electric Power,na,Total,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
OTHER,AUTOELEC,Electric Power,na,Total,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
OTHKERO,AUTOELEC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
OVENCOKE,AUTOELEC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PEAT,AUTOELEC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PETCOKE,AUTOELEC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PRIMSBIO,AUTOELEC,Electric Power,na,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
