Product,Flow,Sector,Subsector,EIA Product,WWS EF Product,WWS Upstream Product,WWS Addtl Efficiency,Low Temp Heat,Hight Temp Heat,Electricity,Hydrogen,Flexible,Non-Energy Use
PATFUEL,ELAUTOC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PEAT,ELAUTOC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PEATPROD,ELAUTOC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PETCOKE,ELAUTOC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PRIMSBIO,ELAUTOC,Electric Power,na,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
REFINGAS,ELAUTOC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
RESFUEL,ELAUTOC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
SOLWIND,ELAUTOC,Electric Power,na,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
SUBCOAL,ELAUTOC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
TOTAL,ELAUTOC,Electric Power,na,Total,na,N,na,n,n,y,n,n,n
TOTPRODS,ELAUTOC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
ANTCOAL,ELAUTOE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
BIODIESEL,ELAUTOE,Electric Power,na,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
BIOGASES,ELAUTOE,Electric Power,na,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
BIOGASOL,ELAUTOE,Electric Power,na,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
BITCOAL,ELAUTOE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
BITUMEN,ELAUTOE,Electric Power,na,Coal,na,N,na,n,n,n,n,n,y
BKB,ELAUTOE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
BLFURGS,ELAUTOE,Electric Power,na,Coal,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
COAL,ELAUTOE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
COALTAR,ELAUTOE,Electric Power,na,Coal,na,N,na,n,n,n,n,n,y
COKCOAL,ELAUTOE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
COKEOVGS,ELAUTOE,Electric Power,na,Coal,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
COMRENEW,ELAUTOE,Electric Power,na,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
CRNGFEED,ELAUTOE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
CRUDEOIL,ELAUTOE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
GASWKSGS,ELAUTOE,Electric Power,na,Natural gas,wws heat ef ratio,N,wws heat addtl eff,n,n,y,n,n,n
GEOTHERM,ELAUTOE,Electric Power,na,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
HEAT,ELAUTOE,Electric Power,Low Temperature,Natural gas,heat ef ratio,N,heat addtl eff,n,n,y,n,n,n
HEAT,ELAUTOE,Electric Power,High Temperature,Natural gas,heat ef ratio,N,heat addtl eff,n,n,y,n,n,n
HYDRO,ELAUTOE,Electric Power,na,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
INDWASTE,ELAUTOE,Electric Power,na,Total,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
LIGNITE,ELAUTOE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
LPG,ELAUTOE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
MANGAS,ELAUTOE,Electric Power,na,Natural gas,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
MRENEW,ELAUTOE,Electric Power,na,Renewables,renewables ef ratio,N,renewables addtl eff,n,n,y,n,n,n
MTOTOIL,ELAUTOE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
MTOTOTHER,ELAUTOE,Electric Power,na,Total,na,N,na,n,n,y,n,n,n
MTOTSOLID,ELAUTOE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
MUNWASTEN,ELAUTOE,Electric Power,na,Total,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
MUNWASTER,ELAUTOE,Electric Power,na,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
NAPHTHA,ELAUTOE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
NATGAS,ELAUTOE,Electric Power,na,Natural gas,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
NGL,ELAUTOE,Electric Power,na,Natural gas,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
NONBIODIES,ELAUTOE,Electric Power,na,Liquid fuels,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
NONBIOGASO,ELAUTOE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
NUCLEAR,ELAUTOE,Electric Power,na,Nuclear,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
OBIOLIQ,ELAUTOE,Electric Power,na,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
OGASES,ELAUTOE,Electric Power,na,Coal,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
OILSHALE,ELAUTOE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
ONONSPEC,ELAUTOE,Electric Power,na,Total,na,N,na,n,n,y,n,n,n
OTHER,ELAUTOE,Electric Power,na,Total,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
OTHKERO,ELAUTOE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
OVENCOKE,ELAUTOE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PEAT,ELAUTOE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PETCOKE,ELAUTOE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PRIMSBIO,ELAUTOE,Electric Power,na,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
REFINGAS,ELAUTOE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
RESFUEL,ELAUTOE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
SOLARPV,ELAUTOE,Electric Power,na,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
SOLARTH,ELAUTOE,Electric Power,na,Renewables,wws heat ef ratio,N,wws heat addtl eff,n,n,y,n,n,n
SOLWIND,ELAUTOE,Electric Power,na,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
SUBCOAL,ELAUTOE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
TIDE,ELAUTOE,Electric Power,na,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
TOTAL,ELAUTOE,Electric Power,na,Total,na,N,na,n,n,y,n,n,n
TOTPRODS,ELAUTOE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
WIND,ELAUTOE,Electric Power,na,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
ANTCOAL,ELMAINC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
BIODIESEL,ELMAINC,Electric Power,na,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
BIOGASES,ELMAINC,Electric Power,na,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
BITCOAL,ELMAINC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
BKB,ELMAINC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
BLFURGS,ELMAINC,Electric Power,na,Coal,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
COAL,ELMAINC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
COALTAR,ELMAINC,Electric Power,na,Coal,na,N,na,n,n,n,n,n,y
COKCOAL,ELMAINC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
COKEOVGS,ELMAINC,Electric Power,na,Coal,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
COMRENEW,ELMAINC,Electric Power,na,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
CRNGFEED,ELMAINC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
CRUDEOIL,ELMAINC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
GASWKSGS,ELMAINC,Electric Power,na,Natural gas,wws heat ef ratio,N,wws heat addtl eff,n,n,y,n,n,n
GEOTHERM,ELMAINC,Electric Power,na,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
HEAT,ELMAINC,Electric Power,Low Temperature,Natural gas,heat ef ratio,N,heat addtl eff,n,n,y,n,n,n
HEAT,ELMAINC,Electric Power,High Temperature,Natural gas,heat ef ratio,N,heat addtl eff,n,n,y,n,n,n
INDWASTE,ELMAINC,Electric Power,na,Total,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
LIGNITE,ELMAINC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
LPG,ELMAINC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
MANGAS,ELMAINC,Electric Power,na,Natural gas,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
MRENEW,ELMAINC,Electric Power,na,Renewables,renewables ef ratio,N,renewables addtl eff,n,n,y,n,n,n
MTOTOIL,ELMAINC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
MTOTOTHER,ELMAINC,Electric Power,na,Total,na,N,na,n,n,y,n,n,n
MTOTSOLID,ELMAINC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
MUNWASTEN,ELMAINC,Electric Power,na,Total,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
MUNWASTER,ELMAINC,Electric Power,na,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
NAPHTHA,ELMAINC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
NATGAS,ELMAINC,Electric Power,na,Natural gas,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
NONBIODIES,ELMAINC,Electric Power,na,Liquid fuels,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
NONBIOJETK,ELMAINC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
NONCRUDE,ELMAINC,Electric Power,Hydrogen,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
NONCRUDE,ELMAINC,Electric Power,Non-Hydrogen,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
NUCLEAR,ELMAINC,Electric Power,na,Nuclear,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
OBIOLIQ,ELMAINC,Electric Power,na,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
OGASES,ELMAINC,Electric Power,na,Coal,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
OILSHALE,ELMAINC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
ONONSPEC,ELMAINC,Electric Power,na,Total,na,N,na,n,n,y,n,n,n
OTHER,ELMAINC,Electric Power,na,Total,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
OTHKERO,ELMAINC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
OVENCOKE,ELMAINC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PATFUEL,ELMAINC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PEAT,ELMAINC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PEATPROD,ELMAINC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PETCOKE,ELMAINC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PRIMSBIO,ELMAINC,Electric Power,na,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
REFINGAS,ELMAINC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
RESFUEL,ELMAINC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
SOLWIND,ELMAINC,Electric Power,na,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
SUBCOAL,ELMAINC,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
TOTAL,ELMAINC,Electric Power,na,Total,na,N,na,n,n,y,n,n,n
TOTPRODS,ELMAINC,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
ANTCOAL,ELMAINE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
BIODIESEL,ELMAINE,Electric Power,na,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
BIOGASES,ELMAINE,Electric Power,na,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
BIOGASOL,ELMAINE,Electric Power,na,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
BITCOAL,ELMAINE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
BITUMEN,ELMAINE,Electric Power,na,Coal,na,N,na,n,n,n,n,n,y
BKB,ELMAINE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
BLFURGS,ELMAINE,Electric Power,na,Coal,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
COAL,ELMAINE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
COKCOAL,ELMAINE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
COKEOVGS,ELMAINE,Electric Power,na,Coal,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
COMRENEW,ELMAINE,Electric Power,na,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
CRNGFEED,ELMAINE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
CRUDEOIL,ELMAINE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
GASWKSGS,ELMAINE,Electric Power,na,Natural gas,wws heat ef ratio,N,wws heat addtl eff,n,n,y,n,n,n
GEOTHERM,ELMAINE,Electric Power,na,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
HEAT,ELMAINE,Electric Power,Low Temperature,Natural gas,heat ef ratio,N,heat addtl eff,n,n,y,n,n,n
HEAT,ELMAINE,Electric Power,High Temperature,Natural gas,heat ef ratio,N,heat addtl eff,n,n,y,n,n,n
HYDRO,ELMAINE,Electric Power,na,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
INDWASTE,ELMAINE,Electric Power,na,Total,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
LIGNITE,ELMAINE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
LPG,ELMAINE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
MRENEW,ELMAINE,Electric Power,na,Renewables,renewables ef ratio,N,renewables addtl eff,n,n,y,n,n,n
MTOTOIL,ELMAINE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
MTOTOTHER,ELMAINE,Electric Power,na,Total,na,N,na,n,n,y,n,n,n
MTOTSOLID,ELMAINE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
MUNWASTEN,ELMAINE,Electric Power,na,Total,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
MUNWASTER,ELMAINE,Electric Power,na,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
NAPHTHA,ELMAINE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
NATGAS,ELMAINE,Electric Power,na,Natural gas,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
NGL,ELMAINE,Electric Power,na,Natural gas,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
NONBIODIES,ELMAINE,Electric Power,na,Liquid fuels,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
NONBIOGASO,ELMAINE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
NONBIOJETK,ELMAINE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
NONCRUDE,ELMAINE,Electric Power,Hydrogen,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
NONCRUDE,ELMAINE,Electric Power,Non-Hydrogen,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
NUCLEAR,ELMAINE,Electric Power,na,Nuclear,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
OBIOLIQ,ELMAINE,Electric Power,na,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
OGASES,ELMAINE,Electric Power,na,Coal,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
OILSHALE,ELMAINE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
ONONSPEC,ELMAINE,Electric Power,na,Total,na,N,na,n,n,y,n,n,n
OTHER,ELMAINE,Electric Power,na,Total,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
OTHKERO,ELMAINE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
OVENCOKE,ELMAINE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PATFUEL,ELMAINE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PEAT,ELMAINE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PEATPROD,ELMAINE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PETCOKE,ELMAINE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PRIMSBIO,ELMAINE,Electric Power,na,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
REFINGAS,ELMAINE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
RESFUEL,ELMAINE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
SOLARPV,ELMAINE,Electric Power,na,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
SOLARTH,ELMAINE,Electric Power,na,Renewables,wws heat ef ratio,N,wws heat addtl eff,n,n,y,n,n,n
SOLWIND,ELMAINE,Electric Power,na,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
SUBCOAL,ELMAINE,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
TIDE,ELMAINE,Electric Power,na,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
TOTAL,ELMAINE,Electric Power,na,Total,na,N,na,n,n,y,n,n,n
TOTPRODS,ELMAINE,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
WIND,ELMAINE,Electric Power,na,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
ELECTR,ELNG,Industrial,,Electricity,electricity ef ratio,Y,na,n,n,y,n,n,n
HEAT,ELNG,Industrial,Low Temperature,Natural gas,heat ef ratio,Y,na,y,y,n,n,n,n
HEAT,ELNG,Industrial,High Temperature,Natural gas,heat ef ratio,Y,na,y,y,n,n,n,n
NATGAS,ELNG,Industrial,,Natural gas,natural gas ef ratio,Y,na,y,y,n,n,n,n
TOTAL,ELNG,Industrial,,Total,natural gas ef ratio,Y,na,y,y,n,n,n,n
ANTCOAL,ELOUTPUT,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
BIODIESEL,ELOUTPUT,Electric Power,na,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
BIOGASES,ELOUTPUT,Electric Power,na,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
BIOGASOL,ELOUTPUT,Electric Power,na,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
BITCOAL,ELOUTPUT,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
BITUMEN,ELOUTPUT,Electric Power,na,Coal,na,N,na,n,n,n,n,n,y
BKB,ELOUTPUT,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
BLFURGS,ELOUTPUT,Electric Power,na,Coal,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
COAL,ELOUTPUT,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
COALTAR,ELOUTPUT,Electric Power,na,Coal,na,N,na,n,n,n,n,n,y
COKCOAL,ELOUTPUT,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
COKEOVGS,ELOUTPUT,Electric Power,na,Coal,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
COMRENEW,ELOUTPUT,Electric Power,na,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
CRNGFEED,ELOUTPUT,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
CRUDEOIL,ELOUTPUT,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
GASWKSGS,ELOUTPUT,Electric Power,na,Natural gas,wws heat ef ratio,N,wws heat addtl eff,n,n,y,n,n,n
GEOTHERM,ELOUTPUT,Electric Power,na,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
HEAT,ELOUTPUT,Electric Power,Low Temperature,Natural gas,heat ef ratio,N,heat addtl eff,n,n,y,n,n,n
HEAT,ELOUTPUT,Electric Power,High Temperature,Natural gas,heat ef ratio,N,heat addtl eff,n,n,y,n,n,n
HYDRO,ELOUTPUT,Electric Power,na,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
INDWASTE,ELOUTPUT,Electric Power,na,Total,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
LIGNITE,ELOUTPUT,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
LPG,ELOUTPUT,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
MANGAS,ELOUTPUT,Electric Power,na,Natural gas,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
MRENEW,ELOUTPUT,Electric Power,na,Renewables,renewables ef ratio,N,renewables addtl eff,n,n,y,n,n,n
MTOTOIL,ELOUTPUT,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
MTOTOTHER,ELOUTPUT,Electric Power,na,Total,na,N,na,n,n,y,n,n,n
MTOTSOLID,ELOUTPUT,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
MUNWASTEN,ELOUTPUT,Electric Power,na,Total,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
MUNWASTER,ELOUTPUT,Electric Power,na,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
NAPHTHA,ELOUTPUT,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
NATGAS,ELOUTPUT,Electric Power,na,Natural gas,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
NGL,ELOUTPUT,Electric Power,na,Natural gas,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
NONBIODIES,ELOUTPUT,Electric Power,na,Liquid fuels,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
NONBIOGASO,ELOUTPUT,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
NONBIOJETK,ELOUTPUT,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
NONCRUDE,ELOUTPUT,Electric Power,Hydrogen,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
NONCRUDE,ELOUTPUT,Electric Power,Non-Hydrogen,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
NUCLEAR,ELOUTPUT,Electric Power,na,Nuclear,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
OBIOLIQ,ELOUTPUT,Electric Power,na,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,n,n,y,n,n,n
OGASES,ELOUTPUT,Electric Power,na,Coal,natural gas ef ratio,N,natural gas addtl eff,n,n,y,n,n,n
OILSHALE,ELOUTPUT,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
ONONSPEC,ELOUTPUT,Electric Power,na,Total,na,N,na,n,n,y,n,n,n
OTHER,ELOUTPUT,Electric Power,na,Total,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
OTHKERO,ELOUTPUT,Electric Power,na,Liquid fuels,oil ef ratio,N,oil addtl eff,n,n,y,n,n,n
OVENCOKE,ELOUTPUT,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PATFUEL,ELOUTPUT,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PEAT,ELOUTPUT,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
PEATPROD,ELOUTPUT,Electric Power,na,Coal,coal ef ratio,N,coal addtl eff,n,n,y,n,n,n
