iso,Subvector,Metric,Model,Scenario,Region,Country,Unit,Value 1,Value 2,Duration 2 (Years),Value 3,Duration 3 (Years),Duration 1 (Years)
SLV,Biochar,Max extent,PD21,pathway,LAM-M,El Salvador,Tg dm /yr,0.2095,NA,NA,NA,NA,100
GNQ,Biochar,Avg mitigation potential flux,PD21,pathway,SSA-M,Equatorial Guinea,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GNQ,Biochar,Max extent,PD21,pathway,SSA-M,Equatorial Guinea,Tg dm /yr,0.0062,NA,NA,NA,NA,100
ERI,Biochar,Avg mitigation potential flux,PD21,pathway,SSA-L,Eritrea,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
ERI,Biochar,Max extent,PD21,pathway,SSA-L,Eritrea,Tg dm /yr,0.014,NA,NA,NA,NA,100
EST,Biochar,Avg mitigation potential flux,PD21,pathway,EU12-H,Estonia,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
EST,Biochar,Max extent,PD21,pathway,EU12-H,Estonia,Tg dm /yr,0.0955,NA,NA,NA,NA,100
ETH,Biochar,Avg mitigation potential flux,PD21,pathway,SSA-L,Ethiopia,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
ETH,Biochar,Max extent,PD21,pathway,SSA-L,Ethiopia,Tg dm /yr,1.7971,NA,NA,NA,NA,100
FLK,Biochar,Avg mitigation potential flux,PD21,pathway,NA,Falkland Islands,Mt CO2/Tg dm/yr,NA,NA,NA,NA,NA,100
FLK,Biochar,Max extent,PD21,pathway,NA,Falkland Islands,Tg dm /yr,NA,NA,NA,NA,NA,100
FRO,Biochar,Avg mitigation potential flux,PD21,pathway,NA,Faroe Islands,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
FRO,Biochar,Max extent,PD21,pathway,NA,Faroe Islands,Tg dm /yr,0,NA,NA,NA,NA,100
FJI,Biochar,Avg mitigation potential flux,PD21,pathway,OAS-L,Fiji,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
FJI,Biochar,Max extent,PD21,pathway,OAS-L,Fiji,Tg dm /yr,0.0273,NA,NA,NA,NA,100
FIN,Biochar,Avg mitigation potential flux,PD21,pathway,EU15,Finland,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
FIN,Biochar,Max extent,PD21,pathway,EU15,Finland,Tg dm /yr,0.2369,NA,NA,NA,NA,100
FRA,Biochar,Avg mitigation potential flux,PD21,pathway,EU15,France (except French Guiana),Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
FRA,Biochar,Max extent,PD21,pathway,EU15,France (except French Guiana),Tg dm /yr,8.5818,NA,NA,NA,NA,100
GUF,Biochar,Avg mitigation potential flux,PD21,pathway,LAM-M,French Guiana (France),Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GUF,Biochar,Max extent,PD21,pathway,LAM-M,French Guiana (France),Tg dm /yr,0.0027,NA,NA,NA,NA,100
PYF,Biochar,Avg mitigation potential flux,PD21,pathway,OAS-M,French Polynesia,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
PYF,Biochar,Max extent,PD21,pathway,OAS-M,French Polynesia,Tg dm /yr,0.0004,NA,NA,NA,NA,100
GAB,Biochar,Avg mitigation potential flux,PD21,pathway,SSA-M,Gabon,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GAB,Biochar,Max extent,PD21,pathway,SSA-M,Gabon,Tg dm /yr,0.0295,NA,NA,NA,NA,100
GMB,Biochar,Avg mitigation potential flux,PD21,pathway,SSA-L,"Gambia, The",Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GMB,Biochar,Max extent,PD21,pathway,SSA-L,"Gambia, The",Tg dm /yr,0.0151,NA,NA,NA,NA,100
GEO,Biochar,Avg mitigation potential flux,PD21,pathway,CAS,Georgia,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GEO,Biochar,Max extent,PD21,pathway,CAS,Georgia,Tg dm /yr,0.0536,NA,NA,NA,NA,100
DEU,Biochar,Avg mitigation potential flux,PD21,pathway,EU15,Germany,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
DEU,Biochar,Max extent,PD21,pathway,EU15,Germany,Tg dm /yr,4.7849,NA,NA,NA,NA,100
GHA,Biochar,Avg mitigation potential flux,PD21,pathway,SSA-L,Ghana,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GHA,Biochar,Max extent,PD21,pathway,SSA-L,Ghana,Tg dm /yr,1.6688,NA,NA,NA,NA,100
GRC,Biochar,Avg mitigation potential flux,PD21,pathway,EU15,Greece,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GRC,Biochar,Max extent,PD21,pathway,EU15,Greece,Tg dm /yr,0.4731,NA,NA,NA,NA,100
GRL,Biochar,Avg mitigation potential flux,PD21,pathway,EU15,Greenland (Denmark),Mt CO2/Tg dm/yr,NA,NA,NA,NA,NA,100
GRL,Biochar,Max extent,PD21,pathway,EU15,Greenland (Denmark),Tg dm /yr,NA,NA,NA,NA,NA,100
GLP,Biochar,Avg mitigation potential flux,PD21,pathway,LAM-M,Guadeloupe,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GLP,Biochar,Max extent,PD21,pathway,LAM-M,Guadeloupe,Tg dm /yr,0.0114,NA,NA,NA,NA,100
GTM,Biochar,Avg mitigation potential flux,PD21,pathway,LAM-L,Guatemala,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GTM,Biochar,Max extent,PD21,pathway,LAM-L,Guatemala,Tg dm /yr,0.9375,NA,NA,NA,NA,100
