iso,Subvector,Metric,Model,Scenario,Region,Country,Unit,Value 1,Duration 1 (Years),Value 2,Duration 2 (Years),Value 3,Duration 3 (Years)
IDN,Coastal Restoration,Max extent,PD22,Pathway,IDN,Indonesia,Mha,2.7694,100,NA,NA,NA,NA
GBR,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,EU15,United Kingdom,tCO2e/ha/yr,2.0175,30,0.0000,70,NA,NA
LAO,Natural Regeneration,Max extent,PD22,Pathway,OAS-CPA,Laos,Mha,2.7576,100,NA,NA,NA,NA
USA,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,USA,United States (except Alaska),tCO2e/ha/yr,0.7002,30,0.0000,70,NA,NA
GHA,Optimal Intensity,Max extent,PD22,Pathway,SSA-L,Ghana,Mha,2.7570,100,NA,NA,NA,NA
URY,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,LAM-M,Uruguay,tCO2e/ha/yr,2.0832,30,0.0000,70,NA,NA
MDA,Agroforestry,Max extent,PD22,Pathway,EEU-FSA,Moldova,Mha,2.7459,100,NA,NA,NA,NA
UZB,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,CAS,Uzbekistan,tCO2e/ha/yr,0.3232,30,0.0000,70,NA,NA
CAN,Nitrogen Fertilizer Management,Max extent,PD22,Pathway,CAN,Canada,MtCO2e,2.7400,100,NA,NA,NA,NA
VUT,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,OAS-L,Vanuatu,tCO2e/ha/yr,0.6390,30,0.0000,70,NA,NA
GIN,Optimal Intensity,Max extent,PD22,Pathway,SSA-L,Guinea,Mha,2.7328,100,NA,NA,NA,NA
VEN,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,LAM-M,Venezuela,tCO2e/ha/yr,1.3743,30,0.0000,70,NA,NA
SWE,Agroforestry,Max extent,PD22,Pathway,EU15,Sweden,Mha,2.7196,100,NA,NA,NA,NA
VNM,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,OAS-CPA,Vietnam,tCO2e/ha/yr,1.2497,30,0.0000,70,NA,NA
GIN,Agroforestry,Max extent,PD22,Pathway,SSA-L,Guinea,Mha,2.7066,100,NA,NA,NA,NA
YEM,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,MEA-M,Yemen,tCO2e/ha/yr,0.2922,30,0.0000,70,NA,NA
MDA,Cropland Soil Health,Max extent,PD22,Pathway,EEU-FSA,Moldova,Mha,2.7017,100,NA,NA,NA,NA
ZMB,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,SSA-L,Zambia,tCO2e/ha/yr,0.5067,30,0.0000,70,NA,NA
CIV,Optimal Intensity,Max extent,PD22,Pathway,SSA-L,Cote d'Ivoire,Mha,2.6554,100,NA,NA,NA,NA
ZWE,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,SSA-L,Zimbabwe,tCO2e/ha/yr,0.3477,30,0.0000,70,NA,NA
PAK,Improved Rice,Max extent,PD22,Pathway,PAK,Pakistan,Mha,2.6332,100,NA,NA,NA,NA
ESH,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,NAF,Western Sahara,tCO2e/ha/yr,0.0000,30,0.0000,70,NA,NA
SWE,Cropland Soil Health,Max extent,PD22,Pathway,EU15,Sweden,Mha,2.6049,100,NA,NA,NA,NA
AFG,Improved Forest Mgmt,Avg mitigation potential flux,PD22,Pathway,PAK,Afghanistan,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
YEM,Optimal Intensity,Max extent,PD22,Pathway,MEA-M,Yemen,Mha,2.5891,100,NA,NA,NA,NA
ALB,Improved Forest Mgmt,Avg mitigation potential flux,PD22,Pathway,EEU,Albania,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
UZB,Biochar,Max extent,PD22,Pathway,CAS,Uzbekistan,Mha,2.5834,100,NA,NA,NA,NA
DZA,Improved Forest Mgmt,Avg mitigation potential flux,PD22,Pathway,NAF,Algeria,tCO2e/m3/yr,1.6224,30,0,70,NA,NA
