iso,Subvector,Metric,Model,Scenario,Region,Country,Unit,Value 1,Duration 1 (Years),Value 2,Duration 2 (Years),Value 3,Duration 3 (Years)
AFG,Biochar,Avg mitigation potential flux,PD22,Pathway,PAK,Afghanistan,tCO2e/ha/yr,0.6241,30,0.0000,70,NA,NA
AFG,Improved Forest Mgmt,Max extent,PD22,Pathway,PAK,Afghanistan,m3,NA,NA,NA,NA,NA,NA
ALB,Biochar,Avg mitigation potential flux,PD22,Pathway,EEU,Albania,tCO2e/ha/yr,2.2930,30,0.0000,70,NA,NA
ALB,Improved Forest Mgmt,Max extent,PD22,Pathway,EEU,Albania,m3,NA,NA,NA,NA,NA,NA
DZA,Biochar,Avg mitigation potential flux,PD22,Pathway,NAF,Algeria,tCO2e/ha/yr,0.4873,30,0.0000,70,NA,NA
ARG,Improved Forest Mgmt,Max extent,PD22,Pathway,LAM-M,Argentina,m3,NA,NA,NA,NA,NA,NA
AGO,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-M,Angola,tCO2e/ha/yr,0.4623,30,0.0000,70,NA,NA
ARM,Improved Forest Mgmt,Max extent,PD22,Pathway,CAS,Armenia,m3,NA,NA,NA,NA,NA,NA
ARG,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-M,Argentina,tCO2e/ha/yr,2.7381,30,0.0000,70,NA,NA
AUS,Improved Forest Mgmt,Max extent,PD22,Pathway,ANUZ,Australia,m3,NA,NA,NA,NA,NA,NA
ARM,Biochar,Avg mitigation potential flux,PD22,Pathway,CAS,Armenia,tCO2e/ha/yr,1.0307,30,0.0000,70,NA,NA
AUT,Improved Forest Mgmt,Max extent,PD22,Pathway,EU15,Austria,m3,NA,NA,NA,NA,NA,NA
AUS,Biochar,Avg mitigation potential flux,PD22,Pathway,ANUZ,Australia,tCO2e/ha/yr,1.5384,30,0.0000,70,NA,NA
AZE,Improved Forest Mgmt,Max extent,PD22,Pathway,CAS,Azerbaijan,m3,NA,NA,NA,NA,NA,NA
AUT,Biochar,Avg mitigation potential flux,PD22,Pathway,EU15,Austria,tCO2e/ha/yr,2.3622,30,0.0000,70,NA,NA
BLR,Improved Forest Mgmt,Max extent,PD22,Pathway,EEU-FSU,Belarus,m3,NA,NA,NA,NA,NA,NA
AZE,Biochar,Avg mitigation potential flux,PD22,Pathway,CAS,Azerbaijan,tCO2e/ha/yr,1.0931,30,0.0000,70,NA,NA
BEL,Improved Forest Mgmt,Max extent,PD22,Pathway,EU15,Belgium,m3,NA,NA,NA,NA,NA,NA
BHS,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-M,Bahamas,tCO2e/ha/yr,4.9189,30,0.0000,70,NA,NA
BIH,Improved Forest Mgmt,Max extent,PD22,Pathway,EEU,Bosnia and Herzegovina,m3,NA,NA,NA,NA,NA,NA
BGD,Biochar,Avg mitigation potential flux,PD22,Pathway,OAS-L,Bangladesh,tCO2e/ha/yr,3.6696,30,0.0000,70,NA,NA
BGR,Improved Forest Mgmt,Max extent,PD22,Pathway,EU12-M,Bulgaria,m3,NA,NA,NA,NA,NA,NA
BLR,Biochar,Avg mitigation potential flux,PD22,Pathway,EEU-FSU,Belarus,tCO2e/ha/yr,1.1328,30,0.0000,70,NA,NA
CAN,Improved Forest Mgmt,Max extent,PD22,Pathway,CAN,Canada,m3,NA,NA,NA,NA,NA,NA
BEL,Biochar,Avg mitigation potential flux,PD22,Pathway,EU15,Belgium,tCO2e/ha/yr,1.7694,30,0.0000,70,NA,NA
CPV,Improved Forest Mgmt,Max extent,PD22,Pathway,SSA-L,Cape Verde,m3,NA,NA,NA,NA,NA,NA
BLZ,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-L,Belize,tCO2e/ha/yr,5.3736,30,0.0000,70,NA,NA
CHL,Improved Forest Mgmt,Max extent,PD22,Pathway,LAM-M,Chile,m3,NA,NA,NA,NA,NA,NA
BEN,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Benin,tCO2e/ha/yr,0.8656,30,0.0000,70,NA,NA
CHN,Improved Forest Mgmt,Max extent,PD22,Pathway,CHN,China,m3,NA,NA,NA,NA,NA,NA
BTN,Biochar,Avg mitigation potential flux,PD22,Pathway,OAS-M,Bhutan,tCO2e/ha/yr,2.0065,30,0.0000,70,NA,NA
COM,Improved Forest Mgmt,Max extent,PD22,Pathway,SSA-L,Comoros,m3,NA,NA,NA,NA,NA,NA
BOL,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-M,Bolivia,tCO2e/ha/yr,2.4046,30,0.0000,70,NA,NA
HRV,Improved Forest Mgmt,Max extent,PD22,Pathway,EEU,Croatia,m3,NA,NA,NA,NA,NA,NA
BIH,Biochar,Avg mitigation potential flux,PD22,Pathway,EEU,Bosnia and Herzegovina,tCO2e/ha/yr,2.4625,30,0.0000,70,NA,NA
CYP,Improved Forest Mgmt,Max extent,PD22,Pathway,EU12-H,Cyprus,m3,NA,NA,NA,NA,NA,NA
BWA,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-M,Botswana,tCO2e/ha/yr,0.1833,30,0.0000,70,NA,NA
CZE,Improved Forest Mgmt,Max extent,PD22,Pathway,EU12-H,Czech Republic,m3,NA,NA,NA,NA,NA,NA
BRA,Biochar,Avg mitigation potential flux,PD22,Pathway,BRA,Brazil,tCO2e/ha/yr,4.8636,30,0.0000,70,NA,NA
PRK,Improved Forest Mgmt,Max extent,PD22,Pathway,OAS-L,Democratic People's Republic of Korea (North Korea),m3,NA,NA,NA,NA,NA,NA
BRN,Biochar,Avg mitigation potential flux,PD22,Pathway,OAS-M,Brunei Darussalam,tCO2e/ha/yr,2.3990,30,0.0000,70,NA,NA
DNK,Improved Forest Mgmt,Max extent,PD22,Pathway,EU15,Denmark (except Greenland),m3,NA,NA,NA,NA,NA,NA
BGR,Biochar,Avg mitigation potential flux,PD22,Pathway,EU12-M,Bulgaria,tCO2e/ha/yr,1.8663,30,0.0000,70,NA,NA
DJI,Improved Forest Mgmt,Max extent,PD22,Pathway,SSA-L,Djibouti,m3,NA,NA,NA,NA,NA,NA
BFA,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Burkina Faso,tCO2e/ha/yr,0.4244,30,0.0000,70,NA,NA
EGY,Improved Forest Mgmt,Max extent,PD22,Pathway,NAF,Egypt,m3,NA,NA,NA,NA,NA,NA
BDI,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Burundi,tCO2e/ha/yr,0.6138,30,0.0000,70,NA,NA
EST,Improved Forest Mgmt,Max extent,PD22,Pathway,EU12-H,Estonia,m3,NA,NA,NA,NA,NA,NA
KHM,Biochar,Avg mitigation potential flux,PD22,Pathway,OAS-CPA,Cambodia,tCO2e/ha/yr,3.6130,30,0.0000,70,NA,NA
FLK,Improved Forest Mgmt,Max extent,PD22,Pathway,NA,Falkland Islands,m3,NA,NA,NA,NA,NA,NA
CMR,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Cameroon,tCO2e/ha/yr,0.7763,30,0.0000,70,NA,NA
FRO,Improved Forest Mgmt,Max extent,PD22,Pathway,NA,Faroe Islands,m3,NA,NA,NA,NA,NA,NA
CAN,Biochar,Avg mitigation potential flux,PD22,Pathway,CAN,Canada,tCO2e/ha/yr,1.4269,30,0.0000,70,NA,NA
FIN,Improved Forest Mgmt,Max extent,PD22,Pathway,EU15,Finland,m3,NA,NA,NA,NA,NA,NA
CPV,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Cape Verde,tCO2e/ha/yr,0.2033,30,0.0000,70,NA,NA
FRA,Improved Forest Mgmt,Max extent,PD22,Pathway,EU15,France (except French Guiana),m3,NA,NA,NA,NA,NA,NA
CAF,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Central African Republic,tCO2e/ha/yr,0.2495,30,0.0000,70,NA,NA
GEO,Improved Forest Mgmt,Max extent,PD22,Pathway,CAS,Georgia,m3,NA,NA,NA,NA,NA,NA
TCD,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Chad,tCO2e/ha/yr,0.3046,30,0.0000,70,NA,NA
DEU,Improved Forest Mgmt,Max extent,PD22,Pathway,EU15,Germany,m3,NA,NA,NA,NA,NA,NA
CHL,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-M,Chile,tCO2e/ha/yr,2.6289,30,0.0000,70,NA,NA
GRC,Improved Forest Mgmt,Max extent,PD22,Pathway,EU15,Greece,m3,NA,NA,NA,NA,NA,NA
CHN,Biochar,Avg mitigation potential flux,PD22,Pathway,CHN,China,tCO2e/ha/yr,4.3844,30,0.0000,70,NA,NA
GRL,Improved Forest Mgmt,Max extent,PD22,Pathway,EU15,Greenland (Denmark),m3,NA,NA,NA,NA,NA,NA
COL,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-M,Colombia,tCO2e/ha/yr,5.0639,30,0.0000,70,NA,NA
GLP,Improved Forest Mgmt,Max extent,PD22,Pathway,LAM-M,Guadeloupe,m3,NA,NA,NA,NA,NA,NA
COM,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Comoros,tCO2e/ha/yr,0.7876,30,0.0000,70,NA,NA
HTI,Improved Forest Mgmt,Max extent,PD22,Pathway,LAM-L,Haiti,m3,NA,NA,NA,NA,NA,NA
CRI,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-M,Costa Rica,tCO2e/ha/yr,5.8897,30,0.0000,70,NA,NA
HUN,Improved Forest Mgmt,Max extent,PD22,Pathway,EU12-H,Hungary,m3,NA,NA,NA,NA,NA,NA
CIV,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Cote d'Ivoire,tCO2e/ha/yr,0.7096,30,0.0000,70,NA,NA
ISL,Improved Forest Mgmt,Max extent,PD22,Pathway,EFTA,Iceland,m3,NA,NA,NA,NA,NA,NA
HRV,Biochar,Avg mitigation potential flux,PD22,Pathway,EEU,Croatia,tCO2e/ha/yr,2.7889,30,0.0000,70,NA,NA
IRN,Improved Forest Mgmt,Max extent,PD22,Pathway,MEA-M,Iran,m3,NA,NA,NA,NA,NA,NA
CUB,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-M,Cuba,tCO2e/ha/yr,4.4858,30,0.0000,70,NA,NA
IRQ,Improved Forest Mgmt,Max extent,PD22,Pathway,MEA-M,Iraq,m3,NA,NA,NA,NA,NA,NA
CYP,Biochar,Avg mitigation potential flux,PD22,Pathway,EU12-H,Cyprus,tCO2e/ha/yr,0.6350,30,0.0000,70,NA,NA
IRL,Improved Forest Mgmt,Max extent,PD22,Pathway,EU15,Ireland,m3,NA,NA,NA,NA,NA,NA
CZE,Biochar,Avg mitigation potential flux,PD22,Pathway,EU12-H,Czech Republic,tCO2e/ha/yr,1.4371,30,0.0000,70,NA,NA
ISR,Improved Forest Mgmt,Max extent,PD22,Pathway,MEA-H,Israel,m3,NA,NA,NA,NA,NA,NA
PRK,Biochar,Avg mitigation potential flux,PD22,Pathway,OAS-L,Democratic People's Republic of Korea (North Korea),tCO2e/ha/yr,2.3156,30,0.0000,70,NA,NA
ITA,Improved Forest Mgmt,Max extent,PD22,Pathway,EU15,Italy,m3,NA,NA,NA,NA,NA,NA
COD,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Democratic Republic of the Congo (DRC),tCO2e/ha/yr,0.6052,30,0.0000,70,NA,NA
JPN,Improved Forest Mgmt,Max extent,PD22,Pathway,JPN,Japan,m3,NA,NA,NA,NA,NA,NA
DNK,Biochar,Avg mitigation potential flux,PD22,Pathway,EU15,Denmark (except Greenland),tCO2e/ha/yr,1.2454,30,0.0000,70,NA,NA
JOR,Improved Forest Mgmt,Max extent,PD22,Pathway,MEA-M,Jordan,m3,NA,NA,NA,NA,NA,NA
DJI,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Djibouti,tCO2e/ha/yr,0.2455,30,0.0000,70,NA,NA
KAZ,Improved Forest Mgmt,Max extent,PD22,Pathway,CAS,Kazakhstan,m3,NA,NA,NA,NA,NA,NA
DOM,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-M,Dominican Republic,tCO2e/ha/yr,3.8059,30,0.0000,70,NA,NA
KWT,Improved Forest Mgmt,Max extent,PD22,Pathway,MEA-H,Kuwait,m3,NA,NA,NA,NA,NA,NA
ECU,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-M,Ecuador,tCO2e/ha/yr,3.1321,30,0.0000,70,NA,NA
KGZ,Improved Forest Mgmt,Max extent,PD22,Pathway,CAS,Kyrgyzstan,m3,NA,NA,NA,NA,NA,NA
EGY,Biochar,Avg mitigation potential flux,PD22,Pathway,NAF,Egypt,tCO2e/ha/yr,4.8786,30,0.0000,70,NA,NA
LVA,Improved Forest Mgmt,Max extent,PD22,Pathway,EU12-M,Latvia,m3,NA,NA,NA,NA,NA,NA
SLV,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-M,El Salvador,tCO2e/ha/yr,4.0720,30,0.0000,70,NA,NA
LBN,Improved Forest Mgmt,Max extent,PD22,Pathway,MEA-M,Lebanon,m3,NA,NA,NA,NA,NA,NA
GNQ,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-M,Equatorial Guinea,tCO2e/ha/yr,0.3192,30,0.0000,70,NA,NA
LSO,Improved Forest Mgmt,Max extent,PD22,Pathway,SSA-L,Lesotho,m3,NA,NA,NA,NA,NA,NA
ERI,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Eritrea,tCO2e/ha/yr,0.2098,30,0.0000,70,NA,NA
LBY,Improved Forest Mgmt,Max extent,PD22,Pathway,NAF,Libya,m3,NA,NA,NA,NA,NA,NA
EST,Biochar,Avg mitigation potential flux,PD22,Pathway,EU12-H,Estonia,tCO2e/ha/yr,1.0280,30,0.0000,70,NA,NA
LTU,Improved Forest Mgmt,Max extent,PD22,Pathway,EU12-M,Lithuania,m3,NA,NA,NA,NA,NA,NA
ETH,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Ethiopia,tCO2e/ha/yr,1.1972,30,0.0000,70,NA,NA
LUX,Improved Forest Mgmt,Max extent,PD22,Pathway,EU15,Luxembourg,m3,NA,NA,NA,NA,NA,NA
FLK,Biochar,Avg mitigation potential flux,PD22,Pathway,NA,Falkland Islands,tCO2e/ha/yr,0.0000,30,0.0000,70,NA,NA
MKD,Improved Forest Mgmt,Max extent,PD22,Pathway,EEU,Macedonia (The Former Yugoslav Republic of Macedonia),m3,NA,NA,NA,NA,NA,NA
FRO,Biochar,Avg mitigation potential flux,PD22,Pathway,NA,Faroe Islands,tCO2e/ha/yr,0.4845,30,0.0000,70,NA,NA
MTQ,Improved Forest Mgmt,Max extent,PD22,Pathway,LAM-M,Martinique,m3,NA,NA,NA,NA,NA,NA
FJI,Biochar,Avg mitigation potential flux,PD22,Pathway,OAS-L,Fiji,tCO2e/ha/yr,7.3470,30,0.0000,70,NA,NA
MUS,Improved Forest Mgmt,Max extent,PD22,Pathway,SSA-M,Mauritius,m3,NA,NA,NA,NA,NA,NA
FIN,Biochar,Avg mitigation potential flux,PD22,Pathway,EU15,Finland,tCO2e/ha/yr,0.9226,30,0.0000,70,NA,NA
MDA,Improved Forest Mgmt,Max extent,PD22,Pathway,EEU-FSA,Moldova,m3,NA,NA,NA,NA,NA,NA
FRA,Biochar,Avg mitigation potential flux,PD22,Pathway,EU15,France (except French Guiana),tCO2e/ha/yr,1.8669,30,0.0000,70,NA,NA
MNG,Improved Forest Mgmt,Max extent,PD22,Pathway,OAS-CPA,Mongolia,m3,NA,NA,NA,NA,NA,NA
GUF,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-M,French Guiana (France),tCO2e/ha/yr,0.0000,30,0.0000,70,NA,NA
MNE,Improved Forest Mgmt,Max extent,PD22,Pathway,EEU,Montenegro,m3,NA,NA,NA,NA,NA,NA
PYF,Biochar,Avg mitigation potential flux,PD22,Pathway,OAS-M,French Polynesia,tCO2e/ha/yr,0.9219,30,0.0000,70,NA,NA
MAR,Improved Forest Mgmt,Max extent,PD22,Pathway,NAF,Morocco,m3,NA,NA,NA,NA,NA,NA
GAB,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-M,Gabon,tCO2e/ha/yr,0.6860,30,0.0000,70,NA,NA
NAM,Improved Forest Mgmt,Max extent,PD22,Pathway,SSA-M,Namibia,m3,NA,NA,NA,NA,NA,NA
GMB,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,"Gambia, The",tCO2e/ha/yr,0.2896,30,0.0000,70,NA,NA
NPL,Improved Forest Mgmt,Max extent,PD22,Pathway,OAS-L,Nepal,m3,NA,NA,NA,NA,NA,NA
GEO,Biochar,Avg mitigation potential flux,PD22,Pathway,CAS,Georgia,tCO2e/ha/yr,1.3468,30,0.0000,70,NA,NA
NLD,Improved Forest Mgmt,Max extent,PD22,Pathway,EU15,Netherlands,m3,NA,NA,NA,NA,NA,NA
DEU,Biochar,Avg mitigation potential flux,PD22,Pathway,EU15,Germany,tCO2e/ha/yr,1.5291,30,0.0000,70,NA,NA
NZL,Improved Forest Mgmt,Max extent,PD22,Pathway,ANUZ,New Zealand,m3,NA,NA,NA,NA,NA,NA
GHA,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Ghana,tCO2e/ha/yr,0.8824,30,0.0000,70,NA,NA
NOR,Improved Forest Mgmt,Max extent,PD22,Pathway,EFTA,Norway,m3,NA,NA,NA,NA,NA,NA
GRC,Biochar,Avg mitigation potential flux,PD22,Pathway,EU15,Greece,tCO2e/ha/yr,1.9618,30,0.0000,70,NA,NA
OMN,Improved Forest Mgmt,Max extent,PD22,Pathway,MEA-H,Oman,m3,NA,NA,NA,NA,NA,NA
GRL,Biochar,Avg mitigation potential flux,PD22,Pathway,EU15,Greenland (Denmark),tCO2e/ha/yr,0.0000,30,0.0000,70,NA,NA
PAK,Improved Forest Mgmt,Max extent,PD22,Pathway,PAK,Pakistan,m3,NA,NA,NA,NA,NA,NA
GLP,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-M,Guadeloupe,tCO2e/ha/yr,0.0000,30,0.0000,70,NA,NA
POL,Improved Forest Mgmt,Max extent,PD22,Pathway,EU12-H,Poland,m3,NA,NA,NA,NA,NA,NA
GTM,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-L,Guatemala,tCO2e/ha/yr,5.2354,30,0.0000,70,NA,NA
PRT,Improved Forest Mgmt,Max extent,PD22,Pathway,EU15,Portugal,m3,NA,NA,NA,NA,NA,NA
GIN,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Guinea,tCO2e/ha/yr,0.7697,30,0.0000,70,NA,NA
PRI,Improved Forest Mgmt,Max extent,PD22,Pathway,USA,Puerto Rico,m3,NA,NA,NA,NA,NA,NA
GNB,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Guinea-Bissau,tCO2e/ha/yr,0.8366,30,0.0000,70,NA,NA
QAT,Improved Forest Mgmt,Max extent,PD22,Pathway,MEA-H,Qatar,m3,NA,NA,NA,NA,NA,NA
GUY,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-M,Guyana,tCO2e/ha/yr,6.8660,30,0.0000,70,NA,NA
KOR,Improved Forest Mgmt,Max extent,PD22,Pathway,ANUZ,Republic of Korea (South Korea),m3,NA,NA,NA,NA,NA,NA
HTI,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-L,Haiti,tCO2e/ha/yr,1.2550,30,0.0000,70,NA,NA
REU,Improved Forest Mgmt,Max extent,PD22,Pathway,SSA-M,Reunion,m3,NA,NA,NA,NA,NA,NA
HND,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-L,Honduras,tCO2e/ha/yr,3.4276,30,0.0000,70,NA,NA
ROU,Improved Forest Mgmt,Max extent,PD22,Pathway,EU12-M,Romania,m3,NA,NA,NA,NA,NA,NA
HUN,Biochar,Avg mitigation potential flux,PD22,Pathway,EU12-H,Hungary,tCO2e/ha/yr,2.4246,30,0.0000,70,NA,NA
RUS,Improved Forest Mgmt,Max extent,PD22,Pathway,RUS,Russia,m3,NA,NA,NA,NA,NA,NA
ISL,Biochar,Avg mitigation potential flux,PD22,Pathway,EFTA,Iceland,tCO2e/ha/yr,0.7942,30,0.0000,70,NA,NA
RWA,Improved Forest Mgmt,Max extent,PD22,Pathway,SSA-L,Rwanda,m3,NA,NA,NA,NA,NA,NA
IND,Biochar,Avg mitigation potential flux,PD22,Pathway,IND,India,tCO2e/ha/yr,1.6167,30,0.0000,70,NA,NA
STP,Improved Forest Mgmt,Max extent,PD22,Pathway,SSA-L,Sao Tome and Principe,m3,NA,NA,NA,NA,NA,NA
IDN,Biochar,Avg mitigation potential flux,PD22,Pathway,IDN,Indonesia,tCO2e/ha/yr,3.7841,30,0.0000,70,NA,NA
SAU,Improved Forest Mgmt,Max extent,PD22,Pathway,MEA-H,Saudi Arabia,m3,NA,NA,NA,NA,NA,NA
IRN,Biochar,Avg mitigation potential flux,PD22,Pathway,MEA-M,Iran,tCO2e/ha/yr,1.2088,30,0.0000,70,NA,NA
SRB,Improved Forest Mgmt,Max extent,PD22,Pathway,EEU,Serbia,m3,NA,NA,NA,NA,NA,NA
IRQ,Biochar,Avg mitigation potential flux,PD22,Pathway,MEA-M,Iraq,tCO2e/ha/yr,0.9587,30,0.0000,70,NA,NA
SVK,Improved Forest Mgmt,Max extent,PD22,Pathway,EU12-H,Slovakia,m3,NA,NA,NA,NA,NA,NA
IRL,Biochar,Avg mitigation potential flux,PD22,Pathway,EU15,Ireland,tCO2e/ha/yr,1.2218,30,0.0000,70,NA,NA
SVN,Improved Forest Mgmt,Max extent,PD22,Pathway,EU12-H,Slovenia,m3,NA,NA,NA,NA,NA,NA
ISR,Biochar,Avg mitigation potential flux,PD22,Pathway,MEA-H,Israel,tCO2e/ha/yr,1.2304,30,0.0000,70,NA,NA
SSD,Improved Forest Mgmt,Max extent,PD22,Pathway,SSA-L,South Sudan,m3,NA,NA,NA,NA,NA,NA
ITA,Biochar,Avg mitigation potential flux,PD22,Pathway,EU15,Italy,tCO2e/ha/yr,2.4002,30,0.0000,70,NA,NA
ESP,Improved Forest Mgmt,Max extent,PD22,Pathway,EU23,Spain,m3,NA,NA,NA,NA,NA,NA
JAM,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-M,Jamaica,tCO2e/ha/yr,5.9501,30,0.0000,70,NA,NA
SWE,Improved Forest Mgmt,Max extent,PD22,Pathway,EU15,Sweden,m3,NA,NA,NA,NA,NA,NA
JPN,Biochar,Avg mitigation potential flux,PD22,Pathway,JPN,Japan,tCO2e/ha/yr,5.1134,30,0.0000,70,NA,NA
CHE,Improved Forest Mgmt,Max extent,PD22,Pathway,EFTA,Switzerland,m3,NA,NA,NA,NA,NA,NA
JOR,Biochar,Avg mitigation potential flux,PD22,Pathway,MEA-M,Jordan,tCO2e/ha/yr,0.5795,30,0.0000,70,NA,NA
SYR,Improved Forest Mgmt,Max extent,PD22,Pathway,MEA-M,Syria,m3,NA,NA,NA,NA,NA,NA
KAZ,Biochar,Avg mitigation potential flux,PD22,Pathway,CAS,Kazakhstan,tCO2e/ha/yr,0.6013,30,0.0000,70,NA,NA
TJK,Improved Forest Mgmt,Max extent,PD22,Pathway,CAS,Tajikistan,m3,NA,NA,NA,NA,NA,NA
KEN,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Kenya,tCO2e/ha/yr,0.8601,30,0.0000,70,NA,NA
TLS,Improved Forest Mgmt,Max extent,PD22,Pathway,OAS-L,Timor-Leste,m3,NA,NA,NA,NA,NA,NA
KWT,Biochar,Avg mitigation potential flux,PD22,Pathway,MEA-H,Kuwait,tCO2e/ha/yr,3.3893,30,0.0000,70,NA,NA
TUN,Improved Forest Mgmt,Max extent,PD22,Pathway,TUR,Tunisia,m3,NA,NA,NA,NA,NA,NA
KGZ,Biochar,Avg mitigation potential flux,PD22,Pathway,CAS,Kyrgyzstan,tCO2e/ha/yr,1.4430,30,0.0000,70,NA,NA
TUR,Improved Forest Mgmt,Max extent,PD22,Pathway,TUR,Turkey,m3,NA,NA,NA,NA,NA,NA
LAO,Biochar,Avg mitigation potential flux,PD22,Pathway,OAS-CPA,Laos,tCO2e/ha/yr,4.5940,30,0.0000,70,NA,NA
TKM,Improved Forest Mgmt,Max extent,PD22,Pathway,CAS,Turkmenistan,m3,NA,NA,NA,NA,NA,NA
LVA,Biochar,Avg mitigation potential flux,PD22,Pathway,EU12-M,Latvia,tCO2e/ha/yr,1.2196,30,0.0000,70,NA,NA
UKR,Improved Forest Mgmt,Max extent,PD22,Pathway,EEU-FSU,Ukraine,m3,NA,NA,NA,NA,NA,NA
LBN,Biochar,Avg mitigation potential flux,PD22,Pathway,MEA-M,Lebanon,tCO2e/ha/yr,0.8844,30,0.0000,70,NA,NA
ARE,Improved Forest Mgmt,Max extent,PD22,Pathway,MEA-H,United Arab Emirates,m3,NA,NA,NA,NA,NA,NA
LSO,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Lesotho,tCO2e/ha/yr,0.3905,30,0.0000,70,NA,NA
GBR,Improved Forest Mgmt,Max extent,PD22,Pathway,EU15,United Kingdom,m3,NA,NA,NA,NA,NA,NA
LBR,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Liberia,tCO2e/ha/yr,0.7692,30,0.0000,70,NA,NA
USA,Improved Forest Mgmt,Max extent,PD22,Pathway,USA,United States (except Alaska),m3,NA,NA,NA,NA,NA,NA
LBY,Biochar,Avg mitigation potential flux,PD22,Pathway,NAF,Libya,tCO2e/ha/yr,0.2497,30,0.0000,70,NA,NA
UZB,Improved Forest Mgmt,Max extent,PD22,Pathway,CAS,Uzbekistan,m3,NA,NA,NA,NA,NA,NA
LTU,Biochar,Avg mitigation potential flux,PD22,Pathway,EU12-M,Lithuania,tCO2e/ha/yr,1.2486,30,0.0000,70,NA,NA
VUT,Improved Forest Mgmt,Max extent,PD22,Pathway,OAS-L,Vanuatu,m3,NA,NA,NA,NA,NA,NA
LUX,Biochar,Avg mitigation potential flux,PD22,Pathway,EU15,Luxembourg,tCO2e/ha/yr,1.2486,30,0.0000,70,NA,NA
ESH,Improved Forest Mgmt,Max extent,PD22,Pathway,NAF,Western Sahara,m3,NA,NA,NA,NA,NA,NA
MKD,Biochar,Avg mitigation potential flux,PD22,Pathway,EEU,Macedonia (The Former Yugoslav Republic of Macedonia),tCO2e/ha/yr,1.4106,30,0.0000,70,NA,NA
YEM,Improved Forest Mgmt,Max extent,PD22,Pathway,MEA-M,Yemen,m3,NA,NA,NA,NA,NA,NA
MDG,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Madagascar,tCO2e/ha/yr,2.2047,30,0.0000,70,NA,NA
IDN,Improved Forest Mgmt,Max extent,PD22,Pathway,IDN,Indonesia,m3,49251648.0000,30,0,70,NA,NA
MWI,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Malawi,tCO2e/ha/yr,0.8170,30,0.0000,70,NA,NA
NGA,Improved Forest Mgmt,Max extent,PD22,Pathway,SSA-L,Nigeria,m3,5796390.0000,30,0,70,NA,NA
MYS,Biochar,Avg mitigation potential flux,PD22,Pathway,OAS-M,Malaysia,tCO2e/ha/yr,2.9318,30,0.0000,70,NA,NA
MMR,Improved Forest Mgmt,Max extent,PD22,Pathway,OAS-L,Myanmar,m3,5120551.0000,30,0,70,NA,NA
MLI,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Mali,tCO2e/ha/yr,0.7474,30,0.0000,70,NA,NA
MEX,Improved Forest Mgmt,Max extent,PD22,Pathway,MEX,Mexico,m3,4689441.0000,30,0,70,NA,NA
