Country,IEA WEO Grouping,BNEF NEO Grouping,IIASA Grouping
Niger,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Nigeria,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Senegal,Africa,META | Sub-Saharan Africa,MAF | SSA-L
South Africa,Africa,META | Sub-Saharan Africa,MAF | SAF
South Sudan,Africa,Rest of World,MAF | SSA-L
Sudan,Africa,Rest of World,MAF | SSA-L
United Republic of Tanzania,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Togo,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Zambia,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Zimbabwe,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Burkina Faso,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Burundi,Africa,Rest of World,MAF | SSA-L
Cabo Verde,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Central African Republic,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Chad,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Comoros,Africa,Rest of World,MAF | SSA-L
Djibouti,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Equatorial Guinea,Africa,META | Sub-Saharan Africa,MAF | SSA-M
Gambia,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Guinea,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Guinea-Bissau,Africa,Rest of World,MAF | SSA-L
Lesotho,Africa,Rest of World,MAF | SSA-L
Liberia,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Madagascar,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Malawai,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Mali,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Mauritania,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Réunion,Africa,Rest of World,MAF | SSA-M
Rwanda,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Sao Tome and Principe,Africa,Rest of World,MAF | SSA-L
Seychelles,Africa,META | Sub-Saharan Africa,MAF | SSA-M
Sierra Leone,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Somalia,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Swaziland,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Uganda,Africa,META | Sub-Saharan Africa,MAF | SSA-L
Western Sahara,Africa,Rest of World,MAF | NAF
Bahrain,ME,META | MENA,MAF | MEA-H
Islamic Republic of Iran,ME,META | MENA,MAF | MEA-M
Iraq,ME,META | MENA,MAF | MEA-M
Jordan,ME,META | MENA,MAF | MEA-M
Kuwait,ME,META | MENA,MAF | MEA-H
Lebanon,ME,META | MENA,MAF | MEA-M
Oman,ME,META | MENA,MAF | MEA-H
Qatar,ME,META | MENA,MAF | MEA-H
Saudi Arabia,ME,META | MENA,MAF | MEA-H
Syrian Arab Republic,ME,META | MENA,MAF | MEA-M
United Arab Emirates,ME,META | MENA,MAF | MEA-H
Yemen,ME,META | MENA,MAF | MEA-M
Armenia,EURASIA,,REF | CAS
Azerbaijan,EURASIA,,REF | CAS
Georgia,EURASIA,,REF | CAS
