Variable,Unit,Model,Year,Value
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2020,-315
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2021,-256
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2022,-216
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2023,-199
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2024,-205
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2025,-238
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2026,-311
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2027,-415
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2028,-553
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2029,-726
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2030,-936
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2031,"-1,162"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2032,"-1,425"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2033,"-1,723"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2034,"-2,053"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2035,"-2,411"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2036,"-2,780"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2037,"-3,167"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2038,"-3,569"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2039,"-3,983"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2040,"-4,407"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2041,"-4,832"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2042,"-5,286"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2043,"-5,746"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2044,"-6,216"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2045,"-6,678"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2046,"-7,146"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2047,"-7,612"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2048,"-8,073"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2049,"-8,517"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2050,"-8,936"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2051,"-9,178"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2052,"-9,416"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2053,"-9,648"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2054,"-9,875"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2055,"-10,096"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2056,"-10,311"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2057,"-10,519"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2058,"-10,720"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2059,"-10,914"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2060,"-11,098"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2061,"-11,289"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2062,"-11,473"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2063,"-11,652"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2064,"-11,825"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2065,"-11,993"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2066,"-12,157"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2067,"-12,316"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2068,"-12,471"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2069,"-12,623"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2070,"-12,772"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2071,"-12,917"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2072,"-13,056"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2073,"-13,183"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2074,"-13,308"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2075,"-13,433"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2076,"-13,557"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2077,"-13,681"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2078,"-13,804"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2079,"-13,928"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2080,"-14,051"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2081,"-14,158"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2082,"-14,265"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2083,"-14,371"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2084,"-14,478"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2085,"-14,585"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2086,"-14,692"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2087,"-14,798"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2088,"-14,903"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2089,"-15,008"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2090,"-15,113"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2091,"-15,230"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2092,"-15,346"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2093,"-15,460"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2094,"-15,572"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2095,"-15,682"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2096,"-15,792"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2097,"-15,897"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2098,"-15,998"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2099,"-16,096"
Additional Sources Emissions Mitigated,Mt CO2e,Pathway,2100,"-16,189"
CH4 ,Mt CO2e,Baseline,2020,"9,334"
CH4 ,Mt CO2e,Baseline,2021,"9,426"
CH4 ,Mt CO2e,Baseline,2022,"9,518"
CH4 ,Mt CO2e,Baseline,2023,"9,610"
CH4 ,Mt CO2e,Baseline,2024,"9,701"
CH4 ,Mt CO2e,Baseline,2025,"9,793"
CH4 ,Mt CO2e,Baseline,2026,"9,903"
CH4 ,Mt CO2e,Baseline,2027,"10,014"
CH4 ,Mt CO2e,Baseline,2028,"10,125"
CH4 ,Mt CO2e,Baseline,2029,"10,235"
CH4 ,Mt CO2e,Baseline,2030,"10,344"
CH4 ,Mt CO2e,Baseline,2031,"10,452"
CH4 ,Mt CO2e,Baseline,2032,"10,560"
CH4 ,Mt CO2e,Baseline,2033,"10,667"
CH4 ,Mt CO2e,Baseline,2034,"10,774"
CH4 ,Mt CO2e,Baseline,2035,"10,880"
CH4 ,Mt CO2e,Baseline,2036,"10,986"
CH4 ,Mt CO2e,Baseline,2037,"11,092"
CH4 ,Mt CO2e,Baseline,2038,"11,197"
CH4 ,Mt CO2e,Baseline,2039,"11,301"
CH4 ,Mt CO2e,Baseline,2040,"11,405"
CH4 ,Mt CO2e,Baseline,2041,"11,543"
CH4 ,Mt CO2e,Baseline,2042,"11,686"
CH4 ,Mt CO2e,Baseline,2043,"11,827"
CH4 ,Mt CO2e,Baseline,2044,"11,969"
