Source,Unit,Year,Value
Alt. Fuels,Mt CO2/TWh,2056,0.16
Alt. Fuels,Mt CO2/TWh,2057,0.16
Alt. Fuels,Mt CO2/TWh,2058,0.16
Alt. Fuels,Mt CO2/TWh,2059,0.16
Alt. Fuels,Mt CO2/TWh,2060,0.16
Alt. Fuels,Mt CO2/TWh,2061,0.16
Alt. Fuels,Mt CO2/TWh,2062,0.16
Alt. Fuels,Mt CO2/TWh,2063,0.16
Alt. Fuels,Mt CO2/TWh,2064,0.16
Alt. Fuels,Mt CO2/TWh,2065,0.16
Alt. Fuels,Mt CO2/TWh,2066,0.16
Alt. Fuels,Mt CO2/TWh,2067,0.16
Alt. Fuels,Mt CO2/TWh,2068,0.16
Alt. Fuels,Mt CO2/TWh,2069,0.16
Alt. Fuels,Mt CO2/TWh,2070,0.16
Alt. Fuels,Mt CO2/TWh,2071,0.16
Alt. Fuels,Mt CO2/TWh,2072,0.16
Alt. Fuels,Mt CO2/TWh,2073,0.16
Alt. Fuels,Mt CO2/TWh,2074,0.16
Alt. Fuels,Mt CO2/TWh,2075,0.16
Alt. Fuels,Mt CO2/TWh,2076,0.16
Alt. Fuels,Mt CO2/TWh,2077,0.16
Alt. Fuels,Mt CO2/TWh,2078,0.16
Alt. Fuels,Mt CO2/TWh,2079,0.16
Alt. Fuels,Mt CO2/TWh,2080,0.16
Alt. Fuels,Mt CO2/TWh,2081,0.16
Alt. Fuels,Mt CO2/TWh,2082,0.16
Alt. Fuels,Mt CO2/TWh,2083,0.16
Alt. Fuels,Mt CO2/TWh,2084,0.16
Alt. Fuels,Mt CO2/TWh,2085,0.16
Alt. Fuels,Mt CO2/TWh,2086,0.16
Alt. Fuels,Mt CO2/TWh,2087,0.16
Alt. Fuels,Mt CO2/TWh,2088,0.16
Alt. Fuels,Mt CO2/TWh,2089,0.16
Alt. Fuels,Mt CO2/TWh,2090,0.16
Alt. Fuels,Mt CO2/TWh,2091,0.16
Alt. Fuels,Mt CO2/TWh,2092,0.16
Alt. Fuels,Mt CO2/TWh,2093,0.16
Alt. Fuels,Mt CO2/TWh,2094,0.16
Alt. Fuels,Mt CO2/TWh,2095,0.16
Alt. Fuels,Mt CO2/TWh,2096,0.16
Alt. Fuels,Mt CO2/TWh,2097,0.16
Alt. Fuels,Mt CO2/TWh,2098,0.16
Alt. Fuels,Mt CO2/TWh,2099,0.16
Alt. Fuels,Mt CO2/TWh,2100,0.16
Coal,Mt CO2/TWh,2010,0.38
Coal,Mt CO2/TWh,2011,0.38
Coal,Mt CO2/TWh,20112,0.38
Coal,Mt CO2/TWh,2013,0.38
Coal,Mt CO2/TWh,2014,0.38
Coal,Mt CO2/TWh,2015,0.38
Coal,Mt CO2/TWh,2016,0.38
Coal,Mt CO2/TWh,2017,0.38
Coal,Mt CO2/TWh,2018,0.38
Coal,Mt CO2/TWh,2019,0.38
Coal,Mt CO2/TWh,2020,0.38
Coal,Mt CO2/TWh,2021,0.38
Coal,Mt CO2/TWh,2022,0.38
Coal,Mt CO2/TWh,2023,0.38
Coal,Mt CO2/TWh,2024,0.38
Coal,Mt CO2/TWh,2025,0.38
Coal,Mt CO2/TWh,2026,0.38
