product_short,flow_short,sector,EIA Product,WWS EF Product,WWS Upstream Product,WWS Addtl Efficiency,Low Temp Heat,High Temp Heat,hydrogen,flexible,nonenergy
MANGAS,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
MUNWASTEN,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
MUNWASTER,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NATGAS,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NGL,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NONBIODIES,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NONBIOGASO,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NONBIOJETK,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NONCRUDE,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NUCLEAR,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OBIOLIQ,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OFFSHORE,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OGASES,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OILSHALE,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ONONSPEC,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ONSHORE,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OTHER,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OTHKERO,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OVENCOKE,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
PATFUEL,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
PEAT,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
PEATPROD,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
PETCOKE,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
PRIMSBIO,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
REFINGAS,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
RESFUEL,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ROOFTOP,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
SOLARPV,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
SOLARTH,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
SUBCOAL,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
TIDE,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
HYDROGEN,ELAUTOE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ANTCOAL,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BIODIESEL,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BIOGASES,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BIOGASOL,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BITCOAL,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BITUMEN,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BKB,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BLFURGS,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
COALTAR,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
COKCOAL,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
COKEOVGS,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
CRUDEOIL,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ELECTR,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
GASWKSGS,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
GEOTHERM,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
HYDRO,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
INDWASTE,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
LIGNITE,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
LPG,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
LUBRIC,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,Y
MANGAS,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
MUNWASTEN,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
MUNWASTER,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NATGAS,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NGL,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NONBIODIES,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NONBIOGASO,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NONBIOJETK,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NONCRUDE,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NUCLEAR,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OBIOLIQ,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OFFSHORE,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OGASES,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OILSHALE,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ONONSPEC,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ONSHORE,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OTHER,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OTHKERO,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OVENCOKE,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
PATFUEL,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
PEAT,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
PEATPROD,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
PETCOKE,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
PRIMSBIO,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
REFINGAS,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
RESFUEL,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ROOFTOP,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
SOLARPV,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
SOLARTH,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
SUBCOAL,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
TIDE,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
HYDROGEN,ELMAINC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ANTCOAL,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BIODIESEL,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BIOGASES,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BIOGASOL,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BITCOAL,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BITUMEN,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BKB,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BLFURGS,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
COALTAR,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
COKCOAL,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
COKEOVGS,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
CRUDEOIL,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ELECTR,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
GASWKSGS,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
GEOTHERM,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
HEAT,ELMAINE,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
HYDRO,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
INDWASTE,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
LIGNITE,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
LPG,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
LUBRIC,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,Y
MUNWASTEN,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
MUNWASTER,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NATGAS,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NGL,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NONBIODIES,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NONBIOGASO,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NONBIOJETK,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NONCRUDE,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NUCLEAR,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OBIOLIQ,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OFFSHORE,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OGASES,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OILSHALE,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ONONSPEC,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ONSHORE,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OTHER,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OTHKERO,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OVENCOKE,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
PATFUEL,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
PEAT,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
PEATPROD,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
PETCOKE,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
PRIMSBIO,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
REFINGAS,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
RESFUEL,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ROOFTOP,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
SOLARPV,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
SOLARTH,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
SUBCOAL,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
TIDE,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
LHEAT,ELMAINE,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
HHEAT,ELMAINE,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
HYDROGEN,ELMAINE,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ELECTR,ELNG,Industrial,Liquid fuels,electricity ef ratio,Y,electricity addtl eff,N,N,N,N,N
HEAT,ELNG,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
HEATNS,ELNG,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
NATGAS,ELNG,Industrial,Liquid fuels,natural gas ef ratio,Y,natural gas addtl eff,N,N,N,N,N
LHEAT,ELNG,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
HHEAT,ELNG,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
LHEATNS,ELNG,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
HHEATNS,ELNG,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
ANTCOAL,EMINES,Industrial,Coal,coal ef ratio,Y,coal addtl eff,N,N,N,N,N
BIODIESEL,EMINES,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
BITCOAL,EMINES,Industrial,Coal,coal ef ratio,Y,coal addtl eff,N,N,N,N,N
BKB,EMINES,Industrial,Coal,coal ef ratio,Y,coal addtl eff,N,N,N,N,N
BLFURGS,EMINES,Industrial,Natural gas,natural gas ef ratio,Y,natural gas addtl eff,N,N,N,N,N
COALTAR,EMINES,Industrial,Liquid fuels,coal ef ratio,Y,coal addtl eff,N,N,N,N,N
COKCOAL,EMINES,Industrial,Coal,coal ef ratio,Y,coal addtl eff,N,N,N,N,N
COKEOVGS,EMINES,Industrial,Natural gas,natural gas ef ratio,Y,natural gas addtl eff,N,N,N,N,N
CRUDEOIL,EMINES,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
ELECTR,EMINES,Industrial,Electricity,electricity ef ratio,Y,electricity addtl eff,N,N,N,N,N
GASWKSGS,EMINES,Industrial,Natural gas,natural gas ef ratio,Y,natural gas addtl eff,N,N,N,N,N
HEAT,EMINES,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,Y,N
HEATNS,EMINES,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
INDWASTE,EMINES,Industrial,Total,biofuels_waste ef ratio,Y,biofuels_waste ef ratio,N,N,N,N,N
LIGNITE,EMINES,Industrial,Coal,coal ef ratio,Y,coal addtl eff,N,N,N,N,N
LPG,EMINES,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
LUBRIC,EMINES,Industrial,Total,na,Y,na,N,N,N,N,Y
NATGAS,EMINES,Industrial,Natural gas,natural gas ef ratio,Y,natural gas addtl eff,N,N,N,N,N
NONBIODIES,EMINES,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
NONBIOGASO,EMINES,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
NONBIOJETK,EMINES,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
OGASES,EMINES,Industrial,Natural gas,natural gas ef ratio,Y,natural gas addtl eff,N,N,N,N,N
OILSHALE,EMINES,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
ONONSPEC,EMINES,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
OTHKERO,EMINES,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
OVENCOKE,EMINES,Industrial,Coal,coal ef ratio,Y,coal addtl eff,N,N,N,N,N
PATFUEL,EMINES,Industrial,Coal,coal ef ratio,Y,coal addtl eff,N,N,N,N,N
PEAT,EMINES,Industrial,Coal,coal ef ratio,Y,coal addtl eff,N,N,N,N,N
PEATPROD,EMINES,Industrial,Coal,coal ef ratio,Y,coal addtl eff,N,N,N,N,N
PRIMSBIO,EMINES,Industrial,Renewables,biofuels_waste ef ratio,Y,biofuels_waste addtl eff,N,N,N,N,N
RESFUEL,EMINES,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
SUBCOAL,EMINES,Industrial,Coal,coal ef ratio,Y,coal addtl eff,N,N,N,N,N
LHEAT,EMINES,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,Y,N
HHEAT,EMINES,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,Y,N
LHEATNS,EMINES,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
HHEATNS,EMINES,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
AVGAS,ENONSPEC,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
BIODIESEL,ENONSPEC,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
BIOGASES,ENONSPEC,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
BITCOAL,ENONSPEC,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
BITUMEN,ENONSPEC,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
BKB,ENONSPEC,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
BLFURGS,ENONSPEC,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
CHARCOAL,ENONSPEC,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
COKEOVGS,ENONSPEC,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
CRUDEOIL,ENONSPEC,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
ELECTR,ENONSPEC,Industrial,Electricity,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
HEAT,ENONSPEC,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,Y,N
HEATNS,ENONSPEC,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
INDWASTE,ENONSPEC,Industrial,Total,biofuels_waste ef ratio,N,biofuels_waste ef ratio,N,N,N,N,N
LIGNITE,ENONSPEC,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
LPG,ENONSPEC,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
LUBRIC,ENONSPEC,Industrial,Total,na,N,na,N,N,N,N,Y
MUNWASTEN,ENONSPEC,Industrial,Total,heat ef ratio,N,heat addtl eff,N,N,N,N,N
MUNWASTER,ENONSPEC,Industrial,Renewables,heat ef ratio,N,heat addtl eff,N,N,N,N,N
NATGAS,ENONSPEC,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
NGL,ENONSPEC,Industrial,Liquid fuels,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
NONBIODIES,ENONSPEC,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
NONBIOGASO,ENONSPEC,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
NONBIOJETK,ENONSPEC,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
OGASES,ENONSPEC,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
OILSHALE,ENONSPEC,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
ONONSPEC,ENONSPEC,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
OTHKERO,ENONSPEC,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
OVENCOKE,ENONSPEC,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
PARWAX,ENONSPEC,Industrial,Total,na,N,na,N,N,N,N,Y
PEAT,ENONSPEC,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
PEATPROD,ENONSPEC,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
PETCOKE,ENONSPEC,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
PRIMSBIO,ENONSPEC,Industrial,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
REFINGAS,ENONSPEC,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
RESFUEL,ENONSPEC,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
SOLARTH,ENONSPEC,Industrial,Renewables,wws heat ef ratio,N,wws heat addtl eff,N,N,N,N,N
SUBCOAL,ENONSPEC,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
WHITESP,ENONSPEC,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
LHEAT,ENONSPEC,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,Y,N
HHEAT,ENONSPEC,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,Y,N
LHEATNS,ENONSPEC,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
HHEATNS,ENONSPEC,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
ELECTR,ENUC,Electric Power,Total,electricity ef ratio,Y,electricity addtl eff,N,N,N,N,N
HEAT,ENUC,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
HEATNS,ENUC,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
LHEAT,ENUC,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
HHEAT,ENUC,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
LHEATNS,ENUC,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
HHEATNS,ENUC,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
BIODIESEL,EOILGASEX,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
BITUMEN,EOILGASEX,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
CRUDEOIL,EOILGASEX,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
ELECTR,EOILGASEX,Industrial,Electricity,electricity ef ratio,Y,electricity addtl eff,N,N,N,N,N
ETHANE,EOILGASEX,Industrial,Natural gas,natural gas ef ratio,Y,natural gas addtl eff,N,N,N,N,N
HEAT,EOILGASEX,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,Y,N
HEATNS,EOILGASEX,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
LPG,EOILGASEX,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
LUBRIC,EOILGASEX,Industrial,Total,na,Y,na,N,N,N,N,Y
NATGAS,EOILGASEX,Industrial,Natural gas,natural gas ef ratio,Y,natural gas addtl eff,N,N,N,N,N
NGL,EOILGASEX,Industrial,Liquid fuels,natural gas ef ratio,Y,natural gas addtl eff,N,N,N,N,N
NONBIODIES,EOILGASEX,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
NONBIOGASO,EOILGASEX,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
NONBIOJETK,EOILGASEX,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
ONONSPEC,EOILGASEX,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
OTHKERO,EOILGASEX,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
PETCOKE,EOILGASEX,Industrial,Coal,coal ef ratio,Y,coal addtl eff,N,N,N,N,N
REFINGAS,EOILGASEX,Industrial,Natural gas,natural gas ef ratio,Y,natural gas addtl eff,N,N,N,N,N
RESFUEL,EOILGASEX,Industrial,Liquid fuels,oil ef ratio,Y,oil addtl eff,N,N,N,N,N
LHEAT,EOILGASEX,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,Y,N
HHEAT,EOILGASEX,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,Y,N
LHEATNS,EOILGASEX,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
HHEATNS,EOILGASEX,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
ANTCOAL,EPATFUEL,Industrial,Coal,coal ef ratio,Y,coal addtl eff,N,N,N,N,N
BITCOAL,EPATFUEL,Industrial,Coal,coal ef ratio,Y,coal addtl eff,N,N,N,N,N
ELECTR,EPATFUEL,Industrial,Electricity,electricity ef ratio,Y,electricity addtl eff,N,N,N,N,N
HEAT,EPATFUEL,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
HEATNS,EPATFUEL,Industrial,Total,heat ef ratio,Y,heat addtl eff,Y,N,N,N,N
