Country,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Bolivia,Forests & Wetlands,CO2,MtCO₂e,83.74,83.74,83.74,83.74,83.74,83.74,83.74,87.27,87.27,87.27,87.27,87.27,77,77,77,77,77,77.37,77.37,77.37,77.37,77.37,77.37,77.37,77.37,77.37,77.37,77.37
Venezuela,Forests & Wetlands,CO2,MtCO₂e,83.63,83.63,75.12,69.82,81.3,63.47,63.09,20.31,1.43,4.85,11.81,8.49,118.01,114.88,128.81,114.1,134,110.66,111.21,112.16,111.07,111.38,118.07,118.07,118.07,118.07,118.07,118.07
Angola,Forests & Wetlands,CO2,MtCO₂e,73.81,73.81,92.27,77.27,91.1,80.69,106.44,82.86,81.01,79.17,95.81,79.56,98.41,99.47,92.61,86.96,70.83,82.64,79.46,84.02,79.4,82.22,86.78,86.78,86.78,86.78,86.78,86.78
Peru,Forests & Wetlands,CO2,MtCO₂e,70.82,70.82,70.97,70.69,71.06,70.8,70.65,70.29,69.1,69.39,71.1,69.39,45.67,43.44,43.51,43.39,43.42,43.53,43.6,43.95,43.94,43.46,43.88,43.88,43.88,43.88,43.88,43.88
Iran,Forests & Wetlands,CO2,MtCO₂e,67.08,67.08,67.08,67.08,67.08,67.08,67.08,-3.1,-3.1,-3.1,-3.1,-3.1,-3.45,-3.45,-3.45,-3.45,-3.45,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17
Canada,Forests & Wetlands,CO2,MtCO₂e,65.42,65.42,113.27,85.98,113.53,75.06,50.37,178.33,132.46,161.04,154.41,166.78,250.51,252,276.99,273.47,226.43,39.91,62.65,109.8,40.63,52.48,70.07,70.07,70.07,70.07,70.07,70.07
Russia,Forests & Wetlands,CH4,MtCO₂e,48.41,48.41,26.28,52.91,38.42,74.15,41.34,38.56,35.79,90.95,24.17,35.99,34,26.73,76.41,49.84,31.57,19.8,17.3,31.55,11.86,32.52,45.35,45.35,45.35,45.35,45.47,45.47
Sudan,Forests & Wetlands,CO2,MtCO₂e,46.2,46.2,46.2,46.2,46.2,46.2,75.93,59.87,85.6,56.05,53.23,54.6,84.81,94.58,76.97,101.25,82.91,47.99,47.12,48.97,46.62,45.82,56.23,56.23,56.23,56.23,56.23,56.23
Botswana,Forests & Wetlands,CO2,MtCO₂e,43.45,43.45,89.28,15.97,39.63,14.88,14.71,9.97,13.85,18.79,54.64,21.8,51.24,16.21,60.65,98.05,29.29,41.58,50.46,62.04,54.88,46.46,36.57,36.57,36.57,36.57,36.57,36.57
Papua New Guinea,Forests & Wetlands,CO2,MtCO₂e,39.5,39.5,88.86,47.56,41.1,39.76,39.06,46.18,39.85,43.78,39.38,50.71,42.54,72.57,45.05,53.67,37.45,39.68,39.71,39.67,114.3,38.02,47.69,47.69,47.69,47.69,47.69,47.69
Mozambique,Forests & Wetlands,CO2,MtCO₂e,37.4,37.4,37.4,37.4,37.4,37.4,37.4,30.07,30.07,30.07,30.07,30.07,35.93,35.93,35.93,35.93,35.93,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2
Zimbabwe,Forests & Wetlands,CO2,MtCO₂e,36.04,36.04,36.04,36.04,36.04,36.04,36.04,37.63,37.63,37.63,37.63,37.63,37.74,37.74,37.74,37.74,37.74,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75
Ecuador,Forests & Wetlands,CO2,MtCO₂e,33.84,33.84,33.84,33.84,33.84,33.84,33.84,33.85,33.84,33.84,33.84,33.84,33.84,33.84,33.77,33.77,33.77,42.32,42.32,42.32,42.32,42.32,42.32,42.32,42.32,42.32,42.32,42.32
South Sudan,Forests & Wetlands,CH4,MtCO₂e,33.51,33.51,32.5,18.37,37.43,57.95,68.27,54.49,82.17,49.38,46.55,48.1,45.92,57.78,37.59,65.47,44.58,47.68,51.56,52.11,45.53,39.68,48.75,48.75,48.75,48.75,48.75,48.75
Colombia,Forests & Wetlands,CO2,MtCO₂e,33.14,33.14,16.09,17.38,15.28,15.23,15.23,160.63,160.54,160.52,161.03,160.56,167.35,170.78,172.41,167.4,167.22,145.6,145.6,145.6,145.6,145.6,147.52,147.52,147.52,147.52,147.52,147.52
Pakistan,Forests & Wetlands,CO2,MtCO₂e,28.6,28.6,28.6,28.6,28.6,28.6,28.6,22,22,22,22,22,20.53,20.53,20.53,20.53,20.53,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63
Republic of Congo,Forests & Wetlands,CO2,MtCO₂e,28.23,28.23,27.51,17.79,29.72,28.85,30.25,24.68,18.2,18.82,22.44,26.5,30.17,24.25,23.12,15.36,18.58,14.04,14.42,14.35,14.48,14.32,25.31,25.31,25.31,25.31,25.31,25.31
Guyana,Forests & Wetlands,CO2,MtCO₂e,28.17,28.17,34.97,26.64,20.5,22.35,18.94,24.85,15.92,14.46,12.66,13.25,18.35,11.2,33.59,12.69,11.49,8.52,8.7,12.16,9.57,9.73,16.59,16.59,16.59,16.59,16.59,16.59
Honduras,Forests & Wetlands,CO2,MtCO₂e,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,28.6,28.6,28.6,28.6,28.6,40.33,40.33,40.33,40.33,40.33,40.33,40.33,40.33,40.33,40.33,40.33
Uganda,Forests & Wetlands,CO2,MtCO₂e,26.26,26.26,27.34,26.78,26.85,26.57,26.7,25.92,26.45,26.08,24.86,27.32,23.08,22.78,22.24,21.32,19.49,20.94,20.86,21.31,20.65,21.02,21.02,21.02,21.02,21.02,21.02,21.02
Chad,Forests & Wetlands,CO2,MtCO₂e,24.93,24.93,24.93,24.93,24.93,24.93,24.93,25.67,25.67,25.67,25.67,25.67,7.33,7.33,7.33,7.33,7.33,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07
