Country,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Mexico,Forests & Wetlands,CH4,MtCO₂e,3.04,3.04,2.32,0.47,4.02,2.23,5.2,1.53,3.06,3.3,2.91,3.31,4.05,0.79,6.46,2.37,1.54,3.8,3.78,7.43,1.4,1.23,2.91,2.91,2.91,2.91,2.91,2.91
Bolivia,Forests & Wetlands,N2O,MtCO₂e,2.92,2.92,1.23,0.82,0.77,1.22,2.97,8.92,0.81,1.76,3.74,1.72,3.41,4.93,0.94,2.12,0.69,0.77,3.19,1.82,1.84,1.72,2.44,2.44,2.44,2.44,2.44,2.44
Belize,Forests & Wetlands,CO2,MtCO₂e,2.82,2.82,3.07,2.05,4.74,1.94,4.02,7.04,5.47,6.46,7.45,6.01,7.46,5.86,7.73,7.71,6.01,4.59,4.63,4.68,4.49,4.66,5.87,5.87,5.87,5.87,5.87,5.87
Sri Lanka,Forests & Wetlands,CO2,MtCO₂e,2.81,2.81,2.81,2.81,2.82,2.84,2.84,2.26,2.26,2.27,2.27,2.29,4.85,4.85,4.85,4.85,4.85,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61
Australia,Forests & Wetlands,CH4,MtCO₂e,2.74,2.74,2.28,3.15,4.4,2.3,1.52,0.73,4.62,0.82,3.4,7.46,1.28,1.41,11.46,6.69,5.48,2.42,6.88,5.08,6.41,4.37,3.73,3.73,3.73,3.73,3.73,3.73
Papua New Guinea,Forests & Wetlands,CH4,MtCO₂e,2.73,2.73,21.6,5.99,3.39,2.94,2.51,4.98,3.1,4.05,2.52,6.45,3.13,13.77,4.17,6.88,1.37,2.56,2.67,2.72,35.94,2.13,5.6,5.6,5.6,5.6,5.6,5.6
Laos,Forests & Wetlands,N2O,MtCO₂e,2.69,2.69,1.69,1.58,2.06,1.51,0.59,3.58,1.08,0.52,3.6,0.69,1.68,3.77,0.9,0.8,0.2,0.48,0.71,1.02,0.46,0.62,1.68,1.68,1.68,1.68,1.68,1.68
Madagascar,Forests & Wetlands,CH4,MtCO₂e,2.68,2.68,3.03,2.25,3.21,1.72,3.63,3.46,2.89,0.85,2.09,1.59,2.8,1.86,1.26,0.89,2.92,0.6,1.44,1.6,1.18,1.74,2.32,2.32,2.32,2.32,2.32,2.32
Malaysia,Forests & Wetlands,CH4,MtCO₂e,2.54,2.54,2.15,6.2,1.86,1.52,2.53,3.2,5.82,1.15,2.56,1.21,4.6,4.05,1.74,1.84,0.06,1.33,1.33,10.98,2.1,1.56,2.69,2.69,2.69,2.69,2.69,2.69
Republic of Congo,Forests & Wetlands,N2O,MtCO₂e,2.17,2.17,1.89,1.02,2.12,1.82,2.03,1.42,1.52,2.03,2.37,2.28,2.3,1.87,1.03,0.37,0.39,0.12,0.16,0.15,0.17,0.17,1.67,1.67,1.67,1.67,1.67,1.67
Hungary,Forests & Wetlands,CO2,MtCO₂e,2.08,2.08,2.08,2.19,2.08,2.23,2.16,0.9,0.91,0.98,1.04,0.97,3.11,3.15,3.23,3.23,3.38,1.58,1.56,1.57,1.56,1.56,1.61,1.61,1.61,1.61,1.61,1.61
India,Forests & Wetlands,N2O,MtCO₂e,2.08,2.08,1.52,2.28,2.32,4.1,2.16,3.78,4.21,1.33,2.02,1.36,1.24,2.22,1.33,0.3,0.53,0.46,0.81,0.39,0.38,0.44,2.05,2.05,2.05,2.05,2.05,2.05
Indonesia,Forests & Wetlands,N2O,MtCO₂e,2.06,2.06,21.92,19.45,6.16,7.68,7.01,0.82,14.84,1.16,1.62,23.53,7.84,18.34,5.39,18.53,1.22,1.15,3.79,13.71,38.65,2.5,9.85,9.85,9.85,9.85,9.85,9.85
Tanzania,Forests & Wetlands,N2O,MtCO₂e,2.03,2.03,2.36,1.91,1.98,2.23,1.95,2.15,2.22,2.63,2.99,3.08,3.77,2.77,2.69,2.18,3.63,1.23,1.97,2.35,1.81,2.19,2.54,2.54,2.54,2.54,2.54,2.54
Solomon Islands,Forests & Wetlands,CO2,MtCO₂e,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.61,1.61,1.61,1.61,1.61,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69
Mozambique,Forests & Wetlands,CH4,MtCO₂e,1.94,1.94,1.93,1.8,1.87,0.99,0.81,1.14,1.38,1.43,1.49,1.17,2.21,1.76,3.09,4.8,11.02,0.35,1.4,1.7,1.22,1.94,2.43,2.43,2.43,2.43,2.43,2.43
Angola,Forests & Wetlands,N2O,MtCO₂e,1.91,1.91,2.68,2.09,2.55,2.28,2.99,2.04,2.18,1.95,2.68,1.96,2.81,2.86,2.4,2.37,3.07,5.15,6.38,6.9,5.4,5.96,2.43,2.43,2.43,2.43,2.43,2.43
Cambodia,Forests & Wetlands,N2O,MtCO₂e,1.88,1.88,1.31,0.88,1.31,0.67,0.88,0.64,0.54,0.66,0.78,0.64,0.98,0.99,0.57,0.42,0.21,0.73,0.88,1.31,0.42,0.13,0.83,0.83,0.83,0.83,0.83,0.83
Nepal,Forests & Wetlands,N2O,MtCO₂e,1.88,1.88,0.1,0.74,0.69,0.69,0.35,0.67,0.61,0.42,0.17,0.26,0.51,0.44,0.52,0.05,0.23,0.12,0.17,0.12,0.07,0.1,0.52,0.52,0.52,0.52,0.52,0.52
Central African Republic,Forests & Wetlands,CH4,MtCO₂e,1.84,1.84,0.73,0.39,0.7,0.75,0.67,0.65,0.49,0.87,0.49,0.4,0.9,0.51,0.96,0.44,0.76,4.08,5.37,6.41,4.07,1.76,0.72,0.72,0.72,0.72,0.72,0.72
Vietnam,Forests & Wetlands,CH4,MtCO₂e,1.78,1.78,1.82,2.32,1.74,1.81,0.99,2.65,1.33,0.71,2.83,0.91,2.47,2.02,1.83,1.35,0.32,0.77,0.74,1.37,0.37,0.5,1.68,1.68,1.68,1.68,1.68,1.68
Venezuela,Forests & Wetlands,N2O,MtCO₂e,1.76,1.76,0.93,0.74,1.15,0.15,0.13,1.7,0.29,0.5,1.05,0.71,0.51,0.29,1.74,0.17,1.16,0.54,0.42,0.93,0.4,0.34,0.81,0.81,0.81,0.81,0.81,0.81
Portugal,Forests & Wetlands,CO2,MtCO₂e,1.63,1.63,1.63,1.63,1.63,1.63,1.63,-0.12,-0.13,-0.13,-0.13,-0.13,5.63,5.6,5.71,5.59,5.59,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42
Thailand,Forests & Wetlands,N2O,MtCO₂e,1.6,1.6,0.98,1.22,0.58,0.91,0.25,0.87,0.91,0.68,1.51,0.54,1.06,1.9,0.42,0.53,0.31,0.36,0.59,1.03,0.42,0.43,0.89,0.89,0.89,0.89,0.89,0.89
Nigeria,Forests & Wetlands,CH4,MtCO₂e,1.49,1.49,0.46,0.22,0.43,0.38,0.18,0.42,0.2,1.13,0.3,0.29,0.49,0.49,0.68,0.25,0.51,8.39,7.57,8.94,7.61,8.95,0.49,0.49,0.49,0.49,0.49,0.49
Argentina,Forests & Wetlands,N2O,MtCO₂e,1.48,1.48,1.07,0.99,1.94,2.41,1.88,1.91,2.66,3.12,2.22,2.5,2.22,3.9,3.25,2.42,1.88,0.8,1.49,1.14,1.17,1.03,2.24,2.24,2.24,2.24,2.24,2.24
Guinea-Bissau,Forests & Wetlands,CO2,MtCO₂e,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.48,2.2,2.2,2.2,2.2,2.2,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47
Niger,Forests & Wetlands,CO2,MtCO₂e,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97
Paraguay,Forests & Wetlands,N2O,MtCO₂e,1.43,1.43,1.28,1.24,1.96,1.26,1.15,0.96,0.87,0.84,1.53,1.11,1.31,1.07,1.33,1.97,1.16,0.21,1.11,0.43,0.52,0.39,1.28,1.28,1.28,1.28,1.28,1.28
Guatemala,Forests & Wetlands,CH4,MtCO₂e,1.36,1.36,0.82,0.26,1.11,0.5,0.58,0.66,1.33,0.55,1.63,0.43,2.96,0.14,4.62,0.8,0.1,1.23,0.53,1.9,0.48,0.68,1.11,1.11,1.11,1.11,1.11,1.11
Liberia,Forests & Wetlands,CO2,MtCO₂e,1.34,1.34,1.34,1.34,1.34,1.4,1.35,15.02,15.1,15.02,15.02,15.02,15.02,15.02,15.02,15.02,15.02,15.01,15.01,15.01,15.01,15.01,15.02,15.02,15.02,15.02,15.02,15.02
Australia,Forests & Wetlands,N2O,MtCO₂e,1.33,1.33,1.14,1.64,2.1,1.04,0.73,0.42,2.28,0.39,1.75,4.31,0.53,0.65,6.64,3.47,2.21,1.16,2.81,2.24,2.87,1.92,1.91,1.91,1.91,1.91,1.91,1.91
Honduras,Forests & Wetlands,CH4,MtCO₂e,1.33,1.33,0.67,1.49,1.04,0.14,1.86,0.5,0.78,0.58,0.5,0.56,2.19,0.07,2.99,0.19,0.11,0.52,0.41,0.75,0.53,0.25,0.94,0.94,0.94,0.94,0.94,0.94
China,Forests & Wetlands,CH4,MtCO₂e,1.26,1.26,1.32,2.4,1.31,1.16,1.35,2.6,2.84,5.55,2.11,1.23,1.72,3.07,4.98,0.95,0.97,1.06,0.94,1.05,0.88,0.87,2.18,2.18,2.18,2.18,2.18,2.18
Botswana,Forests & Wetlands,N2O,MtCO₂e,1.24,1.24,2.87,0.27,1.11,0.24,0.24,0.1,0.23,0.41,1.65,0.5,1.56,0.33,1.91,3.22,0.81,1.23,1.58,2,1.74,1.45,1.04,1.04,1.04,1.04,1.04,1.04
Colombia,Forests & Wetlands,N2O,MtCO₂e,1.24,1.24,0.5,0.63,0.23,0.22,0.17,0.12,0.13,0.23,0.75,0.15,0.1,0.89,0.49,0.08,0.16,0.2,0.1,0.16,0.16,0.06,0.38,0.38,0.38,0.38,0.38,0.38
Estonia,Forests & Wetlands,CO2,MtCO₂e,1.12,1.12,1.13,1.12,1.15,1.13,1.11,-2.09,-2.12,-2.12,-2.13,-2.01,3.47,3.5,3.49,3.68,3.41,-3.93,-3.93,-3.93,-3.93,-3.92,-3.94,-3.94,-3.94,-3.94,-4.07,-4.07
Mexico,Forests & Wetlands,N2O,MtCO₂e,1.11,1.11,0.82,0.17,1.5,0.86,2.07,0.56,1.12,1.26,1.06,1.27,1.48,0.29,2.35,0.86,0.58,1.67,1.68,2.91,0.52,0.46,1.09,1.09,1.09,1.09,1.09,1.09
Rwanda,Forests & Wetlands,CO2,MtCO₂e,1.03,1.03,1.19,-0.17,0.7,-0.03,0.2,-0.89,-1.1,-0.4,-1.41,-0.61,-9.09,-9.57,-8.61,-10.02,-9.95,8.78,8.89,8.97,8.98,8.89,9.36,9.36,9.36,9.36,9.36,9.36
Ghana,Forests & Wetlands,CH4,MtCO₂e,1.02,1.02,0.32,0.16,0.33,0.54,0.23,0.31,0.43,0.21,0.4,0.28,0.3,0.46,0.1,0.24,0.61,0.65,0.59,1.05,0.4,0.12,0.37,0.37,0.37,0.37,0.37,0.37
Nicaragua,Forests & Wetlands,CH4,MtCO₂e,1.02,1.02,0.37,0.93,0.7,0.13,0.37,0.57,0.18,0.43,0.17,0.26,1.15,0.06,1.09,0.05,0.07,0.16,0.14,0.56,0.15,0.09,0.47,0.47,0.47,0.47,0.47,0.47
Guinea,Forests & Wetlands,CH4,MtCO₂e,1.01,1.01,1.76,1.06,0.73,1.35,1.1,0.71,0.97,0.52,1.82,1.69,1.05,1.7,1.01,0.44,0.88,0.41,0.61,0.71,0.36,0.31,1.11,1.11,1.11,1.11,1.11,1.11
Uganda,Forests & Wetlands,CH4,MtCO₂e,0.92,0.92,1.13,1.06,0.94,0.96,0.83,0.59,0.83,0.61,0.17,1.02,1.61,1.58,1.24,0.98,0.44,1.14,1.49,1.39,1.06,0.85,0.93,0.93,0.93,0.93,0.93,0.93
Sierra Leone,Forests & Wetlands,CH4,MtCO₂e,0.74,0.74,3.04,1.91,0.63,1.5,0.36,0.32,1.73,0.53,1.38,2.9,0.57,2.21,1.53,0.11,0.27,0.13,0.14,0.19,0.09,0.06,1.23,1.23,1.23,1.23,1.23,1.23
Madagascar,Forests & Wetlands,N2O,MtCO₂e,0.73,0.73,0.88,0.48,0.67,0.46,0.94,0.9,0.57,0.21,0.48,0.4,0.75,0.45,0.35,0.27,0.65,0.1,0.32,0.35,0.25,0.41,0.57,0.57,0.57,0.57,0.57,0.57
El Salvador,Forests & Wetlands,CO2,MtCO₂e,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.83,0.83,0.83,0.83,0.83,0.88,0.88,0.88,0.88,0.88,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
China,Forests & Wetlands,N2O,MtCO₂e,0.72,0.72,0.71,1.15,0.75,0.62,0.71,1.39,1.43,3.09,1,0.67,0.85,1.33,2.82,0.5,0.54,0.65,0.56,0.61,0.53,0.5,1.14,1.14,1.14,1.14,1.14,1.14
Cameroon,Forests & Wetlands,N2O,MtCO₂e,0.71,0.71,0.57,0.39,0.84,0.36,0.52,0.53,0.49,0.71,0.38,0.3,0.62,0.49,0.56,0.22,0.25,0.63,0.79,1.07,0.46,0.48,0.5,0.5,0.5,0.5,0.5,0.5
Malawi,Forests & Wetlands,CH4,MtCO₂e,0.7,0.7,0.68,0.49,0.44,0.57,0.31,0.68,0.23,0.36,0.16,0.12,0.58,0.16,0.51,0.27,0.65,0.34,0.32,0.39,0.35,0.42,0.43,0.43,0.43,0.43,0.43,0.43
Mozambique,Forests & Wetlands,N2O,MtCO₂e,0.68,0.68,0.68,0.63,0.66,0.35,0.29,0.4,0.48,0.5,0.52,0.41,0.77,0.62,1.09,1.68,3.86,0.12,0.49,0.6,0.43,0.68,0.85,0.85,0.85,0.85,0.85,0.85
Eritrea,Forests & Wetlands,CO2,MtCO₂e,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.59,0.69,0.59,0.6,0.59,0.62,0.62,0.62,0.62,0.62,1.22,1.22,1.22,1.22,1.22,1.23,1.23,1.23,1.32,1.32,1.32
Côte d'Ivoire,Forests & Wetlands,CH4,MtCO₂e,0.66,0.66,0.22,0.16,0.19,0.86,0.17,0.21,0.6,0.39,0.97,0.25,0.25,0.36,0.17,0.15,0.57,0.42,0.55,0.55,0.25,0.1,0.39,0.39,0.39,0.39,0.39,0.39
South Africa,Forests & Wetlands,CO2,MtCO₂e,0.66,0.66,2.4,2.65,1.79,2.42,2.08,2.32,2.62,1.97,1.98,2.05,2.45,1.97,1.93,1.94,1.19,1.02,1.01,1.19,0.94,0.99,1.99,1.99,1.99,1.99,1.99,1.99
Ethiopia,Forests & Wetlands,N2O,MtCO₂e,0.64,0.64,0.52,0.51,0.77,0.81,0.53,0.47,0.45,0.55,0.45,0.68,0.53,0.7,0.69,0.85,0.73,0.91,1.22,0.93,0.87,0.46,0.62,0.62,0.62,0.62,0.62,0.62
Vietnam,Forests & Wetlands,N2O,MtCO₂e,0.64,0.64,0.65,0.8,0.49,0.66,0.35,0.96,0.49,0.25,1.04,0.33,0.87,0.7,0.67,0.29,0.11,0.25,0.24,0.45,0.12,0.16,0.58,0.58,0.58,0.58,0.58,0.58
Central African Republic,Forests & Wetlands,N2O,MtCO₂e,0.61,0.61,0.26,0.14,0.25,0.26,0.24,0.23,0.17,0.3,0.17,0.14,0.32,0.18,0.34,0.15,0.27,1.43,1.88,2.25,1.43,0.62,0.25,0.25,0.25,0.25,0.25,0.25
Guyana,Forests & Wetlands,N2O,MtCO₂e,0.54,0.54,0.81,0.45,0.21,0.27,0.13,0.63,0.26,0.19,0.13,0.14,0.37,0.1,1.1,0.17,0.12,0.02,0.03,0.22,0.07,0.07,0.35,0.35,0.35,0.35,0.35,0.35
Belize,Forests & Wetlands,CH4,MtCO₂e,0.52,0.52,0.62,0.18,1.31,0.11,1.45,0.85,0.32,0.72,1.11,0.48,0.81,0.17,1.21,0.84,0.26,0.2,0.18,0.24,0.12,0.19,0.69,0.69,0.69,0.69,0.69,0.69
Nigeria,Forests & Wetlands,N2O,MtCO₂e,0.52,0.52,0.16,0.08,0.15,0.13,0.06,0.15,0.07,0.4,0.11,0.1,0.17,0.17,0.24,0.09,0.18,2.94,2.65,3.13,2.67,3.14,0.17,0.17,0.17,0.17,0.17,0.17
Jamaica,Forests & Wetlands,CO2,MtCO₂e,0.5,0.5,0.43,0.43,0.49,0.48,0.42,0.4,0.53,0.4,0.54,0.59,0.43,0.43,0.44,0.45,0.5,0.41,0.4,0.4,0.4,0.41,0.44,0.44,0.44,0.44,0.44,0.44
Philippines,Forests & Wetlands,CH4,MtCO₂e,0.49,0.49,0.36,0.3,0.16,0.12,0.14,0.58,0.13,0.06,0.19,0.09,0.31,0.17,0.18,0.22,0.05,0.05,0.05,0.16,0.05,0.04,0.22,0.22,0.22,0.22,0.22,0.22
Guatemala,Forests & Wetlands,N2O,MtCO₂e,0.48,0.48,0.29,0.09,0.39,0.18,0.2,0.24,0.47,0.19,0.57,0.15,1.04,0.05,1.63,0.28,0.04,0.43,0.18,0.67,0.17,0.24,0.39,0.39,0.39,0.39,0.39,0.39
Honduras,Forests & Wetlands,N2O,MtCO₂e,0.47,0.47,0.24,0.52,0.37,0.05,0.65,0.17,0.28,0.2,0.18,0.2,0.77,0.02,1.05,0.07,0.04,0.18,0.14,0.26,0.18,0.09,0.33,0.33,0.33,0.33,0.33,0.33
Peru,Forests & Wetlands,CH4,MtCO₂e,0.47,0.47,0.44,0.29,0.44,0.61,0.23,1.02,0.15,0.29,1.12,0.33,1.58,0.19,0.44,0.17,0.04,0.08,0.21,0.33,0.27,0.12,0.49,0.49,0.49,0.49,0.49,0.49
Burundi,Forests & Wetlands,CH4,MtCO₂e,0.43,0.43,0.28,0.29,0.38,0.31,0.37,0.43,0.45,0.4,0.26,0.38,0.4,0.57,0.76,0.7,0.47,0.37,0.33,0.38,0.33,0.3,0.43,0.43,0.43,0.43,0.43,0.43
Rwanda,Forests & Wetlands,CH4,MtCO₂e,0.43,0.43,0.48,0.03,0.31,0.09,0.15,0.19,0.13,0.35,0.03,0.28,0.41,0.27,0.56,0.12,0.12,0.06,0.09,0.13,0.13,0.09,0.25,0.25,0.25,0.25,0.25,0.25
Brunei,Forests & Wetlands,CO2,MtCO₂e,0.42,0.42,0.38,0.4,0.34,0.34,0.34,1.83,1.84,1.82,1.83,1.83,1.87,1.85,1.97,1.87,1.92,1.95,1.94,5.06,2.13,2,1.9,1.9,1.9,1.9,1.9,1.9
Papua New Guinea,Forests & Wetlands,N2O,MtCO₂e,0.4,0.4,3.53,0.96,0.53,0.47,0.37,0.67,0.47,0.54,0.36,0.94,0.43,2.01,0.62,0.98,0.18,0.35,0.39,0.41,6.68,0.32,0.84,0.84,0.84,0.84,0.84,0.84
Malaysia,Forests & Wetlands,N2O,MtCO₂e,0.38,0.38,0.3,0.83,0.25,0.2,0.33,0.45,0.79,0.16,0.35,0.17,0.63,0.55,0.25,0.25,0.01,0.19,0.19,2.09,0.33,0.23,0.37,0.37,0.37,0.37,0.37,0.37
Ghana,Forests & Wetlands,N2O,MtCO₂e,0.36,0.36,0.11,0.06,0.1,0.19,0.08,0.11,0.15,0.07,0.14,0.1,0.1,0.16,0.03,0.08,0.21,0.23,0.2,0.37,0.14,0.04,0.13,0.13,0.13,0.13,0.13,0.13
Bahamas,Forests & Wetlands,CO2,MtCO₂e,0.35,0.35,0.35,0.35,0.35,0.35,0.35,4.91,4.91,4.91,4.91,4.91,-0.97,-0.97,-0.97,-0.97,-0.97,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45
Nicaragua,Forests & Wetlands,N2O,MtCO₂e,0.35,0.35,0.13,0.32,0.25,0.04,0.13,0.2,0.06,0.15,0.06,0.09,0.4,0.02,0.38,0.02,0.02,0.06,0.05,0.19,0.05,0.03,0.16,0.16,0.16,0.16,0.16,0.16
Gabon,Forests & Wetlands,CH4,MtCO₂e,0.33,0.33,0.35,0.16,0.5,0.43,0.6,0.22,0.16,0.92,0.41,0.5,0.31,0.44,0.12,0.07,0.05,0.02,0.03,0.03,0.03,0.05,0.35,0.35,0.35,0.35,0.35,0.35
Ukraine,Forests & Wetlands,CH4,MtCO₂e,0.33,0.33,3.04,2.08,0.27,1.63,0.87,0.59,1.02,0.9,0.83,0.56,0.59,0.58,0.7,1.8,0.41,0.12,0.23,0.25,0.24,0.26,1.01,1.01,1.01,1.01,0.92,0.92
Portugal,Forests & Wetlands,CH4,MtCO₂e,0.28,0.28,0.07,0.01,0.16,0.08,0.04,0.17,0.06,0,0.02,0.07,0.67,0.03,0.45,0.11,0.11,0.05,0.07,0.1,0.06,0.11,0.15,0.15,0.15,0.15,0.15,0.15
Chad,Forests & Wetlands,CH4,MtCO₂e,0.28,0.28,0.2,0.22,0.21,0.29,0.06,0.1,0.06,0.06,0.06,0.09,0.05,0.13,0.11,0.2,0.29,3.11,4.99,5.12,2.35,1.54,0.15,0.15,0.15,0.15,0.15,0.15
South Africa,Forests & Wetlands,CH4,MtCO₂e,0.28,0.28,0.89,1.05,0.66,0.88,0.94,1.27,1.17,1.05,1.06,0.79,1.46,0.84,0.99,1.04,1.12,0.59,1.4,2.05,1.24,1.25,0.97,0.97,0.97,0.97,0.97,0.97
Sierra Leone,Forests & Wetlands,N2O,MtCO₂e,0.26,0.26,1.06,0.67,0.22,0.52,0.13,0.11,0.6,0.18,0.48,1.02,0.2,0.77,0.54,0.04,0.1,0.04,0.05,0.07,0.03,0.02,0.43,0.43,0.43,0.43,0.43,0.43
Suriname,Forests & Wetlands,CH4,MtCO₂e,0.26,0.26,0.71,0.39,0.38,0.29,0.28,0.24,0.52,0.34,0.08,0.25,0.15,0.82,1.26,0.45,0.06,0.04,0.09,0.32,0.18,0.14,0.4,0.4,0.4,0.4,0.4,0.4
Malawi,Forests & Wetlands,N2O,MtCO₂e,0.25,0.25,0.23,0.16,0.15,0.2,0.1,0.21,0.06,0.12,0.05,0.04,0.2,0.05,0.16,0.08,0.15,0.05,0.07,0.08,0.07,0.1,0.14,0.14,0.14,0.14,0.14,0.14
Côte d'Ivoire,Forests & Wetlands,N2O,MtCO₂e,0.23,0.23,0.07,0.05,0.06,0.3,0.06,0.07,0.2,0.13,0.33,0.08,0.08,0.13,0.05,0.05,0.2,0.15,0.19,0.19,0.09,0.03,0.13,0.13,0.13,0.13,0.13,0.13
Uganda,Forests & Wetlands,N2O,MtCO₂e,0.23,0.23,0.23,0.24,0.19,0.22,0.17,0.11,0.16,0.11,0.04,0.16,0.26,0.27,0.19,0.17,0.11,0.26,0.39,0.32,0.25,0.15,0.18,0.18,0.18,0.18,0.18,0.18
Costa Rica,Forests & Wetlands,CH4,MtCO₂e,0.22,0.22,0.11,0.08,0.12,0.06,0,0.05,0.02,0.02,0.07,0.02,0.03,0.03,0.28,0.02,0.05,0.03,0.03,0.05,0.03,0.02,0.07,0.07,0.07,0.07,0.07,0.07
Guinea,Forests & Wetlands,N2O,MtCO₂e,0.21,0.21,0.54,0.23,0.14,0.39,0.23,0.13,0.19,0.1,0.38,0.38,0.18,0.36,0.19,0.1,0.27,0.11,0.17,0.22,0.1,0.07,0.25,0.25,0.25,0.25,0.25,0.25
Liberia,Forests & Wetlands,CH4,MtCO₂e,0.21,0.21,3.7,1.46,0.28,0.42,0.33,0.22,3.7,0.21,0.26,0.59,0.03,0.23,0.36,0,0,0.03,0.03,0.04,0.02,0.03,0.75,0.75,0.75,0.75,0.75,0.75
Portugal,Forests & Wetlands,N2O,MtCO₂e,0.19,0.19,0.05,0,0.1,0.05,0.02,0.11,0.04,0,0.01,0.04,0.44,0.02,0.27,0.07,0.07,0.03,0.05,0.06,0.04,0.07,0.09,0.09,0.09,0.09,0.09,0.09
Philippines,Forests & Wetlands,N2O,MtCO₂e,0.17,0.17,0.13,0.1,0.06,0.04,0.05,0.21,0.05,0.02,0.07,0.03,0.11,0.06,0.07,0.08,0.02,0.02,0.02,0.06,0.02,0.01,0.08,0.08,0.08,0.08,0.08,0.08
Panama,Forests & Wetlands,CH4,MtCO₂e,0.15,0.15,0.22,0.04,0.08,0.1,0.01,0.01,0.11,0.05,0.05,0.09,0.02,0.18,0.47,0.1,0.03,0.01,0.01,0.01,0.01,0.01,0.11,0.11,0.11,0.11,0.11,0.11
Peru,Forests & Wetlands,N2O,MtCO₂e,0.15,0.15,0.12,0.09,0.11,0.2,0.07,0.28,0.05,0.08,0.25,0.09,0.41,0.07,0.15,0.06,0.01,0.01,0.06,0.07,0.05,0.03,0.14,0.14,0.14,0.14,0.14,0.14
Eswatini,Forests & Wetlands,CO2,MtCO₂e,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.15,0.11,0.11,0.11,0.11,0.11,0.11
Haiti,Forests & Wetlands,CO2,MtCO₂e,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Mongolia,Forests & Wetlands,CH4,MtCO₂e,0.13,0.13,1.08,0.11,0.22,0.97,0.4,0.02,0.69,1.58,1.83,1.8,0.08,0.27,0.07,1.11,0.27,1.41,0.53,0.92,2.61,0.68,0.66,0.66,0.66,0.66,0.66,0.66
Chile,Forests & Wetlands,CH4,MtCO₂e,0.12,0.12,0.75,0.26,0.07,0.23,0.27,0.17,0.24,0.36,0.26,0.11,0.28,0.16,0.17,0.18,0.03,0.06,0.13,0.12,0.16,0.08,0.23,0.23,0.23,0.23,0.23,0.23
Dominica,Forests & Wetlands,CO2,MtCO₂e,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.53,0.53,0.53,0.53,0.53,0.01,0.01,0.01,0.01,0.01,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04
Nicaragua,Forests & Wetlands,CO2,MtCO₂e,0.12,0.12,0.07,0.07,0.08,0.08,0.08,28.85,28.85,28.85,28.85,28.85,28.89,28.89,28.89,28.89,28.89,28.87,28.87,28.88,28.87,28.87,28.86,28.86,28.86,28.86,28.86,28.86
South Africa,Forests & Wetlands,N2O,MtCO₂e,0.12,0.12,0.2,0.26,0.17,0.2,0.24,0.39,0.32,0.33,0.37,0.19,0.5,0.22,0.3,0.32,0.39,0.23,0.62,0.92,0.53,0.54,0.28,0.28,0.28,0.28,0.28,0.28
Bangladesh,Forests & Wetlands,CH4,MtCO₂e,0.11,0.11,0.3,0.58,0.49,0.19,0.41,0.53,0.24,0.44,0.23,0.58,0.15,0.37,0.14,0.01,0.22,0.07,0.14,0.11,0.1,0.1,0.31,0.31,0.31,0.31,0.31,0.31
Bahamas,Forests & Wetlands,CH4,MtCO₂e,0.11,0.11,0.07,0.06,0.18,0.04,0.17,0.03,0.06,0.1,0.03,0.05,0.09,0.15,0.01,0.06,0.03,0.1,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08
Gabon,Forests & Wetlands,N2O,MtCO₂e,0.11,0.11,0.1,0.05,0.16,0.15,0.19,0.06,0.06,0.3,0.13,0.17,0.1,0.15,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.11,0.11,0.11,0.11,0.11,0.11
