IEA Region,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,Oil products,Imports (ktoe),3227.859,3424.508,3658.1088,4364.8156,3222.5112,3643.458,3681.7737,3525.2986,3926.4952,4225.2556,3728.7809,2641.3801,2465.2885,2257.7386,2485.7528,2639.1564,3735.4376,3073.008,3731.241,4187.9407,2771.0782,2225.8742,2866.6619,2944.8338,3250.5971,3279.8748,3816.2415,2999.9379,3649.3933,4068.1977,4231.1168,4091.0266,4879.7554,8994.5304,9718.5655,11957.2824,10984.8357,14388.1867,15598.3066,15941.8434,14865.7914,18196.0987,20102.41,20745.9831,23101.7789,27401.2221,28626.9002,30604.815,30357.7363
Australia,Oil products,Exports (ktoe),-1925.6664,-2042.0894,-3366.7765,-2739.6962,-3243.747,-3222.0622,-3446.0423,-3866.2821,-3555.6368,-3380.9473,-3307.9345,-3272.5136,-3518.7709,-4267.9469,-3532.2944,-3918.7733,-3654.8701,-4176.1584,-3690.7304,-3446.4961,-3590.4294,-3307.3684,-3229.839,-2961.756,-2856.573,-3505.2761,-4345.6076,-4213.5641,-3555.0158,-3463.1461,-3853.769,-4882.667,-4582.2991,-3860.6788,-3296.2358,-3507.3373,-3206.5945,-3125.4204,-2543.8903,-2437.6564,-2200.1867,-2335.7966,-2290.6449,-2086.0733,-1902.4165,-1777.7633,-2284.7948,-2291.8488,-2615.8161
Australia,Oil products,Total energy supply (ktoe),-964.2328,-664.1898,-2182.4568,-772.688,-2215.4462,-1735.6836,-2113.7098,-1528.4943,-1754.9704,-1581.0094,-1782.4663,-1900.6425,-3074.5796,-2780.3693,-2633.3286,-2436.553,-1943.4389,-2651.906,-1938.5664,-1873.063,-2891.2009,-3082.8556,-2992.665,-2386.4789,-2732.3063,-2743.9882,-3654.0986,-4443.7088,-3068.8545,-2424.7349,-3124.9952,-3506.8358,-2389.7177,1619.4373,2940.4175,4415.5083,3870.29,7411.7536,8967.1038,9705.2833,8788.2914,11399.0315,13497.1811,14374.8645,16589.1039,20478.4895,21648.247,22160.2785,22149.9066
Australia,Oil products,"Electricity, CHP and heat plants (ktoe)",-376.4689,-417.1682,-431.413,-1158.9137,-1111.092,-1144.6689,-1182.3158,-1317.6412,-1351.2181,-1151.7914,-1119.2318,-1221.9978,-1081.585,-1053.0955,-933.0323,-807.8819,-606.4201,-478.2172,-634.9097,-946.2597,-967.6268,-676.6265,-686.8013,-695.9587,-792.6197,-748.8679,-591.1579,-594.2104,-502.6369,-525.0215,-602.3503,-569.7908,-641.0146,-791.6022,-824.1617,-882.1582,-846.5463,-1199.6131,-900.1959,-1393.6371,-1331.819,-853.3056,-1494.1196,-1106.6208,-1364.068,-1222.3034,-1212.1525,-1138.201,..
Australia,Oil products,"Oil refineries, transformation (ktoe)",22632.4878,22226.1011,26145.7772,29721.0638,29948.3352,31165.8212,31594.6905,31436.9256,31593.0066,30263.7695,29500.6783,29972.0335,28836.4646,28951.6863,28984.5658,28148.0128,28343.9668,30284.1,31095.77,32060.5594,32905.4672,33309.6446,34782.3827,35383.116,36318.5798,37740.9334,38144.4349,38624.7946,37911.1087,38256.9098,36873.4284,36676.2229,36463.3419,35699.9498,34379.6575,31692.1324,32370.9468,32839.6771,32760.6812,32172.2533,33916.883,32298.1617,32444.9402,30156.1897,26862.3758,22852.7101,22094.412,23093.6343,..
Australia,Oil products,Total final consumption (ktoe),22387.7591,22242.8872,24264.2448,24172.4515,24352.5246,24612.6278,26039.0943,26616.9724,26988.7145,26919.4683,25931.5444,25753.3056,24220.7318,25343.0759,25490.9024,25876.457,25994.325,27441.8052,28456.6256,28994.1029,28229.2491,28761.0299,29542.5791,30267.0512,31394.5997,32506.4584,32943.3481,33106.9528,33586.2568,34716.263,34366.2845,33849.3265,35327.7037,36438.9319,36537.752,37171.5988,37814.2567,38657.6192,38157.5284,38983.073,41223.1496,42600.2762,43021.5283,43079.6809,42498.4147,43038.5308,43643.5701,44620.4418,..
Australia,Oil products,Industry (ktoe),6080.1901,5668.8449,5573.2827,6340.3124,5887.9837,5777.1281,6041.2224,5768.1475,5793.5129,5379.2491,4553.6591,3962.2982,3129.8223,3226.7937,2746.1617,2527.7634,2515.9645,2728.3391,2872.1482,2885.7457,2697.4109,2683.9615,2766.0051,2866.8721,2951.0772,3152.5413,3228.566,3234.3699,3298.6768,3547.5662,3397.9173,2800.6258,3073.3137,3013.5784,3075.4013,3170.1323,3044.8911,3434.3365,3251.457,3155.964,3930.1172,4471.0946,4609.5646,4506.7649,3865.0312,3600.1158,3564.9911,3865.6251,..
Australia,Oil products,Transport (ktoe),11185.7767,11597.977,12853.511,13239.6771,13774.7253,14226.8893,15137.1238,15958.1255,16348.8941,16744.2032,17027.9641,17430.7466,17229.3852,17881.8238,18402.601,18900.2006,19197.27,19952.5318,20569.4325,20872.8552,20313.4088,20816.9198,21178.1098,21736.885,22634.5992,23454.9943,23890.5871,23896.0734,24346.102,25063.5903,24793.0902,25441.4923,25485.1247,26419.2677,26280.8398,26968.5822,27650.996,28171.52,28022.7859,29121.3313,29871.0817,30077.5745,30593.4753,30625.8829,31308.7194,31715.9162,32375.0704,32947.8135,..
Australia,Oil products,Residential (ktoe),771.5606,782.8318,787.955,1007.2084,1138.3778,1116.3012,1210.6979,1105.8541,1072.2772,783.9854,586.2926,541.8171,473.223,441.0361,442.0966,403.769,404.9226,373.6242,365.0974,378.1958,373.5526,383.1112,406.5635,372.0765,365.943,359.3938,361.8157,353.0811,336.0275,349.6632,339.7607,339.2089,360.1533,325.8957,293.458,263.0625,317.7486,285.9702,375.0788,365.9645,383.09,375.5565,383.8565,378.0237,367.9854,403.2694,354.5315,356.8887,..
Australia,Oil products,Commercial and public services (ktoe),122.098,117.0106,111.9232,673.9682,658.0539,631.0691,602.0421,559.3078,530.1662,506.7355,427.1281,369.1531,298.1728,252.2213,238.0338,240.2551,231.9504,242.2184,249.4196,256.3844,257.237,282.2657,294.9197,284.4583,287.1023,291.9031,289.3308,296.1665,303.1313,312.8332,312.4248,475.172,452.7443,494.7406,493.0711,568.243,584.53,602.945,621.5105,624.4411,667.9697,719.0795,744.8577,770.279,780.1616,790.4276,817.7702,878.7739,..
