Region,Sector,Metric,Year,Value
ASEAN,Industry,Other renewables,2023,0
ASEAN,Industry,Other renewables,2024,0
ASEAN,Industry,Other renewables,2025,0
ASEAN,Industry,Other renewables,2026,0
ASEAN,Industry,Other renewables,2027,0
ASEAN,Industry,Other renewables,2028,0
ASEAN,Industry,Other renewables,2029,0
ASEAN,Industry,Other renewables,2030,0
ASEAN,Industry,Other renewables,2031,0
ASEAN,Industry,Other renewables,2032,0
ASEAN,Industry,Other renewables,2033,0
ASEAN,Industry,Other renewables,2034,0
ASEAN,Industry,Other renewables,2035,0
ASEAN,Industry,Other renewables,2036,0
ASEAN,Industry,Other renewables,2037,0
ASEAN,Industry,Other renewables,2038,0
ASEAN,Industry,Other renewables,2039,0
ASEAN,Industry,Other renewables,2040,0
ASEAN,Other,   Petrochem. feedstock,2010,383
ASEAN,Other,   Petrochem. feedstock,2011,395
ASEAN,Other,   Petrochem. feedstock,2012,407
ASEAN,Other,   Petrochem. feedstock,2013,418
ASEAN,Other,   Petrochem. feedstock,2014,430
ASEAN,Other,   Petrochem. feedstock,2015,441
ASEAN,Other,   Petrochem. feedstock,2016,453
ASEAN,Other,   Petrochem. feedstock,2017,476
ASEAN,Other,   Petrochem. feedstock,2018,488
ASEAN,Other,   Petrochem. feedstock,2019,511
ASEAN,Other,   Petrochem. feedstock,2020,523
ASEAN,Other,   Petrochem. feedstock,2021,546
ASEAN,Other,   Petrochem. feedstock,2022,558
ASEAN,Other,   Petrochem. feedstock,2023,581
ASEAN,Other,   Petrochem. feedstock,2024,593
ASEAN,Other,   Petrochem. feedstock,2025,616
ASEAN,Other,   Petrochem. feedstock,2026,616
ASEAN,Other,   Petrochem. feedstock,2027,628
ASEAN,Other,   Petrochem. feedstock,2028,639
ASEAN,Other,   Petrochem. feedstock,2029,639
ASEAN,Other,   Petrochem. feedstock,2030,651
ASEAN,Other,   Petrochem. feedstock,2031,651
ASEAN,Other,   Petrochem. feedstock,2032,662
ASEAN,Other,   Petrochem. feedstock,2033,674
ASEAN,Other,   Petrochem. feedstock,2034,686
ASEAN,Other,   Petrochem. feedstock,2035,686
ASEAN,Other,   Petrochem. feedstock,2036,686
ASEAN,Other,   Petrochem. feedstock,2037,686
ASEAN,Other,   Petrochem. feedstock,2038,697
ASEAN,Other,   Petrochem. feedstock,2039,697
ASEAN,Other,   Petrochem. feedstock,2040,709
ASEAN,Other,Other,2010,558
ASEAN,Other,Other,2011,569
ASEAN,Other,Other,2012,581
ASEAN,Other,Other,2013,593
ASEAN,Other,Other,2014,616
ASEAN,Other,Other,2015,628
ASEAN,Other,Other,2016,639
ASEAN,Other,Other,2017,662
ASEAN,Other,Other,2018,686
ASEAN,Other,Other,2019,709
ASEAN,Other,Other,2020,732
ASEAN,Other,Other,2021,755
ASEAN,Other,Other,2022,779
ASEAN,Other,Other,2023,802
ASEAN,Other,Other,2024,825
ASEAN,Other,Other,2025,848
ASEAN,Other,Other,2026,860
ASEAN,Other,Other,2027,872
ASEAN,Other,Other,2028,883
ASEAN,Other,Other,2029,895
ASEAN,Other,Other,2030,907
ASEAN,Other,Other,2031,918
ASEAN,Other,Other,2032,930
ASEAN,Other,Other,2033,942
ASEAN,Other,Other,2034,953
ASEAN,Other,Other,2035,965
ASEAN,Other,Other,2036,965
ASEAN,Other,Other,2037,976
ASEAN,Other,Other,2038,976
ASEAN,Other,Other,2039,988
ASEAN,Other,Other,2040,988
ASEAN,Other energy sector,  Electricity,2010,81
ASEAN,Other energy sector,  Electricity,2011,81
ASEAN,Other energy sector,  Electricity,2012,93
ASEAN,Other energy sector,  Electricity,2013,93
ASEAN,Other energy sector,  Electricity,2014,104
ASEAN,Other energy sector,  Electricity,2015,104
ASEAN,Other energy sector,  Electricity,2016,116
ASEAN,Other energy sector,  Electricity,2017,127
ASEAN,Other energy sector,  Electricity,2018,127
ASEAN,Other energy sector,  Electricity,2019,127
ASEAN,Other energy sector,  Electricity,2020,139
ASEAN,Other energy sector,  Electricity,2021,139
ASEAN,Other energy sector,  Electricity,2022,151
ASEAN,Other energy sector,  Electricity,2023,151
ASEAN,Other energy sector,  Electricity,2024,162
ASEAN,Other energy sector,  Electricity,2025,162
ASEAN,Other energy sector,  Electricity,2026,162
ASEAN,Other energy sector,  Electricity,2027,174
ASEAN,Other energy sector,  Electricity,2028,186
ASEAN,Other energy sector,  Electricity,2029,186
ASEAN,Other energy sector,  Electricity,2030,197
ASEAN,Other energy sector,  Electricity,2031,197
ASEAN,Other energy sector,  Electricity,2032,209
ASEAN,Other energy sector,  Electricity,2033,220
ASEAN,Other energy sector,  Electricity,2034,220
ASEAN,Other energy sector,  Electricity,2035,232
ASEAN,Other energy sector,  Electricity,2036,232
ASEAN,Other energy sector,  Electricity,2037,244
ASEAN,Other energy sector,  Electricity,2038,255
ASEAN,Other energy sector,  Electricity,2039,255
ASEAN,Other energy sector,  Electricity,2040,267
ASEAN,Other energy sector,Other energy sector,2010,709
ASEAN,Other energy sector,Other energy sector,2011,686
ASEAN,Other energy sector,Other energy sector,2012,674
ASEAN,Other energy sector,Other energy sector,2013,651
ASEAN,Other energy sector,Other energy sector,2014,639
ASEAN,Other energy sector,Other energy sector,2015,616
ASEAN,Other energy sector,Other energy sector,2016,604
ASEAN,Other energy sector,Other energy sector,2017,593
ASEAN,Other energy sector,Other energy sector,2018,604
ASEAN,Other energy sector,Other energy sector,2019,616
ASEAN,Other energy sector,Other energy sector,2020,628
ASEAN,Other energy sector,Other energy sector,2021,639
ASEAN,Other energy sector,Other energy sector,2022,651
ASEAN,Other energy sector,Other energy sector,2023,662
ASEAN,Other energy sector,Other energy sector,2024,674
ASEAN,Other energy sector,Other energy sector,2025,686
ASEAN,Other energy sector,Other energy sector,2026,697
ASEAN,Other energy sector,Other energy sector,2027,721
ASEAN,Other energy sector,Other energy sector,2028,744
ASEAN,Other energy sector,Other energy sector,2029,755
ASEAN,Other energy sector,Other energy sector,2030,779
ASEAN,Other energy sector,Other energy sector,2031,802
ASEAN,Other energy sector,Other energy sector,2032,825
ASEAN,Other energy sector,Other energy sector,2033,848
ASEAN,Other energy sector,Other energy sector,2034,872
ASEAN,Other energy sector,Other energy sector,2035,895
ASEAN,Other energy sector,Other energy sector,2036,907
ASEAN,Other energy sector,Other energy sector,2037,930
ASEAN,Other energy sector,Other energy sector,2038,953
ASEAN,Other energy sector,Other energy sector,2039,976
ASEAN,Other energy sector,Other energy sector,2040,1000
ASEAN,Power sector,Bioenergy,2010,34
ASEAN,Power sector,Bioenergy,2011,46
