Region,Sector,Units,Scenario,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
World ,Electricity,%,PD20,0.249908867355376,0.258085140791426,0.275309681732685,0.288738645091212,0.30282176963849,0.324995251628271,0.354997287424679,0.373351677566001,0.385,0.405123098232213,0.415783764199106,0.427753365188832,0.441126182877776,0.455980878878885,0.472372687635686,0.490324916200513,0.509820457880594,0.530794315702441,0.553128338254226,0.576649398098122,0.601132008182251,0.626305846154199,0.651867902791087,0.677498148597964,0.702876939239159,0.727702053491272,0.751703374223986,0.774653739325523,0.796375240889277,0.816741023354498,0.835673242733928,0.853138202682602,0.869139775093915,0.883712104937677,0.896912378522349,0.908814181082916,0.91950173861274,0.92906515784546,0.937596653570995,0.945187677615676,0.950447628263803,0.95769113287382,0.96288260334399,0.967458881847195,0.971487313960205,0.975029279123993,0.97814035477479,0.980870588234896,0.983264836825665,0.985363146315352,0.98720114559202,0.988810441614732,0.990219003506514,0.991451528351872,0.992529784063299,0.993472926766989,0.994297791680014,0.99501915753447,0.995649985349973,0.996201632845737,0.996684046081849,0.997105930076901,0.997474900205298,0.99779761616249,0.998079900223197,0.998326841423472,0.998542887185084,0.998731923779294,0.998897346903316,0.999042123521044,0.999168846003063,0.999279779491373,0.999376903312698,0.999461947171202,0.999536422766951,0.999601651410239,0.999658788133633,0.999708842742668,0.999752698192044,0.999791126626235,0.999824803381202,0.999854319206586,0.999880190935118,0.99990287079718,0.999922754553369,0.999940188595828,0.999955476149929,0.999968882691001,0.999980640676177,0.999990953678593,1
World ,Transport,%,PD20,0.016592637888656,0.017480864790848,0.018691068455977,0.019352674176765,0.01974873224963,0.020098820299651,0.020402978217919,0.022755148175354,0.028,0.034218168563293,0.038071840798884,0.042373764079097,0.047182522443446,0.052563152681429,0.058586637077462,0.065328577978765,0.077682126449096,0.090200390681616,0.102992192747388,0.116159600731276,0.129792501774837,0.144386468005163,0.159949977991772,0.176331572728112,0.193347705590021,0.210800747230382,0.228498748878253,0.246272651886466,0.263987592289344,0.281546942386523,0.298889817291147,0.316007346159553,0.332845809666678,0.349408010392918,0.365700233939992,0.381727237062188,0.397489409087138,0.412981747595435,0.428194166217559,0.443112657675695,0.457720905058492,0.471944864361935,0.485853993715033,0.499434191932713,0.512674994288796,0.525570303203169,0.538118783243676,0.550323948157628,0.562193984752799,0.573741367803176,0.584982323177678,0.595962293795786,0.606680889971861,0.617162402484844,0.627432153229926,0.637515893685822,0.647439276056804,0.657227405749379,0.66690447788361,0.676493495897297,0.686016066920612,0.695503974416929,0.704969684344617,0.714430342274357,0.723901440303214,0.733396871090392,0.742929006104333,0.752508790827744,0.762145850701629,0.77184860263187,0.78162436788217,0.791489786901866,0.801448701293035,0.811506008671929,0.821665906218249,0.831931978009788,0.842307274255728,0.852794382487851,0.863395490986941,0.874112444872421,0.88494679537926,0.895900620365094,0.906974860818989,0.918170546657391,0.929488552022599,0.940929619323572,0.952494379805554,0.964183371098538,0.975997052148977,0.987935815894618,1
World ,Buildings,%,PD20,0.2809741434991,0.282020700174646,0.283053293773055,0.28407220188396,0.28507769478736,0.286070035692645,0.287125983602117,0.289,0.295,0.303398933549772,0.307014462402931,0.310757624682357,0.314691403165572,0.318825949443601,0.323175197152999,0.327727320020681,0.331857056775659,0.336170140436095,0.340674250123029,0.345371203667469,0.350276435320749,0.353225751036666,0.356404181282182,0.359780375877007,0.363367523609191,0.367169880583639,0.371068986349606,0.375155247478549,0.379446444958235,0.383954941615685,0.388671175451497,0.392821179187033,0.397149368761106,0.40165411688662,0.407244712027288,0.411946309995285,0.417745861483889,0.423677526359269,0.429738203075769,0.435924800223197,0.442234239735376,0.443925279882097,0.446390795747615,0.44963684204207,0.453682601902735,0.458503974253906,0.464073270434926,0.470355659370725,0.477311293114638,0.484897249881217,0.493069220857614,0.501800657333767,0.511020904771049,0.520688551428923,0.530764722935387,0.541213441469461,0.552001814684399,0.563100092603436,0.574481626723702,0.586122760536179,0.598002675392325,0.610119290304234,0.622427969983939,0.634915329195811,0.647570094510915,0.660382928098479,0.673346266715806,0.686454177569268,0.699702231699608,0.713087394844326,0.726607935277201,0.740203248243904,0.753939336323234,0.767817749608918,0.781841147308094,0.796013282092816,0.810338996630256,0.824824231954026,0.839476047532476,0.854302653103946,0.869313452583342,0.884497151731492,0.899880057654887,0.915475776851886,0.931299481404376,0.947368035982411,0.958432351522137,0.968790130537992,0.979170930636735,0.989574350084875,1
World ,Industry,%,PD20,0.179926954703669,0.181730644661762,0.183479052625654,0.185174681773871,0.186819886406202,0.188416882849899,0.191386320280028,0.195139467656611,0.204,0.213,0.222,0.229425356500035,0.235739153977889,0.24194593083657,0.24805897173185,0.254129332225817,0.259891938980374,0.265629508208159,0.271346295701999,0.277018972322718,0.282676440589079,0.289274561205522,0.295903184664273,0.302563583892659,0.309276402544658,0.316022456357534,0.322815653085323,0.329618684117261,0.336433485276537,0.343247124168917,0.350054759321816,0.357136108829711,0.36432065879707,0.371372662682285,0.378268284916902,0.38536698234603,0.392283757983279,0.399004558531938,0.405518193020103,0.411817415580394,0.417899955048913,0.423372161975092,0.428656053347277,0.433764071965623,0.438778007686338,0.443671212320012,0.448478354489173,0.453240646675532,0.458004768688877,0.46282152875052,0.467744332426883,0.472991677808129,0.478448808458221,0.484167588297826,0.490196003616118,0.496577075260691,0.503348088374834,0.510540158773467,0.518178126172501,0.526280739541948,0.534861081578176,0.544169945797113,0.553961814461651,0.564235576720678,0.574987328828015,0.586211112706839,0.597899573167793,0.610044518360079,0.622637378138505,0.635669562736325,0.649132729445492,0.662900134041251,0.677057588615792,0.691634064922533,0.706620328417161,0.721985128574707,0.7377519807684,0.753913194479811,0.77046208734479,0.787392796276467,0.804700106366705,0.822635160044536,0.840934852617175,0.85959519875638,0.878612400789753,0.897982755595266,0.917702575921798,0.937768125017592,0.958175563570102,0.978920908090225,1
World ,Regenerative Agriculture,%,PD20,0.038337488616068,0.042305167659808,0.046647346263275,0.051391876242152,0.056567167758724,0.062201872429675,0.068324499994043,0.075745120540185,0.082926225258405,0.090675065734189,0.099014388526036,0.108051282703127,0.117724013631044,0.128045052493389,0.139021722695186,0.150655508618494,0.162941430993791,0.175867520476589,0.189414420845111,0.203555151193054,0.218255052474526,0.233471937809714,0.249156458284885,0.265252686942352,0.281698913757797,0.298428634254163,0.315371704678441,0.332455628058319,0.349606928603202,0.366752567355453,0.383821350103874,0.400745279497853,0.417460806956639,0.433909946015445,0.450041216633967,0.465810399007729,0.481181084799264,0.496125022708181,0.510622263308634,0.524661114660024,0.538237925105455,0.551356712870256,0.564028663675502,0.576271517813969,0.588108867283142,0.599569381936862,0.610685981503859,0.621494968010181,0.632035130894702,0.642346835162218,0.652471101492114,0.662448686494402,0.672319171412947,0.682120068584014,0.691885956842341,0.701647659690698,0.711431483151301,0.721258533409775,0.731144137144246,0.741097389228108,0.751120852715223,0.761210434136965,0.771355452798124,0.78153891584209,0.791738001578692,0.801924742502396,0.812066887480046,0.822128910909568,0.832073126500376,0.841860855881358,0.85145359841915,0.860814148929295,0.869907614387173,0.878702288794307,0.887170356111993,0.895288403454417,0.903037739270499,0.910404522867382,0.917379721408831,0.923958917856206,0.930141997956486,0.935932746388991,0.941338381876652,0.946369058925133,0.951037360419221,0.955357801119232,0.959346357636246,0.963020036104324,0.966396484783338,0.969493655387378,0.972329514120931
World ,Forests & Wetlands,%,PD20,0.023244287783027,0.025400252688038,0.027777350136035,0.030392914914654,0.033264519746714,0.036409737018995,0.039845862864448,0.043589608226918,0.043589608226918,0.047656764563112,0.052061854924238,0.05705699389835,0.062891857955456,0.069333468757537,0.07638295423679,0.084038911281896,0.092297267219065,0.101151207265941,0.110591160581792,0.120604829869268,0.131177243296754,0.14229080418033,0.153925314501515,0.166057953511629,0.17866320220747,0.191712717349947,0.205175173183113,0.219016102832397,0.233197782103119,0.247679203914694,0.262416190408421,0.277361681348269,0.292466222418209,0.30767865713046,0.322947003889192,0.338219478361934,0.35344560371124,0.368577339887033,0.383570159551604,0.398384002571999,0.412984052436044,0.42734129453226,0.441432835520391,0.455241982448199,0.468758097603214,0.481976258708352,0.494896763118287,0.507524519026319,0.519868366822774,0.531940370521067,0.543755113629702,0.555329027035576,0.566679769278288,0.57782567273216,0.588785263140328,0.599576854920428,0.610218220768566,0.620726331285913,0.631117158518946,0.641405536277048,0.65160506969529,0.66172808657909,0.671785623454809,0.681787439835244,0.691742054897246,0.701656801490728,0.71153789310596,0.721390500088616,0.731218831992079,0.741026223486812,0.750815221706576,0.760587673304843,0.77034480982849,0.780087330297344,0.789815480115329,0.799529125639188,0.809227823900706,0.818910887123577,0.828577441801119,0.838226482209434,0.847856918325069,0.857467618198477,0.867057444906108,0.876625288265377,0.886170091548867,0.895690873477063,0.905186745803176,0.914656926829404,0.924100751211677,0.933517676420039,0.942907286224844
World ,Carbon Dioxide Removal,%,PD20,0,0,0,0,0,0,0,0,0.002346463441697,0.002608633632286,0.002900010931643,0.003223829087479,0.003583675151438,0.003983526964542,0.004427794355886,0.00492136435894,0.005469650758761,0.006078648287845,0.006754991786634,0.007506020634825,0.008339848739061,0.009265440328285,0.010292691756313,0.011432519437607,0.012696953941533,0.014099240136359,0.015653943099838,0.017377059289999,0.019286132188751,0.021400371281619,0.023740772808692,0.026330240203058,0.029193701512634,0.032358220369079,0.03585309621556,0.039709948529476,0.043962778679073,0.048648001845367,0.053804440146698,0.05947326676305,0.065697889533005,0.072523761276289,0.079998103099166,0.088169526323403,0.097087538634087,0.106801920794296,0.117361962080651,0.128815545721356,0.141208080325299,0.154581279788886,0.168971802576025,0.184409771557591,0.200917207531498,0.218506422617862,0.237178433120465,0.256921464028954,0.277709627683717,0.299501865626648,0.32224124368438,0.34585468445221,0.370253207620925,0.395332726815786,0.420975422556245,0.447051676409994,0.473422514202183,0.499942469769682,0.526462749032926,0.552834550657839,0.578912387061039,0.604557249483903,0.629639473328408,0.654041183405357,0.677658230434579,0.700401566495759,0.722198044345637,0.742990660070596,0.762738287632705,0.781414975674251,0.799008890706883,0.815520996722224,0.830963560264599,0.845358563525465,0.858736097684795,0.871132796147838,0.882590353929833,0.893154166364477,0.902872108370911,0.911793465215314,0.919968017286009,0.919968017286009,0.919968017286009
World ,Electricity,%,PD17,0.249908867355376,0.258085140791426,0.275309681732685,0.288738645091212,0.30282176963849,0.324995251628271,0.354997287424679,0.373351677566001,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World ,Transport,%,PD17,0.016592637888656,0.017480864790848,0.018691068455977,0.019352674176765,0.01974873224963,0.020098820299651,0.020402978217919,0.022755148175354,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World ,Buildings,%,PD17,0.2809741434991,0.282020700174646,0.283053293773055,0.28407220188396,0.28507769478736,0.286070035692645,0.287125983602117,0.289,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
